"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.0000000	0.0247326	0.8013365	0.9998292	0.7065443	0.0598705	0.0153470	0.9911277	1.0000000	1.0000000
1.0000000	0.0000000	0.8013663	1.0000000	0.7065666	0.0598704	0.0152595	1.0000000	1.0000000	1.0000000
1.0000000	0.8001824	0.0000000	0.6274623	0.0268536	0.3791337	0.4226837	0.4481369	1.0000000	1.0000000
1.0000000	0.9997467	0.3315751	0.0000000	0.2827126	0.4797226	0.6528870	0.2845010	1.0000000	1.0000000
1.0000000	0.0247326	0.5358159	0.9998292	0.0000000	0.0598706	0.0153475	0.9911278	1.0000000	1.0000000
1.0000000	0.4999963	0.3413373	0.6549950	0.0528010	0.0000000	0.4690104	0.4603496	1.0000000	1.0000000
1.0000000	0.4999963	0.3413373	0.6549950	0.0528010	0.4721163	0.0000000	0.4603496	1.0000000	1.0000000
1.0000000	0.4999963	0.3413373	0.6549950	0.0528010	0.3666397	0.4754215	0.0000000	1.0000000	1.0000000
1.0000000	0.7347568	0.2273535	0.5138099	0.0582976	0.4722429	0.5893159	0.3714914	0.0000000	1.0000000
1.0000000	0.8109675	0.1052393	0.6402470	0.0289222	0.3635187	0.4134852	0.4570623	1.0000000	0.0000000
