"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	0.8340665	0.5604668	0.2619471	0.6571137	0.0522975	0.3469627	0.4772630	0.4808783	1.0000000	1.0000000
100.0	0.6579491	0.4812210	0.3041262	0.6668023	0.0470404	0.3368533	0.4648479	0.4771204	1.0000000	1.0000000
150.0	0.5656583	0.3390999	0.3358495	0.7115219	0.0637097	0.2927974	0.4173826	0.5214470	1.0000000	1.0000000
200.0	0.5255312	0.3875606	0.3760442	0.7834390	0.1055598	0.2188571	0.3315613	0.5942922	1.0000000	1.0000000
250.0	0.5095362	0.6002478	0.4277852	0.7889606	0.1246194	0.1954212	0.3243038	0.5721990	1.0000000	1.0000000
300.0	0.5034688	0.7606462	0.4633224	0.7152373	0.1339769	0.2868287	0.4039236	0.4788299	1.0000000	1.0000000
350.0	0.5012388	0.8507715	0.4657987	0.6321610	0.1466641	0.4011686	0.4896488	0.3982114	1.0000000	1.0000000
400.0	0.5004366	0.9021621	0.4418780	0.5691589	0.1536806	0.4731281	0.5531017	0.3492125	1.0000000	1.0000000
450.0	0.5001523	0.9281165	0.4055770	0.5232709	0.1479963	0.5033188	0.5963768	0.3227254	1.0000000	1.0000000
500.0	0.5000528	0.9304013	0.3648816	0.4888142	0.1293766	0.5087995	0.6236513	0.3096970	1.0000000	1.0000000
550.0	0.5000182	0.8952182	0.3221072	0.4646291	0.1029217	0.5033522	0.6376253	0.3062043	1.0000000	1.0000000
600.0	0.5000062	0.7781476	0.2793632	0.4565476	0.0768585	0.4940385	0.6389168	0.3153460	1.0000000	1.0000000
650.0	0.5000021	0.5658966	0.2434153	0.4864776	0.0620409	0.4763344	0.6181042	0.3532552	1.0000000	1.0000000
700.0	0.5000007	0.3853032	0.2312415	0.5814300	0.0699044	0.4115492	0.5445680	0.4406936	1.0000000	1.0000000
750.0	0.5000002	0.3752077	0.2652536	0.7016925	0.0895661	0.3036701	0.4254790	0.5438858	1.0000000	1.0000000
800.0	0.5000001	0.4853078	0.3336723	0.7614254	0.0890545	0.2285903	0.3594424	0.5713419	1.0000000	1.0000000
850.0	0.5000000	0.5367849	0.3935247	0.7482933	0.0847787	0.2298032	0.3736644	0.5322090	1.0000000	1.0000000
900.0	0.5000000	0.5598430	0.4249361	0.7194840	0.0996313	0.2695700	0.4078099	0.4963752	1.0000000	1.0000000
950.0	0.5000000	0.6528401	0.4366838	0.6898357	0.1209789	0.3205972	0.4429442	0.4664219	1.0000000	1.0000000
1000.0	0.5000000	0.7672085	0.4368486	0.6435687	0.1342905	0.3884311	0.4894603	0.4227036	1.0000000	1.0000000

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.4579469	0.2623136	0.6672887	0.0547669	0.3362955	0.4678607	0.4920771	1.0000000	1.0000000
100.0	1.0000000	0.3982080	0.3118892	0.7173700	0.0598775	0.2776971	0.4142388	0.5280606	1.0000000	1.0000000
150.0	1.0000000	0.3941985	0.3618327	0.7653424	0.0783532	0.2189750	0.3581031	0.5658779	1.0000000	1.0000000
200.0	1.0000000	0.4292424	0.4099281	0.7900172	0.1034902	0.1809678	0.3280901	0.5771828	1.0000000	1.0000000
250.0	1.0000000	0.4624672	0.4508018	0.7881570	0.1309531	0.1734924	0.3316423	0.5624026	1.0000000	1.0000000
300.0	1.0000000	0.4823082	0.4812601	0.7740522	0.1588703	0.1894085	0.3520771	0.5407417	1.0000000	1.0000000
350.0	1.0000000	0.4921045	0.5025347	0.7600704	0.1839451	0.2140227	0.3737015	0.5237837	1.0000000	1.0000000
400.0	1.0000000	0.4964970	0.5176100	0.7507131	0.2040698	0.2365835	0.3900547	0.5134804	1.0000000	1.0000000
450.0	1.0000000	0.4983737	0.5289657	0.7458266	0.2190849	0.2530540	0.4005972	0.5080449	1.0000000	1.0000000
500.0	1.0000000	0.4991632	0.5380231	0.7439417	0.2298662	0.2635683	0.4068071	0.5054173	1.0000000	1.0000000
550.0	1.0000000	0.4994996	0.5454457	0.7437283	0.2375003	0.2697068	0.4102712	0.5042142	1.0000000	1.0000000
600.0	1.0000000	0.4996489	0.5515379	0.7443108	0.2429110	0.2730700	0.4121394	0.5036792	1.0000000	1.0000000
650.0	1.0000000	0.4997196	0.5564846	0.7451915	0.2467760	0.2748283	0.4131259	0.5034426	1.0000000	1.0000000
700.0	1.0000000	0.4997560	0.5604461	0.7461142	0.2495633	0.2757164	0.4136405	0.5033361	1.0000000	1.0000000
750.0	1.0000000	0.4997766	0.5635779	0.7469613	0.2515907	0.2761545	0.4139075	0.5032859	1.0000000	1.0000000
800.0	1.0000000	0.4997891	0.5660274	0.7476885	0.2530756	0.2763679	0.4140464	0.5032607	1.0000000	1.0000000
850.0	1.0000000	0.4997972	0.5679270	0.7482886	0.2541693	0.2764720	0.4141192	0.5032469	1.0000000	1.0000000
900.0	1.0000000	0.4998028	0.5693903	0.7487715	0.2549781	0.2765237	0.4141582	0.5032387	1.0000000	1.0000000
950.0	1.0000000	0.4998066	0.5705117	0.7491535	0.2555785	0.2765505	0.4141796	0.5032334	1.0000000	1.0000000
1000.0	1.0000000	0.4998094	0.5713676	0.7494518	0.2560254	0.2765653	0.4141918	0.5032299	1.0000000	1.0000000

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.5759558	0.2186669	0.6563500	0.0516475	0.3475377	0.4777393	0.4802573	1.0000000	1.0000000
100.0	1.0000000	0.5713772	0.2017861	0.6514353	0.0396372	0.3515413	0.4761031	0.4636125	1.0000000	1.0000000
150.0	1.0000000	0.4331745	0.1877554	0.6590310	0.0341590	0.3488997	0.4665276	0.4719129	1.0000000	1.0000000
200.0	1.0000000	0.3406853	0.1826988	0.7225912	0.0485074	0.2855980	0.3994956	0.5393220	1.0000000	1.0000000
250.0	1.0000000	0.4704964	0.1928634	0.7805169	0.0605731	0.2150656	0.3320871	0.5864068	1.0000000	1.0000000
300.0	1.0000000	0.6052355	0.2077797	0.7519837	0.0462302	0.2261483	0.3585474	0.5361122	1.0000000	1.0000000
350.0	1.0000000	0.5158734	0.2109224	0.6917188	0.0308263	0.2980012	0.4171914	0.4794806	1.0000000	1.0000000
400.0	1.0000000	0.3256515	0.2027115	0.7058694	0.0347190	0.2971717	0.4077015	0.5094860	1.0000000	1.0000000
450.0	1.0000000	0.3430642	0.2016029	0.7853318	0.0658232	0.2272707	0.3174843	0.6050748	1.0000000	1.0000000
500.0	1.0000000	0.5852555	0.2143323	0.8018739	0.0654920	0.1900379	0.2973219	0.5963105	1.0000000	1.0000000
550.0	1.0000000	0.6846657	0.2228919	0.7158170	0.0425125	0.2741642	0.3809952	0.4967970	1.0000000	1.0000000
600.0	1.0000000	0.5124320	0.2128602	0.6441375	0.0276930	0.3679362	0.4524345	0.4429401	1.0000000	1.0000000
650.0	1.0000000	0.3044912	0.1943723	0.6825268	0.0392343	0.3447100	0.4259404	0.5008558	1.0000000	1.0000000
700.0	1.0000000	0.3884330	0.1923892	0.7772257	0.0732853	0.2531327	0.3240862	0.6048459	1.0000000	1.0000000
750.0	1.0000000	0.6381508	0.2077803	0.7787701	0.0646266	0.2226872	0.3222280	0.5731638	1.0000000	1.0000000
800.0	1.0000000	0.6989119	0.2158108	0.6845170	0.0399420	0.3154751	0.4098553	0.4719769	1.0000000	1.0000000
850.0	1.0000000	0.4921159	0.2032835	0.6244365	0.0266656	0.3944497	0.4708071	0.4321828	1.0000000	1.0000000
900.0	1.0000000	0.2940172	0.1851631	0.6810121	0.0435451	0.3513467	0.4273771	0.5068970	1.0000000	1.0000000
950.0	1.0000000	0.4226275	0.1870809	0.7775314	0.0759462	0.2536974	0.3242104	0.6057988	1.0000000	1.0000000
1000.0	1.0000000	0.6646839	0.2049349	0.7653526	0.0622905	0.2363793	0.3364966	0.5584394	1.0000000	1.0000000

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.5781712	0.2543919	0.5479816	0.0540823	0.3475827	0.4777768	0.4802068	1.0000000	1.0000000
100.0	1.0000000	0.6295289	0.2526603	0.4345482	0.0553408	0.3554603	0.4792090	0.4594710	1.0000000	1.0000000
150.0	1.0000000	0.6831200	0.2175533	0.3586991	0.0670590	0.3904801	0.4993540	0.4324094	1.0000000	1.0000000
200.0	1.0000000	0.7777244	0.1826019	0.3095676	0.0809516	0.4313774	0.5281539	0.4020896	1.0000000	1.0000000
250.0	1.0000000	0.8638890	0.1610700	0.2711119	0.0901558	0.4676621	0.5628155	0.3668186	1.0000000	1.0000000
300.0	1.0000000	0.9183855	0.1509226	0.2410949	0.0979753	0.4902173	0.5951755	0.3362774	1.0000000	1.0000000
350.0	1.0000000	0.9495654	0.1485155	0.2201899	0.1077551	0.4988421	0.6198641	0.3154701	1.0000000	1.0000000
400.0	1.0000000	0.9681618	0.1518163	0.2069405	0.1187208	0.4985528	0.6360611	0.3029319	1.0000000	1.0000000
450.0	1.0000000	0.9796248	0.1590222	0.1989887	0.1287287	0.4944145	0.6453945	0.2956365	1.0000000	1.0000000
500.0	1.0000000	0.9865467	0.1680291	0.1943820	0.1365818	0.4896468	0.6501117	0.2913721	1.0000000	1.0000000
550.0	1.0000000	0.9905771	0.1769796	0.1918241	0.1421937	0.4857174	0.6521358	0.2888688	1.0000000	1.0000000
600.0	1.0000000	0.9928656	0.1847295	0.1904993	0.1459933	0.4829956	0.6527882	0.2874106	1.0000000	1.0000000
650.0	1.0000000	0.9941547	0.1908514	0.1898907	0.1484859	0.4813345	0.6528489	0.2865723	1.0000000	1.0000000
700.0	1.0000000	0.9948852	0.1953876	0.1896721	0.1500836	0.4804305	0.6527187	0.2860953	1.0000000	1.0000000
750.0	1.0000000	0.9953044	0.1985957	0.1896453	0.1510836	0.4799967	0.6525722	0.2858246	1.0000000	1.0000000
800.0	1.0000000	0.9955480	0.2007833	0.1896978	0.1516913	0.4798217	0.6524666	0.2856704	1.0000000	1.0000000
850.0	1.0000000	0.9956904	0.2022292	0.1897715	0.1520474	0.4797717	0.6524068	0.2855818	1.0000000	1.0000000
900.0	1.0000000	0.9957733	0.2031571	0.1898403	0.1522470	0.4797721	0.6523807	0.2855306	1.0000000	1.0000000
950.0	1.0000000	0.9958209	0.2037351	0.1898952	0.1523528	0.4797864	0.6523741	0.2855009	1.0000000	1.0000000
1000.0	1.0000000	0.9958476	0.2040838	0.1899353	0.1524047	0.4797999	0.6523765	0.2854837	1.0000000	1.0000000

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.5630355	0.2616142	0.6570344	0.0463057	0.3470411	0.4773283	0.4807927	1.0000000	1.0000000
100.0	1.0000000	0.4976827	0.3018810	0.6642461	0.0338668	0.3396838	0.4670620	0.4745140	1.0000000	1.0000000
150.0	1.0000000	0.3431371	0.3290469	0.7034162	0.0350284	0.3018753	0.4261000	0.5129752	1.0000000	1.0000000
200.0	1.0000000	0.3230688	0.3607344	0.7823656	0.0545367	0.2255214	0.3315098	0.5991976	1.0000000	1.0000000
250.0	1.0000000	0.5162700	0.4051563	0.8166911	0.0666101	0.1745054	0.2881187	0.6119762	1.0000000	1.0000000
300.0	1.0000000	0.6939286	0.4404117	0.7580583	0.0668562	0.2316798	0.3544444	0.5242746	1.0000000	1.0000000
350.0	1.0000000	0.7853103	0.4441594	0.6688996	0.0688510	0.3534076	0.4483683	0.4332594	1.0000000	1.0000000
400.0	1.0000000	0.8314088	0.4155709	0.5967461	0.0698003	0.4455129	0.5207193	0.3766921	1.0000000	1.0000000
450.0	1.0000000	0.8485660	0.3690448	0.5448079	0.0643100	0.4912652	0.5696504	0.3472198	1.0000000	1.0000000
500.0	1.0000000	0.8156619	0.3181236	0.5093622	0.0520388	0.5051246	0.6001067	0.3355308	1.0000000	1.0000000
550.0	1.0000000	0.6809205	0.2713795	0.4986835	0.0385259	0.5001084	0.6103379	0.3444612	1.0000000	1.0000000
600.0	1.0000000	0.4637143	0.2389577	0.5419287	0.0322741	0.4660619	0.5819443	0.3947638	1.0000000	1.0000000
650.0	1.0000000	0.3137757	0.2402022	0.6537544	0.0400355	0.3665067	0.4798601	0.5021436	1.0000000	1.0000000
700.0	1.0000000	0.3525892	0.2885504	0.7676629	0.0519625	0.2535636	0.3498531	0.6047185	1.0000000	1.0000000
750.0	1.0000000	0.4886538	0.3578210	0.8038110	0.0502854	0.1906487	0.3052568	0.6046181	1.0000000	1.0000000
800.0	1.0000000	0.5424895	0.4088964	0.7685932	0.0482768	0.2102860	0.3462316	0.5426795	1.0000000	1.0000000
850.0	1.0000000	0.5650858	0.4284631	0.7269357	0.0552683	0.2649967	0.3971164	0.4970402	1.0000000	1.0000000
900.0	1.0000000	0.6432934	0.4262964	0.6917638	0.0634652	0.3226670	0.4394376	0.4654428	1.0000000	1.0000000
950.0	1.0000000	0.7353091	0.4117711	0.6462006	0.0660903	0.3882792	0.4854142	0.4264590	1.0000000	1.0000000
1000.0	1.0000000	0.7897036	0.3853502	0.5945935	0.0627697	0.4454566	0.5308933	0.3877618	1.0000000	1.0000000

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.5764022	0.2619364	0.6565315	0.0521909	0.3141493	0.4775458	0.4802479	1.0000000	1.0000000
100.0	1.0000000	0.5882012	0.3031179	0.6522366	0.0446077	0.2591743	0.4757865	0.4625412	1.0000000	1.0000000
150.0	1.0000000	0.5259824	0.3257892	0.6494448	0.0469066	0.2269942	0.4761964	0.4577751	1.0000000	1.0000000
200.0	1.0000000	0.5431670	0.3390404	0.6676164	0.0588276	0.1980940	0.4601803	0.4736832	1.0000000	1.0000000
250.0	1.0000000	0.6570550	0.3538256	0.6641803	0.0668325	0.1885558	0.4630475	0.4637652	1.0000000	1.0000000
300.0	1.0000000	0.7618688	0.3612241	0.6221109	0.0698956	0.2056416	0.4964974	0.4220928	1.0000000	1.0000000
350.0	1.0000000	0.8247604	0.3499523	0.5683281	0.0708253	0.2284671	0.5361257	0.3791602	1.0000000	1.0000000
400.0	1.0000000	0.8518459	0.3216646	0.5225861	0.0665641	0.2438263	0.5666891	0.3498148	1.0000000	1.0000000
450.0	1.0000000	0.8350583	0.2850800	0.4906855	0.0564025	0.2506182	0.5853003	0.3352279	1.0000000	1.0000000
500.0	1.0000000	0.7440125	0.2486651	0.4787039	0.0454043	0.2511539	0.5910399	0.3374509	1.0000000	1.0000000
550.0	1.0000000	0.5873592	0.2212765	0.5028025	0.0414483	0.2441889	0.5760759	0.3667890	1.0000000	1.0000000
600.0	1.0000000	0.4884940	0.2159579	0.5725358	0.0489743	0.2193745	0.5274925	0.4273973	1.0000000	1.0000000
650.0	1.0000000	0.5325427	0.2431299	0.6425297	0.0543411	0.1855213	0.4723984	0.4765920	1.0000000	1.0000000
700.0	1.0000000	0.5913651	0.2869145	0.6600896	0.0479933	0.1742956	0.4591570	0.4745087	1.0000000	1.0000000
750.0	1.0000000	0.5573193	0.3190681	0.6508135	0.0448211	0.1811942	0.4689019	0.4584722	1.0000000	1.0000000
800.0	1.0000000	0.5273367	0.3351292	0.6588895	0.0532150	0.1804533	0.4646397	0.4656184	1.0000000	1.0000000
850.0	1.0000000	0.6065507	0.3482733	0.6675851	0.0639924	0.1765268	0.4589431	0.4697617	1.0000000	1.0000000
900.0	1.0000000	0.7213621	0.3590909	0.6406174	0.0687869	0.1914871	0.4818537	0.4397285	1.0000000	1.0000000
950.0	1.0000000	0.8016026	0.3555842	0.5896801	0.0705887	0.2171441	0.5207971	0.3956691	1.0000000	1.0000000
1000.0	1.0000000	0.8428035	0.3336407	0.5400838	0.0685468	0.2373726	0.5553956	0.3606104	1.0000000	1.0000000

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.5764022	0.2619364	0.6565315	0.0521909	0.3483075	0.4115855	0.4802479	1.0000000	1.0000000
100.0	1.0000000	0.5882012	0.3031179	0.6522366	0.0446077	0.3612571	0.3272824	0.4625412	1.0000000	1.0000000
150.0	1.0000000	0.5259824	0.3257892	0.6494448	0.0469066	0.3854794	0.2814290	0.4577751	1.0000000	1.0000000
200.0	1.0000000	0.5431670	0.3390404	0.6676164	0.0588276	0.3771556	0.2516169	0.4736832	1.0000000	1.0000000
250.0	1.0000000	0.6570550	0.3538256	0.6641803	0.0668325	0.3909753	0.2430391	0.4637652	1.0000000	1.0000000
300.0	1.0000000	0.7618688	0.3612241	0.6221109	0.0698956	0.4648199	0.2559833	0.4220928	1.0000000	1.0000000
350.0	1.0000000	0.8247604	0.3499523	0.5683281	0.0708253	0.5536796	0.2777480	0.3791602	1.0000000	1.0000000
400.0	1.0000000	0.8518459	0.3216646	0.5225861	0.0665641	0.6200909	0.3013942	0.3498148	1.0000000	1.0000000
450.0	1.0000000	0.8350583	0.2850800	0.4906855	0.0564025	0.6564858	0.3230088	0.3352279	1.0000000	1.0000000
500.0	1.0000000	0.7440125	0.2486651	0.4787039	0.0454043	0.6664002	0.3376713	0.3374509	1.0000000	1.0000000
550.0	1.0000000	0.5873592	0.2212765	0.5028025	0.0414483	0.6438133	0.3382723	0.3667890	1.0000000	1.0000000
600.0	1.0000000	0.4884940	0.2159579	0.5725358	0.0489743	0.5610631	0.3148197	0.4273973	1.0000000	1.0000000
650.0	1.0000000	0.5325427	0.2431299	0.6425297	0.0543411	0.4540524	0.2768373	0.4765920	1.0000000	1.0000000
700.0	1.0000000	0.5913651	0.2869145	0.6600896	0.0479933	0.4102091	0.2556591	0.4745087	1.0000000	1.0000000
750.0	1.0000000	0.5573193	0.3190681	0.6508135	0.0448211	0.4202699	0.2502769	0.4584722	1.0000000	1.0000000
800.0	1.0000000	0.5273367	0.3351292	0.6588895	0.0532150	0.4144922	0.2430465	0.4656184	1.0000000	1.0000000
850.0	1.0000000	0.6065507	0.3482733	0.6675851	0.0639924	0.4023377	0.2375316	0.4697617	1.0000000	1.0000000
900.0	1.0000000	0.7213621	0.3590909	0.6406174	0.0687869	0.4453624	0.2475943	0.4397285	1.0000000	1.0000000
950.0	1.0000000	0.8016026	0.3555842	0.5896801	0.0705887	0.5272527	0.2685392	0.3956691	1.0000000	1.0000000
1000.0	1.0000000	0.8428035	0.3336407	0.5400838	0.0685468	0.6005323	0.2924916	0.3606104	1.0000000	1.0000000

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.5764022	0.2619364	0.6565315	0.0521909	0.3475460	0.4777462	0.3736709	1.0000000	1.0000000
100.0	1.0000000	0.5882012	0.3031179	0.6522366	0.0446077	0.3525636	0.4769102	0.2796658	1.0000000	1.0000000
