"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	0.6681331	0.5422131	0.2619587	0.6577629	0.0524212	0.3463055	0.4767153	0.4815877	1.0000000	1.0000000
100.0	0.3158981	0.3844357	0.3053000	0.6830765	0.0509606	0.3188210	0.4493940	0.4946044	1.0000000	1.0000000
150.0	0.1313165	0.1995961	0.3464424	0.7640289	0.0915140	0.2468389	0.3529317	0.5899390	1.0000000	1.0000000
200.0	0.0510624	0.1004430	0.4083153	0.8644157	0.1856928	0.1719160	0.2175771	0.7415868	1.0000000	1.0000000
250.0	0.0190724	0.0566948	0.4913229	0.9335297	0.3089292	0.1209831	0.1189093	0.8648530	1.0000000	1.0000000
300.0	0.0069377	0.0376216	0.5771874	0.9700516	0.4400432	0.0914397	0.0644293	0.9349835	1.0000000	1.0000000
350.0	0.0024776	0.0296185	0.6512661	0.9870794	0.5478441	0.0756141	0.0377229	0.9680489	1.0000000	1.0000000
400.0	0.0008731	0.0264951	0.7071149	0.9945190	0.6195151	0.0675311	0.0253427	0.9821033	1.0000000	1.0000000
450.0	0.0003047	0.0253473	0.7451436	0.9976541	0.6611760	0.0635312	0.0197625	0.9877180	1.0000000	1.0000000
500.0	0.0001055	0.0249422	0.7691688	0.9989475	0.6835554	0.0615958	0.0172840	0.9898722	1.0000000	1.0000000
550.0	0.0000363	0.0248029	0.7835344	0.9994743	0.6950612	0.0606747	0.0161920	0.9906751	1.0000000	1.0000000
600.0	0.0000125	0.0247559	0.7917795	0.9996870	0.7008508	0.0602420	0.0157130	0.9909676	1.0000000	1.0000000
650.0	0.0000043	0.0247402	0.7963681	0.9997725	0.7037434	0.0600408	0.0155034	0.9910721	1.0000000	1.0000000
700.0	0.0000014	0.0247351	0.7988632	0.9998066	0.7051908	0.0599479	0.0154119	0.9911088	1.0000000	1.0000000
750.0	0.0000005	0.0247334	0.8001964	0.9998203	0.7059194	0.0599054	0.0153720	0.9911216	1.0000000	1.0000000
800.0	0.0000002	0.0247328	0.8008997	0.9998257	0.7062888	0.0598860	0.0153545	0.9911259	1.0000000	1.0000000
850.0	0.0000001	0.0247327	0.8012673	0.9998279	0.7064773	0.0598772	0.0153470	0.9911274	1.0000000	1.0000000
900.0	0.0000000	0.0247326	0.8014583	0.9998287	0.7065739	0.0598732	0.0153437	0.9911279	1.0000000	1.0000000
950.0	0.0000000	0.0247326	0.8015571	0.9998290	0.7066237	0.0598714	0.0153422	0.9911281	1.0000000	1.0000000
1000.0	0.0000000	0.0247326	0.8016081	0.9998292	0.7066493	0.0598706	0.0153416	0.9911281	1.0000000	1.0000000

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.3371202	0.2627141	0.6783245	0.0588418	0.3263601	0.4559616	0.5058392	1.0000000	1.0000000
100.0	1.0000000	0.1532643	0.3215987	0.7821313	0.0997561	0.2358698	0.3298376	0.6265805	1.0000000	1.0000000
150.0	1.0000000	0.0605996	0.4012852	0.8838198	0.1852794	0.1608480	0.1910681	0.7893433	1.0000000	1.0000000
200.0	1.0000000	0.0223316	0.4919407	0.9461464	0.3044139	0.1136282	0.1014444	0.9065703	1.0000000	1.0000000
250.0	1.0000000	0.0078933	0.5790835	0.9767875	0.4374149	0.0872184	0.0550290	0.9649041	1.0000000	1.0000000
300.0	1.0000000	0.0027155	0.6527595	0.9903721	0.5470653	0.0733663	0.0330891	0.9882145	1.0000000	1.0000000
350.0	1.0000000	0.0009171	0.7080898	0.9960903	0.6194836	0.0663875	0.0231382	0.9963375	1.0000000	1.0000000
400.0	1.0000000	0.0003056	0.7457476	0.9984313	0.6613238	0.0629668	0.0187143	0.9989230	1.0000000	1.0000000
450.0	1.0000000	0.0001009	0.7695363	0.9993750	0.6836986	0.0613232	0.0167673	0.9996959	1.0000000	1.0000000
500.0	1.0000000	0.0000331	0.7837573	0.9997520	0.6951646	0.0605452	0.0159148	0.9999167	1.0000000	1.0000000
550.0	1.0000000	0.0000108	0.7919165	0.9999018	0.7009208	0.0601812	0.0155426	0.9999777	1.0000000	1.0000000
600.0	1.0000000	0.0000035	0.7964555	0.9999612	0.7037918	0.0600125	0.0153803	0.9999941	1.0000000	1.0000000
650.0	1.0000000	0.0000011	0.7989224	0.9999847	0.7052267	0.0599349	0.0153095	0.9999985	1.0000000	1.0000000
700.0	1.0000000	0.0000004	0.8002400	0.9999940	0.7059482	0.0598994	0.0152787	0.9999996	1.0000000	1.0000000
750.0	1.0000000	0.0000001	0.8009349	0.9999976	0.7063138	0.0598833	0.0152653	0.9999999	1.0000000	1.0000000
800.0	1.0000000	0.0000000	0.8012980	0.9999991	0.7065002	0.0598760	0.0152595	1.0000000	1.0000000	1.0000000
850.0	1.0000000	0.0000000	0.8014866	0.9999996	0.7065958	0.0598727	0.0152569	1.0000000	1.0000000	1.0000000
900.0	1.0000000	0.0000000	0.8015842	0.9999999	0.7066450	0.0598712	0.0152558	1.0000000	1.0000000	1.0000000
950.0	1.0000000	0.0000000	0.8016345	0.9999999	0.7066703	0.0598705	0.0152554	1.0000000	1.0000000	1.0000000
1000.0	1.0000000	0.0000000	0.8016604	1.0000000	0.7066834	0.0598702	0.0152552	1.0000000	1.0000000	1.0000000

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.5756180	0.1754133	0.6562047	0.0513104	0.3475308	0.4777336	0.4802650	1.0000000	1.0000000
100.0	1.0000000	0.5643648	0.1009322	0.6510594	0.0383847	0.3509647	0.4756530	0.4641969	1.0000000	1.0000000
150.0	1.0000000	0.4155570	0.0515281	0.6621445	0.0333655	0.3438971	0.4623773	0.4764464	1.0000000	1.0000000
200.0	1.0000000	0.3302618	0.0247486	0.7316053	0.0505110	0.2758803	0.3877084	0.5505966	1.0000000	1.0000000
250.0	1.0000000	0.4836119	0.0114690	0.7875561	0.0619512	0.2071275	0.3218211	0.5935749	1.0000000	1.0000000
300.0	1.0000000	0.6184383	0.0051959	0.7490283	0.0450869	0.2289007	0.3580009	0.5332175	1.0000000	1.0000000
350.0	1.0000000	0.5067957	0.0023188	0.6844149	0.0286013	0.3063734	0.4203527	0.4752804	1.0000000	1.0000000
400.0	1.0000000	0.3051060	0.0010242	0.7058665	0.0345444	0.2992153	0.4041465	0.5142279	1.0000000	1.0000000
450.0	1.0000000	0.3411708	0.0004491	0.7923370	0.0695889	0.2250145	0.3056712	0.6182751	1.0000000	1.0000000
500.0	1.0000000	0.5999306	0.0001959	0.8048012	0.0670160	0.1899939	0.2903340	0.6011951	1.0000000	1.0000000
550.0	1.0000000	0.6964739	0.0000852	0.7096537	0.0412734	0.2818182	0.3814400	0.4936169	1.0000000	1.0000000
600.0	1.0000000	0.5028770	0.0000369	0.6353463	0.0251322	0.3766280	0.4549763	0.4396003	1.0000000	1.0000000
650.0	1.0000000	0.2852098	0.0000160	0.6817475	0.0393224	0.3465642	0.4220788	0.5060848	1.0000000	1.0000000
700.0	1.0000000	0.3858300	0.0000069	0.7832861	0.0772248	0.2511953	0.3129560	0.6174693	1.0000000	1.0000000
750.0	1.0000000	0.6492038	0.0000030	0.7819212	0.0667978	0.2221345	0.3147118	0.5787468	1.0000000	1.0000000
800.0	1.0000000	0.7141160	0.0000013	0.6796788	0.0395383	0.3204967	0.4086421	0.4702261	1.0000000	1.0000000
850.0	1.0000000	0.4939199	0.0000006	0.6146981	0.0246821	0.4025852	0.4736069	0.4276210	1.0000000	1.0000000
900.0	1.0000000	0.2824422	0.0000002	0.6749835	0.0427779	0.3577298	0.4289941	0.5062048	1.0000000	1.0000000
950.0	1.0000000	0.4134726	0.0000001	0.7788021	0.0788056	0.2563385	0.3191242	0.6133539	1.0000000	1.0000000
1000.0	1.0000000	0.6683164	0.0000000	0.7688382	0.0647541	0.2352816	0.3296497	0.5649976	1.0000000	1.0000000

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.5802844	0.2470595	0.4394877	0.0568296	0.3476241	0.4778112	0.4801603	1.0000000	1.0000000
100.0	1.0000000	0.6827336	0.2188099	0.2206191	0.0820378	0.3588259	0.4819680	0.4556536	1.0000000	1.0000000
150.0	1.0000000	0.8216184	0.1838619	0.0982517	0.1302555	0.4089941	0.5164127	0.4087865	1.0000000	1.0000000
200.0	1.0000000	0.9191448	0.1794680	0.0414211	0.1674964	0.4598954	0.5606990	0.3587908	1.0000000	1.0000000
250.0	1.0000000	0.9667970	0.1957297	0.0169707	0.1880392	0.4899891	0.5988904	0.3226780	1.0000000	1.0000000
300.0	1.0000000	0.9867479	0.2165408	0.0068437	0.1985533	0.5004196	0.6258310	0.3022275	1.0000000	1.0000000
350.0	1.0000000	0.9944903	0.2340117	0.0027348	0.2047952	0.4995203	0.6421106	0.2922207	1.0000000	1.0000000
400.0	1.0000000	0.9973910	0.2467306	0.0010870	0.2096415	0.4943256	0.6504414	0.2877585	1.0000000	1.0000000
450.0	1.0000000	0.9984795	0.2558050	0.0004307	0.2140090	0.4888173	0.6538368	0.2858873	1.0000000	1.0000000
500.0	1.0000000	0.9989107	0.2625935	0.0001703	0.2180115	0.4845900	0.6546698	0.2851317	1.0000000	1.0000000
550.0	1.0000000	0.9991042	0.2680083	0.0000673	0.2216222	0.4818952	0.6544373	0.2848304	1.0000000	1.0000000
600.0	1.0000000	0.9992084	0.2725438	0.0000266	0.2248632	0.4804253	0.6539228	0.2847073	1.0000000	1.0000000
650.0	1.0000000	0.9992759	0.2764590	0.0000105	0.2277935	0.4797542	0.6534580	0.2846529	1.0000000	1.0000000
700.0	1.0000000	0.9993257	0.2799055	0.0000041	0.2304740	0.4795273	0.6531369	0.2846252	1.0000000	1.0000000
750.0	1.0000000	0.9993655	0.2829858	0.0000016	0.2329534	0.4795081	0.6529511	0.2846084	1.0000000	1.0000000
800.0	1.0000000	0.9993990	0.2857752	0.0000006	0.2352684	0.4795624	0.6528611	0.2845966	1.0000000	1.0000000
850.0	1.0000000	0.9994278	0.2883310	0.0000003	0.2374478	0.4796261	0.6528279	0.2845872	1.0000000	1.0000000
900.0	1.0000000	0.9994532	0.2906972	0.0000001	0.2395146	0.4796755	0.6528233	0.2845795	1.0000000	1.0000000
950.0	1.0000000	0.9994758	0.2929080	0.0000000	0.2414883	0.4797067	0.6528302	0.2845728	1.0000000	1.0000000
1000.0	1.0000000	0.9994962	0.2949908	0.0000000	0.2433850	0.4797233	0.6528398	0.2845668	1.0000000	1.0000000

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.5480737	0.2612971	0.6575838	0.0403310	0.3464849	0.4768656	0.4813920	1.0000000	1.0000000
100.0	1.0000000	0.4117442	0.3007831	0.6777622	0.0212909	0.3245336	0.4546357	0.4887553	1.0000000	1.0000000
150.0	1.0000000	0.2178336	0.3321425	0.7508540	0.0098586	0.2578808	0.3694938	0.5722757	1.0000000	1.0000000
200.0	1.0000000	0.1046543	0.3727125	0.8529908	0.0042610	0.1807012	0.2333785	0.7234763	1.0000000	1.0000000
250.0	1.0000000	0.0549327	0.4211389	0.9271882	0.0017653	0.1264113	0.1282233	0.8557554	1.0000000	1.0000000
300.0	1.0000000	0.0355729	0.4636736	0.9671552	0.0007109	0.0944475	0.0690132	0.9326813	1.0000000	1.0000000
350.0	1.0000000	0.0285003	0.4939608	0.9858715	0.0002805	0.0771829	0.0398207	0.9682167	1.0000000	1.0000000
400.0	1.0000000	0.0260140	0.5129098	0.9940379	0.0001090	0.0683186	0.0262728	0.9826485	1.0000000	1.0000000
450.0	1.0000000	0.0251618	0.5238130	0.9974671	0.0000419	0.0639162	0.0201690	0.9880977	1.0000000	1.0000000
500.0	1.0000000	0.0248748	0.5297349	0.9988759	0.0000159	0.0617804	0.0174605	0.9900692	1.0000000	1.0000000
550.0	1.0000000	0.0247793	0.5328190	0.9994470	0.0000060	0.0607620	0.0162684	0.9907639	1.0000000	1.0000000
600.0	1.0000000	0.0247478	0.5343750	0.9996767	0.0000023	0.0602828	0.0157461	0.9910043	1.0000000	1.0000000
650.0	1.0000000	0.0247375	0.5351409	0.9997685	0.0000008	0.0600596	0.0155178	0.9910865	1.0000000	1.0000000
700.0	1.0000000	0.0247342	0.5355104	0.9998051	0.0000003	0.0599566	0.0154181	0.9911142	1.0000000	1.0000000
750.0	1.0000000	0.0247331	0.5356859	0.9998197	0.0000001	0.0599093	0.0153747	0.9911235	1.0000000	1.0000000
800.0	1.0000000	0.0247327	0.5357681	0.9998254	0.0000000	0.0598878	0.0153557	0.9911266	1.0000000	1.0000000
850.0	1.0000000	0.0247326	0.5358063	0.9998277	0.0000000	0.0598780	0.0153475	0.9911277	1.0000000	1.0000000
900.0	1.0000000	0.0247326	0.5358238	0.9998286	0.0000000	0.0598736	0.0153439	0.9911280	1.0000000	1.0000000
950.0	1.0000000	0.0247326	0.5358317	0.9998290	0.0000000	0.0598716	0.0153423	0.9911281	1.0000000	1.0000000
1000.0	1.0000000	0.0247326	0.5358353	0.9998291	0.0000000	0.0598707	0.0153416	0.9911281	1.0000000	1.0000000

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.5764022	0.2619364	0.6565315	0.0521909	0.2807513	0.4773807	0.4802479	1.0000000	1.0000000
100.0	1.0000000	0.5882012	0.3031179	0.6522366	0.0446077	0.1657482	0.4752293	0.4625412	1.0000000	1.0000000
150.0	1.0000000	0.5259824	0.3257892	0.6494448	0.0469066	0.0896586	0.4755428	0.4577751	1.0000000	1.0000000
200.0	1.0000000	0.5431670	0.3390404	0.6676164	0.0588276	0.0460770	0.4596473	0.4736832	1.0000000	1.0000000
250.0	1.0000000	0.6570550	0.3538256	0.6641803	0.0668325	0.0228983	0.4626842	0.4637652	1.0000000	1.0000000
300.0	1.0000000	0.7618688	0.3612241	0.6221109	0.0698956	0.0111142	0.4962478	0.4220928	1.0000000	1.0000000
350.0	1.0000000	0.8247604	0.3499523	0.5683281	0.0708253	0.0053013	0.5358952	0.3791602	1.0000000	1.0000000
400.0	1.0000000	0.8518459	0.3216646	0.5225861	0.0665641	0.0024952	0.5663903	0.3498148	1.0000000	1.0000000
450.0	1.0000000	0.8350583	0.2850800	0.4906855	0.0564025	0.0011621	0.5848906	0.3352279	1.0000000	1.0000000
500.0	1.0000000	0.7440125	0.2486651	0.4787039	0.0454043	0.0005367	0.5905294	0.3374509	1.0000000	1.0000000
550.0	1.0000000	0.5873592	0.2212765	0.5028025	0.0414483	0.0002462	0.5755045	0.3667890	1.0000000	1.0000000
600.0	1.0000000	0.4884940	0.2159579	0.5725358	0.0489743	0.0001123	0.5269317	0.4273973	1.0000000	1.0000000
650.0	1.0000000	0.5325427	0.2431299	0.6425297	0.0543411	0.0000510	0.4719561	0.4765920	1.0000000	1.0000000
700.0	1.0000000	0.5913651	0.2869145	0.6600896	0.0479933	0.0000230	0.4588672	0.4745087	1.0000000	1.0000000
750.0	1.0000000	0.5573193	0.3190681	0.6508135	0.0448211	0.0000104	0.4687146	0.4584722	1.0000000	1.0000000
800.0	1.0000000	0.5273367	0.3351292	0.6588895	0.0532150	0.0000047	0.4644975	0.4656184	1.0000000	1.0000000
850.0	1.0000000	0.6065507	0.3482733	0.6675851	0.0639924	0.0000021	0.4588235	0.4697617	1.0000000	1.0000000
900.0	1.0000000	0.7213621	0.3590909	0.6406174	0.0687869	0.0000009	0.4817463	0.4397285	1.0000000	1.0000000
950.0	1.0000000	0.8016026	0.3555842	0.5896801	0.0705887	0.0000004	0.5206677	0.3956691	1.0000000	1.0000000
1000.0	1.0000000	0.8428035	0.3336407	0.5400838	0.0685468	0.0000002	0.5551873	0.3606104	1.0000000	1.0000000

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.5764022	0.2619364	0.6565315	0.0521909	0.3490781	0.3454229	0.4802479	1.0000000	1.0000000
100.0	1.0000000	0.5882012	0.3031179	0.6522366	0.0446077	0.3701943	0.1775847	0.4625412	1.0000000	1.0000000
150.0	1.0000000	0.5259824	0.3257892	0.6494448	0.0469066	0.4066304	0.0835542	0.4577751	1.0000000	1.0000000
200.0	1.0000000	0.5431670	0.3390404	0.6676164	0.0588276	0.4025934	0.0378073	0.4736832	1.0000000	1.0000000
250.0	1.0000000	0.6570550	0.3538256	0.6641803	0.0668325	0.4234056	0.0167877	0.4637652	1.0000000	1.0000000
300.0	1.0000000	0.7618688	0.3612241	0.6221109	0.0698956	0.5226250	0.0073837	0.4220928	1.0000000	1.0000000
350.0	1.0000000	0.8247604	0.3499523	0.5683281	0.0708253	0.6502326	0.0032317	0.3791602	1.0000000	1.0000000
400.0	1.0000000	0.8518459	0.3216646	0.5225861	0.0665641	0.7570159	0.0014108	0.3498148	1.0000000	1.0000000
450.0	1.0000000	0.8350583	0.2850800	0.4906855	0.0564025	0.8287538	0.0006151	0.3352279	1.0000000	1.0000000
500.0	1.0000000	0.7440125	0.2486651	0.4787039	0.0454043	0.8636155	0.0002680	0.3374509	1.0000000	1.0000000
550.0	1.0000000	0.5873592	0.2212765	0.5028025	0.0414483	0.8410981	0.0001167	0.3667890	1.0000000	1.0000000
600.0	1.0000000	0.4884940	0.2159579	0.5725358	0.0489743	0.7175792	0.0000508	0.4273973	1.0000000	1.0000000
650.0	1.0000000	0.5325427	0.2431299	0.6425297	0.0543411	0.5587651	0.0000221	0.4765920	1.0000000	1.0000000
700.0	1.0000000	0.5913651	0.2869145	0.6600896	0.0479933	0.4842191	0.0000096	0.4745087	1.0000000	1.0000000
750.0	1.0000000	0.5573193	0.3190681	0.6508135	0.0448211	0.4836107	0.0000042	0.4584722	1.0000000	1.0000000
800.0	1.0000000	0.5273367	0.3351292	0.6588895	0.0532150	0.4678227	0.0000018	0.4656184	1.0000000	1.0000000
850.0	1.0000000	0.6065507	0.3482733	0.6675851	0.0639924	0.4471752	0.0000008	0.4697617	1.0000000	1.0000000
900.0	1.0000000	0.7213621	0.3590909	0.6406174	0.0687869	0.4996371	0.0000003	0.4397285	1.0000000	1.0000000
950.0	1.0000000	0.8016026	0.3555842	0.5896801	0.0705887	0.6117367	0.0000002	0.3956691	1.0000000	1.0000000
1000.0	1.0000000	0.8428035	0.3336407	0.5400838	0.0685468	0.7234840	0.0000001	0.3606104	1.0000000	1.0000000

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.5764022	0.2619364	0.6565315	0.0521909	0.3475460	0.4777462	0.2670938	1.0000000	1.0000000
100.0	1.0000000	0.5882012	0.3031179	0.6522366	0.0446077	0.3525636	0.4769102	0.0967903	1.0000000	1.0000000
