"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.0000002	0.0247328	0.8008997	0.9998257	0.7062888	0.0598860	0.0153546	0.9911259	1.0000000	1.0000000
1.0000000	0.0000001	0.8009349	0.9999976	0.7063138	0.0598833	0.0152653	0.9999999	1.0000000	1.0000000
1.0000000	0.7151594	0.0000000	0.7371280	0.0550734	0.2626360	0.3598020	0.5273513	1.0000000	1.0000000
1.0000000	0.9997381	0.3298130	0.0000000	0.2803240	0.4797229	0.6528862	0.2845028	1.0000000	1.0000000
1.0000000	0.0247327	0.5357681	0.9998254	0.0000000	0.0598878	0.0153557	0.9911266	1.0000000	1.0000000
1.0000000	0.5421630	0.3256322	0.6518297	0.0464436	0.0000000	0.4687712	0.4588014	1.0000000	1.0000000
1.0000000	0.5421630	0.3256322	0.6518297	0.0464436	0.4803783	0.0000000	0.4588014	1.0000000	1.0000000
1.0000000	0.5421630	0.3256322	0.6518297	0.0464436	0.3596265	0.4768216	0.0000000	1.0000000	1.0000000
1.0000000	0.7340976	0.2273301	0.5132131	0.0581265	0.4725404	0.5895261	0.3711935	0.0000000	1.0000000
1.0000000	0.7065916	0.0996439	0.7452094	0.0573320	0.2552732	0.3525308	0.5362194	1.0000000	0.0000000
