"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.6250900	0.9751722	0.7106280	0.4307240	0.5056328	0.9072021	0.8632990	0.2907489	0.9278939	0.3442606
1.0000000	0.9752651	0.9637861	0.0630341	0.9004794	0.4338410	0.6246037	0.2907293	1.0000000	0.8925134
1.0000000	0.9752654	0.7303196	0.1817744	0.7866369	0.3726811	0.9667091	0.2907248	1.0000000	1.0000000
1.0000000	0.4157153	0.0794541	0.5173904	0.0454589	0.3566015	0.4787279	0.3139634	0.7191822	0.5264983
1.0000000	0.6776789	0.4612337	0.8643078	0.0725275	0.4356460	0.2080261	0.6399191	0.6580605	1.0000000
0.9001955	0.9677199	0.9446454	0.7846755	0.1458029	0.3119444	0.9079336	0.2927061	1.0000000	1.0000000
0.9743768	0.9991114	0.5641342	0.5349442	0.2114339	0.4602493	0.6328659	0.2846575	0.7284813	0.5423997
1.0000000	0.3579205	0.2534295	0.6148819	0.0418931	0.0364222	0.2207817	0.3337800	0.7799067	1.0000000
0.9477368	0.9999992	0.8139465	0.1944682	0.8672426	0.3083197	0.9205709	0.2844348	1.0000000	0.7297052
0.9817111	0.2730522	0.2716009	0.9161498	0.0067814	0.5842569	0.2348134	0.3546588	1.0000000	0.4906402
