"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	0.8755797	0.6226406	0.3144426	0.5866076	0.1150874	0.4752212	0.4760359	0.4783191	0.9707646	0.7599238
100.0	0.7435233	0.7970949	0.4068228	0.4870399	0.1959630	0.6386266	0.5036109	0.4348344	0.9451359	0.5269784
150.0	0.6743218	0.8997486	0.4680957	0.3947494	0.2781778	0.7652148	0.5877682	0.3743482	0.9340543	0.4153068
200.0	0.6442338	0.9458684	0.5213951	0.3416964	0.3580108	0.8410948	0.6824004	0.3318152	0.9299876	0.3703502
250.0	0.6322404	0.9643329	0.5728572	0.3253655	0.4279095	0.8802726	0.7570503	0.3089783	0.9285887	0.3535538
300.0	0.6276909	0.9712861	0.6190737	0.3330984	0.4791933	0.8982035	0.8057126	0.2983194	0.9281217	0.3475139
350.0	0.6260188	0.9738118	0.6560825	0.3526595	0.5083397	0.9054091	0.8340200	0.2937478	0.9279681	0.3453878
400.0	0.6254173	0.9747089	0.6823105	0.3750322	0.5197442	0.9077823	0.8492592	0.2918950	0.9279180	0.3446487
450.0	0.6252042	0.9750222	0.6986889	0.3948589	0.5209395	0.9082367	0.8569710	0.2911739	0.9279017	0.3443937
500.0	0.6251295	0.9751293	0.7075662	0.4098915	0.5179669	0.9080668	0.8606531	0.2909018	0.9278964	0.3443061
550.0	0.6251036	0.9751640	0.7115334	0.4199677	0.5141783	0.9077813	0.8623027	0.2908018	0.9278947	0.3442761
600.0	0.6250946	0.9751738	0.7127166	0.4259795	0.5109448	0.9075436	0.8629844	0.2907660	0.9278942	0.3442658
650.0	0.6250915	0.9751753	0.7125626	0.4291208	0.5086023	0.9073827	0.8632335	0.2907537	0.9278940	0.3442623
700.0	0.6250905	0.9751744	0.7119196	0.4304699	0.5070683	0.9072854	0.8633046	0.2907499	0.9278939	0.3442611
750.0	0.6250901	0.9751732	0.7112158	0.4308300	0.5061436	0.9072308	0.8633109	0.2907489	0.9278939	0.3442607
800.0	0.6250900	0.9751722	0.7106280	0.4307240	0.5056328	0.9072021	0.8632990	0.2907489	0.9278939	0.3442606
850.0	0.6250900	0.9751715	0.7102004	0.4304535	0.5053811	0.9071878	0.8632858	0.2907490	0.9278939	0.3442605
900.0	0.6250899	0.9751711	0.7099186	0.4301706	0.5052793	0.9071810	0.8632758	0.2907492	0.9278939	0.3442605
950.0	0.6250899	0.9751708	0.7097482	0.4299375	0.5052559	0.9071781	0.8632694	0.2907493	0.9278939	0.3442605
1000.0	0.6250899	0.9751707	0.7096545	0.4297691	0.5052677	0.9071769	0.8632657	0.2907494	0.9278939	0.3442605

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.6376860	0.4068906	0.4556759	0.1565315	0.3373847	0.4754002	0.4772252	1.0000000	0.9606474
100.0	1.0000000	0.8153412	0.6250673	0.2512386	0.3429834	0.3517890	0.4913141	0.4297645	1.0000000	0.9224637
150.0	1.0000000	0.9108129	0.7710996	0.1375699	0.5551255	0.3997397	0.5341916	0.3686550	1.0000000	0.9041588
200.0	1.0000000	0.9512582	0.8585421	0.0880676	0.7197047	0.4344772	0.5717642	0.3278023	1.0000000	0.8967896
250.0	1.0000000	0.9667228	0.9081998	0.0695606	0.8153040	0.4491799	0.5972273	0.3066999	1.0000000	0.8940364
300.0	1.0000000	0.9723135	0.9352624	0.0636491	0.8627963	0.4510917	0.6123346	0.2971708	1.0000000	0.8930464
350.0	1.0000000	0.9742658	0.9495238	0.0622397	0.8844764	0.4475648	0.6202440	0.2932069	1.0000000	0.8926979
400.0	1.0000000	0.9749320	0.9568362	0.0622048	0.8938870	0.4429547	0.6237895	0.2916474	1.0000000	0.8925767
450.0	1.0000000	0.9751558	0.9605014	0.0624668	0.8978402	0.4391263	0.6250263	0.2910584	1.0000000	0.8925349
500.0	1.0000000	0.9752300	0.9623036	0.0627110	0.8994630	0.4365274	0.6252200	0.2908427	1.0000000	0.8925206
550.0	1.0000000	0.9752545	0.9631751	0.0628777	0.9001175	0.4349937	0.6250430	0.2907656	1.0000000	0.8925156
600.0	1.0000000	0.9752625	0.9635905	0.0629779	0.9003775	0.4341971	0.6248007	0.2907386	1.0000000	0.8925140
650.0	1.0000000	0.9752651	0.9637861	0.0630341	0.9004794	0.4338410	0.6246037	0.2907293	1.0000000	0.8925134
700.0	1.0000000	0.9752659	0.9638771	0.0630642	0.9005187	0.4337162	0.6244734	0.2907262	1.0000000	0.8925132
750.0	1.0000000	0.9752662	0.9639190	0.0630798	0.9005337	0.4336963	0.6243985	0.2907251	1.0000000	0.8925131
800.0	1.0000000	0.9752663	0.9639382	0.0630877	0.9005392	0.4337143	0.6243607	0.2907247	1.0000000	0.8925131
850.0	1.0000000	0.9752663	0.9639469	0.0630917	0.9005412	0.4337391	0.6243445	0.2907246	1.0000000	0.8925131
900.0	1.0000000	0.9752663	0.9639508	0.0630936	0.9005419	0.4337595	0.6243392	0.2907246	1.0000000	0.8925131
950.0	1.0000000	0.9752663	0.9639525	0.0630945	0.9005421	0.4337731	0.6243388	0.2907246	1.0000000	0.8925131
1000.0	1.0000000	0.9752663	0.9639533	0.0630949	0.9005422	0.4337810	0.6243400	0.2907246	1.0000000	0.8925131

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.6334943	0.2848649	0.4993995	0.1358212	0.3529348	0.5973986	0.4775631	1.0000000	1.0000000
100.0	1.0000000	0.8111121	0.3418861	0.3267936	0.2385335	0.3696494	0.7385673	0.4311051	1.0000000	1.0000000
150.0	1.0000000	0.9085231	0.3889114	0.2124073	0.3359103	0.3949369	0.8431054	0.3700225	1.0000000	1.0000000
200.0	1.0000000	0.9502438	0.4449868	0.1526186	0.4480507	0.4038153	0.9045318	0.3286965	1.0000000	1.0000000
250.0	1.0000000	0.9663151	0.5098682	0.1284152	0.5649849	0.4007611	0.9368636	0.3071742	1.0000000	1.0000000
300.0	1.0000000	0.9721583	0.5741078	0.1249813	0.6662219	0.3935420	0.9528527	0.2973938	1.0000000	1.0000000
350.0	1.0000000	0.9742084	0.6289842	0.1323967	0.7392206	0.3865255	0.9604437	0.2933039	1.0000000	1.0000000
400.0	1.0000000	0.9749110	0.6705688	0.1439737	0.7833401	0.3812053	0.9639406	0.2916874	1.0000000	1.0000000
450.0	1.0000000	0.9751479	0.6991211	0.1555750	0.8048816	0.3776527	0.9655124	0.2910742	1.0000000	1.0000000
500.0	1.0000000	0.9752269	0.7170184	0.1651775	0.8115581	0.3754625	0.9662035	0.2908489	1.0000000	1.0000000
550.0	1.0000000	0.9752530	0.7271371	0.1722129	0.8099772	0.3741857	0.9665009	0.2907681	1.0000000	1.0000000
600.0	1.0000000	0.9752615	0.7320576	0.1768913	0.8048997	0.3734721	0.9666259	0.2907396	1.0000000	1.0000000
650.0	1.0000000	0.9752643	0.7338064	0.1797216	0.7992371	0.3730862	0.9666772	0.2907298	1.0000000	1.0000000
700.0	1.0000000	0.9752651	0.7338387	0.1812476	0.7944251	0.3728831	0.9666975	0.2907265	1.0000000	1.0000000
750.0	1.0000000	0.9752654	0.7331119	0.1819338	0.7909282	0.3727787	0.9667052	0.2907253	1.0000000	1.0000000
800.0	1.0000000	0.9752654	0.7321916	0.1821314	0.7886858	0.3727260	0.9667080	0.2907250	1.0000000	1.0000000
850.0	1.0000000	0.9752654	0.7313643	0.1820815	0.7874228	0.3726999	0.9667088	0.2907249	1.0000000	1.0000000
900.0	1.0000000	0.9752654	0.7307375	0.1819346	0.7868281	0.3726872	0.9667090	0.2907248	1.0000000	1.0000000
950.0	1.0000000	0.9752654	0.7303196	0.1817744	0.7866369	0.3726811	0.9667091	0.2907248	1.0000000	1.0000000
1000.0	1.0000000	0.9752654	0.7300734	0.1816395	0.7866567	0.3726782	0.9667090	0.2907248	1.0000000	1.0000000

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.5584981	0.2418913	0.6287427	0.0484750	0.3334453	0.4721642	0.4226475	0.8861424	0.8266438
100.0	1.0000000	0.5194082	0.2290621	0.6034445	0.0398334	0.3084326	0.4566455	0.3691692	0.7863314	0.6584367
150.0	1.0000000	0.4185129	0.1892626	0.6098065	0.0438979	0.2723107	0.4279868	0.3696888	0.7431740	0.5778000
200.0	1.0000000	0.4480661	0.1548709	0.6489328	0.0582095	0.2089695	0.3750218	0.4019437	0.7273359	0.5453374
250.0	1.0000000	0.5794635	0.1378568	0.6476437	0.0551187	0.1882834	0.3683883	0.3902382	0.7218879	0.5332089
300.0	1.0000000	0.5941308	0.1251272	0.5963026	0.0407012	0.2424512	0.4113425	0.3457190	0.7200694	0.5288475
350.0	1.0000000	0.4489949	0.1081897	0.5735519	0.0371260	0.2806266	0.4331879	0.3369085	0.7194713	0.5273123
400.0	1.0000000	0.3898606	0.0966014	0.6222924	0.0578730	0.2354934	0.3867773	0.3873141	0.7192761	0.5267786
450.0	1.0000000	0.5565953	0.1017918	0.6567537	0.0671915	0.1852829	0.3512981	0.4068741	0.7192127	0.5265945
500.0	1.0000000	0.6774033	0.1101967	0.6054937	0.0494526	0.2321453	0.3963893	0.3538480	0.7191921	0.5265312
550.0	1.0000000	0.5737134	0.1041486	0.5402869	0.0343125	0.3138839	0.4527948	0.3093762	0.7191854	0.5265096
600.0	1.0000000	0.3865122	0.0895384	0.5564522	0.0444103	0.3144800	0.4448743	0.3366517	0.7191832	0.5265022
650.0	1.0000000	0.4576878	0.0875219	0.6312497	0.0727624	0.2356702	0.3742934	0.4015896	0.7191826	0.5264996
700.0	1.0000000	0.6601128	0.1016823	0.6303439	0.0655458	0.2167131	0.3749503	0.3820122	0.7191823	0.5264988
750.0	1.0000000	0.7062281	0.1072787	0.5535033	0.0429093	0.2950173	0.4383657	0.3169655	0.7191823	0.5264985
800.0	1.0000000	0.5192063	0.0949962	0.5071591	0.0335233	0.3578002	0.4803358	0.2935511	0.7191822	0.5264984
850.0	1.0000000	0.3810219	0.0811014	0.5608504	0.0564979	0.3165437	0.4403322	0.3496266	0.7191822	0.5264983
900.0	1.0000000	0.5441342	0.0866265	0.6282661	0.0767389	0.2355785	0.3786487	0.3968311	0.7191822	0.5264983
950.0	1.0000000	0.7153522	0.1018131	0.5946994	0.0589432	0.2549021	0.4073728	0.3521457	0.7191822	0.5264983
1000.0	1.0000000	0.6784342	0.1015594	0.5174309	0.0378854	0.3356516	0.4685719	0.2947556	0.7191822	0.5264983

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.5633626	0.2472263	0.6563751	0.0408232	0.3992217	0.4737507	0.4801812	0.8613606	1.0000000
100.0	1.0000000	0.4631802	0.2681252	0.6667233	0.0230109	0.4564865	0.4583450	0.4780458	0.7398251	1.0000000
150.0	1.0000000	0.2982546	0.2836587	0.7199108	0.0147719	0.4702837	0.4048595	0.5335999	0.6872742	1.0000000
200.0	1.0000000	0.1982372	0.3110704	0.8120583	0.0171667	0.4467336	0.2945684	0.6468149	0.6679889	1.0000000
250.0	1.0000000	0.1630978	0.3538306	0.8907817	0.0318665	0.4212681	0.1865058	0.7548101	0.6613551	1.0000000
300.0	1.0000000	0.2712483	0.3997054	0.9343899	0.0597824	0.4039502	0.1194017	0.8025462	0.6591407	1.0000000
350.0	1.0000000	0.5436304	0.4382258	0.9072173	0.0686690	0.4048137	0.1520911	0.7118986	0.6584125	1.0000000
400.0	1.0000000	0.7233674	0.4546399	0.7942336	0.0609086	0.4823860	0.2923483	0.5491109	0.6581748	1.0000000
450.0	1.0000000	0.7664044	0.4354976	0.6792717	0.0544687	0.5855756	0.4323711	0.4343155	0.6580976	1.0000000
500.0	1.0000000	0.7294643	0.3849670	0.6057187	0.0485447	0.6460830	0.5343620	0.3849241	0.6580725	1.0000000
550.0	1.0000000	0.6380346	0.3240382	0.5753936	0.0393984	0.6623135	0.5943330	0.3814126	0.6580644	1.0000000
600.0	1.0000000	0.4836638	0.2741927	0.5936348	0.0280664	0.6436421	0.6039176	0.4161953	0.6580618	1.0000000
650.0	1.0000000	0.3200887	0.2533420	0.6716827	0.0188183	0.5847719	0.5392833	0.4994798	0.6580609	1.0000000
700.0	1.0000000	0.2125196	0.2730242	0.7813091	0.0144720	0.5113134	0.4024526	0.6211878	0.6580606	1.0000000
750.0	1.0000000	0.1605373	0.3217104	0.8730923	0.0187887	0.4554623	0.2587068	0.7368639	0.6580606	1.0000000
800.0	1.0000000	0.1603231	0.3754754	0.9300375	0.0399522	0.4211963	0.1549198	0.8135600	0.6580605	1.0000000
850.0	1.0000000	0.3585539	0.4218619	0.9486048	0.0708845	0.4027278	0.1092043	0.8094560	0.6580605	1.0000000
900.0	1.0000000	0.6370477	0.4545475	0.8800192	0.0709200	0.4237631	0.1912005	0.6632704	0.6580605	1.0000000
950.0	1.0000000	0.7777062	0.4585297	0.7499636	0.0616759	0.5264784	0.3464448	0.4989765	0.6580605	1.0000000
1000.0	1.0000000	0.7945678	0.4244937	0.6421763	0.0547896	0.6196234	0.4791789	0.4024363	0.6580605	1.0000000

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	0.9668782	0.5541377	0.4110260	0.6588528	0.0498840	0.3323176	0.5596511	0.4816694	1.0000000	1.0000000
100.0	0.9317235	0.5835700	0.6354817	0.6774519	0.0740237	0.3007982	0.6445093	0.4731115	1.0000000	1.0000000
150.0	0.9133014	0.7251918	0.7796747	0.6969203	0.1125672	0.2974169	0.7145999	0.4458513	1.0000000	1.0000000
200.0	0.9052917	0.8520762	0.8591827	0.7151851	0.1337919	0.3153020	0.7817577	0.3946261	1.0000000	1.0000000
250.0	0.9020989	0.9194868	0.9005179	0.7342506	0.1422311	0.3297577	0.8347068	0.3482945	1.0000000	1.0000000
300.0	0.9008878	0.9490570	0.9215980	0.7512624	0.1450706	0.3338049	0.8687980	0.3193495	1.0000000	1.0000000
350.0	0.9004427	0.9608618	0.9324043	0.7639723	0.1458623	0.3311246	0.8881908	0.3044262	1.0000000	1.0000000
400.0	0.9002826	0.9653116	0.9380468	0.7724175	0.1459997	0.3261419	0.8983988	0.2975529	1.0000000	1.0000000
450.0	0.9002258	0.9669173	0.9410590	0.7776440	0.1459661	0.3213721	0.9034926	0.2946144	1.0000000	1.0000000
500.0	0.9002059	0.9674722	0.9426990	0.7807462	0.1459091	0.3177177	0.9059343	0.2934248	1.0000000	1.0000000
550.0	0.9001990	0.9676534	0.9436054	0.7825440	0.1458646	0.3152367	0.9070667	0.2929643	1.0000000	1.0000000
600.0	0.9001967	0.9677073	0.9441112	0.7835725	0.1458357	0.3136798	0.9075766	0.2927933	1.0000000	1.0000000
650.0	0.9001958	0.9677202	0.9443951	0.7841570	0.1458185	0.3127564	0.9077999	0.2927326	1.0000000	1.0000000
700.0	0.9001956	0.9677214	0.9445551	0.7844882	0.1458085	0.3122320	0.9078947	0.2927123	1.0000000	1.0000000
750.0	0.9001955	0.9677199	0.9446454	0.7846755	0.1458029	0.3119444	0.9079336	0.2927061	1.0000000	1.0000000
800.0	0.9001954	0.9677183	0.9446964	0.7847815	0.1457998	0.3117912	0.9079489	0.2927046	1.0000000	1.0000000
850.0	0.9001954	0.9677172	0.9447252	0.7848414	0.1457980	0.3117115	0.9079545	0.2927045	1.0000000	1.0000000
900.0	0.9001954	0.9677164	0.9447415	0.7848753	0.1457970	0.3116711	0.9079563	0.2927047	1.0000000	1.0000000
950.0	0.9001954	0.9677160	0.9447508	0.7848945	0.1457965	0.3116509	0.9079568	0.2927049	1.0000000	1.0000000
1000.0	0.9001954	0.9677158	0.9447560	0.7849053	0.1457962	0.3116410	0.9079569	0.2927050	1.0000000	1.0000000

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	0.9914965	0.5795232	0.3210420	0.6561057	0.0479039	0.3419178	0.4738374	0.4794363	0.8899127	0.8324655
100.0	0.9824711	0.5874496	0.4188889	0.6561612	0.0520414	0.3380732	0.4672605	0.4626436	0.7934068	0.6699073
150.0	0.9777416	0.6668206	0.4640533	0.6508085	0.0864908	0.3543749	0.4740759	0.4465741	0.7516785	0.5919785
200.0	0.9756852	0.8171906	0.4848740	0.6237819	0.1232960	0.3950742	0.5027003	0.4089718	0.7363649	0.5606061
250.0	0.9748655	0.9170876	0.4994223	0.5808221	0.1490714	0.4412925	0.5442685	0.3601694	0.7310974	0.5488849
300.0	0.9745546	0.9651581	0.5111490	0.5454995	0.1662606	0.4699878	0.5807640	0.3236288	0.7293390	0.5446700
350.0	0.9744403	0.9854486	0.5206056	0.5249239	0.1782313	0.4802830	0.6063622	0.3028315	0.7287607	0.5431864
400.0	0.9743992	0.9935310	0.5284265	0.5159101	0.1868664	0.4796348	0.6217866	0.2926299	0.7285720	0.5426706
450.0	0.9743846	0.9966998	0.5350890	0.5137045	0.1931770	0.4747384	0.6297665	0.2880465	0.7285107	0.5424926
500.0	0.9743795	0.9979663	0.5408022	0.5148825	0.1978135	0.4694499	0.6331591	0.2860931	0.7284908	0.5424315
550.0	0.9743777	0.9985016	0.5456426	0.5174644	0.2012437	0.4653356	0.6341522	0.2852827	0.7284843	0.5424106
600.0	0.9743771	0.9987495	0.5496695	0.5204227	0.2038052	0.4626652	0.6341120	0.2849471	0.7284823	0.5424034
650.0	0.9743769	0.9988784	0.5529630	0.5232672	0.2057351	0.4611648	0.6337570	0.2848043	0.7284816	0.5424010
700.0	0.9743768	0.9989537	0.5556207	0.5257917	0.2071996	0.4604401	0.6334000	0.2847396	0.7284814	0.5424001
750.0	0.9743768	0.9990019	0.5577439	0.5279349	0.2083168	0.4601583	0.6331401	0.2847075	0.7284813	0.5423998
800.0	0.9743768	0.9990349	0.5594275	0.5297054	0.2091722	0.4600939	0.6329823	0.2846897	0.7284813	0.5423997
850.0	0.9743768	0.9990585	0.5607551	0.5311421	0.2098288	0.4601165	0.6329004	0.2846787	0.7284813	0.5423997
900.0	0.9743768	0.9990758	0.5617977	0.5322936	0.2103339	0.4601606	0.6328655	0.2846714	0.7284813	0.5423997
950.0	0.9743768	0.9990887	0.5626138	0.5332087	0.2107230	0.4601996	0.6328555	0.2846662	0.7284813	0.5423997
1000.0	0.9743768	0.9990984	0.5632510	0.5339313	0.2110232	0.4602263	0.6328566	0.2846624	0.7284813	0.5423997

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.5461203	0.2424404	0.5861429	0.0432417	0.3329802	0.4717773	0.3753688	0.9107631	1.0000000
100.0	1.0000000	0.4371068	0.2345716	0.5256523	0.0299411	0.2950867	0.4460576	0.2933414	0.8325354	1.0000000
