"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.5763782	0.2539960	0.6565139	0.0521349	0.3470002	0.5247092	0.4802482	1.0000000	0.6794243
100.0	1.0000000	0.5835955	0.2405571	0.6516773	0.0422686	0.3466640	0.5768781	0.4627260	1.0000000	0.3683704
150.0	1.0000000	0.4706195	0.1874231	0.6519837	0.0358182	0.3454874	0.6045043	0.4635998	1.0000000	0.2192545
200.0	1.0000000	0.3619662	0.1399538	0.7023285	0.0435730	0.2948814	0.5685009	0.5169340	1.0000000	0.1592236
250.0	1.0000000	0.4276392	0.1138510	0.7658960	0.0565219	0.2244309	0.5037214	0.5746716	1.0000000	0.1367952
300.0	1.0000000	0.5570732	0.1035580	0.7635465	0.0473530	0.2051206	0.5063579	0.5517663	1.0000000	0.1287301
350.0	1.0000000	0.5051616	0.0955966	0.7158210	0.0320771	0.2455926	0.5542978	0.5012251	1.0000000	0.1258911
400.0	1.0000000	0.3291930	0.0866308	0.7226180	0.0326664	0.2473635	0.5501513	0.5208329	1.0000000	0.1249042
450.0	1.0000000	0.3161603	0.0832852	0.7945365	0.0618918	0.1944149	0.4659661	0.6116753	1.0000000	0.1245636
500.0	1.0000000	0.5525783	0.0911576	0.8178525	0.0656756	0.1607849	0.4367020	0.6143263	1.0000000	0.1244467
550.0	1.0000000	0.6693495	0.0991524	0.7350412	0.0423753	0.2280365	0.4714471	0.5145752	1.0000000	0.4449823
600.0	1.0000000	0.5015276	0.1264393	0.6581545	0.0258471	0.3167253	0.4945144	0.4543795	1.0000000	0.7560225
650.0	1.0000000	0.2871460	0.1827576	0.6941842	0.0374369	0.3031024	0.4376280	0.5113227	1.0000000	0.9051337
700.0	1.0000000	0.3703286	0.2623901	0.7901800	0.0769574	0.2251077	0.3167920	0.6215542	1.0000000	0.9651631
750.0	1.0000000	0.6430006	0.3515141	0.7931034	0.0772037	0.2023538	0.3090661	0.5870332	1.0000000	0.9875909
800.0	1.0000000	0.7980426	0.4065355	0.6968346	0.0752132	0.3088533	0.4048846	0.4717119	1.0000000	0.9956558
850.0	1.0000000	0.8703280	0.4095411	0.6022500	0.0896622	0.4231636	0.4969754	0.3869365	1.0000000	0.9984947
900.0	1.0000000	0.9201673	0.3783047	0.5363114	0.0992581	0.4873530	0.5612192	0.3407980	1.0000000	0.9994817
950.0	1.0000000	0.9487561	0.3350351	0.4891875	0.0920607	0.5104119	0.6040175	0.3162303	1.0000000	0.9998222
1000.0	1.0000000	0.9500494	0.2892206	0.4545426	0.0728723	0.5113672	0.6302841	0.3037360	1.0000000	0.9999391

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.5504532	0.2613451	0.6575000	0.0413455	0.3465699	0.4769366	0.4813002	0.9827075	1.0000000
100.0	1.0000000	0.4257833	0.3009985	0.6755192	0.0245150	0.3270063	0.4568036	0.4863101	0.9675484	1.0000000
150.0	1.0000000	0.2358404	0.3320000	0.7435600	0.0204700	0.2637495	0.3787195	0.5621399	0.9609937	1.0000000
200.0	1.0000000	0.1345856	0.3726177	0.8443256	0.0340913	0.1857600	0.2454919	0.7050933	0.9585883	1.0000000
250.0	1.0000000	0.2369420	0.4247068	0.9164642	0.0618671	0.1296947	0.1426456	0.8070362	0.9577608	1.0000000
300.0	1.0000000	0.5285481	0.4740019	0.9102748	0.0714589	0.1087007	0.1492832	0.7350437	0.9574846	1.0000000
350.0	1.0000000	0.7178805	0.5006001	0.8066203	0.0606820	0.2104876	0.2840973	0.5641769	0.9573938	1.0000000
400.0	1.0000000	0.7451895	0.4896200	0.6974678	0.0520325	0.3648262	0.4180201	0.4421631	0.9573642	1.0000000
450.0	1.0000000	0.6763789	0.4466231	0.6327163	0.0470741	0.4568551	0.4987947	0.3952223	0.9573545	1.0000000
500.0	1.0000000	0.5794095	0.3948018	0.6152343	0.0428317	0.4768885	0.5293431	0.4020390	0.9573514	1.0000000
550.0	1.0000000	0.5432238	0.3581667	0.6364318	0.0661623	0.4416639	0.5169681	0.4384619	0.9746429	1.0000000
600.0	1.0000000	0.6923232	0.3511640	0.6447968	0.0813586	0.4108255	0.5052972	0.4471809	0.9898017	1.0000000
650.0	1.0000000	0.8223691	0.3534321	0.6003822	0.0778771	0.4329293	0.5313923	0.4051042	0.9963562	1.0000000
700.0	1.0000000	0.8760847	0.3383233	0.5412850	0.0711903	0.4679417	0.5691372	0.3594570	0.9987616	1.0000000
750.0	1.0000000	0.8726924	0.3044213	0.4960398	0.0619876	0.4893590	0.5993077	0.3329994	0.9995891	1.0000000
800.0	1.0000000	0.8099883	0.2638927	0.4719008	0.0502572	0.4953941	0.6163571	0.3267221	0.9998653	1.0000000
850.0	1.0000000	0.6691638	0.2283959	0.4775184	0.0419852	0.4890067	0.6155712	0.3434901	0.9999561	1.0000000
900.0	1.0000000	0.5218177	0.2095345	0.5290847	0.0446668	0.4595534	0.5838817	0.3927163	0.9999857	1.0000000
950.0	1.0000000	0.5038144	0.2211111	0.6091346	0.0536634	0.3959931	0.5216044	0.4559398	0.9999954	1.0000000
1000.0	1.0000000	0.5766278	0.2610693	0.6534285	0.0513068	0.3507699	0.4804524	0.4774070	0.9999985	1.0000000

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.6197683	0.2538325	0.6522002	0.0421507	0.3512984	0.5224649	0.4757868	1.0000000	0.6988651
100.0	1.0000000	0.6425936	0.2393803	0.6313795	0.0246613	0.3661130	0.5798959	0.4449622	1.0000000	0.4066746
150.0	1.0000000	0.5824520	0.1832182	0.6118748	0.0136607	0.3843856	0.6198998	0.4306957	1.0000000	0.2666016
200.0	1.0000000	0.5352760	0.1310562	0.6225462	0.0081645	0.3755136	0.6248067	0.4454333	1.0000000	0.2102111
250.0	1.0000000	0.5122580	0.0969645	0.6486388	0.0058760	0.3474856	0.6089439	0.4684782	1.0000000	0.1891429
300.0	1.0000000	0.5028138	0.0778790	0.6731054	0.0049251	0.3168289	0.5890328	0.4861826	1.0000000	0.1815668
350.0	1.0000000	0.4992539	0.0680591	0.6898781	0.0044153	0.2927156	0.5732782	0.4963930	1.0000000	0.1789000
400.0	1.0000000	0.4979753	0.0632519	0.6996106	0.0040701	0.2768491	0.5631226	0.5013918	1.0000000	0.1779729
450.0	1.0000000	0.4975294	0.0609625	0.7047025	0.0038272	0.2675458	0.5573018	0.5035936	1.0000000	0.1776531
500.0	1.0000000	0.4973767	0.0598840	0.7071871	0.0036659	0.2625223	0.5542028	0.5044954	1.0000000	0.1775432
550.0	1.0000000	0.3301605	0.0627350	0.7239571	0.0148255	0.2468113	0.4945817	0.5238843	1.0000000	0.4786405
600.0	1.0000000	0.2199224	0.1080057	0.8021229	0.0594830	0.1913360	0.3505315	0.6300381	1.0000000	0.7708181
650.0	1.0000000	0.4894774	0.2184476	0.8561049	0.0875969	0.1437118	0.2510224	0.6776226	1.0000000	0.9108867
700.0	1.0000000	0.7315900	0.3314126	0.7786742	0.0646307	0.2080137	0.3195037	0.5581121	1.0000000	0.9672757
750.0	1.0000000	0.7787135	0.3858377	0.6578944	0.0577300	0.3522438	0.4337679	0.4378410	1.0000000	0.9883434
800.0	1.0000000	0.7793239	0.3792010	0.5829851	0.0713502	0.4503351	0.5122690	0.3819000	1.0000000	0.9959193
850.0	1.0000000	0.8332331	0.3466706	0.5414490	0.0789723	0.4935432	0.5605475	0.3587306	1.0000000	0.9985860
900.0	1.0000000	0.8775682	0.3103251	0.5058475	0.0713296	0.5074220	0.5950082	0.3399460	1.0000000	0.9995131
950.0	1.0000000	0.8646967	0.2728864	0.4755362	0.0561771	0.5072045	0.6180304	0.3264796	1.0000000	0.9998330
1000.0	1.0000000	0.7498667	0.2362697	0.4637400	0.0430992	0.4993997	0.6262921	0.3289549	1.0000000	0.9999428

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.6736766	0.2576175	0.6483222	0.0507581	0.3555394	0.4843025	0.4718351	1.0000000	0.8253312
100.0	1.0000000	0.8177787	0.2665961	0.6031029	0.0379285	0.3931700	0.5107614	0.4194884	1.0000000	0.6558504
150.0	1.0000000	0.8651109	0.2329709	0.5345970	0.0276358	0.4476910	0.5543813	0.3660420	1.0000000	0.5746031
200.0	1.0000000	0.8686021	0.1852333	0.4836106	0.0206672	0.4816304	0.5888445	0.3372194	1.0000000	0.5418947
250.0	1.0000000	0.8631294	0.1446599	0.4551065	0.0175776	0.4945005	0.6107107	0.3266904	1.0000000	0.5296744
300.0	1.0000000	0.8589846	0.1171586	0.4419426	0.0176299	0.4953953	0.6226272	0.3243944	1.0000000	0.5252800
350.0	1.0000000	0.8571151	0.1010503	0.4367191	0.0189937	0.4917767	0.6280195	0.3245894	1.0000000	0.5237331
400.0	1.0000000	0.8567169	0.0926925	0.4348588	0.0203702	0.4876595	0.6297851	0.3250877	1.0000000	0.5231954
450.0	1.0000000	0.8570385	0.0888434	0.4341685	0.0213098	0.4845598	0.6299051	0.3253440	1.0000000	0.5230099
500.0	1.0000000	0.8575714	0.0872902	0.4337943	0.0218331	0.4826873	0.6294952	0.3253594	1.0000000	0.5229461
550.0	1.0000000	0.5738818	0.0884116	0.4501649	0.0257352	0.4773856	0.6210192	0.3408914	1.0000000	0.6975931
600.0	1.0000000	0.3589523	0.1070106	0.5625724	0.0563702	0.4107581	0.5413112	0.4418817	1.0000000	0.8670664
650.0	1.0000000	0.5372159	0.1729704	0.6841635	0.0799096	0.3077778	0.4329212	0.5311881	1.0000000	0.9483112
700.0	1.0000000	0.7323642	0.2619701	0.6742142	0.0594982	0.3129243	0.4391759	0.4860279	1.0000000	0.9810188
750.0	1.0000000	0.7112374	0.3110414	0.6039157	0.0411546	0.3895712	0.4951759	0.4155490	1.0000000	0.9932388
800.0	1.0000000	0.5380594	0.3111541	0.5819651	0.0422816	0.4328782	0.5224105	0.4060515	1.0000000	0.9976330
850.0	1.0000000	0.4954920	0.3029389	0.6295946	0.0579106	0.3989225	0.4935931	0.4557538	1.0000000	0.9991798
900.0	1.0000000	0.6189964	0.3171683	0.6626347	0.0634952	0.3595258	0.4684679	0.4755354	1.0000000	0.9997176
950.0	1.0000000	0.7165250	0.3374110	0.6350123	0.0588192	0.3832823	0.4898728	0.4399083	1.0000000	0.9999031
1000.0	1.0000000	0.7373038	0.3386988	0.5890735	0.0574184	0.4301971	0.5261509	0.4003638	1.0000000	0.9999668

0.0	1.0000000	0.4967449	0.2217202	0.6100401	0.0538859	0.3960053	0.5211596	0.4570488	1.0000000	1.0000000
50.0	1.0000000	0.5573380	0.2494731	0.4851075	0.0445550	0.3650531	0.4772775	0.4810413	1.0000000	1.0000000
100.0	1.0000000	0.4830150	0.2246540	0.3136566	0.0365041	0.3774725	0.4645242	0.4784792	1.0000000	1.0000000
150.0	1.0000000	0.3749896	0.1717153	0.2276844	0.0403818	0.3583534	0.4240025	0.5160478	1.0000000	1.0000000
200.0	1.0000000	0.3664262	0.1314311	0.2002981	0.0449866	0.3089941	0.3535287	0.5752055	1.0000000	1.0000000
250.0	1.0000000	0.4220652	0.1092727	0.1904323	0.0474932	0.2710236	0.3119033	0.5946585	1.0000000	1.0000000
300.0	1.0000000	0.4819366	0.0988363	0.1794918	0.0485655	0.2661670	0.3205948	0.5702276	1.0000000	1.0000000
350.0	1.0000000	0.5229247	0.0942448	0.1661050	0.0489465	0.2947378	0.3574307	0.5321808	1.0000000	1.0000000
400.0	1.0000000	0.5455087	0.0922091	0.1537796	0.0490829	0.3386335	0.3972731	0.5007788	1.0000000	1.0000000
450.0	1.0000000	0.5566247	0.0912537	0.1446270	0.0491636	0.3793819	0.4289094	0.4807011	1.0000000	1.0000000
500.0	1.0000000	0.5620884	0.0907837	0.1387238	0.0492335	0.4089953	0.4511304	0.4695118	1.0000000	1.0000000
550.0	1.0000000	0.6302923	0.0941623	0.2954776	0.0916790	0.4139823	0.4681015	0.4606303	1.0000000	1.0000000
600.0	1.0000000	0.7980262	0.1210148	0.4319378	0.1079434	0.4342279	0.5027366	0.4239817	1.0000000	1.0000000
650.0	1.0000000	0.8983108	0.1599790	0.4566378	0.0763828	0.4716522	0.5518178	0.3700781	1.0000000	1.0000000
700.0	1.0000000	0.8719446	0.1781660	0.4409664	0.0467354	0.4960709	0.5929307	0.3329521	1.0000000	1.0000000
750.0	1.0000000	0.6465854	0.1739226	0.4467095	0.0345317	0.4990184	0.6100466	0.3356649	1.0000000	1.0000000
800.0	1.0000000	0.4403719	0.1712382	0.5274475	0.0481951	0.4546744	0.5704002	0.4053690	1.0000000	1.0000000
850.0	1.0000000	0.5171610	0.2036179	0.6375725	0.0668198	0.3621003	0.4858153	0.4881203	1.0000000	1.0000000
900.0	1.0000000	0.6723818	0.2649898	0.6586719	0.0557292	0.3372503	0.4660608	0.4781699	1.0000000	1.0000000
950.0	1.0000000	0.6587468	0.3067943	0.6174016	0.0419497	0.3832248	0.4967399	0.4304290	1.0000000	1.0000000
1000.0	1.0000000	0.5242320	0.3141219	0.6067758	0.0438289	0.4109886	0.5100203	0.4260913	1.0000000	1.0000000
