"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	1.0000000	0.5463050	0.2465644	0.6906608	0.0600905	0.3106933	0.4771699	0.4945624	1.0000000	1.0000000
50.0	1.0000000	0.6355710	0.2708581	0.6726962	0.0439721	0.3212991	0.5547410	0.4762737	1.0000000	0.3113187
100.0	1.0000000	0.5296932	0.2033847	0.6369924	0.0326628	0.3592639	0.6100953	0.4499454	1.0000000	0.1642937
150.0	1.0000000	0.3466264	0.1391732	0.6769366	0.0347279	0.3178050	0.6038891	0.4822272	1.0000000	0.1329056
200.0	1.0000000	0.3266777	0.1073097	0.7783943	0.0593206	0.2078150	0.5234670	0.5686095	1.0000000	0.1262047
250.0	1.0000000	0.5567089	0.1000223	0.8085863	0.0590979	0.1552350	0.4753873	0.5904998	1.0000000	0.1247741
300.0	1.0000000	0.6127573	0.0970558	0.7202272	0.0311349	0.2321858	0.5340257	0.5123894	1.0000000	0.1244687
350.0	1.0000000	0.3698176	0.0878044	0.6782487	0.0212358	0.2915294	0.5795929	0.4818478	1.0000000	0.1244035
400.0	1.0000000	0.1964985	0.0797831	0.7773902	0.0489401	0.2034230	0.5138283	0.5697301	1.0000000	0.1243896
450.0	1.0000000	0.4614008	0.0857305	0.8709014	0.0904648	0.1245201	0.4064978	0.6669530	1.0000000	0.1243866
500.0	1.0000000	0.7528895	0.0996900	0.7770847	0.0478787	0.1758900	0.4646294	0.5631751	1.0000000	0.1243860
550.0	1.0000000	0.6422133	0.1083589	0.6226108	0.0196656	0.3520800	0.4961749	0.4435456	1.0000000	0.8130672
600.0	1.0000000	0.2842813	0.1655295	0.6279189	0.0186380	0.3784179	0.4917086	0.4496524	1.0000000	0.9600921
650.0	1.0000000	0.1733902	0.2413285	0.7906729	0.0710567	0.2233472	0.3622555	0.5917593	1.0000000	0.9914802
700.0	1.0000000	0.6033780	0.3415871	0.8671704	0.1014129	0.1349142	0.2550473	0.6618487	1.0000000	0.9981811
750.0	1.0000000	0.8417469	0.4202376	0.7231499	0.0666573	0.2672501	0.3548991	0.5135740	1.0000000	0.9996117
800.0	1.0000000	0.8823505	0.4312275	0.5819865	0.0839451	0.4668621	0.4755993	0.3954562	1.0000000	0.9999171
850.0	1.0000000	0.9217615	0.3933004	0.5170000	0.1050885	0.5331374	0.5497147	0.3426405	1.0000000	0.9999823
900.0	1.0000000	0.9552539	0.3434863	0.4774259	0.1007835	0.5363181	0.5968076	0.3174005	1.0000000	0.9999962
950.0	1.0000000	0.9632677	0.2955120	0.4457065	0.0773341	0.5215585	0.6271005	0.3037348	1.0000000	0.9999992
1000.0	1.0000000	0.9341932	0.2491612	0.4236135	0.0516137	0.5052382	0.6432257	0.2982354	1.0000000	0.9999998

0.0	1.0000000	0.5463050	0.2465644	0.6906608	0.0600905	0.3106933	0.4771699	0.4945624	1.0000000	1.0000000
50.0	1.0000000	0.5379823	0.3002516	0.6789777	0.0217069	0.3174009	0.4619423	0.4809495	0.9711507	1.0000000
100.0	1.0000000	0.2508137	0.3299492	0.7122851	0.0128778	0.2847339	0.4325823	0.5070539	0.9618156	1.0000000
150.0	1.0000000	0.0988487	0.3608750	0.8473987	0.0251348	0.1649554	0.2971424	0.6482968	0.9587949	1.0000000
200.0	1.0000000	0.1065402	0.4146807	0.9447458	0.0557442	0.1019919	0.1577087	0.8080996	0.9578175	1.0000000
250.0	1.0000000	0.4552432	0.4714154	0.9645390	0.0897867	0.0770355	0.0972572	0.8282728	0.9575012	1.0000000
300.0	1.0000000	0.7657679	0.5102551	0.8399375	0.0646465	0.1378058	0.2103201	0.6250679	0.9573989	1.0000000
350.0	1.0000000	0.8076812	0.5083762	0.6761245	0.0498343	0.4028054	0.3873353	0.4512157	0.9573657	1.0000000
400.0	1.0000000	0.7144873	0.4635060	0.6013539	0.0457422	0.5236092	0.4919042	0.3838257	0.9573550	1.0000000
450.0	1.0000000	0.5972553	0.4013906	0.5894615	0.0430176	0.5219390	0.5356387	0.3840298	0.9573516	1.0000000
500.0	1.0000000	0.4906138	0.3529562	0.6197701	0.0381752	0.4637982	0.5345780	0.4202853	0.9573504	1.0000000
550.0	1.0000000	0.6170843	0.3391568	0.6679183	0.0945323	0.3808468	0.4998725	0.4644128	0.9861994	1.0000000
600.0	1.0000000	0.8364055	0.3541980	0.6223116	0.0835651	0.4094094	0.5115688	0.4306364	0.9955344	1.0000000
650.0	1.0000000	0.9012067	0.3499591	0.5367547	0.0717769	0.4766464	0.5564469	0.3690756	0.9985550	1.0000000
700.0	1.0000000	0.8954953	0.3155159	0.4828469	0.0638067	0.5042120	0.5933047	0.3331730	0.9995324	1.0000000
750.0	1.0000000	0.8471408	0.2700331	0.4580563	0.0510974	0.5052094	0.6156655	0.3215891	0.9998487	1.0000000
800.0	1.0000000	0.7206109	0.2291749	0.4593234	0.0390457	0.4951378	0.6227657	0.3294645	0.9999510	1.0000000
850.0	1.0000000	0.5223120	0.2027290	0.5059087	0.0382830	0.4719527	0.6065056	0.3660718	0.9999842	1.0000000
900.0	1.0000000	0.4349705	0.2045624	0.6093118	0.0532402	0.3996667	0.5488444	0.4383558	0.9999949	1.0000000
950.0	1.0000000	0.5524378	0.2463705	0.6865595	0.0586659	0.3151635	0.4796318	0.4912368	0.9999983	1.0000000
1000.0	1.0000000	0.6267977	0.3006821	0.6692575	0.0434752	0.3294220	0.4685829	0.4737255	0.9999995	1.0000000

0.0	1.0000000	0.5463050	0.2465644	0.6906608	0.0600905	0.3106933	0.4771699	0.4945624	1.0000000	1.0000000
50.0	1.0000000	0.7100670	0.2703157	0.6555078	0.0230941	0.3400004	0.5536531	0.4636354	1.0000000	0.3530827
100.0	1.0000000	0.6049542	0.2004993	0.5985041	0.0104489	0.3978576	0.6180424	0.4234152	1.0000000	0.2149737
150.0	1.0000000	0.5295232	0.1315928	0.6075962	0.0058653	0.3911595	0.6345125	0.4327814	1.0000000	0.1854892
200.0	1.0000000	0.5058659	0.0932367	0.6462047	0.0047009	0.3495256	0.6188541	0.4612862	1.0000000	0.1791946
250.0	1.0000000	0.4995294	0.0746147	0.6778447	0.0045007	0.3090151	0.5953369	0.4836953	1.0000000	0.1778508
300.0	1.0000000	0.4978807	0.0660235	0.6955195	0.0042830	0.2826157	0.5764701	0.4959141	1.0000000	0.1775639
350.0	1.0000000	0.4974529	0.0621512	0.7037240	0.0040117	0.2685787	0.5645420	0.5014545	1.0000000	0.1775027
400.0	1.0000000	0.4973409	0.0604127	0.7071461	0.0037839	0.2620311	0.5578881	0.5037107	1.0000000	0.1774896
450.0	1.0000000	0.4973109	0.0596219	0.7084793	0.0036306	0.2592737	0.5544358	0.5045694	1.0000000	0.1774868
500.0	1.0000000	0.4973024	0.0592526	0.7089752	0.0035403	0.2582199	0.5527221	0.5048822	1.0000000	0.1774862
550.0	1.0000000	0.1460872	0.0745709	0.7758814	0.0395682	0.1982641	0.4203533	0.5660473	1.0000000	0.8244034
600.0	1.0000000	0.3079711	0.1800786	0.8999812	0.1153633	0.1179241	0.2442238	0.7204724	1.0000000	0.9625123
650.0	1.0000000	0.7685219	0.3280949	0.8461861	0.0776412	0.1238087	0.2443558	0.6361855	1.0000000	0.9919968
700.0	1.0000000	0.8575726	0.4094376	0.6461354	0.0431419	0.3714361	0.3981397	0.4563661	1.0000000	0.9982914
750.0	1.0000000	0.7644267	0.4027592	0.5478883	0.0652217	0.5109174	0.5017348	0.3758334	1.0000000	0.9996352
800.0	1.0000000	0.8092020	0.3568537	0.5274212	0.0855283	0.5308958	0.5526952	0.3593467	1.0000000	0.9999221
850.0	1.0000000	0.8853679	0.3153858	0.5022241	0.0784578	0.5238766	0.5877692	0.3449509	1.0000000	0.9999834
900.0	1.0000000	0.8972288	0.2781920	0.4688941	0.0583396	0.5137217	0.6147187	0.3275564	1.0000000	0.9999965
950.0	1.0000000	0.8149881	0.2398595	0.4496393	0.0408125	0.5017041	0.6292786	0.3209834	1.0000000	0.9999992
1000.0	1.0000000	0.6002394	0.2065637	0.4689172	0.0340356	0.4854657	0.6250870	0.3401404	1.0000000	0.9999998

0.0	1.0000000	0.5463050	0.2465644	0.6906608	0.0600905	0.3106933	0.4771699	0.4945624	1.0000000	1.0000000
50.0	1.0000000	0.8458307	0.2851462	0.6386862	0.0394951	0.3600355	0.4842848	0.4514952	1.0000000	0.6247652
100.0	1.0000000	0.8953024	0.2528824	0.5301662	0.0260102	0.4624588	0.5396697	0.3756129	1.0000000	0.5446572
150.0	1.0000000	0.8798637	0.1930397	0.4672950	0.0190718	0.5038692	0.5820486	0.3366870	1.0000000	0.5275551
200.0	1.0000000	0.8649319	0.1449098	0.4417409	0.0156422	0.5084363	0.6078172	0.3246209	1.0000000	0.5239040
250.0	1.0000000	0.8584492	0.1148597	0.4342385	0.0163572	0.5010043	0.6217978	0.3231055	1.0000000	0.5231246
300.0	1.0000000	0.8564400	0.0986158	0.4331503	0.0186198	0.4925957	0.6281347	0.3240668	1.0000000	0.5229581
350.0	1.0000000	0.8562479	0.0909064	0.4334796	0.0204823	0.4865704	0.6301725	0.3249597	1.0000000	0.5229226
400.0	1.0000000	0.8567757	0.0877643	0.4337276	0.0215351	0.4831420	0.6302550	0.3253715	1.0000000	0.5229150
450.0	1.0000000	0.8574692	0.0867312	0.4336760	0.0220105	0.4815708	0.6297215	0.3254280	1.0000000	0.5229134
500.0	1.0000000	0.8580361	0.0865099	0.4334450	0.0221933	0.4810594	0.6291756	0.3253124	1.0000000	0.5229131
550.0	1.0000000	0.2645596	0.0932719	0.5094553	0.0389453	0.4537437	0.6009079	0.3765669	1.0000000	0.8981478
600.0	1.0000000	0.3628131	0.1404597	0.7260665	0.0980584	0.2778900	0.4547535	0.5379965	1.0000000	0.9782558
650.0	1.0000000	0.7568202	0.2507156	0.7489334	0.0749853	0.2283106	0.3961212	0.5412095	1.0000000	0.9953579
700.0	1.0000000	0.8264290	0.3287376	0.6072429	0.0342861	0.3890349	0.4721954	0.4300554	1.0000000	0.9990090
750.0	1.0000000	0.5869193	0.3288632	0.5405185	0.0323791	0.4779456	0.5296315	0.3816514	1.0000000	0.9997884
800.0	1.0000000	0.4080088	0.3004232	0.6032304	0.0528834	0.4380632	0.5208454	0.4269630	1.0000000	0.9999548
850.0	1.0000000	0.5575980	0.3046316	0.6917021	0.0725554	0.3296235	0.4646258	0.4918100	1.0000000	0.9999904
900.0	1.0000000	0.7373750	0.3370004	0.6624002	0.0607391	0.3504594	0.4687512	0.4649016	1.0000000	0.9999979
950.0	1.0000000	0.7633059	0.3487600	0.5861043	0.0550017	0.4379228	0.5137106	0.4077138	1.0000000	0.9999996
1000.0	1.0000000	0.7373593	0.3298785	0.5451839	0.0578318	0.4818721	0.5490248	0.3790877	1.0000000	0.9999999

0.0	1.0000000	0.5463050	0.2465644	0.6906608	0.0600905	0.3106933	0.4771699	0.4945624	1.0000000	1.0000000
50.0	1.0000000	0.5658497	0.2560425	0.2709521	0.0303521	0.3683783	0.4632666	0.4797502	1.0000000	1.0000000
100.0	1.0000000	0.3696683	0.1818400	0.1744186	0.0363292	0.3847856	0.4525769	0.4863246	1.0000000	1.0000000
150.0	1.0000000	0.3202513	0.1282851	0.1753774	0.0457419	0.3073217	0.3805743	0.5584422	1.0000000	1.0000000
200.0	1.0000000	0.3978500	0.1048485	0.1858324	0.0484614	0.2494111	0.3094647	0.6077681	1.0000000	1.0000000
250.0	1.0000000	0.4787689	0.0960814	0.1805512	0.0491167	0.2426149	0.3016995	0.5898312	1.0000000	1.0000000
300.0	1.0000000	0.5271437	0.0929347	0.1658635	0.0491849	0.2828982	0.3395088	0.5445849	1.0000000	1.0000000
