"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.5283073	0.4812752	0.1179339	0.3002184	0.0134366	0.3203432	0.4371843	0.2494742	0.6046318	0.6600573
50.0	0.3986224	0.3953380	0.1317320	0.4249388	0.0282441	0.3394360	0.4099259	0.2184410	0.5702093	0.6871127
100.0	0.3856215	0.1727126	0.1361882	0.4094450	0.0476914	0.3640641	0.3372379	0.2493068	0.6318625	0.6461918
150.0	0.3038446	0.2111935	0.1767035	0.6011325	0.0564641	0.1641854	0.3036347	0.5084436	0.7821758	0.6752031
200.0	0.2826825	0.3548935	0.2134749	0.5091365	0.0480588	0.0794980	0.1849370	0.3721214	0.6427933	0.6825357
250.0	0.3824378	0.2258961	0.2360943	0.5629258	0.0840474	0.0636829	0.1726123	0.4515556	0.7207425	0.6796187
300.0	0.3441789	0.3130557	0.3404300	0.6828377	0.1478035	0.1285902	0.2224098	0.5051680	0.6903467	0.6083290
350.0	0.3645251	0.4593677	0.3517335	0.5234385	0.1182100	0.2134842	0.2084076	0.3938007	0.7176771	0.7386606
400.0	0.2742496	0.7367740	0.3276238	0.4089816	0.1269362	0.2714883	0.2726428	0.3245220	0.8094436	0.7023173
450.0	0.2582987	0.6221492	0.3392975	0.3834303	0.1109864	0.3755251	0.3539538	0.3217378	0.8185216	0.7465230
500.0	0.2782165	0.6934311	0.3340385	0.3575440	0.1233919	0.2979389	0.3814506	0.2392956	0.7431390	0.7900191
550.0	0.3156347	0.4368410	0.2368373	0.3132467	0.1051570	0.3908949	0.4015406	0.2075583	0.8321387	0.7671557
600.0	0.3256638	0.6136310	0.2753425	0.4044359	0.0734466	0.3764461	0.3836138	0.2416130	0.6519740	0.6761002
650.0	0.3574920	0.6540375	0.2060346	0.3233703	0.0741785	0.2989189	0.5649779	0.1929528	0.6328059	0.5918849
700.0	0.2969177	0.5948371	0.2963218	0.2413761	0.0759193	0.4353991	0.4834352	0.2084708	0.7490907	0.6490405
750.0	0.3475933	0.6293427	0.1540434	0.3838056	0.0555295	0.3815063	0.3424270	0.2087985	0.6942740	0.6411622
800.0	0.3616797	0.4729553	0.1517505	0.3366216	0.0522446	0.2777507	0.4087714	0.2026325	0.6112520	0.6923270
850.0	0.3232963	0.4529327	0.1574266	0.2642879	0.1106035	0.3854213	0.3428225	0.3371758	0.6453241	0.7506336
900.0	0.4383455	0.3299098	0.1862343	0.3489381	0.0326192	0.2656186	0.4175321	0.3184220	0.6659062	0.5589626
950.0	0.2763200	0.2411956	0.1736821	0.4901680	0.0762908	0.2015979	0.2888238	0.3811514	0.6884611	0.6095824
1000.0	0.2674390	0.1591666	0.1564271	0.5578321	0.0507907	0.1333547	0.2324050	0.3165943	0.7195935	0.6703744

0.0	0.6353836	0.3678772	0.1007113	0.4160355	0.0328055	0.3269293	0.3460008	0.4156266	0.6812707	0.7435839
50.0	0.6553908	0.3373613	0.1577824	0.3917135	0.0660852	0.2428182	0.2522971	0.3056425	0.5905551	0.6651728
