"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.3505701	0.5288190	0.1918185	0.2982740	0.0440391	0.3402643	0.3905309	0.2495527	0.7163945	0.7246907
0.6657292	0.3339024	0.4481489	0.5358491	0.1671205	0.2030112	0.3207554	0.3712641	0.6422108	0.7240022
0.7485673	0.4571240	0.1328476	0.4736531	0.0462074	0.1865036	0.2696149	0.3518036	0.7167141	0.7638556
0.6436704	0.6599195	0.2131320	0.2220601	0.0964779	0.4067624	0.4151487	0.1777908	0.6867214	0.7826207
0.7020786	0.2699999	0.2373130	0.4805617	0.0206307	0.1317954	0.2921163	0.3847572	0.7494109	0.6358585
0.8494762	0.7185282	0.3281969	0.4355239	0.1048048	0.2322335	0.3905183	0.2331451	0.6859417	0.6806796
0.7461582	0.6800695	0.2205328	0.3389288	0.0433881	0.4145588	0.2857855	0.1233825	0.7268698	0.5458435
0.6899695	0.4816114	0.1432358	0.3199641	0.0201765	0.3647804	0.3684898	0.1261269	0.7393392	0.7162572
0.9430116	0.6181296	0.1622461	0.3048208	0.0156350	0.3183760	0.4376637	0.2019025	0.3311579	0.6601182
0.7602177	0.4389298	0.0934650	0.4203118	0.0298174	0.2281893	0.3085640	0.2419358	0.6902978	0.3614221
