"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.7601325	0.6695097	0.3156509	0.4598422	0.0988571	0.3010782	0.3049632	0.2408209	0.5751426	0.5981838
50.0	0.2587381	0.6657565	0.3118252	0.3262191	0.0986730	0.4157854	0.4334148	0.2083214	0.6010078	0.7005716
100.0	0.0868842	0.6842378	0.2875392	0.2794280	0.0724001	0.3395910	0.4578055	0.2302457	0.6581952	0.7099206
150.0	0.0108155	0.2543963	0.1558312	0.3354185	0.0353080	0.3759605	0.4059635	0.2003953	0.6641980	0.7544777
200.0	0.0229813	0.0894459	0.2117548	0.4599438	0.0845904	0.2547162	0.3280252	0.3929712	0.6807415	0.6398316
250.0	0.0007968	0.0358811	0.2097750	0.5348170	0.1349529	0.1374186	0.1299775	0.4767651	0.7022203	0.7002693
300.0	0.0000000	0.0475131	0.3015232	0.7300941	0.1691723	0.0713217	0.0880383	0.5732889	0.6850577	0.6919831
350.0	0.0000000	0.0385008	0.3137681	0.7439564	0.2085658	0.0527389	0.0474981	0.7192732	0.7615896	0.7064128
400.0	0.0000000	0.0137977	0.3780007	0.6539381	0.2338734	0.0373732	0.0450403	0.6560526	0.7985417	0.6354807
450.0	0.0000000	0.0151856	0.4797639	0.8255621	0.3935623	0.0575406	0.0293514	0.5566163	0.7080394	0.6592815
500.0	0.0000000	0.0207941	0.5236945	0.8040321	0.4027151	0.0092423	0.0117194	0.7446833	0.6953937	0.7195666
550.0	0.0000000	0.0142573	0.5425224	0.6589315	0.5116904	0.0213908	0.0089854	0.6976305	0.6969218	0.6176855
600.0	0.0000000	0.0190464	0.3859829	0.7179592	0.3479999	0.0149937	0.0043885	0.6950975	0.6325869	0.5428895
650.0	0.0000000	0.0205762	0.4697937	0.6792059	0.4196967	0.0457816	0.0042210	0.6879449	0.7593549	0.5894050
700.0	0.0000000	0.0098308	0.5462372	0.6928518	0.3915356	0.0412218	0.0117718	0.6537697	0.6630219	0.6116148
750.0	0.0000000	0.0256350	0.6572983	0.7584028	0.4303735	0.0750469	0.0100926	0.6216570	0.6703149	0.6701402
800.0	0.0000000	0.0234279	0.5739483	0.8312157	0.6408258	0.0426830	0.0089096	0.7186023	0.6613405	0.6179470
850.0	0.0000000	0.0166130	0.6082769	0.6564888	0.5044382	0.0309714	0.0129679	0.7159575	0.6280826	0.5886848
900.0	0.0000000	0.0113570	0.5571655	0.7282551	0.4765357	0.0263296	0.0034095	0.6721650	0.8141790	0.7890780
950.0	0.0000000	0.0037910	0.5450367	0.7741152	0.4733236	0.0522832	0.0044535	0.7462468	0.6601598	0.7158607
1000.0	0.0000000	0.0199305	0.6061323	0.7246816	0.3717341	0.0910569	0.0109552	0.5708699	0.6932618	0.7645935

0.0	0.8661637	0.6942765	0.2137905	0.3136157	0.1208343	0.3002025	0.3807397	0.2136066	0.6541654	0.7314849
50.0	0.7888502	0.1438924	0.2052798	0.3981538	0.1064169	0.3500682	0.3462967	0.2877411	0.7048085	0.7745398
100.0	0.7002479	0.0205703	0.2569998	0.4960686	0.1242595	0.1845908	0.3793777	0.4183552	0.6981731	0.7832933
150.0	0.6125011	0.0126348	0.2380368	0.5758877	0.1398446	0.0832967	0.1840375	0.5699215	0.6128500	0.7010713
200.0	0.6820377	0.0028603	0.4073432	0.8250515	0.2806505	0.0535650	0.0955810	0.6545946	0.7114300	0.7564879
250.0	0.7529855	0.0022659	0.4782057	0.5979117	0.3258830	0.0376404	0.0406029	0.7673823	0.7726957	0.7326360
300.0	0.6794699	0.0001167	0.5466425	0.8167597	0.4082361	0.0398060	0.0131744	0.6235432	0.6615932	0.6798815
350.0	0.6485507	0.0001120	0.4676996	0.7357254	0.3723786	0.0288951	0.0160895	0.7472103	0.7486292	0.6674702
400.0	0.6407275	0.0000000	0.5655315	0.6879603	0.3719659	0.0220398	0.0394847	0.7190396	0.6655142	0.6858283
450.0	0.6916855	0.0000000	0.4114413	0.6375940	0.3858970	0.0353935	0.0054137	0.6300638	0.6901293	0.6090959
500.0	0.8137623	0.0000000	0.5518144	0.5789758	0.4773776	0.0432934	0.0157106	0.7066395	0.7008507	0.7005347
550.0	0.7208105	0.0000000	0.6312178	0.6880756	0.6396352	0.0289121	0.0066403	0.6477812	0.7166893	0.6162557
600.0	0.7223696	0.0000000	0.4891761	0.5641592	0.4688747	0.0206667	0.0081535	0.7284651	0.6529780	0.6276423
650.0	0.7439893	0.0000000	0.6014268	0.8581739	0.4374905	0.0541929	0.0051893	0.6357420	0.6828184	0.7562277
700.0	0.6910726	0.0000000	0.4700704	0.6928379	0.4806157	0.0475035	0.0072614	0.6915299	0.7787516	0.7482321
750.0	0.6440695	0.0000000	0.5885833	0.7291839	0.4786665	0.0308339	0.0089545	0.7256094	0.7125519	0.6566898
800.0	0.6150318	0.0000000	0.5401228	0.7094907	0.5791210	0.0504257	0.0258508	0.7278871	1.0000000	0.8136461
850.0	0.6768359	0.0000000	0.5700634	0.7840905	0.4402539	0.0386353	0.0043845	0.6219084	0.7089859	0.6661041
900.0	0.5295771	0.0000000	0.4332998	0.7586880	0.4777795	0.0466148	0.0306232	0.7514480	0.6232357	0.6536950
950.0	0.6123430	0.0000000	0.4334644	0.5890955	0.4612986	0.0291750	0.0166456	0.7046500	0.6976722	0.6366026
1000.0	0.6379816	0.0000000	0.5191553	0.7147816	0.4118835	0.0356966	0.0261452	0.7564834	0.6868707	0.6135180

0.0	0.6630626	0.5841968	0.1784112	0.3135324	0.0649973	0.2165027	0.4778360	0.1546904	0.6567856	0.6253562
50.0	0.7869336	0.7217872	0.0888986	0.3426209	0.0443079	0.3260191	0.4442321	0.2374504	0.7583076	0.6292645
100.0	0.7351954	0.6165025	0.0320227	0.2544903	0.0206460	0.3632958	0.4215957	0.1959510	0.6567796	0.6427146
