"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.0000000	0.0137490	0.4831139	0.6807682	0.5483430	0.0772738	0.0078580	0.7516821	0.6316361	0.6418861
0.6437481	0.0000000	0.5372596	0.6537641	0.5243584	0.0234631	0.0061813	0.6946303	0.6459157	0.6824047
0.7516712	0.2989807	0.0000000	0.3118053	0.0040662	0.3983929	0.4043951	0.3234090	0.7153536	0.7595536
0.7241813	0.6541923	0.3834301	0.0000000	0.4580766	0.3018041	0.3990624	0.1788823	0.8074630	0.6641382
0.7681291	0.0185795	0.3658307	0.6335177	0.0000000	0.0860082	0.0111396	0.7533200	0.7396802	0.7828447
0.5940551	0.5975290	0.1304137	0.2416767	0.0318196	0.0000000	0.4474811	0.1702766	0.7072278	0.8239137
0.8454896	0.4343816	0.3529405	0.4860648	0.0494752	0.4305416	0.0000000	0.2356011	0.7049156	0.6211153
0.6997265	0.6480355	0.1629452	0.2558757	0.0149726	0.3616287	0.4785671	0.0000000	0.6635841	0.7205635
0.7239850	0.8330103	0.1705442	0.2380385	0.0528442	0.3687821	0.4988899	0.1593199	0.0000000	0.7199760
0.6485159	0.4814494	0.0547876	0.7270683	0.0324841	0.1432064	0.2690055	0.3319551	0.7147468	0.0000000
