"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.4641681	0.5888290	0.5636260	0.3368769	0.3811622	0.5073335	0.5227677	0.2680466	0.6249660	0.2935438
0.7264901	0.7103075	0.7025055	0.0416183	0.5695369	0.3528576	0.4494687	0.2238861	0.6304271	0.6928224
0.6587214	0.6991036	0.4823819	0.1934733	0.5368045	0.2262678	0.6161292	0.2753812	0.7030903	0.6543548
0.7323281	0.4939799	0.0346865	0.4097186	0.0960538	0.1440909	0.3319312	0.2179441	0.4808011	0.3021723
0.7040036	0.3590509	0.3275314	0.7359886	0.0825370	0.3532595	0.0873407	0.4529926	0.4682859	0.7118173
0.6129294	0.6820160	0.6273043	0.5238066	0.1001214	0.2510874	0.4495600	0.2435591	0.7397108	0.7289363
0.5718479	0.7075902	0.5513484	0.3451175	0.1527148	0.3332745	0.6156967	0.1626319	0.5123905	0.3395586
0.7370281	0.5547104	0.2146319	0.2482313	0.0277223	0.2891386	0.3035547	0.1488252	0.5436749	0.7488299
0.7234874	0.6801105	0.6374197	0.1293908	0.5499619	0.2120634	0.5846108	0.1852224	0.7630986	0.4981194
0.7379813	0.1843998	0.2048733	0.6878984	0.0066901	0.6122269	0.2205201	0.2487527	0.7987375	0.3862724
