"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.7319098	0.5624725	0.2064654	0.4499006	0.0482579	0.2250670	0.2986649	0.3071259	0.6300719	0.5864619
50.0	0.3963329	0.5564881	0.4021674	0.2509468	0.1898943	0.4337835	0.3212096	0.2075782	0.6694968	0.3597685
100.0	0.4234641	0.6835264	0.3767441	0.2069924	0.3463102	0.5776226	0.3765353	0.2377019	0.6866209	0.3270710
150.0	0.5605784	0.6779634	0.3600647	0.2177109	0.3726924	0.6456076	0.4823635	0.2094765	0.6237590	0.2045566
200.0	0.4170139	0.6363614	0.5753146	0.3125178	0.4796161	0.5672566	0.5353487	0.1889108	0.5237474	0.2603479
250.0	0.3761371	0.6512255	0.4509630	0.2954137	0.3563960	0.5323429	0.5224248	0.1936717	0.3839955	0.2973170
300.0	0.4777826	0.7938424	0.4056167	0.3474716	0.3338366	0.6633180	0.5323549	0.2660569	0.5872136	0.2409875
350.0	0.4444726	0.5910786	0.5131661	0.3191771	0.3164019	0.5804662	0.5328200	0.1558418	0.6032516	0.1981976
400.0	0.3962796	0.6658656	0.5117839	0.2980985	0.3192113	0.7058012	0.5134359	0.2027330	0.5787787	0.1704194
450.0	0.4268827	0.6882197	0.4665507	0.3290553	0.3634898	0.7398649	0.6468022	0.1880785	0.6586001	0.2492480
500.0	0.4995298	0.6313993	0.5034270	0.3456456	0.4540084	0.5224309	0.6417031	0.1968157	0.5200124	0.2316708
550.0	0.4669642	0.6059415	0.4784981	0.3345903	0.3446696	0.6224455	0.5452514	0.1794997	0.6803173	0.2047363
600.0	0.4052649	0.6801991	0.4676545	0.3373367	0.3683219	0.5818723	0.5837950	0.2955999	0.6381661	0.2064214
650.0	0.5420834	0.6410298	0.6327472	0.3408194	0.2791194	0.6189061	0.6790995	0.1395950	0.6393238	0.2199080
700.0	0.4212479	0.7653147	0.6200638	0.2523919	0.4385216	0.5814623	0.5506512	0.2009310	0.7494290	0.2033592
750.0	0.4257729	0.7537218	0.5990165	0.2913180	0.2892337	0.6058500	0.5371668	0.2675386	0.7156112	0.2466876
800.0	0.4548696	0.6434818	0.5474947	0.3512292	0.3497978	0.6940588	0.6266867	0.1790093	0.5547690	0.2621903
850.0	0.2851909	0.6329120	0.4545911	0.1996753	0.3311673	0.4922822	0.6577556	0.1669789	0.6331583	0.2641428
900.0	0.3522206	0.6191354	0.5438718	0.2390016	0.3593043	0.6779006	0.6588647	0.1907779	0.5072554	0.1951902
950.0	0.4475452	0.5996469	0.4920678	0.3638454	0.3805491	0.6172720	0.4808389	0.1378068	0.6611652	0.2691937
1000.0	0.4350252	0.7135588	0.5366464	0.2946033	0.2721224	0.6764288	0.6690268	0.1836876	0.7137339	0.2650105

0.0	0.7772261	0.6349959	0.2911075	0.4349303	0.1293666	0.3170259	0.4205738	0.2166657	0.7640185	0.8383457
50.0	0.6286677	0.6696634	0.4006177	0.0991985	0.4407058	0.4487433	0.4322468	0.1914385	0.7828237	0.6688544
100.0	0.6100969	0.6398223	0.5600801	0.0338835	0.3163708	0.3252031	0.4937541	0.2250776	0.7006886	0.6258436
150.0	0.8125528	0.7964778	0.7527936	0.0232056	0.5683100	0.2866298	0.5079138	0.1934278	0.6416273	0.6428027
