"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.7623822	0.7467443	0.2413462	0.3320704	0.1084608	0.3003157	0.3909641	0.1850462	0.6700295	0.6079959
50.0	0.7006977	0.4492247	0.1932871	0.3255984	0.0294223	0.3091200	0.3565603	0.2233510	0.7199942	0.5245269
100.0	0.7487709	0.1695567	0.1012469	0.3769917	0.0282447	0.3430888	0.4262811	0.3474590	0.6438799	0.8024348
150.0	0.6294671	0.0623011	0.0629893	0.5362567	0.0697263	0.1920769	0.2543271	0.4237464	0.5351914	0.7873609
200.0	0.5839564	0.0268378	0.0096095	0.5745860	0.1147374	0.1658223	0.2064423	0.6020627	0.7113004	0.6905036
250.0	0.6294883	0.0108959	0.0119332	0.6782757	0.1399311	0.1230476	0.0659987	0.6271473	0.7027457	0.7727174
300.0	0.6294105	0.0063673	0.0092999	0.7231057	0.1842809	0.0654168	0.0389564	0.6480702	0.7675838	0.6650506
350.0	0.7141841	0.0002100	0.0139359	0.6529393	0.1236466	0.0324208	0.0399776	0.7224322	0.7199097	0.8163364
400.0	0.6882465	0.0008022	0.0026035	0.6672091	0.1729231	0.0526084	0.0075460	0.7345473	0.7269634	0.7765153
450.0	0.6516450	0.0000743	0.0058147	0.5438821	0.1881521	0.0651179	0.0112001	0.7782053	0.5300378	0.6099514
500.0	0.6710478	0.0000000	0.0020213	0.7205668	0.1383806	0.0463822	0.0187706	0.6519587	0.6656960	0.6863696
550.0	0.6805251	0.0000000	0.0017259	0.6689576	0.1110782	0.0571051	0.0188218	0.6377377	0.8082335	0.6910340
600.0	0.7001674	0.0000000	0.0000000	0.6620641	0.1252457	0.0404809	0.0095834	0.7317152	0.6253760	0.6897897
650.0	0.7759113	0.0000000	0.0000000	0.7840036	0.0932004	0.0523799	0.0105345	0.7331298	0.6657013	0.6915399
700.0	0.6994520	0.0000000	0.0000000	0.7321953	0.2192434	0.0407315	0.0153040	0.6200535	0.6753254	0.7911964
750.0	0.7015855	0.0000000	0.0000000	0.7629263	0.1583712	0.0286317	0.0123738	0.6501062	0.7735365	0.6170479
800.0	0.6326694	0.0000000	0.0000000	0.6296844	0.1338927	0.0305142	0.0080382	0.6232162	0.6800989	0.7215658
850.0	0.6239231	0.0000000	0.0000000	0.7690084	0.1628045	0.0497745	0.0048618	0.6887790	0.5878855	0.6786506
900.0	0.7038917	0.0000000	0.0000000	0.6288521	0.1126870	0.0222330	0.0146472	0.5540616	0.6419116	0.6062388
950.0	0.7352578	0.0000000	0.0000000	0.7246773	0.1443561	0.0288037	0.0233787	0.5706143	0.6574540	0.5781721
1000.0	0.6360758	0.0000000	0.0000000	0.8250072	0.1240388	0.0491175	0.0048885	0.6443791	0.7842302	0.7496002

0.0	0.6542147	0.6404710	0.1941826	0.2854350	0.0256226	0.3378063	0.4723535	0.3163488	0.6706069	0.6254660
50.0	0.7800422	0.4766097	0.1738224	0.2664629	0.0158508	0.3000586	0.3949875	0.2195596	0.6098543	0.3907463
