"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.2787826	0.5686808	0.2746338	0.2773938	0.1058197	0.3783636	0.4514598	0.3218608	0.5807930	0.7933621
0.7887647	0.3660620	0.4604782	0.4511091	0.1961344	0.2342064	0.3043506	0.3841120	0.6990354	0.7364144
0.7730907	0.3989007	0.1904810	0.5379244	0.0627117	0.1916475	0.1399318	0.3863284	0.6998945	0.7172072
0.5592805	0.7237043	0.1364395	0.1229826	0.1028630	0.3308152	0.5385262	0.1966069	0.7014685	0.7359715
0.6777742	0.3030770	0.2720225	0.4931192	0.0349364	0.1795040	0.2963290	0.4002472	0.5534591	0.6098927
0.9012121	0.5982529	0.3513451	0.4249324	0.1151987	0.1709451	0.3503174	0.2522706	0.6718014	0.7530265
0.7108323	0.8723613	0.2019518	0.2946283	0.0887872	0.3593937	0.2571033	0.1532959	0.4932890	0.7669319
0.6666738	0.4383266	0.1458951	0.2538782	0.0235381	0.3375744	0.4808232	0.0872119	0.7166563	0.7032006
0.6565856	0.6720633	0.1534396	0.3985758	0.0248784	0.3566815	0.3820806	0.2529303	0.4071043	0.7066991
0.9110530	0.4809237	0.1078054	0.4706417	0.0322003	0.2234294	0.2718212	0.4102457	0.8484454	0.3450197
