"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.7067050	0.6628596	0.3521729	0.4875182	0.0917442	0.1631888	0.3309789	0.3212321	0.6177573	0.7552429
50.0	0.5336795	0.6243910	0.2940706	0.3901828	0.1067227	0.2519043	0.3969600	0.2984821	0.6146175	0.6965339
100.0	0.2763715	0.7050010	0.2829833	0.3330964	0.0886991	0.3434808	0.4219556	0.2733423	0.5687871	0.6514936
150.0	0.0932376	0.5133434	0.1768562	0.3577000	0.1063200	0.3825411	0.3758718	0.1579999	0.6254792	0.6624083
200.0	0.0240834	0.1819804	0.1914840	0.3491802	0.0826497	0.3793632	0.3824979	0.3191390	0.7188909	0.8180287
250.0	0.0140534	0.1072886	0.1804925	0.5078567	0.0923895	0.2055557	0.2127162	0.3623785	0.7038535	0.6280557
300.0	0.0294067	0.0335150	0.2290036	0.5546265	0.1816508	0.1464467	0.1594327	0.4762450	0.6542907	0.6965476
350.0	0.0000000	0.0382559	0.2822651	0.6296897	0.1598520	0.1242575	0.1279468	0.5769572	0.6625696	0.5611099
400.0	0.0000000	0.0195699	0.3500346	0.6263207	0.1989350	0.0686058	0.0509235	0.6290244	0.8071735	0.6874149
450.0	0.0000000	0.0066467	0.3363307	0.7103114	0.2360898	0.0675033	0.0381756	0.7353053	0.8068569	0.6308733
500.0	0.0000000	0.0137358	0.3288101	0.7975230	0.3147864	0.0331521	0.0252760	0.7116033	0.6316731	0.8140375
550.0	0.0000000	0.0131010	0.4618333	0.7095265	0.4269228	0.1051423	0.0143972	0.7309265	0.6330131	0.7227850
600.0	0.0000000	0.0275786	0.4707742	0.6617672	0.5359215	0.0442408	0.0039550	0.6673966	0.7720793	0.7272254
650.0	0.0000000	0.0195079	0.4647850	0.6955243	0.4714347	0.0289101	0.0117381	0.7608666	0.7085081	0.6692839
700.0	0.0000000	0.0320790	0.6054156	0.6035203	0.3803103	0.0376525	0.0101285	0.6301490	0.7479101	0.7072387
750.0	0.0000000	0.0113124	0.6536829	0.6628783	0.4300499	0.0674403	0.0029870	0.6910287	0.8382020	0.5493102
800.0	0.0000000	0.0115235	0.5357954	0.6028271	0.4280947	0.0752726	0.0185962	0.5379600	0.7049927	0.6329979
850.0	0.0000000	0.0175366	0.7033377	0.6963556	0.4327658	0.0977215	0.0013386	0.7631991	0.6265547	0.7740426
900.0	0.0000000	0.0230514	0.6832155	0.6625881	0.4232059	0.0419782	0.0033361	0.7684670	0.5847547	0.6418962
950.0	0.0000000	0.0222306	0.5739379	0.6872716	0.5242176	0.0322377	0.0279396	0.6689068	0.7371000	0.7973512
1000.0	0.0000000	0.0118938	0.5318060	0.6263972	0.4495105	0.0609572	0.0163069	0.5783511	0.5321329	0.7077787

0.0	0.6711707	0.6382905	0.2426284	0.4104827	0.1088985	0.2898552	0.4033489	0.2458762	0.5434499	0.6320551
50.0	0.6889387	0.4159007	0.2123160	0.3145179	0.1162956	0.3443947	0.3354422	0.2252274	0.7558082	0.6681178
100.0	0.6889568	0.1918192	0.2222445	0.4256047	0.1068657	0.3145869	0.4156723	0.3276811	0.6499153	0.7472896
150.0	0.7159516	0.0976248	0.2634111	0.5797225	0.1611765	0.1458294	0.2661073	0.4575067	0.6513968	0.7440489
200.0	0.6288681	0.0269385	0.3716105	0.6859984	0.1921631	0.1301763	0.1405428	0.5359524	0.7457274	0.8776395
250.0	0.6268272	0.0163304	0.3359244	0.6877235	0.3057342	0.1030547	0.0518528	0.6699173	0.6329260	0.8810253
300.0	0.7194934	0.0008525	0.4357436	0.6584386	0.3856973	0.0809791	0.0636773	0.7211351	0.7178227	0.7380317
350.0	0.6584324	0.0022608	0.4659204	0.6858524	0.4689267	0.0468939	0.0380197	0.7608761	0.6299019	0.7562491
400.0	0.7381030	0.0006682	0.4692225	0.6428573	0.4021752	0.0202112	0.0104384	0.6568259	0.7503978	0.6719920
450.0	0.6264870	0.0019404	0.4278784	0.5782866	0.3684372	0.0314311	0.0162465	0.8099747	0.6419273	0.7141391
500.0	0.6890224	0.0023412	0.4907499	0.6369601	0.4274224	0.0264127	0.0031521	0.6720855	0.6200196	0.6476203
550.0	0.7846939	0.0007028	0.5570321	0.6030636	0.4636096	0.0367532	0.0016104	0.7401563	0.6772486	0.6127869
600.0	0.7039899	0.0000000	0.5840666	0.7589781	0.4921018	0.0503078	0.0096447	0.7105536	0.6399706	0.8298329
650.0	0.6532425	0.0000000	0.5968278	0.7231019	0.4638637	0.0708244	0.0128440	0.8315485	0.5897805	0.6193806
700.0	0.7484486	0.0000000	0.4718295	0.7915496	0.4521034	0.0412605	0.0082172	0.6020215	0.7588261	0.6171792
750.0	0.7472455	0.0000000	0.5675645	0.8442743	0.4265715	0.0195055	0.0101703	0.8144104	0.6079428	0.6334987
800.0	0.5376685	0.0000000	0.5024674	0.6890976	0.4136088	0.0325482	0.0276070	0.6449161	0.7172396	0.7035281
850.0	0.6155082	0.0000000	0.5594173	0.7011864	0.4231673	0.0456192	0.0146251	0.7167448	0.7310257	0.7525401
900.0	0.6215716	0.0000000	0.5658680	0.6657749	0.5098965	0.0890295	0.0233587	0.7510659	0.6270523	0.6988358
950.0	0.5486774	0.0000000	0.5660225	0.6003539	0.4993922	0.0374900	0.0070187	0.6923034	0.6683440	0.7377938
1000.0	0.5886047	0.0000000	0.4274732	0.5621046	0.5303268	0.0357628	0.0166972	0.6370699	0.8762485	0.7909842

0.0	0.8643469	0.6240442	0.2304982	0.3120409	0.1121860	0.3049292	0.4973369	0.1987288	0.6873814	0.7613753
50.0	0.7057824	0.6752272	0.1466358	0.2945049	0.0507348	0.3269162	0.5467245	0.2197254	0.8391845	0.7423070
100.0	0.6748625	0.5084331	0.0748205	0.2835549	0.0506118	0.3359174	0.5258310	0.2003401	0.7003769	0.6548409
150.0	0.7031019	0.6018860	0.0252634	0.3069889	0.0331976	0.3773252	0.3956570	0.2698673	0.7908901	0.7592965
200.0	0.8255221	0.3968688	0.0027029	0.2626204	0.0456711	0.3463506	0.4007548	0.1920279	0.6838027	0.7088982
250.0	0.6183069	0.3125342	0.0032970	0.3952500	0.0346587	0.2647389	0.3673439	0.3192022	0.8643877	0.7957681
300.0	0.6193330	0.3857174	0.0154168	0.4241005	0.0582479	0.2462964	0.3264587	0.2813310	0.7453941	0.6546421
350.0	0.6758112	0.2306749	0.0045326	0.4248321	0.0226000	0.2027561	0.2617606	0.3121719	0.6766837	0.7382439
400.0	0.6568614	0.1759932	0.0001705	0.5959074	0.0388461	0.0816424	0.1638451	0.3903235	0.7457834	0.6477713
450.0	0.6862252	0.3050714	0.0001324	0.5635467	0.0665440	0.1347997	0.1558794	0.5008467	0.7158402	0.6843896
500.0	0.5989065	0.5343288	0.0014807	0.5821163	0.0479605	0.1549584	0.3184603	0.4455496	0.5911262	0.7247604
550.0	0.8268261	0.6267946	0.0005084	0.5177129	0.0258949	0.2159221	0.3508274	0.4024404	0.5742963	0.7182076
600.0	0.8400272	0.3242689	0.0000000	0.4441288	0.0063699	0.3589274	0.3726240	0.2173345	0.5877444	0.7095831
650.0	0.7674177	0.2367339	0.0000000	0.4179909	0.0208794	0.3669423	0.3740763	0.3072247	0.6909766	0.7333603
700.0	0.6172962	0.4108497	0.0000000	0.3986335	0.0308487	0.2138484	0.3521985	0.3594107	0.6386544	0.6602204
750.0	0.6265071	0.4568478	0.0000000	0.5423014	0.0283015	0.2511790	0.3052947	0.4205256	0.7797017	0.7035687
800.0	0.7085213	0.3124121	0.0000000	0.3502201	0.0063370	0.2523826	0.2729013	0.3994982	0.7403248	0.7013588
850.0	0.7466478	0.1550174	0.0000000	0.4640607	0.0205106	0.1997198	0.2436634	0.4019317	0.7049989	0.5785389
900.0	0.7498594	0.3060651	0.0000000	0.5555597	0.0571945	0.1381127	0.1360801	0.4823567	0.7345461	0.7252599
950.0	0.7371135	0.4171890	0.0000000	0.4670832	0.0400170	0.1338674	0.1676260	0.3928660	0.7521814	0.6513555
1000.0	0.5364642	0.4095968	0.0000000	0.4661078	0.0124317	0.2124529	0.2591887	0.3622553	0.7171530	0.5343992

0.0	0.7661910	0.7611024	0.2102680	0.3288904	0.0300632	0.3112320	0.4602137	0.2481921	0.6239273	0.6304775
50.0	0.6263468	0.6272235	0.1629613	0.1484219	0.0535888	0.3787540	0.4193331	0.3091189	0.7298261	0.7333432
100.0	0.7025628	0.6488233	0.0770500	0.1123366	0.0533448	0.3831277	0.3851694	0.1778741	0.7091422	0.7165103
150.0	0.6214372	0.6300055	0.1175470	0.0274218	0.1157157	0.2870891	0.4438593	0.2226393	0.6202487	0.8547372
200.0	0.6933848	0.6962140	0.0713573	0.0083499	0.0723308	0.2874759	0.4500103	0.1800484	0.6450906	0.7347817
