"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.4561372	0.7425557	0.3910660	0.2943507	0.3737367	0.6973786	0.7752038	0.1745548	0.6232986	0.3546835
0.8647208	0.6471791	0.6699784	0.0157562	0.6875501	0.2857697	0.3857297	0.1527055	0.6511273	0.7120217
0.7144103	0.6135428	0.5259674	0.1240146	0.4897447	0.2612974	0.6193858	0.1702820	0.6572999	0.7444038
0.7629715	0.3295948	0.1093454	0.2946998	0.0894424	0.1758879	0.3461663	0.2336559	0.4935595	0.3311854
0.7336364	0.2498270	0.2499732	0.5988482	0.0885621	0.3493077	0.1172164	0.5660194	0.3651919	0.7736613
0.6480374	0.6577802	0.6057786	0.6098924	0.0944832	0.1831521	0.6369867	0.2092850	0.6137841	0.6475974
0.7557078	0.8001795	0.4512311	0.4340459	0.0889168	0.3962307	0.3678069	0.1640841	0.5729020	0.3739068
0.8021559	0.4456760	0.2003752	0.3598634	0.0349699	0.1187163	0.2664469	0.1906904	0.5313744	0.6685661
0.5322688	0.7111320	0.5930786	0.2075253	0.6605165	0.2280945	0.6110142	0.2108386	0.8250881	0.4067622
0.6269547	0.1279993	0.1418939	0.6713398	0.0022976	0.5600273	0.1989378	0.2436957	0.7558201	0.3160200
