"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.6280630	0.5932402	0.2425373	0.4701310	0.0781503	0.1568189	0.2506298	0.2606979	0.7298215	0.7289950
50.0	0.7124962	0.5949948	0.3130375	0.3285238	0.1051943	0.3487892	0.4002807	0.2709935	0.6590066	0.4927263
100.0	0.4378008	0.5756349	0.3900625	0.3475186	0.2024603	0.4292728	0.3575755	0.2326314	0.7057789	0.4087556
150.0	0.4879763	0.6903198	0.4370044	0.2228157	0.2507622	0.6542935	0.3572965	0.2566828	0.6410376	0.2808608
200.0	0.4532174	0.6710623	0.4671028	0.2782097	0.3583749	0.5793933	0.5888082	0.2210285	0.5185398	0.2659859
250.0	0.4164882	0.6718210	0.4964161	0.2468240	0.3454397	0.5413354	0.5875551	0.1887115	0.6420007	0.2838259
300.0	0.4488181	0.7308675	0.4816767	0.2700120	0.3132754	0.5233730	0.4864687	0.2385267	0.5989446	0.2004174
350.0	0.4080311	0.7369054	0.4606436	0.3306728	0.4209762	0.6255183	0.5194390	0.1923444	0.5091694	0.2184773
400.0	0.5378634	0.6519435	0.4979792	0.3969358	0.3640663	0.6390151	0.4617460	0.1765911	0.6871073	0.1976835
450.0	0.4918177	0.5921182	0.4732673	0.3936284	0.3764401	0.6729348	0.5631244	0.2059039	0.6306502	0.2447920
500.0	0.4119625	0.6243945	0.5280700	0.3116880	0.3893677	0.5377338	0.5495180	0.2109048	0.4850870	0.2355244
550.0	0.4062656	0.6105908	0.4749652	0.3477913	0.3706403	0.5535535	0.5820301	0.2199401	0.6649483	0.2644634
600.0	0.4626567	0.6101586	0.4084495	0.2887331	0.4090223	0.5208070	0.5880103	0.2113945	0.6127091	0.1865278
650.0	0.3714646	0.5768335	0.5421505	0.3494918	0.3998250	0.5640228	0.5828617	0.2234064	0.7485235	0.2951579
700.0	0.4591879	0.7189954	0.4140984	0.3419021	0.4251743	0.5242595	0.5768785	0.1059761	0.6530470	0.1956527
750.0	0.4207928	0.6573518	0.5308889	0.2542423	0.2987770	0.5942930	0.5699818	0.1744822	0.7326780	0.2383186
800.0	0.4692507	0.6758895	0.6121265	0.3566639	0.3190648	0.5706774	0.6197065	0.1873709	0.5731330	0.3043569
850.0	0.5011191	0.7255324	0.5371008	0.2692001	0.3630240	0.5540383	0.7120773	0.2296675	0.5752872	0.2623319
900.0	0.4412602	0.5455901	0.5440195	0.3345706	0.3442699	0.7295615	0.5852010	0.2140117	0.6131673	0.2946750
950.0	0.4226730	0.6955867	0.5370761	0.3558983	0.3653956	0.6911258	0.5767175	0.2490112	0.5864327	0.1639515
1000.0	0.4894982	0.6034076	0.4564028	0.2994002	0.5591366	0.7041622	0.5737864	0.2427658	0.6943571	0.3087889

0.0	0.6789709	0.6044719	0.3419276	0.4123258	0.1411877	0.3083188	0.3348309	0.2008719	0.6876391	0.7475440
50.0	0.7921457	0.6875801	0.3966128	0.2876968	0.1979487	0.2716424	0.3988649	0.2308872	0.6581417	0.7309625
100.0	0.7200430	0.6073849	0.4677389	0.1503704	0.2689510	0.3435139	0.5542212	0.2174876	0.7417912	0.7459809
150.0	0.7016461	0.6434636	0.5923465	0.0456290	0.4372451	0.3526205	0.4747713	0.1421081	0.6789634	0.5305693
200.0	0.6491105	0.7056155	0.6704073	0.0417732	0.6059351	0.3187337	0.3986638	0.1859708	0.5643378	0.6605746
250.0	0.5955708	0.7548386	0.6836049	0.0394248	0.5557612	0.2985694	0.4802282	0.1626682	0.7300249	0.6130794
300.0	0.7351578	0.6517267	0.6184955	0.0563280	0.5093662	0.3761330	0.5145139	0.2081272	0.6559341	0.4873334
350.0	0.5855192	0.6338126	0.7432640	0.0657660	0.6901142	0.3515745	0.4758124	0.2102435	0.6965895	0.5920615
400.0	0.7250913	0.7258673	0.6745397	0.0425393	0.5684854	0.3202094	0.4794140	0.2274366	0.7884110	0.5890345
450.0	0.6548283	0.6271800	0.6634934	0.0554657	0.6162183	0.2580127	0.6273413	0.2003877	0.5995601	0.6917944
500.0	0.6928149	0.6756720	0.6936452	0.0449272	0.6571168	0.3514080	0.4237305	0.1878759	0.6722263	0.7226906
550.0	0.7788461	0.6111628	0.4962092	0.0290453	0.7127937	0.3083681	0.4463127	0.1718373	0.7467965	0.6979739
600.0	0.6214531	0.7013575	0.7841041	0.0371256	0.7008646	0.3179478	0.3731639	0.1755929	0.7466719	0.6394850
650.0	0.8513505	0.6164687	0.7648194	0.0883771	0.5471646	0.3761826	0.4032111	0.1429536	0.7106667	0.6548157
700.0	0.8759090	0.7379604	0.8022840	0.0547303	0.5793338	0.3311289	0.3827474	0.1446395	0.7952455	0.5816269
750.0	0.7567025	0.5578870	0.5370586	0.0241522	0.7666244	0.2539349	0.4826359	0.1327624	0.6083204	0.6031515
800.0	0.6919520	0.6756545	0.6812121	0.0468442	0.5853584	0.2210630	0.4499145	0.1666828	0.8486179	0.6709506
850.0	0.6795047	0.6929862	0.6640857	0.0573774	0.6217773	0.4051024	0.3739494	0.2120249	0.7074743	0.5764800
900.0	0.6069539	0.6354613	0.7011984	0.0425124	0.7050647	0.3139946	0.4728223	0.2168143	0.6519064	0.5146959
950.0	0.8142191	0.5940559	0.6863674	0.0352443	0.6753581	0.3570412	0.4375561	0.2203714	0.6494096	0.5401838
1000.0	0.6676086	0.6591009	0.6081516	0.0317251	0.5060460	0.3180579	0.4252115	0.2496639	0.6976652	0.6506218

0.0	0.5504386	0.5750526	0.2793349	0.3123266	0.1504577	0.3320371	0.4146183	0.1752413	0.6782825	0.8159106
50.0	0.7031880	0.5627876	0.2053883	0.2288825	0.1727263	0.4257741	0.4995526	0.1464922	0.6990793	0.6641863
100.0	0.6792634	0.6729017	0.1913585	0.1356946	0.2540617	0.3949196	0.6350137	0.2707124	0.6936382	0.8436705
150.0	0.7182786	0.7116944	0.3504532	0.0680293	0.2991215	0.2788133	0.6335628	0.1473553	0.7412871	0.8132626
200.0	0.7589913	0.5839524	0.3099263	0.0707320	0.4680534	0.2845490	0.6997041	0.2102098	0.6599245	0.7009113
250.0	0.5169815	0.5680363	0.3745836	0.0528463	0.5143360	0.3164285	0.5918299	0.2260225	0.6330652	0.7041978
300.0	0.7077579	0.5954521	0.4392199	0.1014786	0.5245501	0.2565647	0.6938303	0.2451137	0.5683355	0.6176120
