"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.6599117	0.6852388	0.2169750	0.3351392	0.0517553	0.3325313	0.4936412	0.1752555	0.7326463	0.7204769
50.0	0.7027993	0.6756842	0.1075203	0.3350563	0.0414276	0.3658057	0.4990125	0.1388006	0.7655750	0.1824669
100.0	0.6270818	0.5235436	0.1289604	0.3011253	0.0239085	0.3752217	0.4759644	0.1837413	0.5992754	0.1022051
150.0	0.6647775	0.3367738	0.0581623	0.3894676	0.0326242	0.3124260	0.6432111	0.2439640	0.6351352	0.1065721
200.0	0.6329625	0.2916382	0.0840722	0.3669743	0.0714410	0.2444785	0.5211385	0.2961847	0.7065285	0.0534084
250.0	0.7259895	0.3195040	0.0436042	0.5713961	0.0436324	0.2089655	0.4072095	0.3218453	0.6726940	0.1083457
300.0	0.7225813	0.3150318	0.0581617	0.3771849	0.0484335	0.2349482	0.4694789	0.2528589	0.6509668	0.0660042
350.0	0.7436013	0.2543046	0.0752961	0.4962703	0.0379629	0.2036376	0.3899833	0.4176811	0.6864329	0.0636291
400.0	0.6161823	0.2392714	0.0644527	0.5706344	0.0553523	0.1622689	0.2622839	0.4721448	0.5813672	0.0796211
450.0	0.7339823	0.4148548	0.0540876	0.4749065	0.0285819	0.1827066	0.4457339	0.3967005	0.5798993	0.1155695
500.0	0.5685636	0.3343293	0.0685446	0.3756682	0.0273509	0.1828388	0.4572160	0.2901207	0.6272482	0.0495154
550.0	0.7259181	0.1863972	0.0839108	0.4705038	0.0357112	0.1246353	0.2589199	0.3946252	0.6764145	0.6036835
600.0	0.7434066	0.2768825	0.1479046	0.5288515	0.0905774	0.0993665	0.2296043	0.3864813	0.6217314	0.7245033
650.0	0.7123244	0.5679745	0.2272654	0.6215229	0.0614134	0.0967786	0.2049211	0.3191765	0.6394108	0.6792728
700.0	0.7488646	0.6140234	0.3666013	0.4071585	0.0559154	0.2928721	0.3595077	0.3825751	0.5643801	0.6937906
750.0	0.6283494	0.7337003	0.2531237	0.3617029	0.0500005	0.3364376	0.4089075	0.3122735	0.6958370	0.6762546
800.0	0.6158399	0.6942070	0.2799855	0.2915926	0.0821513	0.3080270	0.3737022	0.1978240	0.6462919	0.6929585
850.0	0.6863684	0.6894199	0.2004221	0.3371466	0.0790548	0.3371936	0.4346455	0.2426717	0.7052324	0.7186629
900.0	0.5753302	0.7005116	0.2142999	0.2800444	0.0166267	0.3555503	0.4477141	0.2121019	0.6224445	0.8090393
950.0	0.6627847	0.7330691	0.1177748	0.2643015	0.0234878	0.3470483	0.4084203	0.2590620	0.7181521	0.7529435
1000.0	0.6794266	0.4821153	0.1366619	0.2409833	0.0311403	0.3042431	0.4341350	0.2448420	0.7501162	0.7664454

0.0	0.6986983	0.4923723	0.1141515	0.2508139	0.0136416	0.3930306	0.4257608	0.1447517	0.7675683	0.6266624
50.0	0.7541087	0.2002951	0.2099716	0.4393724	0.0108973	0.2921206	0.4405668	0.2750107	0.6354795	0.7709463
100.0	0.6550241	0.0760542	0.2036035	0.4483839	0.0028481	0.1286758	0.3032691	0.3278160	0.5933412	0.6797400
150.0	0.6804602	0.0445461	0.2270950	0.6046455	0.0043200	0.0838966	0.1674105	0.5345884	0.5891531	0.7448349
200.0	0.6740514	0.0041636	0.2779876	0.5781716	0.0553778	0.0785805	0.1068562	0.6710796	0.6396782	0.5736185
250.0	0.6519372	0.0193030	0.2417767	0.7789620	0.0327320	0.0168659	0.0572424	0.6523487	0.6719312	0.7113989
300.0	0.6451826	0.1507546	0.2583200	0.7894512	0.0450844	0.0426268	0.0300624	0.7334874	0.7414386	0.7693616
350.0	0.5570278	0.4483497	0.4134414	0.5567892	0.0338681	0.0378196	0.0653907	0.5414003	0.5545162	0.6682875
400.0	0.7211120	0.4908620	0.3409488	0.5221345	0.0758944	0.1760558	0.2134298	0.4706178	0.7868801	0.6674249
450.0	0.6626056	0.5800773	0.3092228	0.4596976	0.0378123	0.4437167	0.3417632	0.2871833	0.7416540	0.6818553
500.0	0.6688471	0.3821102	0.2949522	0.3914119	0.0271613	0.3788388	0.3754140	0.2148640	0.6288301	0.7920568
550.0	0.6205991	0.5631451	0.2245643	0.4167396	0.0832333	0.3414833	0.4199077	0.2298702	0.7757013	0.6126569
600.0	0.7098265	0.5794740	0.2787674	0.3252582	0.0514943	0.4200002	0.5163787	0.2687403	0.7206143	0.6348633
650.0	0.6699593	0.6111131	0.2359520	0.4065405	0.0627451	0.3398779	0.4359210	0.1762485	0.5789750	0.6688219
700.0	0.8262614	0.5438268	0.1860281	0.3552943	0.0221806	0.3390647	0.4029099	0.2513892	0.7111526	0.9182652
750.0	0.6361952	0.2776414	0.1619349	0.3401114	0.0364702	0.2790282	0.3677456	0.2318812	0.6504815	0.7858778
800.0	0.7073014	0.3924527	0.1656850	0.4050749	0.0637430	0.2843796	0.2658411	0.3099028	0.6886325	0.6723248
850.0	0.6635374	0.5111990	0.1686700	0.4593871	0.0247967	0.4138619	0.3807249	0.3262287	0.7099795	0.7360060
900.0	0.6879910	0.5896995	0.1982489	0.2908475	0.0382014	0.3415037	0.3566172	0.3171404	0.6411793	0.6865593
