"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.9158524	1.0300700	0.3269213	0.4791321	0.0630929	0.5162627	0.6143064	0.3561726	0.9697570	0.9023536
50.0	0.9070137	0.2277392	0.1331120	0.4085591	0.0584747	0.4970101	0.5989262	0.3932893	0.9192200	0.9300537
100.0	0.9994083	0.0559428	0.0597222	0.6891498	0.1133642	0.2925052	0.4335059	0.5826954	0.9388942	1.0186714
150.0	1.0049167	0.0149712	0.0341926	0.9117457	0.1879320	0.1480689	0.2654357	0.7250812	0.8666446	0.9982615
200.0	0.9809285	0.0014478	0.0192623	0.9795613	0.1736021	0.0982699	0.1293791	0.9383887	0.9119193	1.0104505
250.0	1.0398702	0.0005385	0.0064465	0.9567685	0.1929337	0.0518341	0.0535879	1.0023038	0.9856868	0.9609501
300.0	1.0265545	0.0000000	0.0087800	0.9777858	0.2141284	0.0618035	0.0329167	0.9169492	1.0685888	0.9790292
350.0	0.9761796	0.0000000	0.0015783	0.9966187	0.1617824	0.0589472	0.0281972	1.0250953	1.1243254	0.9062338
400.0	1.0160290	0.0000000	0.0000000	1.0166852	0.1734189	0.0732896	0.0193578	1.0130472	1.0028761	0.9960165
450.0	0.9501332	0.0000000	0.0000000	1.0170284	0.1804319	0.0581920	0.0141835	1.0441084	0.9907994	1.0208124
500.0	1.0157913	0.0000000	0.0000000	1.0158493	0.1963918	0.0529643	0.0339000	1.0158316	0.9036374	1.1201805
550.0	0.9569320	0.0000000	0.0000000	0.9394430	0.1828937	0.0335941	0.0131930	1.0838131	1.0162533	1.0958260
600.0	1.0257978	0.0000000	0.0000000	0.9679338	0.1709154	0.0555992	0.0184900	1.0292384	1.0146276	1.1084406
650.0	1.0899255	0.0000000	0.0000000	0.9698978	0.2133436	0.0708859	0.0227361	0.9668274	0.9920945	1.0750819
700.0	0.9359188	0.0000000	0.0000000	0.9791899	0.2069935	0.0655375	0.0205591	0.9833753	1.0655295	1.0150119
750.0	0.9424041	0.0000000	0.0000000	0.9849369	0.1398122	0.0493724	0.0129928	1.0474575	0.9704743	1.0335277
800.0	0.9614262	0.0000000	0.0000000	1.0394901	0.1698670	0.0513043	0.0109241	1.0108427	1.0291474	0.9399760
850.0	1.0605755	0.0000000	0.0000000	0.9711201	0.1499142	0.0460410	0.0112204	0.9455153	1.0029615	0.9805867
900.0	1.1132018	0.0000000	0.0000000	1.0100972	0.1720301	0.0625973	0.0171158	0.9419427	0.9626659	0.9250619
950.0	1.0347953	0.0000000	0.0000000	1.0821395	0.1821825	0.0816517	0.0088952	0.9170018	0.9744360	0.9819486
1000.0	1.0899489	0.0000000	0.0000000	1.1084371	0.1776292	0.0844117	0.0053584	0.9982254	0.9398363	0.9321719

0.0	0.9772995	0.9135143	0.2172779	0.3464786	0.0358673	0.4672870	0.6507946	0.3530030	1.0103607	1.0043449
50.0	0.9862761	0.3401189	0.1698685	0.4040248	0.0132479	0.4519037	0.6262221	0.3320102	0.9966450	0.2109238
100.0	1.0440050	0.1115677	0.0898440	0.6470476	0.0056157	0.3157717	0.4794788	0.4748888	1.0170389	0.0490437
150.0	1.0210640	0.0507476	0.0749949	0.9076860	0.0014412	0.1849186	0.2546359	0.7218852	1.0263309	0.0092928
200.0	1.0556233	0.0378489	0.0619505	0.9554974	0.0006950	0.1215868	0.1230203	0.9364577	0.9900310	0.0008281
250.0	1.0683107	0.0303284	0.0566890	1.0203162	0.0009852	0.1015282	0.0402193	0.9635780	1.0334830	0.0002227
300.0	1.0042784	0.0280847	0.0531744	0.9890747	0.0005899	0.0525138	0.0174863	1.0672822	0.9459604	0.0000000
350.0	0.9408884	0.0330871	0.0620541	0.9889135	0.0002798	0.0599563	0.0085125	1.0525344	0.9712113	0.0000000
400.0	0.9453459	0.0252172	0.0813939	0.9653903	0.0000000	0.0611655	0.0145082	0.9784777	1.0528980	0.0000000
450.0	0.9210936	0.0164106	0.0599058	1.0854196	0.0000000	0.0451399	0.0302152	1.0381024	1.0742848	0.0000000
500.0	0.9676280	0.0258376	0.0497601	1.0293035	0.0000000	0.0474954	0.0227830	1.0203831	0.9805797	0.0000000
550.0	1.1154314	0.0160954	0.0544671	1.0019718	0.0000000	0.0492871	0.0083677	1.0553635	1.0050628	0.0000000
600.0	1.0298617	0.0310402	0.0492423	0.9673273	0.0000000	0.0598536	0.0094614	1.0351278	0.9410639	0.0000000
650.0	0.9664727	0.0172140	0.0565627	1.0471586	0.0000000	0.0561775	0.0205553	0.9947821	1.0543418	0.0000000
700.0	0.9274185	0.0165858	0.0642780	1.0309003	0.0000000	0.0508497	0.0044407	1.0009705	1.0014155	0.0000000
750.0	0.9852489	0.0151100	0.0656532	1.0137228	0.0000000	0.0625858	0.0139745	0.9265952	1.0456603	0.0000000
800.0	1.0243022	0.0218115	0.0775210	1.0011590	0.0000000	0.0741681	0.0157165	0.9935879	0.9764602	0.0000000
850.0	1.0866030	0.0173883	0.0879026	1.0552576	0.0000000	0.0715593	0.0129506	0.9999463	0.9193222	0.0000000
900.0	1.0200537	0.0288912	0.0767311	1.1298387	0.0000000	0.0635494	0.0192826	1.0129827	0.9228629	0.0000000
950.0	1.0085506	0.0236380	0.0774516	1.0363256	0.0000000	0.0623615	0.0227235	0.9839212	0.9904267	0.0000000
1000.0	0.9606353	0.0226749	0.0651905	1.0715558	0.0000000	0.0553483	0.0264977	0.9524215	1.0111842	0.0000000

0.0	0.9510176	0.4566286	0.1821875	0.5512733	0.0377450	0.4039569	0.5654212	0.4103614	0.9873016	0.9821270
50.0	0.9638679	0.4350889	0.1649269	0.1315638	0.0740303	0.2877103	0.5320448	0.4477362	1.0621903	0.2177972
100.0	1.0115259	0.6999835	0.1307932	0.0298955	0.1451396	0.3225252	0.4897996	0.4470476	0.9858410	0.0580572
150.0	0.9773724	0.9156034	0.1525914	0.0067915	0.1934379	0.3940825	0.4776040	0.3632060	0.9829650	0.0148928
200.0	0.9552595	1.0755657	0.2070830	0.0002221	0.1913366	0.4336854	0.5351472	0.3369513	0.9658129	0.0030054
250.0	0.9806075	1.0129797	0.2194036	0.0000000	0.2789176	0.5190249	0.6350296	0.2680876	0.9454885	0.0000000
300.0	0.9155594	1.0465814	0.2415918	0.0000000	0.2686711	0.5454222	0.6283848	0.2438507	0.9637405	0.0000000
350.0	0.9513794	1.0165133	0.2575243	0.0000000	0.2641715	0.4701197	0.6623759	0.2197637	0.8889301	0.0000000
400.0	0.9631184	1.0436035	0.2990175	0.0000000	0.2228649	0.5089126	0.6416592	0.2832447	0.8954496	0.0000000
450.0	1.0493371	1.0950742	0.3106323	0.0000000	0.2247778	0.5404964	0.6945101	0.2775345	1.0777758	0.0000000
500.0	0.9879574	1.0090609	0.2838335	0.0000000	0.2211588	0.4936735	0.6939494	0.2735681	1.0554373	0.0000000
550.0	0.9557008	0.9751759	0.2647664	0.0000000	0.2237912	0.5107413	0.6776772	0.2701216	1.0462020	0.0000000
600.0	0.9733804	0.9644345	0.2728582	0.0000000	0.2066995	0.4857474	0.6532343	0.2999899	1.0716814	0.0000000
650.0	1.0351409	1.0447736	0.2904876	0.0000000	0.1945582	0.4409587	0.6415726	0.2829103	1.0226860	0.0000000
700.0	0.9899120	0.9602972	0.3083624	0.0000000	0.2114661	0.4511248	0.6846454	0.2780866	1.0796989	0.0000000
750.0	0.9853247	0.9531490	0.2718286	0.0000000	0.2274137	0.4455543	0.6235821	0.2693590	1.0579004	0.0000000
800.0	0.9171061	0.9819389	0.2701919	0.0000000	0.1664116	0.4341458	0.6981914	0.2884256	1.0945051	0.0000000
850.0	0.9457656	1.0237417	0.2726036	0.0000000	0.2150518	0.3985152	0.6418045	0.3586881	0.9607681	0.0000000
900.0	1.0172314	1.0128651	0.2931229	0.0000000	0.2488846	0.4544025	0.5928709	0.2254514	0.9204418	0.0000000
