"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.9389224	0.6985537	0.2143672	0.4549400	0.0313467	0.4386971	0.6790640	0.3102316	0.9996214	0.9985096
50.0	0.5852304	0.6266293	0.1897266	0.4906194	0.0315262	0.4668952	0.6363443	0.3156287	0.9908500	0.9742239
100.0	0.5890381	0.3015709	0.1916524	0.6492340	0.0438064	0.3979998	0.5641645	0.4386430	1.0015817	0.9527471
150.0	0.4735247	0.2818251	0.2428480	0.8455135	0.1153038	0.2141223	0.3751096	0.6175587	1.0174190	0.9850446
200.0	0.4621408	0.4291844	0.3940272	0.7703384	0.0929793	0.1139298	0.2962234	0.6079521	0.9742006	1.0646252
250.0	0.5281658	0.3190691	0.4205560	0.7924927	0.1024759	0.1387598	0.3033329	0.6203810	0.9767486	0.9984635
300.0	0.5381664	0.4674055	0.4454705	0.8843110	0.1459742	0.1197951	0.2963888	0.6568902	1.0816908	0.9578723
350.0	0.5052019	0.7094817	0.5213485	0.7498517	0.1851124	0.2104960	0.3409569	0.5410220	1.0262604	0.9658312
400.0	0.4738757	0.8824239	0.4702772	0.7469175	0.1452350	0.4013015	0.4627534	0.3718846	1.0522589	0.9829763
450.0	0.4221029	0.8718013	0.4657717	0.5421417	0.1436034	0.5178930	0.5399088	0.3350693	1.0003370	1.0161172
500.0	0.4539524	0.8009381	0.4214774	0.5164435	0.1536983	0.5115522	0.5924962	0.3654230	1.0314091	1.0031625
550.0	0.4722681	0.7340657	0.3563839	0.5351275	0.1476087	0.4810094	0.5936150	0.3345865	1.0845986	1.1099194
600.0	0.5009311	0.9024214	0.3312710	0.5070006	0.1019730	0.4639253	0.6329361	0.3338347	0.9503371	0.9509691
650.0	0.5005510	0.9505554	0.3228916	0.5255188	0.1054556	0.4976464	0.6332104	0.3241714	1.0021952	0.9819624
700.0	0.4315815	0.7729137	0.3338300	0.4029725	0.1350140	0.5034897	0.5940331	0.2916943	0.9910931	0.9575236
750.0	0.5060030	0.7942888	0.2922761	0.5064203	0.0696362	0.5323576	0.5561338	0.3087112	0.9980133	0.9913446
800.0	0.5568101	0.7167817	0.2337792	0.5138314	0.0794799	0.4814314	0.6114092	0.3205976	0.9380675	1.0093787
850.0	0.4891760	0.5717093	0.2041057	0.4608599	0.0968670	0.4616496	0.6232569	0.4213528	1.0010210	1.0101148
900.0	0.5372403	0.4541166	0.2250367	0.5610392	0.0746042	0.4093061	0.5446457	0.4490452	1.0129516	0.8790739
950.0	0.4868125	0.3781789	0.2500736	0.6492602	0.0831054	0.2895876	0.4461740	0.5532710	0.9516017	0.9828573
1000.0	0.4877180	0.3136397	0.3002133	0.7092855	0.0774696	0.2154802	0.3783409	0.5349814	1.0254701	0.9415942

0.0	0.9384828	0.6834064	0.1567687	0.5768130	0.0500681	0.4218582	0.5740973	0.4453644	0.9030532	0.9706599
50.0	0.9191501	0.5004711	0.1795520	0.5858913	0.1007900	0.3797885	0.4685463	0.4795161	0.9485361	0.9710108
100.0	1.0161373	0.4533270	0.2259508	0.6196275	0.0668247	0.2687837	0.4455547	0.4836938	0.9157025	0.9516121
150.0	0.9706999	0.4590282	0.2440408	0.6847270	0.0850424	0.2662483	0.3984795	0.5452942	0.8989272	1.0052758
200.0	0.9619954	0.4364598	0.2385410	0.8050351	0.0953117	0.2161940	0.3263744	0.5268380	1.0676433	0.9960686
250.0	0.9748353	0.4747054	0.3486683	0.7883324	0.0592130	0.1952209	0.3534382	0.5897817	1.0563194	1.0355575
300.0	0.9775583	0.4723085	0.3926522	0.7770347	0.0735921	0.1899201	0.3822704	0.5814246	1.0263307	0.9906672
350.0	0.9016977	0.4420696	0.4717587	0.7398101	0.0862076	0.1424297	0.3059068	0.4959315	0.9544253	1.0339529
400.0	1.0495104	0.4839231	0.4453875	0.7709639	0.2034501	0.1492210	0.3457275	0.5490131	0.9665855	0.9659520
450.0	1.0593950	0.4876663	0.4855953	0.7882455	0.2354029	0.1838983	0.3536006	0.5225869	0.9693645	0.9251378
500.0	0.9752168	0.4666626	0.5104148	0.7936135	0.2186175	0.2523385	0.3971848	0.5110561	0.9384225	0.8875529
550.0	1.0024147	0.4869339	0.5007708	0.7361265	0.2470485	0.3080028	0.4375952	0.4669013	0.9841022	0.9902228
600.0	0.8979230	0.4844685	0.5267056	0.8163546	0.2007099	0.2529618	0.4000613	0.5599868	0.9657106	1.0299848
650.0	1.0010080	0.4378017	0.5731439	0.8451894	0.2039013	0.2159546	0.3177900	0.5683214	0.9796767	1.0286493
700.0	0.9580273	0.4618277	0.5837808	0.8380731	0.2896299	0.1887311	0.3442106	0.6070355	0.9672467	0.9141095
750.0	1.0175626	0.4534871	0.6080516	0.7332279	0.2415379	0.2840403	0.4102245	0.4909033	1.0057383	0.9713340
800.0	0.9713140	0.4909696	0.6376540	0.8433365	0.2656183	0.2601932	0.4328672	0.4976207	0.9509142	1.0142791
850.0	0.9428462	0.4820272	0.6676689	0.8544713	0.2721488	0.2068776	0.3723723	0.4892831	1.0441344	1.0553310
900.0	1.0081535	0.4932547	0.7134062	0.7335077	0.2837476	0.2204528	0.3735671	0.5026911	1.0069447	1.0908681
950.0	1.0222275	0.5430046	0.6528528	0.8821736	0.2446968	0.2153791	0.4457310	0.5151840	1.0350060	1.0131769
1000.0	0.9836119	0.5826433	0.5912817	0.8610577	0.2672740	0.2326101	0.4152988	0.4669674	1.0984661	1.0742743

0.0	0.9670954	0.4573837	0.3023734	0.6493179	0.0339144	0.3935456	0.4535315	0.4635610	0.9836982	0.9664557
50.0	0.8588472	0.3632037	0.2456390	0.7687720	0.0297930	0.3075890	0.4693468	0.4883601	1.0061004	0.9794424
100.0	0.9726218	0.2812121	0.2485452	0.7330590	0.0309934	0.2125113	0.3910217	0.5706913	1.0968046	0.9318738
150.0	1.0122080	0.2979643	0.2078806	0.8494868	0.0624647	0.1298959	0.2832049	0.6313161	1.0532115	0.9562671
200.0	1.0333812	0.6057419	0.2165023	0.8562830	0.0759612	0.1221909	0.2404524	0.7176379	1.0517431	0.9234388
250.0	0.9871199	0.6296545	0.2480893	0.7348461	0.0385393	0.2232114	0.3746985	0.4951473	1.0183397	0.9580433
300.0	1.0003431	0.5461062	0.2054964	0.5928849	0.0284310	0.3548172	0.4315236	0.4230665	1.0042156	0.9364737
350.0	0.9303706	0.2592883	0.2055797	0.6781134	0.0355243	0.3660169	0.3627634	0.5034861	1.0148191	0.9586843
400.0	0.9679759	0.1089173	0.2124198	0.9585151	0.0793957	0.1974377	0.2847769	0.6262842	1.0548305	1.0269247
450.0	0.9120573	0.4957876	0.2199831	1.1073256	0.0820786	0.0956249	0.1908338	0.6980795	1.0773929	0.9676596
500.0	0.9046895	0.7262097	0.2793664	0.8644153	0.0335238	0.1808960	0.2558037	0.5944614	1.0880005	1.0500316
550.0	0.9228502	0.7035371	0.2623254	0.6200990	0.0256854	0.4715073	0.3755374	0.4758320	0.9608068	1.0559615
600.0	0.8893851	0.4280730	0.2278005	0.6703629	0.0317919	0.4861402	0.4760449	0.4436518	0.9123975	1.0565181
650.0	1.0127519	0.1158857	0.2099217	0.6927933	0.0364293	0.3423252	0.3908712	0.5345257	0.9687315	1.0168617
700.0	1.0385780	0.4823830	0.2058117	0.8061221	0.1043409	0.1711385	0.2384900	0.6593853	0.9690398	0.9465788
750.0	1.0513015	0.8915220	0.1918366	0.6914074	0.0518072	0.2688430	0.3670683	0.5522319	1.0439288	1.0020891
800.0	1.1164205	0.8782500	0.2012816	0.4769027	0.0091525	0.4925241	0.4739776	0.4001516	1.0113603	1.0595765
850.0	1.1819538	0.3666437	0.1622999	0.4981118	0.0127211	0.5080725	0.5459982	0.3741643	0.9702818	0.9982710
900.0	1.1032260	0.2519340	0.1544002	0.7140421	0.0535431	0.3815204	0.4609369	0.5545745	0.9015209	0.9324371
950.0	1.0068105	0.6004401	0.1441805	0.8360381	0.1101056	0.2124671	0.3263725	0.5631455	0.9426019	0.9845177
1000.0	0.9605447	0.8534411	0.1686477	0.7234146	0.0464968	0.2823394	0.3739354	0.5445244	0.9216179	0.9479124

0.0	0.9751157	0.2942754	0.3514363	0.8522567	0.1111482	0.1770458	0.2879570	0.6522743	0.9574326	1.1121627
50.0	0.9650272	0.7961126	0.4204881	0.5309377	0.1881358	0.1658810	0.2762913	0.5450128	0.9336398	1.0228211
100.0	1.0175278	0.9813235	0.4404386	0.3119284	0.1354207	0.4421983	0.4511464	0.4516959	0.9455457	0.9521927
150.0	0.9202978	0.9762238	0.3450824	0.2462770	0.1323729	0.4932341	0.5441357	0.3732501	1.0440400	1.0245226
200.0	0.9383608	1.0531261	0.2281791	0.2217780	0.1146750	0.5366091	0.6190610	0.2865402	1.0120543	1.0488776
250.0	0.9382982	0.9523665	0.1901027	0.1979349	0.1126622	0.5034958	0.6450190	0.2921953	1.0108086	1.0126267
300.0	0.9731878	0.9217131	0.1436965	0.2123227	0.1010533	0.4979621	0.6252967	0.2978628	0.9283233	1.0217534
350.0	1.0170641	0.9909120	0.1564060	0.2470933	0.0913371	0.5334065	0.6757160	0.2916072	1.0408077	0.8736958
400.0	0.9608006	0.9563309	0.1344055	0.2088212	0.0436733	0.5106410	0.7189814	0.2828736	0.9990271	0.9818789
450.0	0.9999293	0.8327141	0.1270836	0.1891165	0.1026397	0.4884333	0.6833474	0.2687397	1.0401721	1.0289097
500.0	1.0440613	0.9380009	0.1640442	0.2080145	0.1297014	0.4431901	0.6820162	0.2854207	1.0370181	0.9978298
550.0	1.0907274	1.0592086	0.1650067	0.2138289	0.1288668	0.4348454	0.6362835	0.2737183	1.0392507	1.0254723
600.0	1.0777144	0.9977770	0.1721191	0.2088684	0.1323323	0.4654303	0.6198047	0.2507506	1.0678121	0.9643883
650.0	1.0057457	1.0300056	0.1662871	0.1904464	0.1251700	0.4841446	0.6912331	0.3015913	1.0826309	1.0634641
700.0	0.9529350	0.9831509	0.1725967	0.2161257	0.1280593	0.4671283	0.6245854	0.3073908	1.0159383	1.0006825
750.0	1.0020375	1.0179746	0.1595298	0.1830824	0.1279234	0.4708739	0.6823022	0.2550415	0.9667751	0.9707406
800.0	1.0952602	0.9526802	0.1825958	0.1968540	0.1745369	0.4952745	0.6804075	0.2897902	0.9591949	1.0183922
850.0	0.9854989	0.9218395	0.2458730	0.1845937	0.1788006	0.4332509	0.5929871	0.3168555	0.9744606	0.9836126
900.0	0.9929166	0.9044777	0.2176481	0.1849788	0.1421008	0.4242918	0.7012242	0.2985081	0.9964871	0.9276225
950.0	0.9402691	0.8307670	0.2259176	0.1901118	0.1549873	0.4433872	0.6957691	0.3489804	1.0034092	0.9079752
1000.0	0.9184584	1.0751370	0.2299637	0.2042842	0.1723968	0.4036292	0.6706495	0.2919267	1.0395790	1.0477596

0.0	0.9133961	0.8980937	0.4977297	0.6730870	0.1720197	0.3040355	0.3815309	0.4706153	1.0312708	1.0445779
50.0	0.8763446	0.9746937	0.4799675	0.5300229	0.1396065	0.4825951	0.4606633	0.3714725	1.0328908	0.9473609
100.0	0.9261673	0.9750275	0.3904920	0.5241413	0.0487444	0.5824319	0.5601778	0.3367371	1.0495881	1.0264571
150.0	0.9661261	0.9271384	0.2862840	0.5427928	0.0501454	0.5536637	0.6310963	0.2726655	1.0151417	0.9625206
200.0	1.0037559	0.8469139	0.2472701	0.4501529	0.0421738	0.5502138	0.6365363	0.2820086	1.0656511	1.0443243
250.0	0.9539785	0.7971204	0.2130772	0.4714074	0.0331524	0.4950814	0.6513347	0.3178207	0.9809177	0.9402773
300.0	1.0080828	0.5765802	0.1635033	0.4901373	0.0248577	0.4536329	0.6354483	0.3900302	0.9815657	1.0474031
350.0	0.9867117	0.3259050	0.1897434	0.6176038	0.0162425	0.3895563	0.5964585	0.4478508	1.0597340	0.9552271
400.0	1.0090329	0.1008022	0.2432005	0.7735897	0.0415142	0.2002751	0.4282757	0.5900552	1.0469641	1.0678341
450.0	0.9620633	0.1941138	0.3833496	0.9372892	0.0707124	0.1504237	0.2105479	0.7515882	1.0402095	1.1207554
500.0	0.9824047	0.6128567	0.3991730	0.9018466	0.0866964	0.1112748	0.1777500	0.7963217	0.9870112	1.1130356
550.0	0.8997945	0.7017084	0.4601536	0.7295398	0.0748102	0.2560618	0.3623582	0.5354915	1.0053309	1.0660363
600.0	0.9235960	0.5788598	0.5068377	0.6853648	0.0854180	0.4831099	0.4236379	0.4399972	1.0035578	1.0095329
650.0	1.0082543	0.7848346	0.5016103	0.6918536	0.0724782	0.4427087	0.4811368	0.4376258	0.9045712	1.0022945
700.0	0.9391281	0.8396367	0.4491211	0.5849670	0.0722318	0.5105982	0.5861374	0.4485391	1.0091694	0.9931059
750.0	0.9534089	0.8174201	0.4688230	0.5698101	0.1034327	0.5350566	0.5620584	0.3647261	1.0547173	1.0140657
800.0	0.9061915	0.9426919	0.4008915	0.5558943	0.1056054	0.5057825	0.6268625	0.3325794	1.0737170	0.9562193
850.0	0.9286155	0.8713950	0.3922903	0.5516577	0.0912224	0.5294547	0.5620781	0.3452284	0.9938593	0.9015397
900.0	0.9136812	0.9222610	0.2871577	0.4859211	0.0479379	0.5044958	0.5627946	0.3218258	0.9956043	0.9768717
950.0	0.9765851	0.7525114	0.2388400	0.4725537	0.0396342	0.4563951	0.6056458	0.3228948	0.9443146	1.0538144
1000.0	0.9733708	0.5020113	0.2247368	0.5549854	0.0249778	0.4548877	0.5529799	0.3372651	0.9655074	1.0618952

0.0	1.0338462	0.8926927	0.3989692	0.5138112	0.1472716	0.5245569	0.5792521	0.3572020	1.0598823	0.9474401
50.0	1.0168055	1.0086756	0.3588406	0.5008630	0.1175041	0.3836175	0.5734248	0.3229693	1.0300141	1.0294984
100.0	0.9791586	0.9803295	0.3370815	0.3901804	0.0812469	0.3216578	0.6556784	0.2823981	0.9776156	1.0373209
150.0	1.0022528	0.8799237	0.2308538	0.4159070	0.0561980	0.2541765	0.6381187	0.3117365	0.9762429	1.0521435
200.0	0.9919785	0.8868635	0.2246813	0.3865402	0.0307775	0.2437179	0.5709082	0.2931293	0.9434816	0.9824822
250.0	1.0550440	0.5403276	0.1803161	0.3727666	0.0261699	0.2413386	0.6849236	0.3411722	0.9869294	0.9769781
300.0	0.9845903	0.3125583	0.1623490	0.5512474	0.0553303	0.1712794	0.5981344	0.4664954	0.9832589	1.0207049
350.0	1.0113756	0.4758896	0.2263811	0.7599617	0.0729450	0.1449077	0.4701988	0.5028512	0.9593026	1.0204401
400.0	1.0172662	0.8650074	0.3339244	0.6289637	0.0800663	0.1592917	0.4290549	0.5063038	0.8627547	1.0085563
450.0	1.1456733	0.9536781	0.3764423	0.5725724	0.0355541	0.2009506	0.5763935	0.3868360	1.0315979	1.0358094
500.0	1.0253289	0.7558116	0.2887350	0.4447691	0.0306965	0.2499923	0.6243904	0.2928690	0.9331391	0.9535263
550.0	1.0433330	0.3025413	0.2045051	0.4834453	0.0275497	0.2812789	0.5910866	0.3279952	0.9610667	1.0178776
600.0	1.0330761	0.2401564	0.2147138	0.6629393	0.0711886	0.1755029	0.5057366	0.4529906	1.0402942	0.9490712
650.0	1.0023395	0.3108259	0.3213345	0.7684228	0.1026435	0.1027035	0.3497759	0.5684209	1.0254072	0.9702299
700.0	1.0002283	0.6788451	0.3095401	0.8060058	0.0927637	0.0919921	0.3110678	0.5844106	1.0196247	1.0648376
750.0	0.9615299	0.9594194	0.3326117	0.6014761	0.0575449	0.1529302	0.4188170	0.5384195	1.0678243	1.0207908
800.0	1.0365682	0.7586313	0.3940261	0.5320011	0.0449059	0.2668745	0.5241220	0.3371808	1.0127872	0.9975034
850.0	1.0555535	0.6702540	0.3531515	0.5153104	0.0811662	0.2606989	0.5843394	0.3668711	1.0311989	1.0351571
900.0	0.9901998	0.8487974	0.3077485	0.4592142	0.1025573	0.2136631	0.6157908	0.2919191	0.9866535	1.0347281
950.0	1.0180534	0.8855312	0.3066039	0.4659807	0.0594101	0.2166177	0.5378696	0.3006524	1.0110234	1.0286888
1000.0	0.9080194	0.8134644	0.2963361	0.3513769	0.0526612	0.2628406	0.5491218	0.2893703	1.1395309	1.0059756

0.0	1.0030763	1.0326451	0.3309198	0.4284792	0.0936741	0.5414742	0.6527780	0.2723713	0.9810871	0.9284148
50.0	0.9245362	1.0135921	0.3198412	0.4221058	0.0787321	0.5503275	0.4431323	0.2880351	0.9189774	0.9229391
100.0	0.8614653	0.9120686	0.2792049	0.4219843	0.0963494	0.6241315	0.3560067	0.2834966	0.9845816	0.9588138
