"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.5042598	0.7675799	0.2242877	0.4239910	0.0870746	0.4659365	0.6393076	0.3203160	0.9257888	1.0110248
1.0092618	0.5399569	0.6389617	0.7640285	0.2621827	0.3322555	0.4331224	0.5553941	1.0254925	1.0684701
1.0454270	0.8079752	0.2072093	0.7430391	0.0573153	0.2692689	0.2899253	0.5398063	0.9490467	1.0132508
1.0555278	0.8973182	0.2260800	0.1847410	0.1336518	0.4891159	0.6778029	0.2965251	1.0355847	1.0831219
1.0176571	0.3405905	0.3551039	0.7190928	0.0379152	0.2429090	0.3950330	0.5851194	1.0161188	0.9704033
1.0288841	0.9306287	0.3967132	0.5957891	0.1503189	0.2744343	0.5703085	0.3291111	1.0651471	1.0297076
1.0675721	0.9833225	0.2712198	0.4238406	0.0623281	0.6893939	0.3812431	0.2458631	0.9388595	0.8924468
1.0500904	0.6010972	0.2032078	0.4321543	0.0403650	0.4777982	0.6569477	0.1557568	1.0480749	1.0490853
1.0248993	0.9154015	0.2418094	0.4739483	0.0159186	0.5115329	0.6527424	0.3281064	0.4736629	1.0268622
1.1012345	0.6629425	0.1394009	0.5832308	0.0229242	0.4599785	0.5075631	0.4198107	1.0599330	0.5136275
