"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	1.0160320	1.0807022	0.4763703	0.6097530	0.1568452	0.3545918	0.4457427	0.3915542	0.9834546	0.9471645
50.0	0.3523160	1.0172655	0.4297865	0.4307620	0.1593756	0.5682198	0.5926406	0.3106025	0.9410608	0.9997805
100.0	0.1061284	0.8938950	0.3548415	0.4182330	0.0958740	0.4965262	0.6069615	0.3013285	0.9943683	1.0112032
150.0	0.0300423	0.3963874	0.2742821	0.5052856	0.0754521	0.5213930	0.5826661	0.3161281	1.0059386	1.0308835
200.0	0.0086347	0.1267909	0.2684085	0.6943920	0.0881147	0.3297738	0.4366924	0.4844377	0.9821590	0.9616058
250.0	0.0041051	0.0579395	0.3513005	0.8434269	0.1676287	0.1695408	0.2595237	0.6575356	1.0345314	0.9528690
300.0	0.0000000	0.0390632	0.4976051	0.9865658	0.2397484	0.1072666	0.1119342	0.8865238	1.0689656	0.9817888
350.0	0.0000000	0.0329085	0.5229685	1.0294703	0.2957553	0.0669808	0.0700909	0.9770223	1.0129336	0.9412402
400.0	0.0000000	0.0131816	0.6416570	0.9616061	0.4023521	0.0570818	0.0420911	1.0499908	1.0922918	0.9632643
450.0	0.0000000	0.0220231	0.6352431	0.9749474	0.4865860	0.0560083	0.0325800	0.9001417	1.0500693	0.9976357
500.0	0.0000000	0.0259236	0.7100005	0.9944165	0.5621419	0.0289392	0.0275227	0.9967301	1.0611439	0.9932276
550.0	0.0000000	0.0216688	0.7747339	0.9998650	0.6459796	0.0462882	0.0122489	0.9941362	1.0362075	0.9492630
600.0	0.0000000	0.0264663	0.7223344	1.0209535	0.6193312	0.0331437	0.0073995	0.9708411	0.9962831	0.8905799
650.0	0.0000000	0.0264862	0.7278204	0.9730179	0.6343850	0.0482655	0.0077675	0.9762947	1.0130872	1.0095761
700.0	0.0000000	0.0249079	0.7855957	0.9662936	0.6354829	0.0586046	0.0068116	0.9063064	1.0472754	0.9733370
750.0	0.0000000	0.0426048	0.8095782	0.9902007	0.6482708	0.0625345	0.0133547	0.9006901	1.0552381	0.9352258
800.0	0.0000000	0.0359669	0.8429720	0.9830309	0.6858204	0.0632328	0.0099130	0.9545758	0.9788358	0.9509682
850.0	0.0000000	0.0255296	0.8613479	0.9669847	0.6933063	0.0515649	0.0147248	0.9888582	0.9429587	1.0360731
900.0	0.0000000	0.0176995	0.8464870	1.0195450	0.7227989	0.0481523	0.0108602	0.9325008	1.0666333	1.0947735
950.0	0.0000000	0.0113882	0.8578264	1.0091458	0.7564755	0.0658469	0.0150469	0.9474930	1.0189611	0.9994521
1000.0	0.0000000	0.0245410	0.8233400	0.9851360	0.6862724	0.0790415	0.0176653	0.9764496	0.9730483	1.0849814

0.0	1.1363018	1.0475606	0.3631651	0.4377068	0.1465552	0.5500190	0.5556362	0.2945497	0.8559102	1.0483380
50.0	0.9782976	0.2867418	0.3441168	0.4701759	0.1279971	0.4975538	0.5765710	0.3442053	0.9853524	1.0110781
100.0	0.9123774	0.0555156	0.3191310	0.7192176	0.2115597	0.2773660	0.4827518	0.5213853	0.9964247	1.0798361
150.0	0.9470283	0.0182567	0.4443498	0.9660291	0.2798989	0.1193041	0.2486248	0.7655476	1.0355821	1.1349367
200.0	0.9233272	0.0040788	0.5489989	1.0256702	0.3718235	0.0723481	0.1143927	1.0348770	1.0361459	1.0206672
250.0	1.1084903	0.0048329	0.6642865	0.9487095	0.5307991	0.0834613	0.0530900	0.9848453	1.0581312	1.0276653
300.0	1.0254494	0.0001980	0.7497035	1.0167404	0.5973453	0.0607619	0.0318456	0.9998313	1.0430335	0.9352732
350.0	1.0219733	0.0000684	0.6991131	0.9397050	0.6153932	0.0353824	0.0201920	1.0684097	1.0486288	1.0558982
400.0	0.9942176	0.0000000	0.7718091	0.9040146	0.6037676	0.0351490	0.0164791	0.9566444	1.0350063	0.9939987
450.0	0.9466270	0.0000000	0.6728868	0.9757689	0.6514151	0.0534053	0.0119074	1.0295249	0.9423458	1.0610872
500.0	1.0094909	0.0000000	0.7682277	0.9917074	0.7354391	0.0476876	0.0080375	0.9553664	0.9426149	0.9802085
550.0	1.0485025	0.0000000	0.8833039	1.0021232	0.7383861	0.0686668	0.0146255	0.9963621	1.0550605	0.9288550
600.0	1.0489786	0.0000000	0.8236256	0.9340756	0.7133126	0.0509693	0.0180608	0.9974959	1.0157764	0.9962583
650.0	1.0516207	0.0000000	0.7869765	1.0460821	0.6530151	0.0571604	0.0194847	0.9973824	1.0814112	0.9237515
700.0	1.0532630	0.0000000	0.7682738	1.0257523	0.6941128	0.0505150	0.0160987	0.9801528	1.1043092	0.9584464
750.0	0.9739789	0.0000000	0.7769390	1.0338607	0.7270072	0.0520437	0.0258088	0.9570391	1.0011434	0.9207549
800.0	0.9889554	0.0000000	0.8796135	1.0228686	0.7336861	0.0469838	0.0214992	0.9530619	1.1229212	1.0782825
850.0	0.9426013	0.0000000	0.7914141	1.0481322	0.6461870	0.0749432	0.0186891	0.9853229	0.9775883	0.9615223
900.0	0.9022019	0.0000000	0.7680749	0.9820751	0.6799256	0.0726730	0.0239705	1.0245161	0.9623087	1.0061791
950.0	0.8656550	0.0000000	0.7240574	0.9294572	0.6992550	0.0652517	0.0239349	1.0268290	1.0799863	0.9529748
1000.0	0.9454645	0.0000000	0.7131424	0.9956858	0.6412153	0.0566486	0.0221374	1.0063494	1.0743947	1.0117591

0.0	0.9652656	0.9853857	0.2938136	0.4314191	0.1183517	0.4057689	0.6844584	0.2547263	1.0161925	1.0070192
50.0	1.0104179	0.9625863	0.1129761	0.4603666	0.0696186	0.4408477	0.6196945	0.3280067	1.0693210	0.9774784
100.0	1.0790471	0.8759413	0.0380596	0.4644379	0.0350156	0.4473011	0.6489875	0.3131453	1.0322514	0.9601129
150.0	1.0445473	0.5755138	0.0132501	0.4603051	0.0239595	0.4745848	0.5954147	0.3169777	1.0565718	1.0718481
200.0	1.0222392	0.3321050	0.0054449	0.5549790	0.0599556	0.4097557	0.5745569	0.4142568	1.0409726	1.0535850
250.0	0.9988651	0.5165788	0.0027090	0.7388957	0.0649635	0.2742846	0.5384190	0.4710730	1.0341194	1.0303444
300.0	0.9665072	0.4408169	0.0042170	0.6539658	0.0558002	0.2517964	0.4832104	0.4520418	1.0441915	1.0290296
350.0	0.9821285	0.1746150	0.0010516	0.7507065	0.0602024	0.1961068	0.3563630	0.5014026	1.0977360	0.9464765
400.0	1.0176765	0.2823832	0.0011433	0.8414250	0.0971097	0.1238737	0.2072132	0.6447523	0.9944940	0.9767393
450.0	0.9701803	0.7760327	0.0000421	0.8514752	0.0819692	0.1099458	0.1863987	0.6329739	1.0475354	1.0759288
500.0	0.9800244	0.9052856	0.0000000	0.7068666	0.0226581	0.3668392	0.3909534	0.4226208	0.9384020	1.0321894
550.0	1.0007211	0.7785457	0.0000000	0.5354840	0.0064327	0.5381689	0.5124795	0.3450961	0.9560522	1.0518176
600.0	1.0299810	0.3270698	0.0000000	0.5104596	0.0208070	0.5069918	0.5864573	0.3770214	0.9623964	1.0249373
