"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.0000000	0.0206479	0.8361365	1.0637197	0.6966045	0.0767552	0.0175145	0.9689213	0.9384938	1.0138784
0.9923392	0.0000000	0.7778245	1.0483394	0.7174725	0.0529090	0.0175766	1.0600936	0.9987312	0.9749831
1.0380998	0.3659012	0.0000000	0.4999324	0.0113560	0.5532303	0.5592366	0.4368844	1.0226412	1.0001600
1.0386228	0.9577932	0.5647849	0.0000000	0.6639450	0.5131927	0.6245013	0.2924569	1.0067002	0.9740488
1.0494235	0.0232573	0.4864233	0.9204440	0.0000000	0.0545429	0.0141867	1.0340974	1.0204879	1.0244522
0.9744671	1.0180755	0.2049162	0.3515753	0.0334515	0.0000000	0.6978131	0.2810159	0.9641881	1.0633777
1.0802318	0.7291469	0.4154173	0.5664496	0.1059945	0.7273004	0.0000000	0.3830612	0.9631231	0.9547851
1.0407155	0.9015021	0.2243745	0.4118987	0.0412776	0.4602010	0.7315315	0.0000000	1.0187361	1.0891581
0.9983615	0.9705788	0.2357932	0.3633794	0.0434902	0.5223917	0.6776445	0.2746680	0.0000000	1.0046713
0.9886552	0.7213994	0.1067897	0.8301336	0.0481967	0.2012724	0.3710284	0.6042848	1.0277967	0.0000000
