"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.5776741	0.9209395	0.6440916	0.4675009	0.6007324	0.9289629	0.8718808	0.2849115	0.9215989	0.3962075
1.0188696	1.0772071	0.9722753	0.0469656	0.9438992	0.5135628	0.6173700	0.3105911	0.9489423	0.9560213
1.0663841	0.9752103	0.6917640	0.1979529	0.7339369	0.4130339	0.9213094	0.3538339	0.9477428	0.9767726
1.0147194	0.6347563	0.0631899	0.6434822	0.1071853	0.1930594	0.4543325	0.3522747	0.7160493	0.5224662
1.0214069	0.5325139	0.4561388	1.0403610	0.0783096	0.3954082	0.1042760	0.8386160	0.6804529	1.0046870
0.9228928	0.9818583	0.9408226	0.8126535	0.1289365	0.3496142	0.8400941	0.3388616	1.0082435	0.9613382
0.9852746	1.0535764	0.6160118	0.5864663	0.1909371	0.5090623	0.6312343	0.2688248	0.7209414	0.5109771
1.0299264	0.7714291	0.3182731	0.3519861	0.0362981	0.4041296	0.4400657	0.2041361	0.8396410	1.0493715
0.9967512	0.9736753	0.8482614	0.2248968	0.8350314	0.3405250	1.0202338	0.2927414	1.0772225	0.7188467
0.9836929	0.2793880	0.2617940	0.9346273	0.0053652	0.6787692	0.2676570	0.3922514	0.9932394	0.5170058
