"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.9931176	0.8494496	0.2759703	0.4989946	0.0496309	0.4774607	0.7029859	0.2866051	0.8902766	1.0220685
50.0	0.8885238	0.7198410	0.2119356	0.4986447	0.0464442	0.4681457	0.7005916	0.3107017	0.9522983	1.0072097
100.0	0.6353684	0.4470520	0.1996090	0.5177448	0.0481345	0.4522565	0.6581301	0.3110061	0.9145976	1.0056707
150.0	0.5840780	0.2887793	0.2296828	0.6773603	0.0705135	0.3656404	0.4649949	0.4971319	1.0326736	0.9648518
200.0	0.5223253	0.3958093	0.2952227	0.7272833	0.0683717	0.2537004	0.3484008	0.5635339	1.0384568	1.0178591
250.0	0.4817849	0.3779844	0.3805283	0.7270391	0.0634802	0.1720357	0.3119282	0.6284832	0.9648997	0.9677820
300.0	0.5376901	0.3685018	0.3962895	0.8228980	0.0977527	0.1322671	0.2881423	0.6729308	1.0343907	1.0674918
350.0	0.5275546	0.5603201	0.4785519	0.8755495	0.1092765	0.1596953	0.3088973	0.6022628	1.0310689	1.0499137
400.0	0.4666343	0.6788117	0.4710040	0.7391550	0.1334744	0.2637437	0.3650580	0.5112165	1.0722364	1.0052888
450.0	0.4514879	0.8382013	0.5277829	0.6599037	0.1265834	0.3436626	0.4505035	0.4364545	1.0520191	0.9523820
500.0	0.4534103	0.8447124	0.4626542	0.5590094	0.1186159	0.4325061	0.4994016	0.3714243	1.0861843	1.0497538
550.0	0.4452811	0.7575619	0.4036663	0.5368578	0.1336864	0.5159916	0.5945490	0.3571144	1.0466943	0.9676926
600.0	0.5054501	0.7609122	0.3583569	0.5370519	0.1325273	0.5516968	0.5968851	0.3400593	0.9845357	0.9946684
650.0	0.4686513	0.9351324	0.3780370	0.5872967	0.1319327	0.5219663	0.6117912	0.3216662	0.9960489	1.0415807
700.0	0.4561383	0.9283690	0.3485593	0.4682806	0.1116077	0.5208946	0.5770020	0.3232445	1.1032833	1.0366017
750.0	0.5010217	0.8722215	0.3627778	0.4133746	0.1320478	0.4810802	0.5435940	0.3032192	1.0595487	0.9989262
800.0	0.5049897	0.8002925	0.2964909	0.4049691	0.0938977	0.5299838	0.5289451	0.3227536	0.9774841	0.9834547
850.0	0.4815972	0.6636281	0.2511306	0.4353385	0.0693940	0.4328011	0.6022761	0.3804668	0.9357787	1.0766809
