"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.5405321	0.8354470	0.3193885	0.4372268	0.0882563	0.5307405	0.6667208	0.3798830	0.8843131	1.0506053
1.0496026	0.5012904	0.6890168	0.7510271	0.2402826	0.3116362	0.4466694	0.5424570	1.0759677	1.1247729
1.1158582	0.5987981	0.2052649	0.7765710	0.0768453	0.2601306	0.2471296	0.5909210	1.0487121	1.0643002
0.9964956	0.9647787	0.2566436	0.2008797	0.1309576	0.4904528	0.6419132	0.2924503	1.0590576	1.0022053
1.0368636	0.4439605	0.3080962	0.6446172	0.0421779	0.2868744	0.4182557	0.5487301	1.0180407	0.9536477
1.1696304	0.8785748	0.4454478	0.6114746	0.1959455	0.2536927	0.5520422	0.3946372	1.0718783	1.1406038
0.9990209	1.0821253	0.2784002	0.4356942	0.0881163	0.5864685	0.3306226	0.2282231	0.9232334	1.0310516
0.9767341	0.7810342	0.2408142	0.4459746	0.0507317	0.4877139	0.6350846	0.1309810	1.0578604	1.0341594
1.0130018	0.9805179	0.2345516	0.5367943	0.0579882	0.4682596	0.5941303	0.3820031	0.5604133	0.9387353
1.1175579	0.7050148	0.1695675	0.7122759	0.0452530	0.3339494	0.4420700	0.5325217	1.0877261	0.5310099
