"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.0000000	0.0149284	0.8149266	1.1135262	0.6729027	0.0446652	0.0161945	1.0876723	0.9422937	0.9844608
0.9951695	0.0000000	0.7807201	1.0339379	0.6773625	0.0533548	0.0076484	0.9889070	1.0300165	0.9207808
1.0980400	0.6578695	0.0000000	0.5710051	0.0194188	0.4041757	0.4880874	0.4935316	1.0363988	0.9714095
1.0239521	1.0084337	0.5168303	0.0000000	0.6439999	0.4495236	0.6719227	0.2858103	1.0608865	1.0717279
1.1603222	0.0174413	0.4853079	0.9408991	0.0000000	0.0560329	0.0338806	1.0202617	1.0221205	1.0132429
1.0313050	0.9532749	0.2342078	0.4041855	0.0658872	0.0000000	0.6745871	0.2780327	0.9243643	0.9985411
1.0313785	0.8050881	0.4183354	0.6632257	0.0757920	0.5366496	0.0000000	0.4353336	0.9528348	0.9639374
1.0320145	1.0399457	0.2908694	0.4275262	0.0668529	0.5796474	0.7275798	0.0000000	1.1022645	1.0457125
1.0028005	1.1172425	0.2860549	0.4686246	0.0649887	0.5101696	0.7147145	0.2913595	0.0000000	1.0044890
1.0646333	0.4953707	0.1007475	0.7459358	0.0721888	0.2840853	0.4232859	0.5216845	1.1410587	0.0000000
