"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.6685364	1.0849041	0.6525765	0.4739080	0.5353240	0.9137953	0.8767417	0.2755447	0.9164981	0.4300672
1.1023065	0.9202178	0.9499560	0.0560899	0.9817821	0.4540350	0.5680059	0.2753583	1.0571162	0.9642047
1.0423793	1.0011960	0.6874638	0.1924378	0.7236860	0.3840047	0.9594918	0.3438323	1.0155568	0.9945240
0.9934023	0.4962139	0.0971011	0.4983784	0.0931843	0.2850856	0.5475439	0.3281348	0.7453045	0.5226353
1.0793379	0.3053331	0.4116335	0.8663045	0.0598723	0.4590922	0.1364285	0.8403329	0.6306666	1.0417297
0.8934206	1.0032673	0.9737317	0.8577831	0.1355815	0.3136532	0.9426237	0.2371688	1.0077487	1.0006043
0.9866037	1.1029862	0.6666392	0.6367142	0.2002044	0.4899249	0.6202883	0.3043023	0.7935269	0.5221901
1.1062521	0.7644879	0.3358571	0.5238216	0.0669547	0.2251889	0.3479099	0.2477062	0.8053378	0.9884234
1.0266932	1.0841878	0.8250917	0.2725741	0.8334350	0.3846293	0.9983692	0.3014193	1.1211419	0.6928102
0.9651176	0.2318722	0.2798446	0.9438619	0.0030864	0.7126763	0.2966710	0.4220740	0.8967030	0.5369772
