"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	1.0298618	0.9162215	0.3219163	0.5044293	0.1067456	0.5312709	0.7195934	0.2653628	1.0355717	0.9080293
50.0	1.0269906	0.9668560	0.3221919	0.4290470	0.0637786	0.5255042	0.7725496	0.3086816	1.0759589	0.7867125
100.0	1.0037533	0.8136041	0.2199520	0.4909995	0.0509111	0.4812897	0.7103936	0.2762574	1.0102310	0.3850219
150.0	0.9613721	0.6805511	0.1437044	0.5110461	0.0338180	0.4535405	0.7746955	0.3283692	0.9907486	0.2088032
200.0	1.0091282	0.5675451	0.1068296	0.5112913	0.0430678	0.4552784	0.8057523	0.2907086	0.9377062	0.0952794
250.0	1.0598970	0.5298242	0.1134245	0.6008934	0.0431830	0.3212046	0.7455431	0.3828686	0.9765613	0.1236362
300.0	1.0634669	0.5788378	0.1081558	0.6275586	0.0442827	0.3046097	0.6307580	0.4124851	1.0128162	0.1435566
350.0	1.1249915	0.4326450	0.1270402	0.6703919	0.0309544	0.3168347	0.6450432	0.4670774	1.1054783	0.1295699
400.0	1.0697203	0.2997181	0.1039135	0.7228562	0.0416747	0.3088862	0.5385957	0.5464393	1.0402042	0.1156812
450.0	0.8849572	0.4694249	0.0742911	0.7945209	0.0557571	0.2025357	0.4694225	0.6438921	1.0493597	0.1085819
500.0	0.8944419	0.4718776	0.0913139	0.7378449	0.0424654	0.2157417	0.5236840	0.5485430	1.0154579	0.1182123
550.0	0.9388991	0.3759464	0.0771812	0.7123940	0.0377467	0.2361687	0.4669987	0.4912237	1.0114118	0.4125525
600.0	1.1038968	0.3262603	0.0973311	0.7725198	0.0421225	0.2146021	0.3619754	0.5698058	0.9929038	0.8386085
650.0	1.1257491	0.5074026	0.2243682	0.7438895	0.0851054	0.1517331	0.3766751	0.6323286	0.9225328	0.8968235
700.0	1.1706690	0.7463913	0.3453476	0.8223527	0.0821153	0.2337779	0.3951746	0.5351477	0.9500216	1.0028109
750.0	1.0817685	0.8969632	0.4186837	0.6043856	0.0803557	0.3898656	0.4863002	0.3915868	0.9217849	0.9910062
800.0	0.9238143	0.9870994	0.4329747	0.5201692	0.1031476	0.4637362	0.6890557	0.2945916	1.0405528	1.0248937
850.0	0.9833365	0.9810967	0.3530750	0.4438002	0.1156439	0.5075888	0.7122561	0.2902760	1.0965713	0.9986949
900.0	0.9505473	0.9394952	0.3233910	0.3808348	0.0893911	0.4619917	0.7058292	0.2757052	1.1263897	1.0427489
950.0	0.8983807	0.9661985	0.2294069	0.4070793	0.0705291	0.4747208	0.6913600	0.3131657	1.0960438	0.9834943
1000.0	0.9988698	0.8813016	0.1860534	0.4179738	0.0487058	0.4513991	0.6345405	0.3156968	1.0469467	1.0645431

0.0	1.0519191	0.8422167	0.2411522	0.4442799	0.0352430	0.5472759	0.6566706	0.2295227	1.1005875	1.0410505
50.0	0.9714649	0.5160762	0.2072983	0.5427906	0.0344993	0.5186050	0.6065052	0.3641917	1.0223184	1.1311660
