"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	1.0103521	0.8931959	0.3081949	0.4815600	0.0712231	0.4881377	0.6891256	0.2980598	1.0325520	1.0092954
50.0	1.1083899	0.9773667	0.1954080	0.4971044	0.0498546	0.5126477	0.7623737	0.3087861	1.0512360	0.3135659
100.0	1.0367393	0.7505603	0.1611307	0.4213727	0.0396796	0.4777387	0.7449892	0.3119747	0.9679985	0.1512397
150.0	1.0123610	0.5031695	0.1205681	0.4776884	0.0444302	0.4344016	0.7356115	0.3376297	0.9829571	0.1205370
200.0	1.0258801	0.4144943	0.1204561	0.6081093	0.0569577	0.3799330	0.7071520	0.3751594	0.9803370	0.0992648
250.0	0.9997061	0.4652565	0.0928367	0.6561710	0.0462913	0.2844074	0.6387217	0.4680848	0.9895981	0.1642444
300.0	1.0877135	0.4779899	0.0952538	0.6170360	0.0341777	0.3256781	0.5980955	0.4464265	0.9968160	0.1171345
350.0	0.9994769	0.2809601	0.0979141	0.6905886	0.0386027	0.2678094	0.5781784	0.4658988	0.9680093	0.1005180
400.0	0.9811441	0.3149290	0.0857346	0.8176638	0.0773733	0.1898899	0.4456148	0.6665116	1.0676217	0.1192856
450.0	0.9002941	0.6356870	0.0882397	0.7951944	0.0539678	0.1828551	0.4830707	0.6295360	1.0257522	0.1173979
500.0	0.9173509	0.4720500	0.0821545	0.6723731	0.0353177	0.2056335	0.5426603	0.4980718	1.0193917	0.0854584
550.0	0.9688322	0.3042424	0.0937523	0.7845044	0.0328719	0.2155408	0.4237657	0.5729766	0.9371616	0.8699637
600.0	1.0528987	0.3662621	0.2135198	0.7887706	0.0902822	0.1619555	0.3192004	0.6162836	0.9175385	1.0049005
650.0	1.0676429	0.7958010	0.3347915	0.8918768	0.0871271	0.1645469	0.2963379	0.5066268	0.9687405	0.9134871
700.0	1.0415544	0.9632764	0.4330654	0.6040214	0.0536093	0.3341325	0.4626343	0.4703104	0.8744826	0.9818515
750.0	1.0034061	0.9626984	0.4265619	0.5137822	0.0988739	0.5026475	0.5884034	0.3716480	1.0129816	1.0365039
800.0	0.8848292	1.0126851	0.3872707	0.4388867	0.1348919	0.4893709	0.6611453	0.2747219	0.9959849	1.0397135
850.0	0.9728546	1.0668978	0.3470031	0.4652563	0.1058380	0.5098214	0.6860554	0.3055492	1.0258042	0.9592705
900.0	0.9461455	0.9402133	0.2615440	0.4229174	0.0460113	0.4816253	0.6178506	0.3524032	1.0232409	1.0528424
950.0	0.9259668	0.9310972	0.1642044	0.4261549	0.0380818	0.4653827	0.6907703	0.3248028	0.9468544	1.0252024
1000.0	0.9299574	0.7385192	0.1546614	0.3926895	0.0277681	0.4073159	0.6216833	0.3246616	0.9913419	1.0374027

0.0	1.0928319	0.5874783	0.2127662	0.4271992	0.0356098	0.5044736	0.6257688	0.3232466	1.0356239	0.9499176
50.0	1.0040825	0.3316079	0.2548479	0.5897631	0.0152308	0.4328035	0.5953850	0.4270955	0.9589233	1.0535362
100.0	0.9993621	0.1509214	0.2807508	0.7324582	0.0103477	0.2363300	0.4001792	0.4872604	0.9954902	1.0112191
150.0	0.9765495	0.0638374	0.3398630	0.7885185	0.0183951	0.1274748	0.2546137	0.6683083	0.9159039	1.0028530
200.0	0.9653023	0.0222181	0.3710963	0.8958458	0.0379898	0.0792502	0.1458604	0.9246948	0.9062602	0.9329549
250.0	1.0613536	0.0355793	0.3884009	1.0205164	0.0554007	0.0549304	0.0696066	0.9168242	0.8605454	0.9542550
300.0	1.0207629	0.2335832	0.4464076	1.1399168	0.0737858	0.0639042	0.0373120	0.9985836	0.9088118	0.9762060
350.0	0.9516762	0.5752032	0.5489049	0.9417537	0.0813827	0.0508104	0.0859650	0.8077603	0.9484285	1.0051542
400.0	1.0155892	0.7511669	0.5634928	0.8189448	0.0768909	0.2352604	0.2286499	0.6121334	1.0366579	0.9182334
450.0	1.0255057	0.8458256	0.4599587	0.5992023	0.0654270	0.4933348	0.4539561	0.4511350	1.0023589	0.9518346
500.0	1.0276466	0.5979206	0.3915924	0.5540002	0.0516124	0.5299980	0.5556143	0.3945142	0.9935555	1.0742571
550.0	1.0114249	0.7596320	0.3230874	0.5918002	0.1058772	0.5052871	0.6190760	0.3784315	0.9740782	0.9705656
600.0	1.0775718	0.8818179	0.3011019	0.5606235	0.0851933	0.4874493	0.6067639	0.3858299	0.9681298	1.0014233
650.0	0.9114085	0.9039190	0.3241130	0.5240397	0.0749945	0.5022695	0.5624845	0.2843152	0.9488135	1.0330878
700.0	0.9689316	0.7380853	0.2811563	0.4889513	0.0420785	0.5087989	0.6095353	0.3578868	0.9184350	1.0756187
750.0	1.0121349	0.3333124	0.2781820	0.5365242	0.0505957	0.4597258	0.6125380	0.3955950	1.0360117	1.0710454
800.0	1.0412863	0.6214297	0.2700576	0.5761110	0.0935277	0.4301058	0.4951788	0.4719980	0.9758414	1.0130541
850.0	1.0027445	0.8292253	0.2899543	0.5680940	0.0570366	0.4777922	0.5231573	0.4390646	0.9261988	0.9751005
900.0	0.9654689	0.9237276	0.2787802	0.5208109	0.0581618	0.4879951	0.5770091	0.4029149	0.9961276	0.9827813
950.0	0.9902740	0.8142141	0.3020551	0.4930635	0.0564070	0.4856235	0.6358876	0.3221837	0.9124109	1.0240734
1000.0	1.0477229	0.6893523	0.2571672	0.5491857	0.0512533	0.4511431	0.6533331	0.3670105	0.9227068	1.0764877

0.0	0.9884629	0.3583332	0.2161546	0.5758676	0.0456729	0.4047335	0.4567771	0.4219810	0.9265287	1.0263268
