"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.2938420	0.3711045	0.7210730	0.6917461	0.7903316	0.3778542	0.2733242	0.9099592	1.0000000	1.0000000
0.6723262	0.1476334	0.8502334	0.6051832	0.6609230	0.7091110	0.2312946	0.8301917	1.0000000	1.0000000
0.4629618	0.8323703	0.2979172	0.7943024	0.9924009	0.2395984	0.3453770	0.9652286	1.0000000	1.0000000
0.5764317	0.3999675	0.7080068	0.3494529	0.8018424	0.3582591	0.2793682	0.9171964	1.0000000	1.0000000
0.5522074	0.3990303	0.7083657	0.7054016	0.4007654	0.3588132	0.2925007	0.9308964	1.0000000	1.0000000
0.2858944	0.6538676	0.4171789	0.8045722	0.9711926	0.1327598	0.4959511	0.9926354	1.0000000	1.0000000
0.8602078	0.4056411	0.7060542	0.4585366	0.8032816	0.3550143	0.1401648	0.3735230	1.0000000	1.0000000
0.5765824	0.3997894	0.7081522	0.5568412	0.8016798	0.3584064	0.2793027	0.4585805	1.0000000	1.0000000
0.7505056	0.4038391	0.7068016	0.6107333	0.8026472	0.3561014	0.1942370	0.6973791	0.5000000	1.0000000
0.8694848	0.4058767	0.7059176	0.4412129	0.8034199	0.3548518	0.1352150	0.3408840	1.0000000	0.5000001
