"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.5751099	0.4015313	0.7067355	0.6997868	0.8032637	0.3569740	0.2799427	0.9180708	1.0000000	1.0000000
50.0	0.5712249	0.4702843	0.7645604	0.5382874	0.7569143	0.3051295	0.2954017	0.9013612	1.0000000	1.0000000
100.0	0.5476465	0.5465624	0.8324254	0.3882879	0.6879638	0.2371740	0.3235653	0.8918460	1.0000000	1.0000000
150.0	0.5055343	0.5851023	0.8679106	0.3133487	0.6258675	0.1896139	0.3609828	0.8974712	1.0000000	1.0000000
200.0	0.4520842	0.5997515	0.8788530	0.2814008	0.5837760	0.1625761	0.4041173	0.9093511	1.0000000	1.0000000
250.0	0.3970953	0.6043891	0.8779947	0.2709878	0.5625381	0.1490208	0.4443302	0.9208223	1.0000000	1.0000000
300.0	0.3502883	0.6058177	0.8735719	0.2701791	0.5555974	0.1427946	0.4751485	0.9292383	1.0000000	1.0000000
350.0	0.3161941	0.6064398	0.8692991	0.2726339	0.5558432	0.1400961	0.4954004	0.9345511	1.0000000	1.0000000
400.0	0.2941196	0.6068490	0.8662397	0.2754431	0.5585293	0.1389515	0.5072658	0.9376173	1.0000000	1.0000000
450.0	0.2810261	0.6071303	0.8643408	0.2776168	0.5613307	0.1384546	0.5136630	0.9392911	1.0000000	1.0000000
500.0	0.2737565	0.6073015	0.8632563	0.2790408	0.5634607	0.1382258	0.5169208	0.9401719	1.0000000	1.0000000
550.0	0.2699177	0.6073935	0.8626676	0.2798891	0.5648568	0.1381139	0.5185231	0.9406235	1.0000000	1.0000000
600.0	0.2679640	0.6074385	0.8623575	0.2803651	0.5656944	0.1380571	0.5192980	0.9408506	1.0000000	1.0000000
650.0	0.2669942	0.6074596	0.8621969	0.2806219	0.5661689	0.1380283	0.5196714	0.9409630	1.0000000	1.0000000
700.0	0.2665198	0.6074696	0.8621147	0.2807568	0.5664275	0.1380137	0.5198519	0.9410181	1.0000000	1.0000000
750.0	0.2662893	0.6074747	0.8620727	0.2808265	0.5665650	0.1380065	0.5199395	0.9410450	1.0000000	1.0000000
800.0	0.2661774	0.6074776	0.8620515	0.2808620	0.5666367	0.1380029	0.5199822	0.9410581	1.0000000	1.0000000
850.0	0.2661230	0.6074794	0.8620408	0.2808799	0.5666737	0.1380010	0.5200031	0.9410644	1.0000000	1.0000000
900.0	0.2660965	0.6074805	0.8620353	0.2808888	0.5666926	0.1380001	0.5200134	0.9410675	1.0000000	1.0000000
950.0	0.2660836	0.6074812	0.8620326	0.2808932	0.5667022	0.1379995	0.5200186	0.9410690	1.0000000	1.0000000
