"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.5753047	0.4010987	0.7070377	0.6996576	0.8030610	0.3572402	0.2798248	0.9179126	1.0000000	1.0000000
50.0	0.5785478	0.7409582	0.7061653	0.6952779	0.8028357	0.3317422	0.2580433	0.9162930	1.0000000	0.4590906
100.0	0.6158336	0.8346933	0.6952426	0.6784795	0.8037850	0.2861824	0.1944709	0.8925752	1.0000000	0.3170290
150.0	0.7025805	0.8618728	0.6722434	0.6587162	0.8096190	0.2590649	0.1448012	0.7969387	1.0000000	0.2797188
200.0	0.7931540	0.8722379	0.6462709	0.6342493	0.8221880	0.2462159	0.1252600	0.6136329	1.0000000	0.2699198
250.0	0.8506009	0.8788320	0.6248045	0.5937277	0.8387649	0.2402964	0.1220445	0.4393549	1.0000000	0.2673463
300.0	0.8764593	0.8843418	0.6100071	0.5409555	0.8550899	0.2374289	0.1240063	0.3392098	1.0000000	0.2666704
350.0	0.8844519	0.8889015	0.6008454	0.4943413	0.8684275	0.2359028	0.1265665	0.2991520	1.0000000	0.2664928
400.0	0.8848141	0.8923637	0.5954860	0.4650502	0.8780703	0.2350013	0.1285206	0.2904489	1.0000000	0.2664462
450.0	0.8828117	0.8947844	0.5924081	0.4515808	0.8845050	0.2344257	0.1298134	0.2940865	1.0000000	0.2664340
500.0	0.8805985	0.8963753	0.5906223	0.4478890	0.8885853	0.2340442	0.1306343	0.3007623	1.0000000	0.2664308
550.0	0.8757999	0.6300801	0.5897995	0.4510486	0.8910930	0.2375604	0.1553614	0.3150285	1.0000000	0.8073394
600.0	0.8325470	0.5579210	0.5924063	0.4698138	0.8924028	0.2500851	0.2294093	0.4364793	1.0000000	0.9494007
650.0	0.7321954	0.5359918	0.6010762	0.5260350	0.8919312	0.2656014	0.2846043	0.6663436	1.0000000	0.9867109
700.0	0.6306218	0.5230888	0.6140415	0.6048216	0.8887312	0.2789539	0.3078568	0.8259017	1.0000000	0.9965098
750.0	0.5657231	0.5088857	0.6276556	0.6668452	0.8827253	0.2890298	0.3133681	0.9002891	1.0000000	0.9990834
800.0	0.5348109	0.4933115	0.6395871	0.7023480	0.8748752	0.2969624	0.3119595	0.9302255	1.0000000	0.9997593
850.0	0.5243604	0.4785699	0.6493430	0.7190065	0.8664717	0.3039287	0.3085583	0.9408268	1.0000000	0.9999368
900.0	0.5239577	0.4660043	0.6573592	0.7252473	0.8584657	0.3104169	0.3048844	0.9433986	1.0000000	0.9999834
950.0	0.5277782	0.4557633	0.6641753	0.7263646	0.8512743	0.3164349	0.3014239	0.9427022	1.0000000	0.9999956
1000.0	0.5330266	0.4474268	0.6701219	0.7251396	0.8449419	0.3218670	0.2983019	0.9407328	1.0000000	0.9999989

0.0	0.5753047	0.4010987	0.7070377	0.6996576	0.8030610	0.3572402	0.2798248	0.9179126	1.0000000	1.0000000
50.0	0.5737909	0.4053467	0.6846002	0.7001502	0.7622160	0.1760219	0.2928943	0.9185846	1.0000000	1.0000000
100.0	0.5507358	0.4204431	0.6101927	0.7096108	0.7642536	0.1351337	0.3437001	0.9289114	1.0000000	1.0000000
150.0	0.4894758	0.4631572	0.5253220	0.7358860	0.7945624	0.1217339	0.4106064	0.9509945	1.0000000	1.0000000
200.0	0.4121257	0.5289535	0.4577899	0.7696374	0.8347368	0.1089244	0.4675962	0.9710453	1.0000000	1.0000000
250.0	0.3457872	0.5968524	0.4058130	0.7961511	0.8687610	0.0931697	0.5130163	0.9832955	1.0000000	1.0000000
300.0	0.2965146	0.6493382	0.3598046	0.8106963	0.8924315	0.0780381	0.5538226	0.9898503	1.0000000	1.0000000
350.0	0.2599234	0.6812958	0.3161114	0.8171750	0.9079088	0.0663705	0.5914595	0.9933704	1.0000000	1.0000000
400.0	0.2321761	0.6944373	0.2767132	0.8204013	0.9179009	0.0586445	0.6230336	0.9953574	1.0000000	1.0000000
450.0	0.2115742	0.6924960	0.2446622	0.8228644	0.9241961	0.0542139	0.6463847	0.9965221	1.0000000	1.0000000
500.0	0.1970565	0.6806678	0.2214674	0.8254011	0.9279836	0.0522743	0.6616986	0.9972128	1.0000000	1.0000000
550.0	0.1896219	0.6619317	0.2804238	0.8279414	0.9787015	0.2149516	0.6084754	0.9975657	1.0000000	1.0000000
600.0	0.2087225	0.6412993	0.4239072	0.8271756	0.9897491	0.2522885	0.4763781	0.9970462	1.0000000	1.0000000
650.0	0.2648965	0.6239362	0.5258183	0.8177531	0.9826255	0.2628889	0.3921161	0.9944398	1.0000000	1.0000000
700.0	0.3385673	0.5996775	0.5807335	0.7991625	0.9612947	0.2680177	0.3523806	0.9885084	1.0000000	1.0000000
750.0	0.4037534	0.5644553	0.6083355	0.7783758	0.9335188	0.2730742	0.3345345	0.9797002	1.0000000	1.0000000
800.0	0.4489785	0.5302909	0.6232097	0.7618044	0.9081910	0.2798744	0.3255796	0.9704571	1.0000000	1.0000000
850.0	0.4768339	0.5043284	0.6333109	0.7508090	0.8890627	0.2882255	0.3195903	0.9627720	1.0000000	1.0000000
900.0	0.4941923	0.4861103	0.6420995	0.7437728	0.8754872	0.2969814	0.3143498	0.9569376	1.0000000	1.0000000
950.0	0.5064286	0.4728528	0.6504946	0.7387461	0.8654457	0.3051155	0.3093952	0.9523367	1.0000000	1.0000000
1000.0	0.5163412	0.4623426	0.6583586	0.7345061	0.8573119	0.3121778	0.3048667	0.9483611	1.0000000	1.0000000

0.0	0.5753047	0.4010987	0.7070377	0.6996576	0.8030610	0.3572402	0.2798248	0.9179126	1.0000000	1.0000000
50.0	0.5727338	0.6571858	0.8980950	0.6856599	0.7763323	0.0847996	0.3021835	0.9312107	1.0000000	1.0000000
100.0	0.5295879	0.7084469	0.9573422	0.6472066	0.6983514	0.0230264	0.4161235	0.9484228	1.0000000	1.0000000
150.0	0.4091013	0.7113862	0.9731075	0.6150075	0.6234363	0.0085833	0.5772311	0.9738520	1.0000000	1.0000000
200.0	0.2856278	0.7069828	0.9760255	0.5973227	0.5753082	0.0050805	0.6741920	0.9891541	1.0000000	1.0000000
250.0	0.2132052	0.7030868	0.9760263	0.5893959	0.5500357	0.0041912	0.7121053	0.9953738	1.0000000	1.0000000
300.0	0.1794024	0.7002486	0.9756844	0.5864646	0.5382717	0.0039579	0.7247505	0.9976452	1.0000000	1.0000000
350.0	0.1648581	0.6982091	0.9754545	0.5857187	0.5332258	0.0039004	0.7287784	0.9984594	1.0000000	1.0000000
400.0	0.1587989	0.6968696	0.9753379	0.5857970	0.5311911	0.0038928	0.7300613	0.9987538	1.0000000	1.0000000
450.0	0.1563222	0.6960973	0.9752851	0.5861056	0.5304122	0.0038986	0.7304769	0.9988620	1.0000000	1.0000000
500.0	0.1553257	0.6956995	0.9752628	0.5864101	0.5301282	0.0039062	0.7306142	0.9989024	1.0000000	1.0000000
550.0	0.1556953	0.3817836	0.4419302	0.6341612	0.6212413	0.2119244	0.6870813	0.9986981	1.0000000	1.0000000
600.0	0.1734135	0.3858237	0.4593541	0.7450554	0.8044474	0.2871999	0.5148875	0.9982522	1.0000000	1.0000000
650.0	0.2319297	0.4427809	0.5545432	0.8010738	0.8928740	0.3223391	0.3897702	0.9961897	1.0000000	1.0000000
700.0	0.3231934	0.4798097	0.6223998	0.8021579	0.9089943	0.3292092	0.3298738	0.9899764	1.0000000	1.0000000
750.0	0.4147347	0.4830384	0.6576816	0.7801641	0.8934736	0.3243334	0.3054351	0.9776882	1.0000000	1.0000000
800.0	0.4808858	0.4672942	0.6720373	0.7561560	0.8704490	0.3205558	0.2970834	0.9621577	1.0000000	1.0000000
850.0	0.5184498	0.4504619	0.6767083	0.7383949	0.8516445	0.3214219	0.2948004	0.9489309	1.0000000	1.0000000
900.0	0.5365293	0.4389552	0.6787454	0.7275172	0.8397114	0.3254697	0.2938798	0.9404935	1.0000000	1.0000000
950.0	0.5448172	0.4321235	0.6810901	0.7213987	0.8328649	0.3304056	0.2926724	0.9358456	1.0000000	1.0000000
1000.0	0.5493761	0.4277367	0.6841551	0.7177934	0.8286121	0.3348239	0.2910502	0.9331325	1.0000000	1.0000000

0.0	0.5753047	0.4010987	0.7070377	0.6996576	0.8030610	0.3572402	0.2798248	0.9179126	1.0000000	1.0000000
50.0	0.5774596	0.4020330	0.6813924	0.6997785	0.8040023	0.1539382	0.2655962	0.9168324	1.0000000	0.3271259
100.0	0.6007469	0.4188654	0.5934724	0.7037064	0.8196424	0.1088312	0.2314497	0.9031859	1.0000000	0.1504059
150.0	0.6397285	0.4723682	0.4899372	0.7164112	0.8599853	0.0951616	0.2343746	0.8719627	1.0000000	0.1039932
200.0	0.6484655	0.5615041	0.4068725	0.7368420	0.9085709	0.0828354	0.2639596	0.8598640	1.0000000	0.0918036
250.0	0.6183276	0.6614714	0.3442734	0.7581084	0.9467456	0.0676967	0.2973983	0.8811867	1.0000000	0.0886021
300.0	0.5686900	0.7475432	0.2909662	0.7748581	0.9707356	0.0533551	0.3294346	0.9132725	1.0000000	0.0877613
350.0	0.5160956	0.8101046	0.2423404	0.7860640	0.9844768	0.0424732	0.3574643	0.9401028	1.0000000	0.0875405
400.0	0.4698926	0.8494087	0.2000352	0.7933448	0.9920471	0.0352120	0.3788934	0.9582387	1.0000000	0.0874825
450.0	0.4342167	0.8694419	0.1664405	0.7981679	0.9960540	0.0307156	0.3933262	0.9693052	1.0000000	0.0874673
500.0	0.4092631	0.8760532	0.1420336	0.8013487	0.9980692	0.0281035	0.4022002	0.9757207	1.0000000	0.0874633
550.0	0.3956511	0.8744910	0.2072971	0.8032949	0.9989644	0.1910475	0.3814872	0.9790274	1.0000000	0.7603363
600.0	0.4087779	0.8608438	0.3690132	0.8026812	0.9982496	0.2263057	0.3511254	0.9777394	1.0000000	0.9370560
650.0	0.4338455	0.8171334	0.4830881	0.7954442	0.9920511	0.2345815	0.3462174	0.9732509	1.0000000	0.9834687
700.0	0.4498143	0.7383791	0.5433562	0.7802156	0.9755718	0.2388431	0.3465175	0.9694697	1.0000000	0.9956583
750.0	0.4568170	0.6557841	0.5732890	0.7637568	0.9520537	0.2450001	0.3457628	0.9674031	1.0000000	0.9988597
800.0	0.4606115	0.5928611	0.5902083	0.7528425	0.9292296	0.2541439	0.3426866	0.9662163	1.0000000	0.9997005
850.0	0.4651824	0.5512212	0.6031055	0.7481004	0.9110862	0.2653180	0.3373064	0.9649651	1.0000000	0.9999213
900.0	0.4721979	0.5239431	0.6153704	0.7464369	0.8973211	0.2768727	0.3303980	0.9630847	1.0000000	0.9999793
950.0	0.4816567	0.5045302	0.6274411	0.7450025	0.8862079	0.2875010	0.3230653	0.9603867	1.0000000	0.9999946
1000.0	0.4925939	0.4891496	0.6387402	0.7425920	0.8764190	0.2966807	0.3162178	0.9569731	1.0000000	0.9999986

0.0	0.5753047	0.4010987	0.7070377	0.6996576	0.8030610	0.3572402	0.2798248	0.9179126	1.0000000	1.0000000
50.0	0.5730849	0.4023137	0.6746811	0.7014968	0.4015912	0.1097186	0.2991685	0.9448830	1.0000000	0.9829576
100.0	0.5361024	0.4240951	0.5550936	0.7183359	0.3033009	0.0551509	0.3946142	0.9608438	1.0000000	0.9784816
150.0	0.4292754	0.4967117	0.4034497	0.7609232	0.2930800	0.0411491	0.5412191	0.9793072	1.0000000	0.9773061
200.0	0.3074873	0.6114745	0.2811625	0.8075871	0.3050551	0.0331771	0.6486935	0.9911008	1.0000000	0.9769974
250.0	0.2277338	0.6979138	0.1998620	0.8309789	0.3155875	0.0257476	0.7007246	0.9961841	1.0000000	0.9769163
300.0	0.1870203	0.7094894	0.1473744	0.8349853	0.3208798	0.0204075	0.7230355	0.9981156	1.0000000	0.9768950
350.0	0.1678742	0.6735933	0.1137218	0.8344273	0.3229995	0.0178288	0.7327659	0.9988346	1.0000000	0.9768894
400.0	0.1590052	0.6313727	0.0936233	0.8358878	0.3237604	0.0173582	0.7370321	0.9991082	1.0000000	0.9768879
450.0	0.1549029	0.6005454	0.0834193	0.8399460	0.3240193	0.0180968	0.7387198	0.9992161	1.0000000	0.9768875
500.0	0.1530474	0.5821212	0.0799328	0.8452018	0.3241058	0.0193112	0.7390960	0.9992599	1.0000000	0.9768874
550.0	0.1540060	0.5723556	0.1799089	0.8500616	0.8235057	0.2211103	0.6696376	0.9988278	1.0000000	0.9939298
600.0	0.1767739	0.5730770	0.3840640	0.8516231	0.9532110	0.2681768	0.4982529	0.9981961	1.0000000	0.9984058
