"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.3206581	0.3665623	0.7921914	0.7400093	0.7688214	0.4419221	0.2849630	0.9605174	1.0268115	1.0098941
0.6853402	0.1686068	0.7964336	0.6816348	0.7232522	0.7037397	0.2153667	0.8576520	1.0265291	1.0563831
0.3487080	0.9305928	0.3307535	0.8118128	1.0198366	0.2515241	0.3643288	1.0390800	1.0100785	1.0511212
0.5503302	0.3593595	0.7212976	0.3200463	0.8527044	0.4045001	0.2620731	0.9070864	1.0181225	0.9773538
0.4306734	0.3864663	0.6987165	0.7304093	0.3958121	0.3673461	0.3243964	1.0356190	1.0005263	1.0001312
0.3445330	0.5550359	0.5035573	0.8217424	1.0248198	0.1542392	0.4476781	0.9737818	0.9965660	1.0623041
0.9165803	0.3943060	0.7049364	0.4760701	0.8389428	0.3356547	0.1213217	0.3334438	0.9763507	1.0258167
0.6220361	0.4483588	0.5779522	0.4862446	0.8259179	0.3675861	0.2687652	0.4557587	1.0235017	1.0946955
0.7480893	0.3911532	0.7162578	0.5810956	0.7748545	0.4195778	0.2256217	0.6532191	0.5123362	1.0458567
0.9538086	0.4187804	0.7729796	0.3975740	0.8205791	0.3716595	0.1370774	0.3408651	1.0114599	0.4653194
