"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.6545711	0.2967430	0.9477272	0.2612209	1.0000000	0.9999906	0.4793626	1.0000000	0.9577217	1.0000000
50.0	0.6518947	0.2967697	0.9399885	0.2612054	1.0000000	0.3626716	0.5341712	0.2355762	0.9577604	1.0000000
100.0	0.6144989	0.2987412	0.8353150	0.2617674	1.0000000	0.1315319	0.6177695	0.0554961	0.9577467	1.0000000
150.0	0.5749233	0.3077952	0.6061845	0.2668434	1.0000000	0.0477033	0.5473405	0.0130736	0.9573232	1.0000000
200.0	0.5826512	0.3175885	0.5011718	0.2830185	1.0000000	0.0173008	0.4967678	0.0030798	0.9559014	1.0000000
250.0	0.6115279	0.3182933	0.4744796	0.3065957	1.0000000	0.0062746	0.4786127	0.0007255	0.9539927	1.0000000
300.0	0.6360192	0.3120719	0.4694716	0.3257682	1.0000000	0.0022756	0.4731882	0.0001709	0.9529468	1.0000000
350.0	0.6505346	0.3050316	0.4687856	0.3364133	1.0000000	0.0008253	0.4716645	0.0000403	0.9532660	1.0000000
400.0	0.6577455	0.2999718	0.4687490	0.3411401	1.0000000	0.0002993	0.4712460	0.0000095	0.9544131	1.0000000
450.0	0.6609696	0.2970230	0.4687694	0.3429820	1.0000000	0.0001086	0.4711319	0.0000022	0.9556951	1.0000000
500.0	0.6623138	0.2955071	0.4687812	0.3436441	1.0000000	0.0000394	0.4711010	0.0000005	0.9567376	1.0000000
550.0	0.6628472	0.2947919	0.4687858	0.3438697	1.0000000	0.0000143	0.4710926	0.0000001	0.9574558	1.0000000
600.0	0.6630511	0.2944756	0.4687873	0.3439437	1.0000000	0.0000052	0.4710903	0.0000000	0.9579018	1.0000000
650.0	0.6631269	0.2943424	0.4687879	0.3439674	1.0000000	0.0000019	0.4710897	0.0000000	0.9581595	1.0000000
700.0	0.6631544	0.2942886	0.4687880	0.3439747	1.0000000	0.0000007	0.4710895	0.0000000	0.9583007	1.0000000
750.0	0.6631643	0.2942675	0.4687881	0.3439770	1.0000000	0.0000002	0.4710895	0.0000000	0.9583748	1.0000000
800.0	0.6631677	0.2942595	0.4687881	0.3439777	1.0000000	0.0000001	0.4710895	0.0000000	0.9584126	1.0000000
850.0	0.6631689	0.2942566	0.4687881	0.3439779	1.0000000	0.0000000	0.4710895	0.0000000	0.9584313	1.0000000
900.0	0.6631693	0.2942555	0.4687881	0.3439780	1.0000000	0.0000000	0.4710895	0.0000000	0.9584404	1.0000000
950.0	0.6631695	0.2942551	0.4687881	0.3439780	1.0000000	0.0000000	0.4710895	0.0000000	0.9584448	1.0000000
1000.0	0.6631695	0.2942549	0.4687881	0.3439780	1.0000000	0.0000000	0.4710895	0.0000000	0.9584468	1.0000000

0.0	0.6545711	0.2967430	0.9477272	0.2612209	1.0000000	0.9999906	0.4793626	1.0000000	0.9577217	1.0000000
50.0	0.7090327	0.2951867	0.9479409	0.2611876	0.3569725	0.9999906	0.1299445	1.0000000	0.9577730	1.0000000
100.0	0.8110371	0.2830440	0.9493354	0.2611649	0.1274294	0.9999907	0.0352250	1.0000000	0.9582397	1.0000000
150.0	0.9070971	0.2662795	0.9544582	0.2611045	0.0454888	0.9999907	0.0095487	1.0000000	0.9599752	1.0000000
200.0	0.9687763	0.2518373	0.9621113	0.2609452	0.0162382	0.9999907	0.0025884	1.0000000	0.9626496	1.0000000
250.0	0.9896278	0.2429891	0.9693550	0.2606964	0.0057966	0.9999907	0.0007017	1.0000000	0.9653318	1.0000000
300.0	0.9961222	0.2388094	0.9745822	0.2604260	0.0020692	0.9999907	0.0001902	1.0000000	0.9673868	1.0000000
350.0	0.9981330	0.2370947	0.9777936	0.2601950	0.0007387	0.9999907	0.0000516	1.0000000	0.9687098	1.0000000
400.0	0.9987538	0.2364471	0.9795933	0.2600275	0.0002637	0.9999907	0.0000140	1.0000000	0.9694738	1.0000000
450.0	0.9989444	0.2362156	0.9805482	0.2599187	0.0000941	0.9999907	0.0000038	1.0000000	0.9698854	1.0000000
500.0	0.9990022	0.2361361	0.9810369	0.2598536	0.0000336	0.9999907	0.0000010	1.0000000	0.9700968	1.0000000
550.0	0.9990193	0.2361095	0.9812805	0.2598167	0.0000120	0.9999907	0.0000003	1.0000000	0.9702017	1.0000000
600.0	0.9990241	0.2361009	0.9813994	0.2597967	0.0000043	0.9999907	0.0000001	1.0000000	0.9702525	1.0000000
650.0	0.9990253	0.2360982	0.9814564	0.2597862	0.0000015	0.9999907	0.0000000	1.0000000	0.9702766	1.0000000
700.0	0.9990256	0.2360973	0.9814835	0.2597809	0.0000005	0.9999907	0.0000000	1.0000000	0.9702879	1.0000000
750.0	0.9990256	0.2360971	0.9814961	0.2597782	0.0000002	0.9999907	0.0000000	1.0000000	0.9702931	1.0000000
800.0	0.9990255	0.2360970	0.9815020	0.2597769	0.0000001	0.9999907	0.0000000	1.0000000	0.9702955	1.0000000
850.0	0.9990255	0.2360970	0.9815047	0.2597762	0.0000000	0.9999907	0.0000000	1.0000000	0.9702966	1.0000000
900.0	0.9990255	0.2360970	0.9815059	0.2597759	0.0000000	0.9999907	0.0000000	1.0000000	0.9702971	1.0000000
950.0	0.9990254	0.2360970	0.9815065	0.2597758	0.0000000	0.9999907	0.0000000	1.0000000	0.9702973	1.0000000
1000.0	0.9990254	0.2360970	0.9815067	0.2597757	0.0000000	0.9999907	0.0000000	1.0000000	0.9702974	1.0000000

0.0	0.6545711	0.2967430	0.9477272	0.2612209	1.0000000	0.9999906	0.4793626	1.0000000	0.9577217	1.0000000
50.0	0.7073261	0.2952154	0.9479404	0.0811904	1.0000000	0.9999906	0.1299445	1.0000000	0.9577728	1.0000000
100.0	0.7590408	0.2842408	0.9492836	0.0252349	1.0000000	0.9999907	0.0352250	1.0000000	0.9582213	1.0000000
150.0	0.4974401	0.2845501	0.9534088	0.0078433	1.0000000	0.9999907	0.0095487	1.0000000	0.9595807	1.0000000
200.0	0.2703542	0.3494986	0.9523785	0.0024378	1.0000000	0.9999907	0.0025884	1.0000000	0.9589769	1.0000000
250.0	0.1928392	0.4884114	0.9096548	0.0007577	1.0000000	0.9999907	0.0007017	1.0000000	0.9471553	1.0000000
300.0	0.1686794	0.6235151	0.7393110	0.0002355	1.0000000	0.9999907	0.0001902	1.0000000	0.9084504	1.0000000
350.0	0.1611896	0.7038874	0.5351083	0.0000732	1.0000000	0.9999907	0.0000516	1.0000000	0.8440138	1.0000000
400.0	0.1588683	0.7405199	0.4219483	0.0000228	1.0000000	0.9999907	0.0000140	1.0000000	0.7817873	1.0000000
450.0	0.1581488	0.7550193	0.3737977	0.0000071	1.0000000	0.9999907	0.0000038	1.0000000	0.7389841	1.0000000
500.0	0.1579259	0.7603131	0.3546232	0.0000022	1.0000000	0.9999907	0.0000010	1.0000000	0.7143134	1.0000000
550.0	0.1578568	0.7621514	0.3469974	0.0000007	1.0000000	0.9999907	0.0000003	1.0000000	0.7013070	1.0000000
600.0	0.1578354	0.7627691	0.3438948	0.0000002	1.0000000	0.9999907	0.0000001	1.0000000	0.6947731	1.0000000
650.0	0.1578287	0.7629720	0.3425948	0.0000001	1.0000000	0.9999907	0.0000000	1.0000000	0.6915863	1.0000000
700.0	0.1578267	0.7630376	0.3420351	0.0000000	1.0000000	0.9999907	0.0000000	1.0000000	0.6900632	1.0000000
750.0	0.1578260	0.7630586	0.3417890	0.0000000	1.0000000	0.9999907	0.0000000	1.0000000	0.6893460	1.0000000
800.0	0.1578258	0.7630652	0.3416793	0.0000000	1.0000000	0.9999907	0.0000000	1.0000000	0.6890120	1.0000000
850.0	0.1578258	0.7630673	0.3416299	0.0000000	1.0000000	0.9999907	0.0000000	1.0000000	0.6888578	1.0000000
900.0	0.1578257	0.7630680	0.3416076	0.0000000	1.0000000	0.9999907	0.0000000	1.0000000	0.6887870	1.0000000
950.0	0.1578257	0.7630682	0.3415975	0.0000000	1.0000000	0.9999907	0.0000000	1.0000000	0.6887547	1.0000000
1000.0	0.1578257	0.7630682	0.3415929	0.0000000	1.0000000	0.9999907	0.0000000	1.0000000	0.6887399	1.0000000

0.0	0.6545711	0.2967430	0.9477272	0.2612209	1.0000000	0.9999906	0.4793626	1.0000000	0.9577217	1.0000000
50.0	0.6503046	0.0643385	0.9654062	0.2611206	1.0000000	0.3626716	0.5643308	1.0000000	0.9654500	1.0000000
100.0	0.5871305	0.0139496	0.9826052	0.2606632	1.0000000	0.1315319	0.7906158	1.0000000	0.9756262	1.0000000
150.0	0.4778509	0.0030245	0.9881645	0.2601243	1.0000000	0.0477033	0.8774331	1.0000000	0.9791106	1.0000000
200.0	0.4004451	0.0006558	0.9898232	0.2597648	1.0000000	0.0173008	0.9013304	1.0000000	0.9799384	1.0000000
250.0	0.3605359	0.0001422	0.9903170	0.2595775	1.0000000	0.0062746	0.9078114	1.0000000	0.9801150	1.0000000
300.0	0.3425320	0.0000308	0.9904640	0.2594921	1.0000000	0.0022756	0.9095682	1.0000000	0.9801516	1.0000000
350.0	0.3349886	0.0000067	0.9905078	0.2594563	1.0000000	0.0008253	0.9100445	1.0000000	0.9801591	1.0000000
400.0	0.3319808	0.0000014	0.9905208	0.2594421	1.0000000	0.0002993	0.9101736	1.0000000	0.9801606	1.0000000
450.0	0.3308249	0.0000003	0.9905247	0.2594367	1.0000000	0.0001086	0.9102086	1.0000000	0.9801609	1.0000000
500.0	0.3303932	0.0000001	0.9905258	0.2594347	1.0000000	0.0000394	0.9102181	1.0000000	0.9801610	1.0000000
550.0	0.3302358	0.0000000	0.9905262	0.2594339	1.0000000	0.0000143	0.9102206	1.0000000	0.9801610	1.0000000
600.0	0.3301794	0.0000000	0.9905263	0.2594337	1.0000000	0.0000052	0.9102213	1.0000000	0.9801610	1.0000000
650.0	0.3301595	0.0000000	0.9905263	0.2594336	1.0000000	0.0000019	0.9102215	1.0000000	0.9801610	1.0000000
700.0	0.3301526	0.0000000	0.9905263	0.2594336	1.0000000	0.0000007	0.9102216	1.0000000	0.9801610	1.0000000
750.0	0.3301503	0.0000000	0.9905263	0.2594336	1.0000000	0.0000002	0.9102216	1.0000000	0.9801610	1.0000000
800.0	0.3301495	0.0000000	0.9905263	0.2594336	1.0000000	0.0000001	0.9102216	1.0000000	0.9801610	1.0000000
850.0	0.3301492	0.0000000	0.9905263	0.2594336	1.0000000	0.0000000	0.9102216	1.0000000	0.9801610	1.0000000
900.0	0.3301491	0.0000000	0.9905263	0.2594336	1.0000000	0.0000000	0.9102216	1.0000000	0.9801610	1.0000000
950.0	0.3301491	0.0000000	0.9905263	0.2594336	1.0000000	0.0000000	0.9102216	1.0000000	0.9801610	1.0000000
1000.0	0.3301491	0.0000000	0.9905263	0.2594336	1.0000000	0.0000000	0.9102216	1.0000000	0.9801610	1.0000000

0.0	0.6545711	0.2967430	0.9477272	0.2612209	1.0000000	0.9999906	0.4793626	1.0000000	0.9577217	1.0000000
50.0	0.6540542	0.2967463	0.9479057	0.0811904	0.3569725	0.9999906	0.4793624	1.0000000	0.9577605	1.0000000
100.0	0.6428287	0.2971291	0.9479760	0.0252349	0.1274294	0.9999907	0.4793624	1.0000000	0.9577733	1.0000000
150.0	0.6083878	0.3012882	0.9476495	0.0078433	0.0454888	0.9999907	0.4793624	1.0000000	0.9576578	1.0000000
200.0	0.6149070	0.3070706	0.9456317	0.0024378	0.0162382	0.9999907	0.4793624	1.0000000	0.9570133	1.0000000
250.0	0.6192055	0.3084269	0.9422470	0.0007577	0.0057966	0.9999907	0.4793624	1.0000000	0.9560330	1.0000000
300.0	0.6205850	0.3080198	0.9394540	0.0002355	0.0020692	0.9999907	0.4793624	1.0000000	0.9553123	1.0000000
350.0	0.6210134	0.3075476	0.9379521	0.0000732	0.0007387	0.9999907	0.4793624	1.0000000	0.9549754	1.0000000
400.0	0.6211462	0.3072907	0.9373830	0.0000228	0.0002637	0.9999907	0.4793624	1.0000000	0.9548736	1.0000000
450.0	0.6211873	0.3071795	0.9372589	0.0000071	0.0000941	0.9999907	0.4793624	1.0000000	0.9548666	1.0000000
500.0	0.6212001	0.3071365	0.9372861	0.0000022	0.0000336	0.9999907	0.4793624	1.0000000	0.9548838	1.0000000
550.0	0.6212040	0.3071210	0.9373400	0.0000007	0.0000120	0.9999907	0.4793624	1.0000000	0.9549005	1.0000000
600.0	0.6212052	0.3071156	0.9373829	0.0000002	0.0000043	0.9999907	0.4793624	1.0000000	0.9549117	1.0000000
650.0	0.6212056	0.3071139	0.9374098	0.0000001	0.0000015	0.9999907	0.4793624	1.0000000	0.9549180	1.0000000
700.0	0.6212057	0.3071133	0.9374250	0.0000000	0.0000005	0.9999907	0.4793624	1.0000000	0.9549213	1.0000000
750.0	0.6212058	0.3071131	0.9374329	0.0000000	0.0000002	0.9999907	0.4793624	1.0000000	0.9549230	1.0000000
800.0	0.6212058	0.3071130	0.9374369	0.0000000	0.0000001	0.9999907	0.4793624	1.0000000	0.9549238	1.0000000
850.0	0.6212058	0.3071130	0.9374389	0.0000000	0.0000000	0.9999907	0.4793624	1.0000000	0.9549242	1.0000000
900.0	0.6212058	0.3071130	0.9374398	0.0000000	0.0000000	0.9999907	0.4793624	1.0000000	0.9549244	1.0000000
950.0	0.6212058	0.3071130	0.9374403	0.0000000	0.0000000	0.9999907	0.4793624	1.0000000	0.9549245	1.0000000
1000.0	0.6212058	0.3071130	0.9374405	0.0000000	0.0000000	0.9999907	0.4793624	1.0000000	0.9549245	1.0000000
