"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.0000000	1.0000000	0.3308731	0.4614746	1.0000000	0.9999907	0.4793624	1.0000000	0.5978902	1.0000000
0.6545506	0.0000000	0.9905263	0.2594336	1.0000000	0.9999907	0.4793624	1.0000000	0.9801610	1.0000000
0.6554440	0.2964784	0.0000005	0.9999908	1.0000000	0.9999907	0.4793624	1.0000000	0.9578635	1.0000000
0.1578258	0.7630658	0.3416660	0.0000000	1.0000000	0.9999907	0.4793624	1.0000000	0.6889716	1.0000000
0.8845361	0.2497836	0.9771197	0.2599640	0.0000015	0.9999907	0.4793624	1.0000000	0.9680307	1.0000000
0.3301503	0.4906485	0.9905258	0.2594343	1.0000000	0.0000002	0.9102216	1.0000000	0.8663102	1.0000000
0.8705298	0.2517793	0.9764096	0.2599865	1.0000000	0.9999907	0.0000001	1.0000000	0.9676920	1.0000000
0.6632271	0.2942353	0.4505832	0.3537849	1.0000000	0.0954834	0.4710630	0.0000000	0.9584907	1.0000000
0.6545743	0.2967325	0.9480761	0.2611521	1.0000000	0.9999907	0.4793624	1.0000000	0.0000001	1.0000000
0.6545743	0.2967325	0.9480761	0.2611521	1.0000000	0.9999907	0.4793624	1.0000000	0.3724580	0.0000007
