"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.6545711	0.2967430	0.9477272	0.2612209	1.0000000	0.9999906	0.4793626	1.0000000	0.9577217	1.0000000
50.0	0.3832601	0.3188513	0.9527224	0.2174695	0.8586156	0.9999905	0.7324597	0.7941084	0.9908624	1.0000000
100.0	0.2487843	0.4055683	0.9373300	0.2038509	0.8081452	0.9999873	0.7854185	0.7456053	0.9975053	1.0000000
150.0	0.1847754	0.5359194	0.8608931	0.2002483	0.7901287	0.9999827	0.7862433	0.7341791	0.9983386	1.0000000
200.0	0.1590498	0.6539306	0.6963820	0.2022329	0.7836973	0.9999785	0.7783540	0.7314874	0.9973331	1.0000000
250.0	0.1507620	0.7271919	0.5567323	0.2118488	0.7814014	0.9999756	0.7721085	0.7308533	0.9956073	1.0000000
300.0	0.1491924	0.7619056	0.4867487	0.2305433	0.7805819	0.9999738	0.7685018	0.7307039	0.9940346	1.0000000
350.0	0.1496615	0.7748296	0.4574506	0.2532292	0.7802893	0.9999729	0.7666677	0.7306687	0.9929814	1.0000000
400.0	0.1504364	0.7781123	0.4457595	0.2723525	0.7801849	0.9999724	0.7657947	0.7306604	0.9923867	1.0000000
450.0	0.1510294	0.7780190	0.4411203	0.2848532	0.7801476	0.9999722	0.7653948	0.7306585	0.9920856	1.0000000
500.0	0.1513940	0.7771591	0.4392796	0.2917900	0.7801343	0.9999721	0.7652157	0.7306580	0.9919465	1.0000000
550.0	0.1515950	0.7763899	0.4385612	0.2952579	0.7801296	0.9999720	0.7651367	0.7306579	0.9918885	1.0000000
600.0	0.1516986	0.7758783	0.4382949	0.2968740	0.7801279	0.9999720	0.7651022	0.7306579	0.9918678	1.0000000
650.0	0.1517497	0.7755808	0.4382073	0.2975877	0.7801273	0.9999720	0.7650872	0.7306579	0.9918624	1.0000000
700.0	0.1517740	0.7754211	0.4381863	0.2978871	0.7801270	0.9999720	0.7650807	0.7306579	0.9918625	1.0000000
750.0	0.1517854	0.7753397	0.4381870	0.2980052	0.7801270	0.9999720	0.7650779	0.7306579	0.9918639	1.0000000
800.0	0.1517906	0.7752999	0.4381928	0.2980476	0.7801269	0.9999720	0.7650767	0.7306579	0.9918653	1.0000000
850.0	0.1517929	0.7752809	0.4381982	0.2980605	0.7801269	0.9999720	0.7650762	0.7306579	0.9918663	1.0000000
900.0	0.1517939	0.7752721	0.4382021	0.2980627	0.7801269	0.9999720	0.7650759	0.7306579	0.9918669	1.0000000
950.0	0.1517944	0.7752680	0.4382045	0.2980618	0.7801269	0.9999720	0.7650758	0.7306579	0.9918673	1.0000000
1000.0	0.1517946	0.7752662	0.4382059	0.2980604	0.7801269	0.9999720	0.7650758	0.7306579	0.9918675	1.0000000

0.0	0.6545711	0.2967430	0.9477272	0.2612209	1.0000000	0.9999906	0.4793626	1.0000000	0.9577217	1.0000000
50.0	0.5465344	0.2915831	0.7802340	0.2627339	0.8079031	0.9391333	0.6631476	0.4828543	0.6429897	0.8259861
100.0	0.4537808	0.3153409	0.7017945	0.2678745	0.7393298	0.9170373	0.6592851	0.3610271	0.5696767	0.7840775
150.0	0.4144311	0.3531391	0.6028169	0.2757580	0.7148510	0.9089493	0.5985285	0.3323275	0.5472143	0.7739844
200.0	0.4241208	0.3808101	0.4871094	0.2898217	0.7061128	0.9058907	0.5453602	0.3255666	0.5349296	0.7715537
250.0	0.4558543	0.3844576	0.3945547	0.3168462	0.7029935	0.9046566	0.5137292	0.3239739	0.5252336	0.7709682
300.0	0.4879046	0.3716244	0.3401225	0.3601017	0.7018800	0.9041241	0.4976604	0.3235987	0.5197135	0.7708273
350.0	0.5114203	0.3552297	0.3187791	0.4099362	0.7014825	0.9038852	0.4900812	0.3235103	0.5193069	0.7707933
400.0	0.5260181	0.3420294	0.3175326	0.4482782	0.7013406	0.9037766	0.4866414	0.3234895	0.5222000	0.7707851
450.0	0.5341917	0.3332925	0.3244851	0.4663599	0.7012899	0.9037273	0.4851137	0.3234846	0.5260348	0.7707832
500.0	0.5384626	0.3281092	0.3326373	0.4684639	0.7012718	0.9037051	0.4844439	0.3234834	0.5294141	0.7707827
550.0	0.5405872	0.3252454	0.3392447	0.4628832	0.7012654	0.9036952	0.4841525	0.3234831	0.5319006	0.7707826
600.0	0.5416056	0.3237429	0.3438354	0.4555642	0.7012631	0.9036907	0.4840263	0.3234831	0.5335515	0.7707825
650.0	0.5420793	0.3229860	0.3467640	0.4492340	0.7012623	0.9036888	0.4839719	0.3234831	0.5345768	0.7707825
700.0	0.5422938	0.3226173	0.3485322	0.4446076	0.7012620	0.9036879	0.4839484	0.3234831	0.5351835	0.7707825
750.0	0.5423885	0.3224429	0.3495575	0.4415294	0.7012619	0.9036875	0.4839383	0.3234831	0.5355293	0.7707825
800.0	0.5424293	0.3223625	0.3501334	0.4396028	0.7012618	0.9036874	0.4839340	0.3234831	0.5357203	0.7707825
850.0	0.5424464	0.3223264	0.3504481	0.4384491	0.7012618	0.9036873	0.4839321	0.3234831	0.5358231	0.7707825
900.0	0.5424533	0.3223106	0.3506161	0.4377818	0.7012618	0.9036873	0.4839313	0.3234831	0.5358770	0.7707825
950.0	0.5424560	0.3223039	0.3507038	0.4374066	0.7012618	0.9036872	0.4839310	0.3234831	0.5359048	0.7707825
1000.0	0.5424570	0.3223011	0.3507488	0.4372009	0.7012618	0.9036872	0.4839308	0.3234831	0.5359188	0.7707825

0.0	0.6545711	0.2967430	0.9477272	0.2612209	1.0000000	0.9999906	0.4793626	1.0000000	0.9577217	1.0000000
50.0	0.4808642	0.2632514	0.9731476	0.2609912	0.7026555	0.9391361	0.8059691	0.8609111	0.9899803	1.0000000
100.0	0.3288313	0.3041820	0.9821706	0.2604743	0.5965117	0.9170636	0.8877764	0.8281451	0.9966236	1.0000000
150.0	0.2400342	0.3968327	0.9787800	0.2600685	0.5586213	0.9090565	0.9045190	0.8204262	0.9978474	1.0000000
200.0	0.1997973	0.5045003	0.9490617	0.2600515	0.5450955	0.9061512	0.9058788	0.8186078	0.9976095	1.0000000
250.0	0.1839430	0.5867094	0.8817268	0.2609236	0.5402671	0.9050969	0.9046319	0.8181794	0.9966216	1.0000000
300.0	0.1783913	0.6336403	0.8174443	0.2631997	0.5385435	0.9047142	0.9035305	0.8180785	0.9953122	1.0000000
350.0	0.1767210	0.6556996	0.7801764	0.2664438	0.5379283	0.9045753	0.9028848	0.8180548	0.9941571	1.0000000
400.0	0.1763514	0.6646702	0.7623737	0.2695754	0.5377086	0.9045248	0.9025552	0.8180492	0.9933604	1.0000000
450.0	0.1763479	0.6678513	0.7543727	0.2718979	0.5376302	0.9045065	0.9023978	0.8180478	0.9928865	1.0000000
500.0	0.1764121	0.6687910	0.7508203	0.2733443	0.5376022	0.9044998	0.9023254	0.8180475	0.9926298	1.0000000
550.0	0.1764662	0.6689748	0.7492401	0.2741488	0.5375922	0.9044974	0.9022929	0.8180475	0.9924997	1.0000000
600.0	0.1764999	0.6689518	0.7485365	0.2745647	0.5375887	0.9044965	0.9022784	0.8180474	0.9924370	1.0000000
650.0	0.1765183	0.6688976	0.7482252	0.2747696	0.5375874	0.9044962	0.9022721	0.8180474	0.9924082	1.0000000
700.0	0.1765278	0.6688558	0.7480893	0.2748673	0.5375870	0.9044961	0.9022693	0.8180474	0.9923954	1.0000000
750.0	0.1765324	0.6688305	0.7480313	0.2749128	0.5375868	0.9044961	0.9022681	0.8180474	0.9923900	1.0000000
800.0	0.1765346	0.6688167	0.7480071	0.2749335	0.5375867	0.9044961	0.9022676	0.8180474	0.9923878	1.0000000
850.0	0.1765356	0.6688097	0.7479975	0.2749427	0.5375867	0.9044960	0.9022673	0.8180474	0.9923870	1.0000000
900.0	0.1765360	0.6688063	0.7479938	0.2749468	0.5375867	0.9044960	0.9022672	0.8180474	0.9923867	1.0000000
950.0	0.1765362	0.6688046	0.7479924	0.2749485	0.5375867	0.9044960	0.9022672	0.8180474	0.9923866	1.0000000
1000.0	0.1765363	0.6688039	0.7479920	0.2749492	0.5375867	0.9044960	0.9022672	0.8180474	0.9923866	1.0000000

0.0	0.6545711	0.2967430	0.9477272	0.2612209	1.0000000	0.9999906	0.4793626	1.0000000	0.9577217	1.0000000
50.0	0.4602571	0.1602355	0.9669578	0.2610782	0.8342621	0.9391367	0.7058593	0.9768257	0.9765719	1.0000000
100.0	0.3341291	0.1762142	0.9826991	0.2606156	0.7750982	0.9170662	0.7701213	0.9713664	0.9837253	1.0000000
150.0	0.2604905	0.2456844	0.9882173	0.2600980	0.7539783	0.9090616	0.7892207	0.9700803	0.9856696	1.0000000
200.0	0.2240511	0.3244074	0.9866870	0.2597628	0.7464391	0.9061585	0.7950632	0.9697773	0.9845126	1.0000000
250.0	0.2076434	0.3851608	0.9709752	0.2596970	0.7437478	0.9051055	0.7968661	0.9697060	0.9801628	1.0000000
300.0	0.2006801	0.4220441	0.9271797	0.2601313	0.7427871	0.9047236	0.7974180	0.9696891	0.9728883	1.0000000
350.0	0.1978491	0.4412393	0.8622681	0.2615138	0.7424442	0.9045851	0.7975826	0.9696852	0.9646724	1.0000000
400.0	0.1967384	0.4502725	0.8010500	0.2641176	0.7423217	0.9045348	0.7976293	0.9696842	0.9576362	1.0000000
450.0	0.1963180	0.4542383	0.7569945	0.2676635	0.7422780	0.9045166	0.7976412	0.9696840	0.9526505	1.0000000
500.0	0.1961664	0.4558904	0.7297210	0.2714298	0.7422624	0.9045100	0.7976435	0.9696840	0.9495411	1.0000000
550.0	0.1961162	0.4565477	0.7142372	0.2747123	0.7422569	0.9045076	0.7976436	0.9696840	0.9477639	1.0000000
600.0	0.1961027	0.4567963	0.7059135	0.2771638	0.7422549	0.9045067	0.7976433	0.9696840	0.9468084	1.0000000
650.0	0.1961012	0.4568838	0.7016076	0.2787920	0.7422542	0.9045064	0.7976430	0.9696840	0.9463175	1.0000000
700.0	0.1961028	0.4569106	0.6994460	0.2797825	0.7422539	0.9045063	0.7976429	0.9696840	0.9460738	1.0000000
750.0	0.1961048	0.4569164	0.6983885	0.2803467	0.7422538	0.9045063	0.7976428	0.9696840	0.9459564	1.0000000
800.0	0.1961062	0.4569158	0.6978831	0.2806524	0.7422538	0.9045062	0.7976427	0.9696840	0.9459012	1.0000000
850.0	0.1961072	0.4569139	0.6976472	0.2808116	0.7422538	0.9045062	0.7976427	0.9696840	0.9458759	1.0000000
900.0	0.1961077	0.4569123	0.6975396	0.2808918	0.7422538	0.9045062	0.7976427	0.9696840	0.9458647	1.0000000
950.0	0.1961080	0.4569111	0.6974918	0.2809312	0.7422538	0.9045062	0.7976427	0.9696840	0.9458598	1.0000000
1000.0	0.1961082	0.4569104	0.6974713	0.2809500	0.7422538	0.9045062	0.7976427	0.9696840	0.9458578	1.0000000

0.0	0.6545711	0.2967430	0.9477272	0.2612209	1.0000000	0.9999906	0.4793626	1.0000000	0.9577217	1.0000000
50.0	0.7986410	0.1536922	0.9087934	0.2615821	0.9397152	0.9999910	0.4395117	1.0000000	0.8509397	1.0000000
100.0	0.8528561	0.1073529	0.9117310	0.2623009	0.9181952	0.9999912	0.4287090	1.0000000	0.8371915	1.0000000
150.0	0.8753456	0.0897194	0.9149780	0.2626303	0.9105132	0.9999912	0.4257806	1.0000000	0.8374656	1.0000000
200.0	0.8847638	0.0826677	0.9161990	0.2626884	0.9077709	0.9999913	0.4249868	1.0000000	0.8384104	1.0000000
250.0	0.8886169	0.0797804	0.9165974	0.2626679	0.9067920	0.9999913	0.4247716	1.0000000	0.8388765	1.0000000
300.0	0.8901454	0.0785901	0.9167234	0.2626430	0.9064425	0.9999913	0.4247132	1.0000000	0.8390691	1.0000000
350.0	0.8907339	0.0781027	0.9167631	0.2626277	0.9063178	0.9999913	0.4246974	1.0000000	0.8391480	1.0000000
400.0	0.8909546	0.0779061	0.9167757	0.2626202	0.9062732	0.9999913	0.4246931	1.0000000	0.8391815	1.0000000
450.0	0.8910355	0.0778284	0.9167798	0.2626169	0.9062573	0.9999913	0.4246920	1.0000000	0.8391964	1.0000000
500.0	0.8910647	0.0777983	0.9167812	0.2626155	0.9062517	0.9999913	0.4246916	1.0000000	0.8392032	1.0000000
550.0	0.8910750	0.0777869	0.9167817	0.2626149	0.9062496	0.9999913	0.4246916	1.0000000	0.8392063	1.0000000
600.0	0.8910786	0.0777826	0.9167818	0.2626147	0.9062489	0.9999913	0.4246915	1.0000000	0.8392078	1.0000000
650.0	0.8910798	0.0777811	0.9167819	0.2626147	0.9062487	0.9999913	0.4246915	1.0000000	0.8392085	1.0000000
700.0	0.8910802	0.0777805	0.9167819	0.2626146	0.9062486	0.9999913	0.4246915	1.0000000	0.8392088	1.0000000
750.0	0.8910804	0.0777803	0.9167819	0.2626146	0.9062485	0.9999913	0.4246915	1.0000000	0.8392089	1.0000000
800.0	0.8910804	0.0777802	0.9167819	0.2626146	0.9062485	0.9999913	0.4246915	1.0000000	0.8392090	1.0000000
850.0	0.8910804	0.0777802	0.9167820	0.2626146	0.9062485	0.9999913	0.4246915	1.0000000	0.8392090	1.0000000
900.0	0.8910804	0.0777802	0.9167820	0.2626146	0.9062485	0.9999913	0.4246915	1.0000000	0.8392091	1.0000000
950.0	0.8910804	0.0777802	0.9167820	0.2626146	0.9062485	0.9999913	0.4246915	1.0000000	0.8392091	1.0000000
1000.0	0.8910804	0.0777802	0.9167820	0.2626146	0.9062485	0.9999913	0.4246915	1.0000000	0.8392091	1.0000000

0.0	0.6545711	0.2967430	0.9477272	0.2612209	1.0000000	0.9999906	0.4793626	1.0000000	0.9577217	1.0000000
50.0	0.5813361	0.1275329	0.7269431	0.2634300	0.8071077	0.9391358	0.4552241	0.8096077	0.6621229	1.0000000
100.0	0.5682768	0.0980179	0.6704478	0.2706601	0.7382504	0.9170620	0.4436156	0.7647558	0.6097166	1.0000000
150.0	0.5725948	0.0946497	0.6508276	0.2784878	0.7136703	0.9090529	0.4338062	0.7541897	0.6013079	1.0000000
200.0	0.5807818	0.0937751	0.6421986	0.2841064	0.7048958	0.9061459	0.4262369	0.7517006	0.6001480	1.0000000
250.0	0.5885399	0.0923155	0.6380528	0.2874382	0.7017636	0.9050902	0.4214037	0.7511142	0.6000841	1.0000000
300.0	0.5944713	0.0906424	0.6360502	0.2892398	0.7006455	0.9047067	0.4187037	0.7509761	0.6001428	1.0000000
350.0	0.5984457	0.0892029	0.6351038	0.2901676	0.7002463	0.9045673	0.4173190	0.7509436	0.6001924	1.0000000
400.0	0.6008670	0.0881519	0.6346673	0.2906308	0.7001039	0.9045166	0.4166467	0.7509359	0.6002252	1.0000000
450.0	0.6022396	0.0874630	0.6344701	0.2908566	0.7000530	0.9044982	0.4163317	0.7509341	0.6002465	1.0000000
500.0	0.6029758	0.0870458	0.6343825	0.2909645	0.7000348	0.9044915	0.4161876	0.7509337	0.6002602	1.0000000
550.0	0.6033538	0.0868080	0.6343440	0.2910151	0.7000284	0.9044890	0.4161228	0.7509336	0.6002689	1.0000000
600.0	0.6035415	0.0866791	0.6343272	0.2910384	0.7000261	0.9044882	0.4160939	0.7509335	0.6002743	1.0000000
650.0	0.6036321	0.0866118	0.6343200	0.2910490	0.7000252	0.9044878	0.4160812	0.7509335	0.6002776	1.0000000
700.0	0.6036750	0.0865779	0.6343169	0.2910538	0.7000249	0.9044877	0.4160756	0.7509335	0.6002795	1.0000000
750.0	0.6036949	0.0865613	0.6343156	0.2910559	0.7000248	0.9044877	0.4160731	0.7509335	0.6002805	1.0000000
800.0	0.6037040	0.0865533	0.6343150	0.2910568	0.7000248	0.9044876	0.4160721	0.7509335	0.6002811	1.0000000
850.0	0.6037081	0.0865496	0.6343148	0.2910572	0.7000248	0.9044876	0.4160716	0.7509335	0.6002815	1.0000000
900.0	0.6037100	0.0865478	0.6343147	0.2910574	0.7000248	0.9044876	0.4160714	0.7509335	0.6002816	1.0000000
950.0	0.6037108	0.0865470	0.6343146	0.2910575	0.7000248	0.9044876	0.4160713	0.7509335	0.6002817	1.0000000
1000.0	0.6037112	0.0865467	0.6343146	0.2910575	0.7000248	0.9044876	0.4160713	0.7509335	0.6002818	1.0000000

0.0	0.6545711	0.2967430	0.9477272	0.2612209	1.0000000	0.9999906	0.4793626	1.0000000	0.9577217	1.0000000
50.0	0.3549781	0.3247284	0.9649090	0.1085256	1.0000000	0.9999938	0.1856922	0.8864636	0.9590878	0.8978136
100.0	0.2852181	0.4132013	0.9584736	0.0608136	1.0000000	0.9999943	0.1044805	0.8597172	0.9504812	0.8732036
150.0	0.2325993	0.5042677	0.9123912	0.0462377	1.0000000	0.9999939	0.0812090	0.8534163	0.9309240	0.8672766
200.0	0.1550062	0.6015354	0.8245380	0.0431577	1.0000000	0.9999934	0.0741928	0.8519320	0.8980040	0.8658492
250.0	0.1014244	0.7249300	0.7366046	0.0454643	1.0000000	0.9999930	0.0719436	0.8515824	0.8493748	0.8655054
300.0	0.0833422	0.8305249	0.6812904	0.0509094	1.0000000	0.9999928	0.0711744	0.8515000	0.7886758	0.8654226
350.0	0.0908491	0.8834536	0.6558148	0.0571937	1.0000000	0.9999926	0.0708950	0.8514806	0.7345332	0.8654027
400.0	0.1118494	0.8882876	0.6457265	0.0622747	1.0000000	0.9999926	0.0707882	0.8514760	0.6997442	0.8653979
450.0	0.1346776	0.8618668	0.6420513	0.0654978	1.0000000	0.9999925	0.0707458	0.8514749	0.6835292	0.8653967
