"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.0000001	0.9999492	0.3308770	0.4613648	1.0000000	0.9999907	0.4793624	1.0000000	0.5979104	1.0000000
0.6545506	0.0000041	0.9905263	0.2594336	1.0000000	0.9999907	0.4793624	1.0000000	0.9801610	1.0000000
0.6554439	0.2964798	0.0000033	0.9999175	1.0000000	0.9999907	0.4793624	1.0000000	0.9578631	1.0000000
0.1578260	0.7628349	0.3417732	0.0000000	1.0000000	0.9999907	0.4793624	1.0000000	0.6891516	1.0000000
0.8845329	0.2498941	0.9769971	0.2599867	0.0000053	0.9999907	0.4793624	1.0000000	0.9680039	1.0000000
0.3301530	0.4903642	0.9905235	0.2594364	1.0000000	0.0000005	0.9102214	1.0000000	0.8665507	1.0000000
0.8705290	0.2518491	0.9763263	0.2600028	1.0000000	0.9999907	0.0000023	1.0000000	0.9676744	1.0000000
0.6632297	0.2941610	0.4506584	0.3536294	1.0000000	0.0954835	0.4710629	0.0000001	0.9585154	1.0000000
0.6545743	0.2967326	0.9480759	0.2611521	1.0000000	0.9999907	0.4793624	1.0000000	0.0000009	1.0000000
0.6545743	0.2967326	0.9480759	0.2611521	1.0000000	0.9999907	0.4793624	1.0000000	0.3724618	0.0000016
