"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.5049242	0.2132594	0.7102218	0.1564544	0.8077487	0.6481821	0.2951231	0.6753024	0.5692979	0.6039161
50.0	0.2549143	0.1829810	0.6133421	0.1267268	0.5301438	0.8130372	0.4576989	0.5329067	0.7273148	0.7658261
100.0	0.2676649	0.2647878	0.7975683	0.1498946	0.5041848	0.7710367	0.5883081	0.4363890	0.7567211	0.6769524
150.0	0.1641719	0.4353948	0.5845807	0.0911681	0.5346718	0.6941889	0.5310192	0.5295184	0.6226395	0.8368079
200.0	0.1033366	0.3685235	0.4535822	0.1311940	0.6096489	0.6890693	0.5298035	0.4902466	0.8717142	0.5673764
250.0	0.1089669	0.3605592	0.3672423	0.1059943	0.6702090	0.7326891	0.6376502	0.4685676	0.5798802	0.6038984
300.0	0.0984767	0.4383922	0.2674974	0.1957698	0.4309754	0.7594046	0.5624932	0.5566464	0.6770607	0.6426923
350.0	0.1321269	0.5914831	0.3269400	0.1603870	0.5441225	0.7560766	0.5285729	0.4778502	0.7579732	0.6738219
400.0	0.1534155	0.5454527	0.2839198	0.2315301	0.5959719	0.6151334	0.5275870	0.4087379	0.7420459	0.6933715
450.0	0.1316159	0.4631584	0.2707123	0.1909437	0.5921231	0.7345227	0.4585114	0.4083060	0.6362185	0.8281708
500.0	0.0843081	0.6067961	0.2841234	0.1619669	0.4476052	0.7431350	0.5215258	0.5968016	0.6513284	0.7304428
550.0	0.1140106	0.4185033	0.2427414	0.2651296	0.4448398	0.6382497	0.4855050	0.4304140	0.6934223	0.7905462
600.0	0.1156556	0.5045559	0.2786816	0.1870528	0.5526529	0.6240147	0.4827239	0.4897845	0.6927172	0.6528408
650.0	0.1896756	0.5727580	0.2901639	0.2304259	0.5104568	0.6925833	0.5515529	0.4432728	0.7531806	0.6845408
700.0	0.1356606	0.5533526	0.3089987	0.1706767	0.5340748	0.8561085	0.5470482	0.5693019	0.7218018	0.6934343
750.0	0.0802244	0.4054478	0.2093448	0.3088456	0.6369855	0.6936447	0.6731589	0.5504175	0.5900247	0.8262364
800.0	0.1138787	0.5192152	0.2830273	0.2086442	0.5226382	0.7529520	0.4966358	0.5448897	0.7887254	0.7771553
850.0	0.0944889	0.5650935	0.2383767	0.1354085	0.6999599	0.6760889	0.4462769	0.5170378	0.6813449	0.6872535
900.0	0.0880580	0.6632011	0.4963235	0.2628704	0.5483314	0.6717332	0.4497420	0.4735673	0.6759439	0.8971836
950.0	0.1345056	0.6668292	0.3571846	0.1861811	0.5417854	0.6187156	0.5168165	0.5349304	0.8776353	0.7644446
1000.0	0.1607125	0.5154928	0.3490024	0.2062290	0.5149185	0.6499845	0.4762136	0.4499278	0.6650002	0.7130150

0.0	0.3910618	0.1753037	0.6195072	0.2006351	0.7976380	0.6830708	0.3350509	0.6199971	0.7601954	0.6300857
50.0	0.3707868	0.2269068	0.6127517	0.2288362	0.5735087	0.5216635	0.5543832	0.2867737	0.4786518	0.6228855
100.0	0.3340221	0.1830166	0.4872182	0.1910102	0.4952493	0.5881741	0.4254138	0.2641530	0.3550360	0.4878497
150.0	0.3138478	0.2260263	0.4285586	0.2037589	0.4726739	0.6848633	0.4870547	0.2701428	0.3670294	0.6352206
200.0	0.3050121	0.3488512	0.2888951	0.2177790	0.5149208	0.6667250	0.4011035	0.2339696	0.4540483	0.5766641
250.0	0.2616313	0.2777125	0.2009174	0.2396702	0.4356877	0.5012433	0.4322876	0.2748539	0.3661845	0.4992753
300.0	0.2872318	0.3408681	0.1730698	0.3268576	0.4366062	0.6545532	0.3759771	0.2769900	0.3676482	0.5711859
350.0	0.3665872	0.2371704	0.2222038	0.3801224	0.4955339	0.6238447	0.4747718	0.1864236	0.3320373	0.5439076
400.0	0.2696395	0.1865401	0.2445531	0.3308153	0.4917300	0.6099426	0.3694032	0.2011655	0.2580803	0.5658768
450.0	0.3463006	0.2897759	0.1772542	0.3481194	0.5610299	0.5866846	0.3939522	0.1785807	0.2618534	0.6451734
500.0	0.3697706	0.2233335	0.2287436	0.4422857	0.5541074	0.8367567	0.3801936	0.2353188	0.3949945	0.6358913
550.0	0.3669815	0.2236513	0.2267125	0.3573999	0.5708256	0.5995075	0.4131966	0.2691237	0.3051122	0.4697595
600.0	0.3609455	0.2759092	0.2894545	0.3366731	0.5325131	0.6942016	0.3756676	0.1700319	0.4077355	0.6044745
