"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.4957191	0.2190877	0.7723717	0.1373953	0.7119913	0.7579910	0.3552204	0.6614450	0.6799669	0.7247741
50.0	0.5345051	0.1635435	0.6584281	0.2290543	0.6534401	0.3891203	0.2817735	0.4267448	0.6953194	0.7197868
100.0	0.3813347	0.2337704	0.6357350	0.1999498	0.6730738	0.1622004	0.3987903	0.2736746	0.6315591	0.6360000
150.0	0.4987989	0.1843067	0.5751993	0.2299988	0.6632545	0.0410652	0.4544688	0.1267414	0.5869965	0.6644401
200.0	0.3249749	0.2228274	0.4627475	0.1747267	0.6057983	0.0102889	0.5002379	0.0732916	0.7580556	0.6847916
250.0	0.4038534	0.3034186	0.3960245	0.1679802	0.6317197	0.0058593	0.3153346	0.0260893	0.6190205	0.6459702
300.0	0.5069143	0.2772887	0.3703791	0.2059917	0.7922530	0.0026762	0.4211233	0.0334834	0.6972985	0.6321442
350.0	0.3514586	0.2258998	0.3293251	0.2240331	0.7304714	0.0001298	0.3274839	0.0051516	0.7465311	0.6793151
400.0	0.4189383	0.2329841	0.3718165	0.3131500	0.6611524	0.0000000	0.3170961	0.0163305	0.6010672	0.7898890
450.0	0.4952825	0.2446042	0.3442477	0.2592338	0.8043432	0.0000000	0.3035260	0.0003535	0.6279070	0.6805117
500.0	0.5383129	0.1994671	0.4092549	0.2404497	0.8558349	0.0000000	0.3007977	0.0000014	0.6440821	0.7576525
550.0	0.4834225	0.1873104	0.2850147	0.3507578	0.7169808	0.0000000	0.3352225	0.0000000	0.6523619	0.7751756
600.0	0.5977473	0.1772733	0.2306337	0.1831654	0.8056242	0.0000000	0.3077876	0.0000000	0.6059114	0.6147488
650.0	0.4904271	0.2351660	0.3711859	0.1627329	0.7357045	0.0000000	0.4230056	0.0000000	0.7048764	0.7462015
700.0	0.4469623	0.1840386	0.3401658	0.2251080	0.6465556	0.0000000	0.3560470	0.0000000	0.6664980	0.7074454
750.0	0.4760543	0.1952705	0.3103707	0.2721412	0.7491820	0.0000000	0.2920720	0.0000000	0.7809452	0.6930805
800.0	0.4735380	0.1649746	0.3231384	0.2167966	0.6480502	0.0000000	0.3353792	0.0000000	0.6527665	0.6423092
850.0	0.3789538	0.2308945	0.4368199	0.2424591	0.7056950	0.0000000	0.2830625	0.0000000	0.7412478	0.7362516
900.0	0.4074585	0.1606645	0.3005200	0.2939226	0.6954519	0.0000000	0.3981483	0.0000000	0.6758542	0.5965852
