"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.4057941	0.2292766	0.7751086	0.1652810	0.8382202	0.6203917	0.4816307	0.6819980	0.6825637	0.6332431
50.0	0.3454553	0.1474247	0.5710801	0.1533684	0.5356248	0.6856348	0.4258283	0.6461497	0.8975756	0.7443365
100.0	0.2103802	0.1703906	0.5682461	0.1603601	0.6231534	0.6345356	0.4441725	0.6657974	0.8266316	0.6950101
150.0	0.1634637	0.3294467	0.6620270	0.1319997	0.4646103	0.6383557	0.5537786	0.6222734	0.7317137	0.6953726
200.0	0.1354117	0.3582903	0.5429090	0.1286579	0.6361587	0.5878920	0.4661916	0.4260727	0.6720739	0.7687343
250.0	0.1934845	0.5045251	0.3956501	0.1208692	0.5148750	0.5523077	0.5796540	0.4424210	0.7010317	0.7718844
300.0	0.1058705	0.4187270	0.3387820	0.1895797	0.6124802	0.7258541	0.5214558	0.5338037	0.6235895	0.7380253
350.0	0.1369685	0.4977421	0.2812774	0.2069867	0.6217624	0.7289981	0.5793941	0.4206767	0.7411908	0.6901208
400.0	0.1201334	0.4279612	0.2884947	0.1727830	0.4739106	0.6163625	0.5646497	0.3872686	0.7932562	0.7231814
450.0	0.0983309	0.5343304	0.3080059	0.2209418	0.4268584	0.7928633	0.4825847	0.4375116	0.8203872	0.6677946
500.0	0.1228350	0.3948166	0.3792931	0.3129985	0.5766234	0.5839704	0.4894367	0.4372582	0.5707730	0.7199406
550.0	0.1367705	0.3868423	0.3570943	0.2213984	0.5638371	0.6610018	0.4897124	0.6220500	0.5724393	0.7191325
600.0	0.1670181	0.4597408	0.2743389	0.2572421	0.4801764	0.7439808	0.5286562	0.6079849	0.6511307	0.7000696
650.0	0.1239289	0.4897983	0.3143639	0.2178394	0.4338998	0.7799983	0.5516990	0.4709140	0.7093072	0.6378161
700.0	0.1364126	0.4499600	0.2978636	0.2011051	0.4942550	0.7815297	0.4921047	0.4780447	0.6660734	0.7019211
750.0	0.1421765	0.6431977	0.3338141	0.1158681	0.5513965	0.7188524	0.5436622	0.5102225	0.6371698	0.7652011
800.0	0.0727964	0.6081621	0.2756941	0.2017117	0.5969794	0.8106093	0.5755831	0.4967383	0.7526118	0.7551670
850.0	0.0822029	0.5507354	0.3171056	0.2220822	0.6358020	0.7983812	0.4669268	0.5095835	0.8229574	0.6795159
900.0	0.1072628	0.4432102	0.3395810	0.2531368	0.5850074	0.6341722	0.4355582	0.4237410	0.8372399	0.7729534
950.0	0.1079313	0.4872050	0.2753446	0.2680756	0.6839524	0.7513514	0.5106434	0.5704504	0.7778380	0.6400152
1000.0	0.1185306	0.3889941	0.3074286	0.2124236	0.7277417	0.6527407	0.5563601	0.5627935	0.7635609	0.5957918

0.0	0.4989848	0.1994775	0.7689945	0.1832686	0.6434980	0.6678599	0.3270738	0.5874027	0.7136745	0.7215122
50.0	0.3612261	0.2061467	0.6242540	0.2053839	0.6320978	0.6962161	0.4143170	0.5102903	0.5393030	0.6528473
100.0	0.4356100	0.2334113	0.5563480	0.1266951	0.5022749	0.5182514	0.4347030	0.4154903	0.3690478	0.5372425
150.0	0.2840563	0.2370908	0.6239942	0.2028842	0.5484604	0.5573900	0.4164169	0.2852936	0.3311637	0.5778980
200.0	0.2476050	0.2363219	0.3821990	0.2317547	0.5526626	0.5944688	0.4183138	0.2260778	0.4138279	0.4981013
250.0	0.3094479	0.3445979	0.2891750	0.2046166	0.5146689	0.6912194	0.4460621	0.2359849	0.4017955	0.7160858
300.0	0.1757639	0.3676538	0.1852534	0.3001574	0.3834156	0.5423386	0.4723494	0.2307854	0.3540763	0.6192810
350.0	0.3202475	0.2739461	0.1727545	0.3208175	0.6142251	0.5429993	0.3157276	0.3416673	0.3731804	0.7171123
400.0	0.3330290	0.2799184	0.1575002	0.3211367	0.4989268	0.5101191	0.3631759	0.3258202	0.3839291	0.7255866
450.0	0.3833530	0.2646065	0.2159794	0.4088550	0.4718877	0.6158396	0.4217333	0.2025566	0.2745171	0.5476051
500.0	0.3422698	0.1800327	0.2261525	0.4707118	0.4771627	0.6245974	0.3836123	0.1926401	0.4393088	0.6022572
550.0	0.4071565	0.2183673	0.1477742	0.4479821	0.5930547	0.6138723	0.3734799	0.2422785	0.4401768	0.5116966
600.0	0.3830350	0.1978522	0.3123925	0.2832962	0.6033764	0.6246089	0.3711018	0.2920677	0.3700370	0.5355319
650.0	0.3290662	0.2642259	0.2281275	0.4122366	0.4912652	0.5933884	0.3286491	0.2716127	0.4148396	0.4783370
700.0	0.3535850	0.2981711	0.2323024	0.3114084	0.4569736	0.7257157	0.2975766	0.2873474	0.5008597	0.5570862
750.0	0.4401345	0.1806349	0.2667326	0.3925686	0.4842737	0.7160536	0.3791279	0.1889979	0.3676926	0.6503232
800.0	0.3627983	0.2492909	0.2702655	0.3673237	0.4530468	0.7078652	0.2680342	0.1894326	0.3805469	0.6272496
850.0	0.3654686	0.2245184	0.1832984	0.3486105	0.5708366	0.6777386	0.3170345	0.1943376	0.2903533	0.6612102
900.0	0.4436069	0.1694363	0.2026008	0.4608447	0.4565652	0.6283262	0.3552167	0.1871669	0.3479676	0.5168308
950.0	0.2966961	0.2270135	0.2043318	0.4950669	0.5577060	0.6402548	0.3748296	0.2069114	0.4001648	0.5820859
1000.0	0.4049409	0.1830901	0.2071301	0.4368475	0.4816895	0.6385513	0.3603242	0.1978317	0.3732245	0.6663906

0.0	0.4944133	0.2139925	0.5815555	0.1750861	0.7394559	0.6595896	0.3053879	0.6933075	0.5912337	0.6641573
50.0	0.3616967	0.1814312	0.7593065	0.1517403	0.6458369	0.5272762	0.4274412	0.8243442	0.7253586	0.6802255
100.0	0.3082733	0.2037789	0.5623405	0.1832138	0.4640381	0.6540393	0.5727964	0.6895410	0.6891248	0.7623491
150.0	0.1686153	0.2017349	0.5669730	0.1503188	0.3761403	0.6412415	0.5632826	0.6699452	0.6280623	0.5926964
200.0	0.1572531	0.3207762	0.6884533	0.1575953	0.4216842	0.5439745	0.5748358	0.5833257	0.7476028	0.6199449
250.0	0.1270653	0.2757286	0.8438688	0.1621362	0.4384428	0.6316408	0.6415750	0.5674805	0.6263186	0.5923520
300.0	0.1673986	0.4228667	0.6196729	0.1816662	0.3567348	0.8339962	0.5468767	0.5378769	0.5938376	0.7542649
350.0	0.1024689	0.4700656	0.6676730	0.1989554	0.3369470	0.6195434	0.7637211	0.5961150	0.7237090	0.8151770
400.0	0.0917776	0.3959296	0.6097560	0.2599769	0.3017885	0.4482882	0.6181183	0.6245869	0.7101601	0.8885423
450.0	0.1021850	0.5038687	0.6059064	0.2391553	0.3953391	0.7021533	0.6171362	0.6489540	0.7502224	0.7643350
500.0	0.1290012	0.5038608	0.5159681	0.1390810	0.3371024	0.7071695	0.6797310	0.4940119	0.7245445	0.6371438
