"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.7206693	0.2927357	0.9861272	0.2422748	0.9887259	1.0448325	0.4713506	1.0291502	1.0315427	0.9090935
50.0	0.7954183	0.2838397	1.0129610	0.2968287	0.8934816	0.5721816	0.4282684	0.7232001	1.0038465	1.0584976
100.0	0.6478738	0.3005960	0.8644466	0.3203801	0.9792073	0.2554032	0.6115524	0.3935368	1.0172720	1.0569361
150.0	0.6719213	0.3007306	0.7259980	0.2825184	0.9330844	0.0923182	0.6446619	0.2154543	0.9299178	1.0151351
200.0	0.5631385	0.3106162	0.6162883	0.2683202	0.8831983	0.0171114	0.5797298	0.1137873	0.9740477	0.9968092
250.0	0.5464531	0.3624183	0.5425293	0.2654582	1.0077971	0.0132368	0.4771190	0.0515243	0.8958037	1.0309825
300.0	0.6051038	0.3267236	0.5500011	0.3190689	0.9976537	0.0043412	0.4569530	0.0256239	0.9606048	0.9014361
350.0	0.5763481	0.3028843	0.5642383	0.3451138	1.0627356	0.0012905	0.4327863	0.0093375	0.9262782	0.9352880
400.0	0.6258012	0.3090139	0.5369764	0.4019372	1.0653719	0.0000000	0.3809842	0.0062421	0.9263477	1.0306180
450.0	0.7023791	0.3026816	0.5146408	0.4167772	1.1831378	0.0000000	0.4567111	0.0013315	0.9578408	1.0136469
500.0	0.7240712	0.3228453	0.4990574	0.3740019	1.0905088	0.0000000	0.4327755	0.0000026	0.9970816	1.0691825
550.0	0.7332930	0.2769466	0.4602492	0.3929409	1.0769082	0.0000000	0.4727530	0.0000000	0.9294422	1.1140997
600.0	0.7463025	0.2670823	0.4391085	0.3471569	1.1494937	0.0000000	0.4571152	0.0000000	0.8602163	0.9543127
650.0	0.6494469	0.3042232	0.4195043	0.3425044	1.0391194	0.0000000	0.5063693	0.0000000	0.9730797	1.0195927
700.0	0.6886718	0.2841499	0.4650010	0.3396484	1.0367496	0.0000000	0.4616282	0.0000000	0.9754579	0.9574238
750.0	0.6117521	0.2655745	0.4757151	0.3230491	0.9798059	0.0000000	0.5145310	0.0000000	1.0109581	1.0130176
800.0	0.6741325	0.2921486	0.4399888	0.3004907	1.0117074	0.0000000	0.5515232	0.0000000	1.0444113	1.0097096
850.0	0.5735514	0.2817613	0.5159269	0.3721788	0.9881536	0.0000000	0.5128203	0.0000000	1.0134352	0.9654026
900.0	0.5381312	0.2677926	0.4790901	0.3406909	0.8900714	0.0000000	0.4817108	0.0000000	1.0821144	0.9564556
950.0	0.5715282	0.2414778	0.4902060	0.2838084	0.9255558	0.0000000	0.4136433	0.0000000	1.0883527	0.9254526
1000.0	0.6515526	0.3013703	0.5501002	0.2814540	0.9565682	0.0000000	0.4897987	0.0000000	0.9488867	0.9711908

0.0	0.7668498	0.3266664	1.0530353	0.2027956	1.0966936	1.0183700	0.5221142	1.0749621	0.9618136	1.0381718
50.0	0.6766903	0.2902346	0.9597056	0.2232222	0.7306495	0.9720876	0.3224632	0.9285144	0.8775476	1.0604238
100.0	0.7241722	0.3035431	1.0970394	0.2205738	0.3412888	1.0465366	0.1347854	0.9227075	0.9955282	0.9879699
150.0	0.8474477	0.2536967	0.9816472	0.3206212	0.1398713	1.0314051	0.0621244	1.0162309	1.0134260	0.9732465
200.0	0.9304835	0.2386043	1.0007465	0.3097058	0.0466552	0.9134742	0.0214561	0.9832861	0.9436677	1.0942007
250.0	1.0337069	0.2351170	1.0275438	0.2872586	0.0314445	0.9475585	0.0087113	1.0032291	0.9530007	0.9040814
300.0	0.9770116	0.2426825	0.9054684	0.2846150	0.0220559	0.9453075	0.0047129	1.0328100	0.9193902	0.9921320
350.0	0.9167218	0.2372343	0.9754440	0.2204276	0.0076548	0.9826857	0.0011243	1.1012349	1.0008870	1.1055212
400.0	1.0364429	0.2901877	1.0203310	0.2851031	0.0028474	0.9598621	0.0002395	1.0709483	0.9749054	0.9005677
450.0	0.9916443	0.2346464	1.0572352	0.2834385	0.0047981	0.9507271	0.0000000	1.0174936	0.8728664	0.9478821
500.0	0.9469925	0.1973243	1.0660794	0.2640849	0.0051708	0.9523790	0.0000000	1.0029441	1.0289992	0.8439685
550.0	0.9016243	0.2153027	0.9962319	0.2619035	0.0014501	1.0161292	0.0000000	0.9953668	0.9089988	1.0716186
600.0	0.9585828	0.2510348	0.9999214	0.2682313	0.0007816	1.0700042	0.0000000	1.0850231	0.9501834	1.0225017
650.0	0.9233797	0.2446219	0.9725055	0.2928792	0.0013822	1.1192635	0.0000000	0.9889687	1.0498460	1.0793111
700.0	1.0950133	0.2457152	0.9685840	0.2680406	0.0009960	1.0242740	0.0000000	1.0877427	0.9880076	0.9993528
750.0	1.0033988	0.2766891	0.9092662	0.2974588	0.0000000	1.0653697	0.0000000	1.1041482	0.9573200	1.0313936
