"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.6366268	0.3231104	0.9230672	0.2493036	0.9430089	0.9687342	0.4465993	1.0218726	0.9890582	0.9952555
50.0	0.5361859	0.3092144	0.8871358	0.2812873	0.8690881	1.0122887	0.4398122	1.0721199	0.9911369	1.0395697
100.0	0.3883674	0.2973332	0.8809518	0.1908167	0.9785362	1.0522157	0.4358005	1.0842835	0.9470741	1.0337028
150.0	0.3508168	0.3256335	1.0213560	0.2699954	1.0404459	1.0789895	0.3925005	0.9839440	0.9996447	0.9247689
200.0	0.3423056	0.4282695	0.8782169	0.2514222	1.0168282	0.9772678	0.4264571	0.9522677	0.9118008	1.0973760
250.0	0.3118961	0.5066647	0.8156039	0.3097460	1.0781139	0.9733981	0.4387203	0.9532125	0.8308662	1.0615384
300.0	0.3656594	0.4992112	0.7056978	0.3142652	1.0343421	1.0483098	0.4411478	0.9897870	0.7401781	0.9633767
350.0	0.3258289	0.5087338	0.5485157	0.2970206	1.0561881	1.1126863	0.4724496	1.0012891	0.7755072	1.0889990
400.0	0.3221104	0.5314824	0.4775444	0.3106406	1.0558708	0.9852635	0.4350860	1.0535980	0.8700944	1.0290983
450.0	0.3563025	0.4920504	0.5345483	0.3495047	1.0564454	1.0320254	0.4665491	1.0361400	0.8089738	1.0569317
500.0	0.3613765	0.4311005	0.5637950	0.2983183	0.9826096	1.0773107	0.4418856	1.0644108	0.7543658	1.0769869
550.0	0.3194284	0.4557268	0.5545088	0.3017690	1.0590288	1.0497392	0.4704356	1.0073805	0.8481043	1.0180284
600.0	0.3823001	0.4795180	0.5983532	0.2875118	0.9336663	1.0112608	0.4964783	1.0770756	0.8373755	0.9802511
650.0	0.3742880	0.4763607	0.5843715	0.2467147	0.9718942	0.9124821	0.4393676	1.0880310	0.9247403	1.0918245
700.0	0.3837968	0.4860648	0.5565977	0.3010674	0.9792572	1.0411526	0.4481325	1.0343802	0.8483587	0.9415622
750.0	0.3604643	0.4355905	0.5249909	0.3128224	0.8555628	1.0274756	0.4848994	1.0563811	0.7366864	0.9959428
800.0	0.3329307	0.4903184	0.5793323	0.3389553	0.9420564	1.0149847	0.4714639	1.0412835	0.8754785	0.8792737
850.0	0.3106595	0.4890124	0.5579578	0.3472578	0.9248603	0.9988182	0.4445449	0.9092669	0.8444766	0.9862150
