"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.1665161	0.8272778	0.4799274	0.2843813	0.7071495	1.0800186	0.7841733	0.7389005	0.9988805	0.9953256
0.5515779	0.3162634	0.4466780	0.4385710	0.7101745	0.9188508	0.4393386	0.3513932	0.5446671	0.6759886
0.2108357	0.6183170	0.7878006	0.2879718	0.5533807	0.8667664	0.8803789	0.8108081	1.1241299	1.0424086
0.2196218	0.4622433	0.7967662	0.3013401	0.8461349	0.8228907	0.7310207	1.0116742	1.0169726	1.0836399
0.9454139	0.0982888	0.9588397	0.2045043	0.8536169	0.9168091	0.3597524	0.9982114	0.7862816	0.9697690
0.6365743	0.0859832	0.6034547	0.2996975	0.7471597	0.9029417	0.4146421	0.7423631	0.5779097	0.9810108
0.1186202	0.7702502	0.7912463	0.0621825	1.0006358	1.0960288	0.0638584	0.8650053	0.7739049	0.8394818
0.2544821	0.5346994	0.8729158	0.2107755	0.9651565	0.9759647	0.6500039	0.9864068	0.4429928	0.6575571
0.5323470	0.1173446	0.8865282	0.3345295	0.7670325	0.9395134	0.7239500	0.9919984	1.0260046	1.0785511
0.7479551	0.0511302	0.9384170	0.2159570	0.9529290	1.0399575	0.5914532	1.0015662	0.9459815	0.6980990
