"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.9406257	0.9437493	0.6608046	0.2061520	0.0687266	0.0758317	0.0290169	0.7798400	0.3023314	1.0000000
50.0	0.6218430	0.9428834	0.6608046	0.2061520	0.0687265	0.0758310	0.0290161	0.7798445	0.3024281	1.0000000
100.0	0.5190634	0.9411191	0.6608046	0.2061520	0.0687264	0.0758307	0.0290158	0.7798464	0.3024769	1.0000000
150.0	0.4859229	0.9398985	0.6608046	0.2061520	0.0687264	0.0758306	0.0290157	0.7798472	0.3025014	1.0000000
200.0	0.4752355	0.9392893	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798475	0.3025135	1.0000000
250.0	0.4717882	0.9390260	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798477	0.3025195	1.0000000
300.0	0.4706758	0.9389206	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025225	1.0000000
350.0	0.4703168	0.9388803	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025239	1.0000000
400.0	0.4702008	0.9388654	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025246	1.0000000
450.0	0.4701632	0.9388599	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025250	1.0000000
500.0	0.4701511	0.9388580	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025251	1.0000000
550.0	0.4701471	0.9388573	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	1.0000000
600.0	0.4701459	0.9388571	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	1.0000000
650.0	0.4701454	0.9388570	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
700.0	0.4701453	0.9388570	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
750.0	0.4701452	0.9388570	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
800.0	0.4701452	0.9388570	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
850.0	0.4701452	0.9388570	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
900.0	0.4701452	0.9388570	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
950.0	0.4701452	0.9388570	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
1000.0	0.4701452	0.9388570	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000

0.0	0.9406257	0.9437493	0.6608046	0.2061520	0.0687266	0.0758317	0.0290169	0.7798400	0.3023314	1.0000000
50.0	0.9404661	0.5059754	0.6608046	0.2061520	0.0687265	0.0758310	0.0290161	0.7798445	0.3024281	1.0000000
100.0	0.9403810	0.4743385	0.6608046	0.2061520	0.0687264	0.0758307	0.0290158	0.7798464	0.3024769	1.0000000
150.0	0.9403365	0.4720520	0.6608046	0.2061520	0.0687264	0.0758306	0.0290157	0.7798472	0.3025014	1.0000000
200.0	0.9403136	0.4718865	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798475	0.3025135	1.0000000
250.0	0.9403020	0.4718745	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798477	0.3025195	1.0000000
300.0	0.9402962	0.4718736	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025225	1.0000000
350.0	0.9402933	0.4718735	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025239	1.0000000
400.0	0.9402918	0.4718734	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025246	1.0000000
450.0	0.9402911	0.4718734	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025250	1.0000000
500.0	0.9402908	0.4718734	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025251	1.0000000
550.0	0.9402906	0.4718734	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	1.0000000
600.0	0.9402905	0.4718734	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	1.0000000
650.0	0.9402905	0.4718734	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
700.0	0.9402905	0.4718734	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
750.0	0.9402905	0.4718734	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
800.0	0.9402904	0.4718734	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
850.0	0.9402904	0.4718734	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
900.0	0.9402904	0.4718734	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
950.0	0.9402904	0.4718734	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
1000.0	0.9402904	0.4718734	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000

0.0	0.9406257	0.9437493	0.6608046	0.2061520	0.0687266	0.0758317	0.0290169	0.7798400	0.3023314	1.0000000
50.0	0.9404661	0.9416818	0.4007255	0.2356413	0.0687265	0.0758310	0.0290161	0.7798445	0.3024281	1.0000000
100.0	0.9403810	0.9198587	0.3453699	0.3354539	0.0687264	0.0758307	0.0290158	0.7798464	0.3024769	1.0000000
150.0	0.9403365	0.8892663	0.3335880	0.4213760	0.0687264	0.0758306	0.0290157	0.7798472	0.3025014	1.0000000
200.0	0.9403136	0.8751267	0.3310803	0.4614237	0.0687264	0.0758305	0.0290156	0.7798475	0.3025135	1.0000000
250.0	0.9403020	0.8705983	0.3305466	0.4755716	0.0687264	0.0758305	0.0290156	0.7798477	0.3025195	1.0000000
300.0	0.9402962	0.8692107	0.3304330	0.4799242	0.0687264	0.0758305	0.0290156	0.7798478	0.3025225	1.0000000
350.0	0.9402933	0.8687863	0.3304088	0.4811621	0.0687264	0.0758305	0.0290156	0.7798478	0.3025239	1.0000000
400.0	0.9402918	0.8686594	0.3304037	0.4814972	0.0687264	0.0758305	0.0290156	0.7798478	0.3025246	1.0000000
450.0	0.9402911	0.8686229	0.3304026	0.4815849	0.0687264	0.0758305	0.0290156	0.7798478	0.3025250	1.0000000
500.0	0.9402908	0.8686127	0.3304023	0.4816073	0.0687264	0.0758305	0.0290156	0.7798478	0.3025251	1.0000000
550.0	0.9402906	0.8686100	0.3304023	0.4816130	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	1.0000000
600.0	0.9402905	0.8686092	0.3304023	0.4816144	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	1.0000000
650.0	0.9402905	0.8686090	0.3304023	0.4816147	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
700.0	0.9402905	0.8686090	0.3304023	0.4816148	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
750.0	0.9402905	0.8686090	0.3304023	0.4816148	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
800.0	0.9402904	0.8686090	0.3304023	0.4816148	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
