"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.4701632	0.9388599	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025250	1.0000000
0.9402933	0.4718735	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025239	1.0000000
0.9402911	0.8686229	0.3304026	0.4815849	0.0687264	0.0758305	0.0290156	0.7798478	0.3025250	1.0000000
0.9402933	0.9737015	0.6608046	0.1030793	0.0687264	0.0758305	0.0290156	0.7798478	0.3025239	1.0000000
0.8753024	0.9435610	0.6608046	0.2061520	0.0343638	0.0696623	0.0284748	0.7960353	0.3903601	1.0000000
0.2971416	0.9394958	0.6608046	0.2061520	0.0687260	0.0379152	0.0260092	0.8868479	0.9553263	1.0000000
0.9402917	0.9557696	0.6608046	0.2061520	0.0687255	0.0758302	0.0145078	0.7798486	0.3025273	1.0000000
0.5965470	0.9041975	0.6608046	0.2061520	0.0688011	0.0758604	0.0731616	0.3898854	0.6383609	1.0000000
0.9930012	0.9442562	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.1513495	1.0000000
0.9402905	0.8604110	0.1794937	0.8577546	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	0.5000000
