"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.2465165	0.7957502	0.6098266	0.2198347	0.7010975	0.9948561	0.2138199	0.1790457	0.9692419	1.0000000
0.5113032	0.8989926	0.7048296	0.1973121	0.1230079	0.3647522	0.0850151	0.3567997	0.6255134	1.0000000
0.2548952	0.2507453	0.7257349	0.1938468	0.7017369	0.9951952	0.4418699	0.1303166	0.8381979	0.6484553
0.5097766	0.6078558	0.3104106	0.5245722	0.3480596	0.8084966	0.3531130	0.1528024	0.7144385	0.6894009
0.9579460	0.7839924	0.6098266	0.2198347	0.3509748	0.9536307	0.1607150	0.1850640	0.2694924	1.0000000
0.4664888	0.6654613	0.5508767	0.2423830	0.5984821	0.9176249	0.4955788	0.1184716	0.5030955	0.9283176
0.7316309	0.8013134	0.7181391	0.0325973	0.0511084	0.4479546	0.2898384	0.1751874	0.3927204	1.0000000
0.2701219	0.5808487	0.4668996	0.2949304	0.8368057	0.9972784	0.6267439	0.0936688	0.9980527	0.8388639
0.2964743	0.9343271	0.6225221	0.2160087	0.0141708	0.0000083	0.0238933	0.9999915	0.4201024	1.0000000
0.2788731	0.8722022	0.6098266	0.0476395	0.6892649	0.9928571	0.1463348	0.1538320	0.9837513	1.0000000
