"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.9409402	0.9437452	0.6608046	0.2061520	0.0687270	0.0758321	0.0290200	0.7798276	0.3022762	1.0000000
50.0	0.7896794	0.9434544	0.6608046	0.2061520	0.0687266	0.0758312	0.0290174	0.7798392	0.3023999	1.0000000
100.0	0.6247840	0.9421641	0.6608046	0.2061520	0.0687265	0.0758308	0.0290164	0.7798441	0.3024627	1.0000000
150.0	0.5358888	0.9407351	0.6608046	0.2061520	0.0687264	0.0758306	0.0290159	0.7798462	0.3024943	1.0000000
200.0	0.4962325	0.9397726	0.6608046	0.2061520	0.0687264	0.0758305	0.0290157	0.7798471	0.3025100	1.0000000
250.0	0.4800624	0.9392615	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798475	0.3025178	1.0000000
300.0	0.4738070	0.9390242	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798477	0.3025216	1.0000000
350.0	0.4714691	0.9389229	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025235	1.0000000
400.0	0.4706164	0.9388821	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025244	1.0000000
450.0	0.4703109	0.9388663	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025249	1.0000000
500.0	0.4702029	0.9388604	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025251	1.0000000
550.0	0.4701652	0.9388582	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	1.0000000
600.0	0.4701521	0.9388574	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	1.0000000
650.0	0.4701476	0.9388571	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
700.0	0.4701460	0.9388570	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
750.0	0.4701455	0.9388570	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
800.0	0.4701453	0.9388570	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
850.0	0.4701453	0.9388570	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
900.0	0.4701452	0.9388570	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
950.0	0.4701452	0.9388570	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
1000.0	0.4701452	0.9388570	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000

0.0	0.9409402	0.9437452	0.6608046	0.2061520	0.0687270	0.0758321	0.0290200	0.7798276	0.3022762	1.0000000
50.0	0.9406512	0.6751324	0.6608046	0.2061520	0.0687266	0.0758312	0.0290174	0.7798392	0.3023999	1.0000000
100.0	0.9404849	0.5255628	0.6608046	0.2061520	0.0687265	0.0758308	0.0290164	0.7798441	0.3024627	1.0000000
150.0	0.9403930	0.4847454	0.6608046	0.2061520	0.0687264	0.0758306	0.0290159	0.7798462	0.3024943	1.0000000
200.0	0.9403436	0.4748770	0.6608046	0.2061520	0.0687264	0.0758305	0.0290157	0.7798471	0.3025100	1.0000000
250.0	0.9403176	0.4725686	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798475	0.3025178	1.0000000
300.0	0.9403042	0.4720339	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798477	0.3025216	1.0000000
350.0	0.9402973	0.4719105	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025235	1.0000000
400.0	0.9402939	0.4718820	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025244	1.0000000
450.0	0.9402921	0.4718754	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025249	1.0000000
500.0	0.9402913	0.4718739	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025251	1.0000000
550.0	0.9402909	0.4718735	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	1.0000000
600.0	0.9402906	0.4718734	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	1.0000000
650.0	0.9402905	0.4718734	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
700.0	0.9402905	0.4718734	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
750.0	0.9402905	0.4718734	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
800.0	0.9402905	0.4718734	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
850.0	0.9402905	0.4718734	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
900.0	0.9402904	0.4718734	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
950.0	0.9402904	0.4718734	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
1000.0	0.9402904	0.4718734	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000

0.0	0.9409402	0.9437452	0.6608046	0.2061520	0.0687270	0.0758321	0.0290200	0.7798276	0.3022762	1.0000000
50.0	0.9406512	0.9432694	0.4801427	0.2172421	0.0687266	0.0758312	0.0290174	0.7798392	0.3023999	1.0000000
100.0	0.9404849	0.9333335	0.3709525	0.2864211	0.0687265	0.0758308	0.0290164	0.7798441	0.3024627	1.0000000
150.0	0.9403930	0.9076091	0.3399816	0.3794249	0.0687264	0.0758306	0.0290159	0.7798462	0.3024943	1.0000000
200.0	0.9403436	0.8858686	0.3325448	0.4400334	0.0687264	0.0758305	0.0290157	0.7798471	0.3025100	1.0000000
250.0	0.9403176	0.8751342	0.3308696	0.4672083	0.0687264	0.0758305	0.0290156	0.7798475	0.3025178	1.0000000
300.0	0.9403042	0.8708877	0.3305030	0.4771162	0.0687264	0.0758305	0.0290156	0.7798477	0.3025216	1.0000000
350.0	0.9402973	0.8693657	0.3304238	0.4803052	0.0687264	0.0758305	0.0290156	0.7798478	0.3025235	1.0000000
400.0	0.9402939	0.8688504	0.3304069	0.4812519	0.0687264	0.0758305	0.0290156	0.7798478	0.3025244	1.0000000
450.0	0.9402921	0.8686834	0.3304033	0.4815178	0.0687264	0.0758305	0.0290156	0.7798478	0.3025249	1.0000000
500.0	0.9402913	0.8686312	0.3304025	0.4815896	0.0687264	0.0758305	0.0290156	0.7798478	0.3025251	1.0000000
550.0	0.9402909	0.8686155	0.3304023	0.4816084	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	1.0000000
600.0	0.9402906	0.8686108	0.3304023	0.4816132	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	1.0000000
650.0	0.9402905	0.8686095	0.3304023	0.4816144	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
700.0	0.9402905	0.8686091	0.3304023	0.4816147	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
