"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.9409402	0.9437452	0.6608046	0.2061520	0.0687270	0.0758321	0.0290200	0.7798276	0.3022762	1.0000000
50.0	0.6387077	0.9431533	0.6608046	0.2061520	0.0687266	0.0758312	0.0290174	0.7798392	0.3023999	1.0000000
100.0	0.3090832	0.9405017	0.6608046	0.2061520	0.0687265	0.0758308	0.0290164	0.7798441	0.3024627	1.0000000
150.0	0.1313847	0.9375994	0.6608046	0.2061520	0.0687264	0.0758306	0.0290159	0.7798462	0.3024943	1.0000000
200.0	0.0521213	0.9357557	0.6608046	0.2061520	0.0687264	0.0758305	0.0290157	0.7798471	0.3025100	1.0000000
250.0	0.0198072	0.9348723	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798475	0.3025178	1.0000000
300.0	0.0073097	0.9345144	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798477	0.3025216	1.0000000
350.0	0.0026409	0.9343842	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025235	1.0000000
400.0	0.0009388	0.9343403	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025244	1.0000000
450.0	0.0003296	0.9343262	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025249	1.0000000
500.0	0.0001145	0.9343218	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025251	1.0000000
550.0	0.0000395	0.9343205	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	1.0000000
600.0	0.0000135	0.9343201	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	1.0000000
650.0	0.0000046	0.9343200	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
700.0	0.0000016	0.9343200	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
750.0	0.0000005	0.9343200	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
800.0	0.0000002	0.9343200	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
850.0	0.0000001	0.9343200	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
900.0	0.0000000	0.9343200	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
950.0	0.0000000	0.9343200	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
1000.0	0.0000000	0.9343200	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000

0.0	0.9409402	0.9437452	0.6608046	0.2061520	0.0687270	0.0758321	0.0290200	0.7798276	0.3022762	1.0000000
50.0	0.9406512	0.4065166	0.6608046	0.2061520	0.0687266	0.0758312	0.0290174	0.7798392	0.3023999	1.0000000
100.0	0.9404849	0.1073770	0.6608046	0.2061520	0.0687265	0.0758308	0.0290164	0.7798441	0.3024627	1.0000000
150.0	0.9403930	0.0257427	0.6608046	0.2061520	0.0687264	0.0758306	0.0290159	0.7798462	0.3024943	1.0000000
200.0	0.9403436	0.0060064	0.6608046	0.2061520	0.0687264	0.0758305	0.0290157	0.7798471	0.3025100	1.0000000
250.0	0.9403176	0.0013899	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798475	0.3025178	1.0000000
300.0	0.9403042	0.0003208	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798477	0.3025216	1.0000000
350.0	0.9402973	0.0000740	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025235	1.0000000
400.0	0.9402939	0.0000171	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025244	1.0000000
450.0	0.9402921	0.0000039	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025249	1.0000000
500.0	0.9402913	0.0000009	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025251	1.0000000
550.0	0.9402909	0.0000002	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	1.0000000
600.0	0.9402906	0.0000000	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	1.0000000
650.0	0.9402905	0.0000000	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
700.0	0.9402905	0.0000000	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
750.0	0.9402905	0.0000000	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
800.0	0.9402905	0.0000000	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
850.0	0.9402905	0.0000000	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
900.0	0.9402904	0.0000000	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
950.0	0.9402904	0.0000000	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
1000.0	0.9402904	0.0000000	0.6608046	0.2061520	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000

0.0	0.9409402	0.9437452	0.6608046	0.2061520	0.0687270	0.0758321	0.0290200	0.7798276	0.3022762	1.0000000
50.0	0.9406512	0.9424516	0.2994808	0.2415733	0.0687266	0.0758312	0.0290174	0.7798392	0.3023999	1.0000000
100.0	0.9404849	0.9119112	0.0811004	0.5621995	0.0687265	0.0758308	0.0290164	0.7798441	0.3024627	1.0000000
150.0	0.9403930	0.8770574	0.0191586	0.8519301	0.0687264	0.0758306	0.0290159	0.7798462	0.3024943	1.0000000
200.0	0.9403436	0.8645375	0.0042851	0.9591144	0.0687264	0.0758305	0.0290157	0.7798471	0.3025100	1.0000000
250.0	0.9403176	0.8611190	0.0009347	0.9896396	0.0687264	0.0758305	0.0290156	0.7798475	0.3025178	1.0000000
300.0	0.9403042	0.8602517	0.0002014	0.9974865	0.0687264	0.0758305	0.0290156	0.7798477	0.3025216	1.0000000
350.0	0.9402973	0.8600360	0.0000431	0.9994049	0.0687264	0.0758305	0.0290156	0.7798478	0.3025235	1.0000000
400.0	0.9402939	0.8599826	0.0000092	0.9998611	0.0687264	0.0758305	0.0290156	0.7798478	0.3025244	1.0000000
450.0	0.9402921	0.8599692	0.0000020	0.9999679	0.0687264	0.0758305	0.0290156	0.7798478	0.3025249	1.0000000
500.0	0.9402913	0.8599658	0.0000004	0.9999926	0.0687264	0.0758305	0.0290156	0.7798478	0.3025251	1.0000000
550.0	0.9402909	0.8599649	0.0000001	0.9999983	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	1.0000000
600.0	0.9402906	0.8599646	0.0000000	0.9999996	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	1.0000000
650.0	0.9402905	0.8599646	0.0000000	0.9999999	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
700.0	0.9402905	0.8599645	0.0000000	1.0000000	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	1.0000000
