"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.6483134	0.7082113	0.5165123	0.0951026	0.0342054	0.0357062	0.0289228	0.7573685	0.3251644	0.7176662
50.0	0.4697860	0.5619338	0.4894564	0.1440826	0.0439478	0.0101859	0.0200904	0.1264823	0.4859115	0.7971846
100.0	0.3893079	0.5587072	0.4793707	0.1874424	0.0710475	0.0024157	0.1032354	0.0201126	0.6336790	0.8266930
150.0	0.2563684	0.5943551	0.5107364	0.1399634	0.0728169	0.0018201	0.5534569	0.0059798	0.8257078	0.8839639
200.0	0.1657818	0.5009926	0.4003996	0.1331253	0.3258504	0.0009305	0.7926582	0.0014047	0.7098994	0.6231834
250.0	0.2289584	0.3482780	0.4126754	0.1689321	0.6138118	0.0015894	0.7632177	0.0000000	0.7176244	0.6632520
300.0	0.1990467	0.5535510	0.5333642	0.1021976	0.6460117	0.0000000	0.6388026	0.0000000	0.7095410	0.7088943
350.0	0.2138485	0.4614858	0.4953868	0.1204520	0.6725698	0.0000000	0.7200146	0.0000000	0.6077086	0.7914999
400.0	0.2960370	0.4471464	0.5089203	0.1247029	0.6697663	0.0000000	0.8062087	0.0000000	0.6613564	0.6117979
450.0	0.1662372	0.3986929	0.4503107	0.1965677	0.6116691	0.0000000	0.7749461	0.0000000	0.8681313	0.8005642
500.0	0.2120577	0.5462791	0.4089204	0.1657274	0.6177401	0.0000000	0.7762201	0.0000000	0.6154518	0.8411869
550.0	0.2151007	0.5153307	0.5151817	0.1641907	0.6008555	0.0000000	0.8266473	0.0000000	0.6300909	0.8725913
600.0	0.2785545	0.4626464	0.6471364	0.1796986	0.7766667	0.0000000	0.7117035	0.0000000	0.7245496	0.8070703
650.0	0.2122301	0.3855745	0.5123451	0.1849663	0.7642853	0.0000000	0.6675529	0.0000000	0.6699492	0.7083415
700.0	0.1351602	0.4418061	0.4927605	0.1227771	0.7978883	0.0000000	0.7559734	0.0000000	0.6975561	0.6415341
750.0	0.2316992	0.4424566	0.5486865	0.1532784	0.6767140	0.0000000	0.8091540	0.0000000	0.7148307	0.7648467
800.0	0.2653632	0.3207617	0.4372025	0.1381862	0.7723369	0.0000000	0.7200925	0.0000000	0.7018521	0.6437780
850.0	0.2017950	0.4493286	0.5051672	0.1850413	0.6373251	0.0000000	0.8823594	0.0000000	0.5924863	0.7374660
900.0	0.2382777	0.3767333	0.4537215	0.1690449	0.6154359	0.0000000	0.7863308	0.0000000	0.7340272	0.7659962
950.0	0.2219733	0.3627710	0.6009305	0.1724061	0.6615108	0.0000000	0.7188854	0.0000000	0.6315964	0.8007563
1000.0	0.2654468	0.4125596	0.5243979	0.1422018	0.7268431	0.0000000	0.6792990	0.0000000	0.7777680	0.8418762

0.0	0.4453328	0.7829124	0.5082075	0.1823302	0.0700937	0.0491270	0.0200541	0.5798180	0.3139186	0.7791827
50.0	0.5668315	0.7563949	0.4931585	0.1003536	0.0319963	0.0886669	0.0033440	0.1010836	0.3352710	0.7286739
100.0	0.5502331	0.7440396	0.5480572	0.1159507	0.0320354	0.0691416	0.0013665	0.0090390	0.5133060	0.7197331
150.0	0.3863796	0.5833608	0.4762679	0.1900032	0.0500259	0.0722808	0.0000000	0.0018732	0.6194093	0.6733210
200.0	0.3287070	0.6577465	0.5200894	0.1422864	0.0750581	0.0770057	0.0000000	0.0000000	0.5171211	0.7447778
250.0	0.2961460	0.7239198	0.4915021	0.1126977	0.0467192	0.0537433	0.0000000	0.0000000	0.5768759	0.7175150
300.0	0.2565633	0.5775593	0.5118612	0.1543348	0.0614748	0.0464487	0.0000000	0.0000000	0.7238342	0.7750405
350.0	0.2321549	0.8981067	0.4932463	0.1399540	0.0850794	0.0786000	0.0000000	0.0000000	0.5902388	0.7570099
400.0	0.1676864	0.6066816	0.5332025	0.1288210	0.0513029	0.0424688	0.0000000	0.0000000	0.5593325	0.7564924
450.0	0.2057085	0.7629066	0.4292109	0.1199241	0.0360256	0.0700841	0.0000000	0.0000000	0.7470218	0.8190541
500.0	0.2497584	0.7814878	0.4892754	0.1923939	0.0314455	0.0512605	0.0000000	0.0000000	0.7946275	0.7772679
550.0	0.1771808	0.6644003	0.3749487	0.1547563	0.0424501	0.0468946	0.0000000	0.0000000	0.7276330	0.8310596
600.0	0.2649984	0.6645972	0.4492030	0.2065668	0.0558960	0.0885013	0.0000000	0.0000000	0.7427870	0.7811547
650.0	0.2549377	0.6099339	0.5094340	0.2098660	0.0705023	0.0788686	0.0000000	0.0000000	0.7038503	0.7564675
700.0	0.1778799	0.7271735	0.5116857	0.2099123	0.0491897	0.0736446	0.0000000	0.0000000	1.0000000	0.7447551
750.0	0.1975131	0.6127061	0.5435624	0.1495961	0.0292363	0.0636342	0.0000000	0.0000000	0.7887098	0.6536478
800.0	0.1753814	0.6538473	0.4781049	0.1471248	0.0662734	0.0370629	0.0000000	0.0000000	0.7832820	0.6871357
850.0	0.2457154	0.7533232	0.5433770	0.1524826	0.0547431	0.0481456	0.0000000	0.0000000	0.9064562	0.7245564
900.0	0.2141688	0.6910802	0.4474363	0.1852291	0.0538640	0.0684822	0.0000000	0.0000000	0.7752345	0.7802339
950.0	0.1460933	0.7524880	0.4606679	0.1489031	0.0907707	0.0878870	0.0000000	0.0000000	0.6651058	0.7293574
1000.0	0.2504995	0.6755986	0.4267879	0.1821198	0.0233344	0.0684527	0.0000000	0.0000000	0.7270946	0.7837615

0.0	0.6129525	0.6804198	0.5156018	0.1891285	0.0539698	0.0716834	0.0138711	0.5490349	0.1909795	0.7804524
50.0	0.5882309	0.5797316	0.3527366	0.1531897	0.0403461	0.0932102	0.0223516	0.1085950	0.3160693	0.1498474
100.0	0.5711745	0.6492155	0.1115934	0.2195091	0.0466058	0.0662550	0.1089517	0.0150915	0.4522464	0.0321082
150.0	0.4661715	0.5081702	0.0417895	0.5948635	0.0908504	0.0760367	0.3764908	0.0055123	0.5206901	0.0021274
200.0	0.3942451	0.4341750	0.0567824	0.7432893	0.2743688	0.0904099	0.6470059	0.0010260	0.6643821	0.0014035
250.0	0.1949862	0.3756601	0.0212158	0.7445937	0.4101868	0.4586121	0.8356466	0.0001230	0.6428364	0.0002647
300.0	0.2950360	0.3540657	0.0378915	0.5928491	0.5247296	0.5045909	0.7109026	0.0000000	0.6918288	0.0000000
