"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.6083469	0.7859676	0.4808883	0.1394498	0.0614591	0.0654002	0.0327627	0.4654904	0.1380299	0.7293128
50.0	0.2376377	0.5879478	0.4860799	0.1999800	0.0426832	0.0754249	0.0472884	0.5630257	0.2148103	0.7171669
100.0	0.0514938	0.7049610	0.3703825	0.1880017	0.0545604	0.0407647	0.0429346	0.5471034	0.2831776	0.8124105
150.0	0.0188112	0.7804514	0.4994919	0.1487297	0.0641335	0.0670257	0.0267809	0.5913455	0.2508704	0.8711946
200.0	0.0025432	0.5949748	0.3987177	0.2093724	0.0440751	0.0289470	0.0211434	0.5589164	0.3614965	0.8043816
250.0	0.0010167	0.6915915	0.4111181	0.1540337	0.0516801	0.0431291	0.0364244	0.5237752	0.3238938	0.8302649
300.0	0.0025750	0.7027454	0.3862221	0.1790126	0.0250063	0.0574494	0.0446917	0.5383604	0.3029652	0.8401686
350.0	0.0000000	0.6280826	0.5150396	0.1787003	0.0233816	0.0418960	0.0222975	0.6171318	0.3547468	0.7648907
400.0	0.0000000	0.6519866	0.5128036	0.1614011	0.0311557	0.0286094	0.0139644	0.5462034	0.2969391	0.8326605
450.0	0.0000000	0.7771046	0.5012053	0.1266151	0.0669641	0.0316864	0.0098660	0.5953888	0.3660594	0.6797196
500.0	0.0000000	0.7891125	0.5393978	0.1435320	0.0725392	0.0420061	0.0385592	0.6108231	0.4159175	0.6342870
550.0	0.0000000	0.7248999	0.5363113	0.2063326	0.0561665	0.0498635	0.0347621	0.4544697	0.4111746	0.6736518
600.0	0.0000000	0.7149217	0.3819977	0.2649255	0.0489108	0.0342866	0.0191175	0.7303647	0.5319671	0.8065202
650.0	0.0000000	0.6747557	0.4446066	0.1436504	0.0355672	0.0473175	0.0276898	0.5930511	0.2847097	0.7332092
700.0	0.0000000	0.5878645	0.3487922	0.1261528	0.0345712	0.0802920	0.0121513	0.4841107	0.1756521	0.7799055
750.0	0.0000000	0.5613860	0.5083157	0.1266200	0.0612671	0.0708244	0.0169677	0.5653174	0.1421861	0.7131547
800.0	0.0000000	0.6247692	0.4931705	0.2259972	0.1035222	0.0789297	0.0272458	0.5258663	0.1428339	0.8506943
850.0	0.0000000	0.7254046	0.5085658	0.2318546	0.0732506	0.0562298	0.0249098	0.5184360	0.1608752	0.8329559
900.0	0.0000000	0.6848781	0.5089456	0.2056285	0.0327587	0.0629888	0.0444891	0.4918079	0.1993306	0.6608709
