"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.8338292	0.6653430	0.4450606	0.1200766	0.0701656	0.0362572	0.0214121	0.4230846	0.1976212	0.6496826
50.0	0.6881932	0.6689063	0.3948856	0.1649417	0.0471580	0.0577682	0.0106705	0.4659462	0.2406254	0.9298421
100.0	0.4845275	0.6803551	0.4968255	0.1916953	0.0747475	0.0514208	0.0170796	0.6820158	0.2554757	0.8645312
150.0	0.4001906	0.6858383	0.5438387	0.1883678	0.0703685	0.0790725	0.0078393	0.5787887	0.2164294	0.7503391
200.0	0.3775549	0.6664682	0.5428513	0.1376626	0.0795999	0.0469053	0.0344097	0.5360540	0.1939688	0.6216055
250.0	0.4123968	0.7553400	0.5343580	0.1407606	0.0457916	0.0680168	0.0263379	0.3829400	0.2964354	0.7520482
300.0	0.3131312	0.6034443	0.4803738	0.0958490	0.0428748	0.0677045	0.0181370	0.5107073	0.2279952	0.6129340
350.0	0.2615949	0.8332339	0.4782775	0.0940897	0.0978750	0.0676334	0.0225872	0.5228707	0.1863121	0.6226509
400.0	0.3443319	0.7630954	0.4656981	0.1636880	0.0715415	0.0334007	0.0153013	0.4886211	0.3386032	0.6742897
450.0	0.2665270	0.5847717	0.4429725	0.1355920	0.0650937	0.0672034	0.0106015	0.6450209	0.3604520	0.7439264
500.0	0.3572018	0.6368657	0.4587018	0.1184679	0.0564547	0.0745581	0.0249939	0.5257044	0.2622139	0.7295631
550.0	0.3604699	0.7460684	0.4198774	0.1192004	0.0574730	0.0419910	0.0120497	0.6324292	0.2624074	0.7624516
600.0	0.2826105	0.6477671	0.4097781	0.1643058	0.0375563	0.0692531	0.0151666	0.6350231	0.2062540	0.6722627
650.0	0.3286914	0.6194177	0.5193210	0.1328542	0.0467947	0.0599632	0.0175194	0.5381198	0.1595579	0.7593005
700.0	0.3201070	0.8584226	0.4876047	0.1467727	0.0499611	0.0891122	0.0178780	0.5651488	0.1619139	0.7632203
750.0	0.4129183	0.7159489	0.4764426	0.1987363	0.0431033	0.0520254	0.0114794	0.4467377	0.1828907	0.7578378
800.0	0.4081061	0.6736806	0.4597707	0.1669399	0.0464735	0.0393175	0.0181324	0.5981449	0.1970101	0.6800677
850.0	0.2992699	0.7056305	0.3696965	0.1469361	0.0743670	0.0617798	0.0212462	0.6245467	0.4357429	0.7617683
900.0	0.2663195	0.7381849	0.5260313	0.1372727	0.0455387	0.0466591	0.0310960	0.5754138	0.4146990	0.7040113
950.0	0.3519227	0.6685729	0.4601568	0.1506325	0.0598194	0.1248017	0.0164824	0.5811661	0.2102596	0.8567951
