"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.9286085	1.0338052	0.6184501	0.2240484	0.0822153	0.1094351	0.0368636	0.7312339	0.2081390	1.0499683
50.0	0.9329093	0.9320129	0.5795134	0.2131616	0.3682686	0.3650799	0.0199989	0.4516653	0.1747146	0.8999192
100.0	0.8325584	0.9302116	0.5737884	0.2192429	0.5707196	0.7932291	0.0190910	0.3574701	0.2437731	0.9740794
150.0	0.8657551	0.9198556	0.6092827	0.2242498	0.7196002	1.0144711	0.0231762	0.2276425	0.3784951	0.9625988
200.0	0.7586007	0.9572119	0.5659506	0.2108058	0.6979173	1.0677411	0.0825259	0.1683537	0.6131482	0.9208243
250.0	0.6271530	0.8998196	0.5814551	0.2317923	0.7205757	1.0022431	0.1220197	0.1820659	0.7777233	1.0713809
300.0	0.4461522	0.8877368	0.5675028	0.2284006	0.6664356	1.0607583	0.1555423	0.1887298	0.8367419	0.9377448
350.0	0.3746857	0.8698384	0.5762532	0.2211807	0.7092513	1.0792542	0.1125410	0.1717934	0.8502289	1.0012684
400.0	0.3150693	0.8306678	0.5467428	0.2485345	0.7878835	1.0759637	0.1511315	0.1592116	0.9202642	1.0211348
450.0	0.2848189	0.7722980	0.6045644	0.2609209	0.7407829	1.0540506	0.2064536	0.1916186	1.0036014	1.0218891
500.0	0.2535855	0.7495928	0.6146885	0.2723432	0.7514047	1.0128709	0.2525919	0.1985612	0.9872930	0.9134179
550.0	0.2114026	0.7877527	0.5000372	0.2407162	0.6845372	1.0574042	0.2590917	0.1817153	1.0062092	0.9666343
600.0	0.2802987	0.7171061	0.5533456	0.2397635	0.7073465	1.0543991	0.1675717	0.1930309	0.9573140	1.0158818
650.0	0.2357741	0.7448364	0.5425621	0.2753060	0.6675441	1.0314039	0.1586640	0.1603031	0.8631599	0.9725431
700.0	0.3012661	0.7984669	0.5506347	0.2301758	0.6701085	1.0134336	0.1814956	0.1456450	0.9022788	0.9274930
750.0	0.3513209	0.8331204	0.5564882	0.2082637	0.7707788	1.0292067	0.1728855	0.1624931	1.0063876	1.0760438
800.0	0.2943857	0.8055377	0.6508937	0.2652467	0.7391690	0.9387165	0.2472523	0.1965731	1.0166826	1.0260368
850.0	0.3016934	0.7500892	0.5441769	0.2009842	0.7568111	0.9452552	0.2077272	0.1612267	0.9405682	0.9565422
900.0	0.2534109	0.7134158	0.5638935	0.2999035	0.7584354	1.0291860	0.3060606	0.1484468	0.9729347	1.0545266
950.0	0.2255641	0.6405083	0.5264219	0.2381345	0.7024594	1.0160117	0.2776468	0.1803169	0.9904572	1.1176995
1000.0	0.2299166	0.6781112	0.6515165	0.2532504	0.6290696	1.0173785	0.2065199	0.2033591	0.9612939	1.0412828

0.0	0.9553360	0.8695480	0.6865708	0.2027404	0.0686638	0.0772541	0.0195159	0.7846351	0.2707631	1.0292746
50.0	0.8705405	0.9271137	0.7383401	0.2410176	0.0718457	0.2957526	0.0316656	0.5027083	0.2029286	1.0611136
100.0	0.7968853	0.9479189	0.8161740	0.1753715	0.0986683	0.3188471	0.0543474	0.5213707	0.2023882	1.0621278
150.0	0.8126253	0.9323169	0.7264177	0.2191166	0.1139815	0.2836953	0.0503673	0.4118498	0.2625529	1.0348408
200.0	0.8228474	0.8548557	0.7207314	0.2283320	0.1198088	0.3231865	0.0707622	0.3744685	0.3719819	0.9661348
250.0	0.7854803	0.9409816	0.8305317	0.1677791	0.1036167	0.3540687	0.0550126	0.3566146	0.4922277	0.9786850
300.0	0.6292855	0.9835699	0.7749821	0.1943144	0.0995435	0.3226633	0.0864900	0.4511374	0.5387687	1.0090724
350.0	0.5786414	0.9194674	0.7637118	0.1865085	0.1126570	0.3268566	0.0777222	0.3965850	0.5857347	1.0387891
400.0	0.5239182	0.8411689	0.7558976	0.2249995	0.1175664	0.2655573	0.0825064	0.3972370	0.5737311	0.9333460
450.0	0.5347172	0.8290697	0.8081771	0.1916632	0.0963278	0.3424324	0.0627452	0.4047033	0.5081688	0.9685310
500.0	0.5647993	0.9316802	0.6989074	0.2022258	0.1156467	0.3301762	0.0677203	0.3743370	0.5234689	0.9500757
550.0	0.5580215	0.8632332	0.6334781	0.2154952	0.1062274	0.4287122	0.0470532	0.3665521	0.5325216	0.9754126
600.0	0.5231374	0.8823081	0.6967290	0.2152758	0.1210895	0.4280115	0.0670435	0.3127111	0.5902947	0.9684082
650.0	0.4864015	0.8504168	0.6851523	0.1829501	0.1085897	0.3697217	0.0861922	0.3057912	0.6296695	1.0240859
700.0	0.5023381	0.9161165	0.7179182	0.1896097	0.1208354	0.4238498	0.0999617	0.2765611	0.6652275	0.9986316
750.0	0.3937579	0.9232275	0.6568408	0.2016310	0.1237268	0.4191920	0.1186670	0.3305343	0.7051421	0.9405780
800.0	0.3675015	0.8647111	0.7314922	0.2022316	0.1190613	0.4153437	0.1139394	0.3295567	0.7393822	0.9128057
850.0	0.4002611	0.9103088	0.7799709	0.1908434	0.1529370	0.4476839	0.1084585	0.3056748	0.7843457	0.9694825
900.0	0.3552154	0.8993847	0.7796844	0.2087428	0.1600006	0.4884771	0.1580496	0.3561186	0.8207697	0.9934674
950.0	0.3438805	0.7707297	0.6508103	0.1814515	0.1548732	0.4575350	0.1236038	0.3425406	0.7509785	1.0061772
1000.0	0.3763431	0.9026350	0.6765244	0.1598969	0.1246633	0.4822609	0.1014577	0.2879998	0.7133472	0.9994866

0.0	1.0127728	0.9186930	0.6908061	0.1623877	0.0673738	0.0980180	0.0457837	0.7317586	0.2173978	0.9664696
50.0	0.7473694	0.4462457	0.8700347	0.1704069	0.3610096	0.2862951	0.0291476	0.5272608	0.1375129	0.7396709
100.0	0.6845409	0.4685142	0.8210608	0.1789887	0.5615421	0.7122851	0.0198545	0.3048690	0.1421450	0.6024980
150.0	0.6877036	0.5151197	0.7798172	0.2000513	0.4996309	0.9149182	0.0670237	0.1883556	0.3022646	0.6437301
200.0	0.6132664	0.3787365	0.7345532	0.2128873	0.5934609	0.9064393	0.2622561	0.1493612	0.5655894	0.6556454
250.0	0.4711278	0.3651140	0.7302660	0.2314517	0.6002372	0.9617871	0.4971995	0.1176824	0.7673902	0.6330936
300.0	0.4091264	0.2515258	0.8238389	0.2174658	0.6425146	1.0048270	0.6049374	0.1419510	0.8170214	0.6204381
350.0	0.2823006	0.2529999	0.7422089	0.2243294	0.7151324	0.9183068	0.4932702	0.1558463	0.8793007	0.6194950
400.0	0.2652214	0.2235107	0.7109564	0.1970458	0.7202536	1.0764342	0.3471605	0.1664865	0.8295370	0.6132917
450.0	0.2695926	0.2482277	0.7042705	0.1908790	0.6815148	1.0104522	0.2503235	0.1650730	0.8279597	0.6507641
500.0	0.2938400	0.3523735	0.7356094	0.1876179	0.5968177	0.9619857	0.2955830	0.1376736	0.7863528	0.6740324
550.0	0.2952584	0.3189739	0.7781894	0.2125130	0.5851678	0.9981325	0.4740606	0.1609019	0.8436618	0.6775034
600.0	0.2986490	0.2648520	0.7421900	0.2203164	0.6544597	0.8875303	0.4941716	0.1541192	0.8278838	0.5697169
650.0	0.2490889	0.1920034	0.7712820	0.2091142	0.6833159	0.9257875	0.3353080	0.1362971	0.8478285	0.6939810
700.0	0.2635298	0.2692676	0.6825184	0.1865315	0.6473399	1.0104342	0.3057729	0.1591079	0.8355743	0.5768328
750.0	0.2313621	0.3202065	0.7216470	0.1981429	0.6117801	1.0447333	0.2928004	0.1525824	0.8540757	0.6428014
800.0	0.2797493	0.2998623	0.7239016	0.1965807	0.5536460	1.0463596	0.3431185	0.1534253	0.8223131	0.6944500
850.0	0.2463045	0.2671591	0.7286077	0.2126146	0.6110768	1.0740384	0.4323591	0.1364430	0.8303465	0.6486775
900.0	0.2095398	0.2230605	0.7510362	0.1859269	0.6317747	0.8620401	0.3700213	0.1166775	0.8126638	0.6849112
950.0	0.2188412	0.2648630	0.7530148	0.2349532	0.7027687	0.8767218	0.4287764	0.1274342	0.8218921	0.6396839
1000.0	0.2687289	0.2356971	0.7302707	0.2060588	0.7556402	0.8829476	0.4129467	0.1292632	0.8087779	0.6003358

0.0	0.9562772	0.9002028	0.7909069	0.1912848	0.0510501	0.1002973	0.0197811	0.7350562	0.2300923	1.0052966
50.0	0.9264653	0.9386360	0.5520794	0.1644121	0.1624911	0.0714179	0.0383448	0.7088548	0.2604696	0.7559954
100.0	0.9934555	0.8789494	0.4463617	0.1976078	0.2337350	0.1817176	0.0344955	0.6374995	0.2503111	0.7474011
150.0	0.9602095	1.0072548	0.4102809	0.3038395	0.2282908	0.4070429	0.0327562	0.4088172	0.1913204	0.6562581
200.0	1.0240062	0.9268246	0.3409067	0.3926697	0.2191543	0.4658608	0.0627860	0.2388913	0.3293894	0.7284870
250.0	0.9934651	0.9636462	0.3768721	0.4720919	0.2514124	0.5308894	0.1089412	0.2500889	0.4413292	0.6656365
300.0	0.7971911	0.8681284	0.3439898	0.4640693	0.2238858	0.5906639	0.1683712	0.2243813	0.5358777	0.7485128
350.0	0.7254497	0.7026731	0.4242250	0.4396374	0.2454398	0.5819382	0.1870276	0.2397061	0.5924293	0.6894663
400.0	0.6463391	0.7032062	0.4345223	0.3032767	0.2428187	0.6217155	0.1966813	0.1883633	0.6786481	0.7125333
450.0	0.6026218	0.6968242	0.3731408	0.3641659	0.2658416	0.5742084	0.2272662	0.2488448	0.6674422	0.7169702
500.0	0.4638358	0.7450634	0.3828011	0.4918970	0.2768410	0.6914495	0.2525998	0.2126664	0.6847443	0.6519578
550.0	0.5244098	0.7064275	0.3233301	0.3742946	0.2629902	0.5946868	0.1977282	0.1773652	0.6560124	0.6436090
600.0	0.5056369	0.7373803	0.2675633	0.4172414	0.2525945	0.5554797	0.2596561	0.1744168	0.6718972	0.7372994
650.0	0.5129866	0.6430313	0.3486343	0.4875170	0.2568870	0.6354104	0.2564679	0.1918505	0.7188327	0.7124127
700.0	0.5845712	0.6865008	0.3312810	0.5254026	0.2912515	0.6804491	0.2405651	0.1584972	0.6401005	0.7147350
750.0	0.6122865	0.6242001	0.3655471	0.5384173	0.2636621	0.6131839	0.2816037	0.1999370	0.6669377	0.7128617
800.0	0.5701666	0.6928899	0.3056136	0.4130767	0.2671929	0.6048794	0.1912695	0.2335800	0.6610100	0.6904875
850.0	0.6214457	0.7161139	0.2645191	0.4426056	0.2727521	0.6375513	0.2311066	0.2190621	0.6503437	0.6511067
900.0	0.6345144	0.7298007	0.3096320	0.5351451	0.2874948	0.7087283	0.1416453	0.1776922	0.6333896	0.6699726
950.0	0.5617926	0.6702277	0.2804122	0.4819077	0.2914058	0.7226812	0.2429544	0.1835807	0.6546910	0.6471257
1000.0	0.4909938	0.6987388	0.2879239	0.5960388	0.2865341	0.7702064	0.2731428	0.1509379	0.6416801	0.7042008

0.0	1.0173389	0.9522996	0.6701906	0.1664032	0.0683706	0.0930828	0.0232894	0.8147206	0.2288549	1.0287622
50.0	1.1034558	0.8740350	0.6611367	0.2085358	0.2392445	0.4391558	0.0158158	0.4894938	0.1353115	1.0094602
100.0	0.9805239	0.8462566	0.6335926	0.2242806	0.2818118	0.7295494	0.0083129	0.3333100	0.1022962	0.9775749
150.0	0.9582315	0.9598269	0.6826529	0.1964006	0.3207148	0.8560754	0.0344238	0.2424368	0.1098189	1.0017062
200.0	0.9902960	0.8158132	0.6132420	0.2197482	0.3415018	0.8975109	0.1080504	0.1846491	0.1900483	1.0015188
250.0	0.9432859	0.7819366	0.6102152	0.2573344	0.3004947	0.9448571	0.1723595	0.1769983	0.2235307	0.9826516
300.0	0.9614370	0.8681285	0.5800663	0.2100552	0.3321965	1.0266044	0.1965274	0.1823838	0.2334497	1.0268377
350.0	0.8940924	0.7583544	0.6112307	0.2036248	0.3628823	0.9858202	0.1732486	0.1647288	0.2682318	0.9904499
400.0	0.8718991	0.6985185	0.5995699	0.2098303	0.3599136	1.0444646	0.2200494	0.1739093	0.2572599	0.8897227
450.0	0.9025476	0.7416620	0.5648559	0.2128765	0.3899146	0.9083594	0.2106254	0.1382973	0.2490579	1.0189621
500.0	0.8836928	0.7565266	0.5854764	0.2429449	0.3642371	0.9117460	0.2089690	0.2009552	0.2621218	0.9246720
550.0	0.9132327	0.7358791	0.6716825	0.2533538	0.4028212	0.8761986	0.1854042	0.1994684	0.2946445	0.9247247
600.0	0.8877554	0.7926998	0.5124449	0.2281937	0.3860192	0.9432081	0.1466390	0.2161034	0.2735366	0.9925100
650.0	0.9381201	0.7858361	0.5754290	0.2207045	0.4085301	1.0353989	0.1431747	0.1827220	0.2554471	0.9556314
700.0	0.9493490	0.8623336	0.5956684	0.1887566	0.3287032	0.9855905	0.1290139	0.2025810	0.2638810	0.9604822
750.0	0.9424947	0.7578746	0.5848011	0.2441024	0.3423514	0.9537886	0.1042937	0.1825818	0.2839354	1.0174155
800.0	0.9026832	0.8445985	0.5804768	0.2078043	0.3806757	0.9862405	0.1583908	0.1394312	0.3216661	1.1094714
850.0	0.9518068	0.8024200	0.5980323	0.1913843	0.3510064	0.9790644	0.1623859	0.1496327	0.3075838	1.0013908
900.0	0.9541840	0.8472567	0.6245078	0.2339912	0.3999458	0.9880668	0.2240347	0.1441310	0.2783337	0.8898914
950.0	0.9081218	0.7451425	0.5841837	0.2136180	0.4047076	0.9170029	0.2779077	0.1935620	0.2360214	0.9519237
1000.0	0.9944263	0.7075856	0.5143374	0.2278774	0.4018033	0.9838087	0.2044992	0.1570515	0.2829825	0.9396037

0.0	0.9783071	0.9454120	0.5945195	0.1888726	0.0773781	0.0834232	0.0359003	0.7428270	0.1893867	1.0220659
50.0	0.7177997	0.9606975	0.6535261	0.1977166	0.2063078	0.0524290	0.0285451	0.5402671	0.2613551	1.0301888
100.0	0.6033550	0.9927992	0.6223759	0.2329515	0.2473033	0.2414255	0.0369649	0.4283457	0.2212708	0.8959579
150.0	0.6291007	0.8423211	0.6236273	0.2572605	0.2800757	0.3916445	0.0427739	0.3072553	0.1753612	0.8975941
200.0	0.6651207	0.8538303	0.5615962	0.2481626	0.2676151	0.5260071	0.0732918	0.2408580	0.1819407	1.0030408
250.0	0.5654849	0.9520146	0.5759570	0.1944507	0.2934999	0.5922919	0.1237878	0.1795359	0.3047094	0.8836571
300.0	0.5749996	0.8478303	0.6316814	0.2465942	0.3203527	0.6277849	0.1490984	0.1912269	0.3921985	0.9450025
350.0	0.5882475	0.9610856	0.5355823	0.2022799	0.3039340	0.7433181	0.2362213	0.1575325	0.4371008	0.8921007
400.0	0.5659980	0.8192202	0.5275651	0.2365063	0.2853688	0.7396079	0.3168297	0.1144437	0.4005023	0.8751766
450.0	0.4602021	0.7488308	0.6007222	0.2528658	0.3227190	0.7993419	0.3503903	0.1515447	0.4501581	0.8876006
500.0	0.5031007	0.7130941	0.6549390	0.2434624	0.3430460	0.8383418	0.3882531	0.1367265	0.4573201	0.8962156
550.0	0.4777755	0.7370509	0.5891597	0.2474291	0.4414503	0.8225339	0.4333587	0.1384693	0.4687802	0.8725137
600.0	0.5017130	0.7152176	0.5444948	0.2467528	0.5052695	0.8841824	0.4955960	0.1290967	0.4911344	0.9334648
650.0	0.5028939	0.7526683	0.4759785	0.2653336	0.5217543	0.9490652	0.4712744	0.1012489	0.4949949	0.9951657
700.0	0.4729736	0.6964174	0.5834810	0.2894050	0.5397801	0.9059134	0.4668455	0.1445535	0.4835097	0.9699313
