"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.9163549	0.9422296	0.7175218	0.2287917	0.0830663	0.0959705	0.0251036	0.7001610	0.2802404	0.8749962
50.0	0.6253183	0.8238373	0.6204522	0.2312623	0.0607431	0.0535824	0.0361252	0.7428575	0.2182616	0.8877662
100.0	0.2656083	0.8711274	0.5921191	0.1800850	0.0535937	0.0705901	0.0264352	0.6867074	0.3518976	1.0223360
150.0	0.0975745	1.0174627	0.6640709	0.1664442	0.0559900	0.0788864	0.0462464	0.7120635	0.3420856	0.9790870
200.0	0.0528131	1.0750146	0.6730065	0.2230052	0.0617425	0.0724060	0.0631082	0.7182115	0.3620447	0.8520010
250.0	0.0112545	0.8852754	0.5322893	0.1914956	0.0604338	0.0790815	0.0427300	0.8183474	0.3902187	1.0191322
300.0	0.0025943	1.0187728	0.6412448	0.2288429	0.0521403	0.0729008	0.0304196	0.8801632	0.4647215	0.9918286
350.0	0.0028269	0.9459294	0.6729876	0.1908858	0.0581165	0.0760068	0.0398736	0.8821020	0.3758909	1.0140293
400.0	0.0028809	0.9812030	0.6741305	0.2543682	0.0860114	0.0590131	0.0470397	0.7722091	0.4691406	1.0751066
450.0	0.0035691	0.9553558	0.6978802	0.1864526	0.0794285	0.0846989	0.0409965	0.6599292	0.4614333	1.0326167
500.0	0.0000000	0.9963786	0.7653852	0.2034399	0.0553325	0.0533466	0.0373742	0.7564756	0.5682972	1.1746425
550.0	0.0000000	0.9500121	0.7556570	0.1808183	0.0515474	0.0667942	0.0584638	0.7206266	0.5410275	1.0215335
600.0	0.0000000	0.9287161	0.7017311	0.1901593	0.0581209	0.0698977	0.0508705	0.7687493	0.5503804	0.9638168
650.0	0.0000000	0.8407190	0.6701090	0.1988699	0.0658357	0.0859646	0.0633874	0.8410583	0.4313170	0.9358134
700.0	0.0000000	0.8730228	0.6129751	0.2294519	0.0973985	0.1035327	0.0433165	0.8759219	0.3503594	0.9998324
750.0	0.0000000	0.8893167	0.7344493	0.2608252	0.0784799	0.0856708	0.0520007	0.8220079	0.2288875	1.0197071
800.0	0.0000000	0.7659790	0.6963158	0.2341879	0.0799897	0.1144247	0.0374974	0.7762964	0.1731731	1.0745839
850.0	0.0000000	0.8683072	0.5795980	0.1981276	0.1000989	0.1059603	0.0428988	0.7367341	0.2090935	0.9567828
900.0	0.0000000	0.9425573	0.6456897	0.2200340	0.0733371	0.0680657	0.0233058	0.7315259	0.2278878	1.1076040
950.0	0.0000000	0.9328675	0.6353863	0.1892494	0.0673765	0.0519429	0.0284357	0.8709508	0.4600674	1.1030333
1000.0	0.0000000	1.0101981	0.6444210	0.1989680	0.0723525	0.0503269	0.0190479	0.8516293	0.5775478	1.0410035

0.0	0.9303865	0.8966635	0.5517971	0.2210389	0.0979568	0.1140290	0.0383117	0.6677446	0.2415998	1.0179761
50.0	0.9433877	0.4119155	0.6322166	0.2109105	0.0575827	0.0802428	0.0499117	0.6288296	0.2245221	0.9498750
100.0	0.9344526	0.1168191	0.5475014	0.2239180	0.0708967	0.0596255	0.0454287	0.7227295	0.3743467	0.9955231
150.0	0.8726573	0.0225368	0.6052418	0.1868091	0.0773002	0.0618210	0.0396550	0.7934211	0.4874083	1.0085145
200.0	0.8322191	0.0083227	0.6357726	0.1980179	0.0594608	0.0854702	0.0309700	0.7554055	0.5722989	0.9281883
