"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.9226708	0.9734354	0.6578016	0.2000273	0.1021887	0.0849792	0.0356850	0.7760880	0.1968589	0.9192436
50.0	0.9219157	0.9598521	0.5931687	0.2257117	0.2817009	0.3435590	0.0260305	0.6376029	0.1744340	0.9710251
100.0	0.9204047	0.9382294	0.6191240	0.2121880	0.4525761	0.6086879	0.0182935	0.4532065	0.2173914	0.9444865
150.0	1.0229510	0.9712686	0.5932350	0.2258254	0.6007328	1.0011910	0.0237464	0.3572045	0.3378106	0.9075376
200.0	0.9042647	1.0145907	0.6338405	0.2017789	0.7560076	0.9891132	0.0557819	0.2353114	0.4772394	0.9595964
250.0	0.6492632	0.9039361	0.5333659	0.1853018	0.7123841	1.0194016	0.1043955	0.2525768	0.7298536	1.0937263
300.0	0.5838760	0.9132729	0.5132946	0.2016400	0.6968427	0.9796124	0.1146331	0.2109787	0.8415554	1.0170979
350.0	0.4676297	0.8679639	0.5269715	0.2349975	0.6362071	1.0865993	0.1392867	0.2035197	0.9306250	0.9894652
400.0	0.3386433	0.8259618	0.6010015	0.2349801	0.7325373	1.2067858	0.1371423	0.1991493	0.8753113	1.0302163
450.0	0.3351089	0.8133143	0.5542785	0.2680392	0.8068840	0.9954748	0.1844612	0.1766017	0.9328254	1.0897488
500.0	0.3224164	0.8199208	0.6097771	0.2512094	0.7498611	0.9563373	0.2483835	0.1405354	0.9516367	0.9080252
550.0	0.2699698	0.7329522	0.4775026	0.2133657	0.7002973	1.0618111	0.2522021	0.1582484	1.0089943	0.8726539
600.0	0.2995259	0.7261946	0.5419137	0.2421456	0.7051528	1.0295853	0.2544413	0.2046834	0.9744450	0.9747625
650.0	0.2495005	0.7821671	0.5255184	0.2752619	0.7172731	1.0762142	0.2171079	0.1969216	0.9442876	0.9329839
700.0	0.2660055	0.7890889	0.5566772	0.2640162	0.7111850	1.0426522	0.1844031	0.1901604	0.9067979	1.0300694
750.0	0.3134184	0.8276249	0.5777576	0.2807435	0.6685959	1.0891407	0.1769560	0.1601215	0.8964684	1.0693852
800.0	0.3218965	0.7788317	0.6037772	0.3187554	0.7327980	0.9655345	0.1975341	0.1719285	0.9989158	0.9911230
850.0	0.3075233	0.8060677	0.5988923	0.2568641	0.7964129	1.0013078	0.2067679	0.1511344	0.9607270	1.0136434
900.0	0.2918170	0.7176259	0.5567368	0.3282366	0.7387412	1.0015423	0.2733914	0.1363277	0.9497817	0.9688245
950.0	0.2833373	0.5789400	0.5975565	0.2766169	0.7079931	0.9736412	0.3315521	0.1739459	1.0234811	0.9978000
1000.0	0.2456669	0.7326602	0.7002027	0.2446884	0.6753826	0.9338574	0.2445823	0.1800019	1.0055957	1.0561802

0.0	0.9959911	0.8483821	0.6542588	0.1769266	0.0579920	0.0824592	0.0398048	0.8177261	0.2916207	1.0771465
50.0	0.8633952	0.9349353	0.8008206	0.2226848	0.0958777	0.2871113	0.0379080	0.6723372	0.2332591	1.1723114
100.0	0.8546417	0.9539827	0.7540104	0.1741716	0.0794911	0.3941586	0.0348938	0.5705425	0.2129808	1.1544692
150.0	0.8392782	1.0142480	0.7995428	0.2119225	0.1123648	0.3054914	0.0599335	0.4384966	0.2072058	1.0042892
200.0	0.8214447	1.0047413	0.7473657	0.2327215	0.1133798	0.3489278	0.0779541	0.4129282	0.3880448	1.0716967
250.0	0.7746606	0.8205753	0.7992293	0.1767474	0.1116338	0.3258379	0.0591037	0.3857274	0.4117866	1.0601288
300.0	0.7427042	0.8631133	0.7852562	0.1772605	0.0907061	0.2805956	0.0654108	0.3874875	0.5313711	1.0537149
350.0	0.6348402	0.9037971	0.7939579	0.1955141	0.1024759	0.3268184	0.0681807	0.3939254	0.6350443	1.0014463
400.0	0.5858723	1.0065018	0.7312379	0.2239779	0.0949460	0.3237419	0.0677396	0.4354976	0.6655612	1.0738244
450.0	0.5038721	0.8587374	0.7755874	0.1916619	0.1116448	0.2907068	0.0673012	0.3802247	0.5431047	1.0223243
500.0	0.5077822	0.8746789	0.7341076	0.2205353	0.1159748	0.3197125	0.0601601	0.3647535	0.5016660	0.9865436
550.0	0.5334573	0.9533942	0.6424095	0.2284125	0.1470712	0.3626071	0.0812367	0.4349180	0.5638197	0.9429054
