"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.9724181	0.9003863	0.7344753	0.2027080	0.0622731	0.0915219	0.0337259	0.7089854	0.2401750	1.0325325
50.0	0.3098969	1.0429012	0.8127322	0.1955391	0.2176798	0.0813653	0.0254382	0.7433420	0.2481199	0.2966425
100.0	0.0726580	0.8797167	0.7439199	0.1734295	0.2367264	0.2420597	0.0182887	0.6728300	0.2520913	0.1474895
150.0	0.0234846	0.9240043	0.6428997	0.2197302	0.2725508	0.3815273	0.0390671	0.4448834	0.2017279	0.0993488
200.0	0.0096795	0.9425856	0.5372837	0.1949473	0.2657540	0.6306028	0.0667657	0.3575261	0.2922864	0.1053846
250.0	0.0019880	1.0096768	0.5320371	0.2338431	0.2961932	0.7507317	0.0869268	0.2673391	0.4214283	0.0782295
300.0	0.0022556	0.7685473	0.5645986	0.2245806	0.2892907	0.7742043	0.1283305	0.1966860	0.6056658	0.0926522
350.0	0.0000000	0.9360419	0.5378291	0.2281521	0.3258264	0.8144681	0.1712044	0.2436665	0.7290338	0.0962811
400.0	0.0026373	0.8548737	0.5300309	0.2531125	0.3126846	0.8498465	0.1724523	0.2101028	0.8516713	0.0800484
450.0	0.0038334	0.8180590	0.5621887	0.2368408	0.3089707	0.8795057	0.2090890	0.2127571	0.8947212	0.0878766
500.0	0.0019472	0.7779900	0.4934488	0.2752665	0.2965865	0.8621110	0.1791533	0.1602850	0.8825403	0.1028783
550.0	0.2547419	0.7347799	0.1694469	0.3295683	0.1339867	0.8114726	0.2416573	0.2304709	0.9348966	0.8294666
600.0	0.2957328	0.5922868	0.2639533	0.6488264	0.1239720	0.5177420	0.1584106	0.2409847	0.8378434	0.9280165
650.0	0.3301817	0.5765977	0.4708579	0.5587522	0.1138131	0.2610767	0.1458226	0.3363927	0.7396377	1.0281272
700.0	0.4063770	0.6555274	0.5308046	0.2876791	0.0827997	0.1596550	0.0760153	0.5382444	0.7622761	0.9562738
750.0	0.5167894	0.7851565	0.6357377	0.2650008	0.0768946	0.1697868	0.0802457	0.5672543	0.5313868	1.0832064
