"Index"	"Gene"
G1	appY
G2	appB
G3	appC
G4	hyaA
G5	arcA
G6	betI
G7	caiA
G8	cydB
G9	fumB
G10	gadX
G11	hybC
G12	hybD
G13	hybO
G14	lldP
G15	lldR
G16	nuoA
G17	nuoF
G18	nuoH
G19	oppA
G20	oppF
G21	rutD
G22	xylR
G23	bglJ
G24	bglB
G25	caiF
G26	cpxR
G27	baeR
G28	csgD
G29	degP
G30	efeU_1
G31	fabZ
G32	psd
G33	rseC
G34	ung
G35	yqjA
G36	cspA
G37	hns
G38	dcuR
G39	dcuB
G40	dgsA
G41	malT
G42	dpiA
G43	evgA
G44	gadE
G45	ydeO
G46	fis
G47	chpA
G48	chpR
G49	deoD
G50	gadB
G51	gltW
G52	hupA
G53	lysW
G54	marA
G55	marR
G56	mtlD
G57	mtlR
G58	narK
G59	rrlG
G60	rrlH
G61	thrV
G62	gadW
G63	lrp
G64	rcsA
G65	galR
G66	galS
G67	gutM
G68	srlB
G69	srlR
G70	bolA
G71	gspJ
G72	leuO
G73	nhaR
G74	proV
G75	stpA
G76	cadC
G77	leuC
G78	livH
G79	livM
G80	lysU
G81	putA
G82	rob
G83	modE
G84	ccmA
G85	narL
G86	nikE
G87	nikR
G88	torD
G89	pgaD
G90	ompR
G91	phoP
G92	rstA
G93	rcsB
G94	wza
G95	wzc
G96	rutR
G97	gmr
G98	soxR
G99	soxS
G100	torR
