"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.1536870	0.2349760	0.3844731	0.4169106	0.7082062	0.0282151	0.7291552	0.4775248	0.0166621	0.4384772	0.0150861	0.3059482	0.0231900	0.0235369	0.0176353	0.0868815	0.3099073	0.5306226	0.0761888	0.0056891	0.0255129	0.1784782	0.1452243	0.1468120	0.1113501	0.6490385	0.5083773	0.2922266	0.2168316	0.5116448	0.1621653	0.0099776	0.1913744	0.1130210	0.5896073	0.7115352	0.7117139	0.0988804	0.0549576	0.6463139	0.0615375	0.6487783	0.5849024	0.5194511	0.5152020	0.6507795	0.5848669	0.5339350	0.4087704	0.1352381	0.5687488	0.5125732	0.4520336	0.1867712	0.4907708	0.3256894	0.2239020	0.2781644	0.0535303	0.2987217	0.0049425	0.2778933	0.5957765	0.4232967	0.4381277	0.3975865	0.3448984	0.4722858	0.3797529	0.0157377	0.1755269	0.0298750	0.0492850	0.0598566	0.5490562	0.5293489	0.0224702	0.0539459	0.1347107	0.0241373	0.3193945	0.0816226	0.5931403	0.1657806	0.5162671	0.1483960	0.1217284	0.0846458	0.0336933	0.5733355	0.6270017	0.4659150	0.6267166	0.3160903	0.3539599	0.5870640	0.2949251	0.6019623	0.4604747	0.7060437
50.0	0.1597458	0.2194753	0.5779012	0.4589352	0.6869212	0.0237448	0.6202892	0.3106472	0.2153815	0.5354052	0.0042013	0.3895417	0.0474709	0.0161845	0.0156136	0.0528351	0.3930473	0.5021307	0.0712400	0.0002127	0.1182699	0.1457916	0.0644767	0.3393566	0.0906235	0.6988230	0.4218440	0.3704388	0.1230168	0.4898546	0.1907527	0.0339143	0.1675491	0.0667396	0.6550278	0.3637018	0.6264999	0.0901814	0.0257277	0.4306957	0.2515996	0.4752481	0.3869734	0.5014886	0.5799381	0.5726601	0.6405576	0.5232088	0.3303006	0.1270743	0.2327313	0.5978538	0.3482442	0.2730085	0.5156587	0.3357911	0.2866339	0.2138869	0.2628111	0.2745630	0.0045524	0.2197929	0.5163537	0.4528395	0.2796023	0.3232087	0.4745733	0.4039368	0.4462579	0.0340264	0.1721968	0.0087694	0.0176658	0.0505373	0.1544198	0.5332456	0.2551653	0.0909568	0.1522433	0.0248848	0.4495228	0.1406536	0.7130025	0.1499391	0.4977333	0.1961696	0.1393726	0.0820842	0.0094970	0.6525633	0.5872209	0.4700937	0.6463085	0.4279248	0.4052164	0.5717193	0.1533486	0.6135327	0.5083619	0.5265263
100.0	0.1498497	0.2766382	0.5633371	0.4906105	0.7443868	0.0296052	0.5452474	0.2724863	0.3515419	0.5235107	0.0028827	0.3085750	0.0278574	0.0119289	0.0023187	0.0834726	0.5191527	0.4067445	0.0327812	0.0007594	0.1361592	0.1607465	0.0199325	0.3206639	0.1136996	0.4871003	0.4302849	0.3278047	0.0960686	0.5343224	0.1727876	0.0271735	0.1359510	0.0943037	0.5670906	0.3472304	0.6347215	0.1256690	0.0174680	0.4537784	0.3202151	0.5639479	0.2680348	0.4648037	0.6804869	0.6211047	0.6356363	0.5579871	0.3503202	0.1366686	0.0800851	0.6585742	0.3841850	0.2805396	0.6147272	0.3702807	0.2267038	0.1746404	0.2381604	0.2219740	0.0029377	0.2339175	0.6249461	0.4545015	0.2524553	0.3609463	0.6397843	0.6070697	0.4907620	0.0111568	0.1416057	0.0108755	0.0126505	0.0478890	0.1175850	0.5626118	0.2733734	0.0878297	0.1737134	0.0079868	0.4017754	0.1174697	0.6417876	0.1772697	0.5183743	0.2087561	0.1753927	0.1012085	0.0134105	0.6631750	0.7029087	0.4025719	0.6829848	0.3431623	0.4779685	0.5925029	0.2093574	0.6628533	0.7487645	0.4720141
150.0	0.1764302	0.2176009	0.6803707	0.5504624	0.5845267	0.0288425	0.5692286	0.2903661	0.2826539	0.5084974	0.0058678	0.3243647	0.0215608	0.0160469	0.0050861	0.0491302	0.4724390	0.4301181	0.0618631	0.0003151	0.1224041	0.1199554	0.0147415	0.4061575	0.1697491	0.6656801	0.3674295	0.2816765	0.0749160	0.5184304	0.2020590	0.0187139	0.1843619	0.1184570	0.6191421	0.3254393	0.5882947	0.0981790	0.0372468	0.3812818	0.2615405	0.4437421	0.3295630	0.5090427	0.5997986	0.5525619	0.5978676	0.6034176	0.3462897	0.0886496	0.0327840	0.7132985	0.4494750	0.2635293	0.5147661	0.2625233	0.2147492	0.1587288	0.2951795	0.2427556	0.0067503	0.2804712	0.5864182	0.4311978	0.1705733	0.5197097	0.6055346	0.5150312	0.4324609	0.0094338	0.1908470	0.0059936	0.0117704	0.0386484	0.1051813	0.6400001	0.3082036	0.1055286	0.1563737	0.0066302	0.4208522	0.0669425	0.7432237	0.1830794	0.5666544	0.2009020	0.1543213	0.0985292	0.0002922	0.6203231	0.6180764	0.4227946	0.7252303	0.3684485	0.4044212	0.6602313	0.2383984	0.6945803	0.4738461	0.4036839
200.0	0.1407206	0.2497832	0.5232035	0.4749571	0.5823930	0.0422980	0.5856991	0.3120413	0.3472387	0.4519215	0.0266334	0.4370062	0.0276851	0.0127297	0.0015812	0.0416565	0.4911034	0.3980611	0.0675565	0.0007402	0.1468346	0.1410035	0.0309226	0.5598790	0.0867306	0.6405834	0.4923426	0.2445853	0.1313797	0.5517728	0.1683892	0.0123657	0.2166047	0.1140549	0.5075193	0.3401660	0.6693150	0.1043239	0.0480603	0.3498679	0.2866947	0.5492440	0.3143752	0.4466394	0.5983318	0.5113324	0.5715589	0.5118277	0.3774689	0.1018541	0.0291065	0.6396398	0.4415532	0.2939272	0.5288082	0.2756716	0.3489153	0.2444458	0.3216905	0.2557372	0.0026444	0.1992927	0.5330687	0.4245560	0.0940778	0.5068346	0.5183537	0.5122281	0.4527372	0.0426452	0.1309850	0.0016875	0.0052229	0.0319224	0.1008982	0.4616452	0.3928003	0.0657729	0.1703289	0.0092881	0.4520839	0.0528545	0.5609943	0.2055162	0.5218376	0.1611303	0.1771167	0.1145459	0.0007658	0.6827176	0.6239748	0.4959751	0.6343734	0.3664629	0.4349010	0.5661005	0.1840788	0.6395325	0.5406206	0.4656505
250.0	0.1300821	0.2046859	0.7576750	0.6226142	0.4887536	0.0581981	0.5920397	0.2689462	0.3222495	0.4399664	0.0126299	0.2435203	0.0444508	0.0217433	0.0092340	0.0697746	0.4996484	0.4460636	0.0985390	0.0014297	0.1419598	0.1742356	0.0507081	0.4997919	0.1275213	0.6190500	0.3827270	0.2625699	0.0667601	0.4494738	0.1809094	0.0174791	0.1859768	0.1577637	0.5809912	0.3127887	0.5197174	0.0948392	0.0248398	0.3182959	0.3339886	0.4154125	0.2517319	0.3956831	0.5107389	0.5747280	0.6122879	0.4710025	0.3682576	0.1742824	0.0042499	0.5645804	0.3376221	0.2187649	0.6670933	0.3717608	0.2709708	0.1100610	0.3128054	0.2200706	0.0065793	0.2566442	0.5601238	0.3612022	0.1317213	0.5418790	0.5161915	0.6175254	0.4700960	0.0328037	0.1557249	0.0017778	0.0126363	0.0248951	0.0855796	0.5236280	0.2500629	0.0622785	0.1549950	0.0197823	0.4602951	0.0627439	0.5786542	0.2263560	0.5065581	0.2354874	0.1360704	0.1726018	0.0002046	0.6396221	0.7247766	0.4730212	0.7184656	0.4214419	0.4009527	0.6403722	0.2416595	0.6757160	0.5376793	0.3684355
300.0	0.1631870	0.1859648	0.6384264	0.6333530	0.6155372	0.0663067	0.5894306	0.2743094	0.2557881	0.4350492	0.0031939	0.3855771	0.0322732	0.0109397	0.0062885	0.0630968	0.4628734	0.5245766	0.0593731	0.0011361	0.0956541	0.1198634	0.0333688	0.5391099	0.1121929	0.6161156	0.4082058	0.2759921	0.1339352	0.3661760	0.1183254	0.0165917	0.1924015	0.0700081	0.5994848	0.3735219	0.4939118	0.0910196	0.0453679	0.2921724	0.3196320	0.4821630	0.2526067	0.3802679	0.5086976	0.5524533	0.6197844	0.4351728	0.3357034	0.1520795	0.0052926	0.5697829	0.3345041	0.2600417	0.5734525	0.3029882	0.2090896	0.1645457	0.2958389	0.2578531	0.0110053	0.1903280	0.5901888	0.4245933	0.1731701	0.5377279	0.5067379	0.5200253	0.4514259	0.0072545	0.1380923	0.0028562	0.0113558	0.0423585	0.1038728	0.6033321	0.3031099	0.0655114	0.2050121	0.0271951	0.5182856	0.0511983	0.6000393	0.2630311	0.5452100	0.1730724	0.1760099	0.0949000	0.0000000	0.6052263	0.5324427	0.5307358	0.5976220	0.4114615	0.3639093	0.6223774	0.2553838	0.6687020	0.4492889	0.4243384
350.0	0.1141725	0.2716616	0.6626957	0.5611904	0.5801134	0.0691704	0.6338984	0.2657673	0.3471346	0.4515154	0.0043994	0.5043050	0.0287054	0.0127872	0.0042632	0.0549231	0.5636790	0.4934065	0.0728032	0.0052259	0.1053249	0.0918495	0.0091196	0.4240095	0.1249619	0.7234299	0.4775808	0.3350774	0.1038874	0.4345650	0.1833176	0.0044789	0.2568994	0.0874044	0.7326830	0.3237918	0.5653602	0.1158191	0.0178810	0.3243460	0.3368955	0.4821208	0.2095194	0.3559672	0.7017333	0.6184557	0.6797888	0.5453267	0.3953844	0.1209429	0.0014496	0.6080539	0.5263383	0.2247641	0.4781072	0.2066643	0.2453237	0.1348415	0.3364666	0.3064566	0.0099714	0.2643870	0.5640777	0.4579075	0.0730374	0.5294476	0.5382458	0.5028537	0.3914457	0.0114331	0.1771421	0.0050881	0.0118683	0.0378632	0.0804867	0.5796619	0.3278348	0.0895048	0.1434101	0.0235797	0.4075301	0.0987967	0.6355240	0.2103026	0.4430978	0.1620329	0.1325854	0.1036745	0.0000423	0.5653044	0.6353547	0.4516050	0.6997583	0.3992469	0.4034395	0.7016358	0.1977611	0.6560361	0.4804347	0.4849491
400.0	0.1561863	0.2283382	0.6785174	0.5197672	0.4194678	0.0502035	0.6857402	0.3313557	0.3412717	0.4254444	0.0181391	0.4068666	0.0257810	0.0218250	0.0097018	0.0975287	0.4320317	0.4321771	0.1120954	0.0000000	0.1276599	0.0920533	0.0275482	0.4892487	0.1310790	0.5576682	0.4866039	0.3401451	0.1020651	0.4963509	0.1035018	0.0177469	0.2522369	0.1103160	0.6291082	0.3923827	0.6096014	0.1165726	0.0202137	0.3442550	0.2681071	0.4686547	0.2812431	0.3165134	0.6922676	0.5242902	0.5966729	0.4749823	0.4173694	0.1674132	0.0004849	0.5438564	0.4670570	0.2594873	0.5274419	0.2426720	0.1823392	0.1498350	0.2938357	0.2505021	0.0338640	0.3126890	0.6467539	0.4363203	0.0681175	0.6460541	0.4935747	0.5536895	0.4214926	0.0114648	0.1491820	0.0024227	0.0030101	0.0519944	0.0688990	0.5478075	0.3294357	0.0999298	0.1677533	0.0086868	0.4244932	0.0966972	0.6393638	0.1695098	0.5524062	0.1467351	0.1579015	0.0743975	0.0000452	0.6330454	0.5548820	0.4837752	0.6171555	0.3415068	0.3334247	0.6095683	0.1966681	0.4982179	0.4607080	0.4033623
