"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.0843236	0.2970925	0.4102951	0.4251558	0.6902735	0.0695437	0.6095732	0.4414997	0.0159650	0.4963057	0.0094441	0.3793968	0.0402569	0.0208742	0.0026450	0.1206598	0.3217711	0.4579443	0.1008797	0.0014597	0.0429575	0.2039674	0.1441134	0.1156503	0.0973546	0.6233348	0.4797847	0.3593927	0.1395598	0.4930283	0.2103529	0.0233289	0.2148975	0.1224191	0.6405779	0.5477649	0.6517426	0.0872116	0.0447754	0.6545363	0.0494627	0.5825147	0.5636211	0.5719568	0.6498016	0.6564143	0.5846626	0.5273651	0.5365420	0.1596327	0.6870891	0.6686039	0.4556674	0.1863581	0.5379439	0.3771439	0.1889605	0.2270903	0.0638934	0.2162179	0.0189095	0.3129804	0.6220077	0.5707627	0.4078672	0.3447851	0.4255451	0.3720496	0.4292565	0.0226873	0.1823944	0.0127115	0.0888946	0.0395130	0.3352813	0.6973403	0.0090078	0.1636479	0.2085019	0.0357344	0.3977559	0.1365661	0.6034057	0.2056550	0.4887617	0.1953014	0.1150927	0.1141939	0.0425554	0.6667011	0.7184746	0.4330997	0.6650619	0.4202673	0.4557775	0.6596822	0.2996782	0.7334486	0.6275961	0.6359151
0.1543108	0.1028061	0.5469438	0.3502538	0.5301283	0.0442951	0.6451314	0.4186357	0.0028324	0.4652343	0.0422763	0.4320365	0.0467181	0.0081541	0.0059859	0.1781183	0.3232560	0.5246831	0.0446272	0.0176073	0.0203079	0.1257860	0.1520453	0.2640996	0.0853888	0.6315472	0.4297430	0.2662739	0.1622749	0.5064597	0.1547260	0.0254550	0.2090970	0.1223726	0.6082589	0.6521396	0.5870307	0.1098333	0.0859243	0.6889296	0.0560763	0.5884332	0.5980510	0.4687803	0.6896992	0.6746326	0.6136614	0.5200330	0.4803880	0.1255924	0.6840424	0.7317618	0.3634800	0.1516638	0.5299513	0.4657696	0.1564257	0.2706212	0.0862416	0.3501865	0.0223825	0.2239062	0.6062530	0.3628779	0.4856007	0.3683493	0.3121249	0.4867325	0.4424247	0.0322096	0.2253164	0.0106430	0.0375002	0.0643898	0.4155238	0.6834704	0.0239273	0.1050345	0.1176943	0.0195585	0.3036868	0.0912265	0.6137213	0.1438454	0.6422734	0.2260590	0.1270839	0.0962013	0.0334835	0.7096553	0.8191079	0.4725026	0.6764096	0.3409391	0.5644205	0.5918753	0.2286946	0.5668600	0.4397582	0.5682565
0.1911193	0.1741255	0.2261651	0.3201892	0.6166229	0.0330860	0.5833274	0.4635303	0.0080346	0.5050938	0.0106021	0.4412050	0.0316775	0.0299996	0.0104873	0.1155280	0.3822956	0.5615102	0.0460705	0.0057036	0.0385921	0.2111965	0.1232849	0.2259948	0.1006376	0.6323872	0.4432614	0.3049588	0.1896896	0.4147983	0.2031703	0.0110488	0.1899915	0.0748429	0.6380894	0.6509520	0.5960599	0.0951842	0.0596166	0.6466778	0.0207957	0.7393384	0.4619588	0.4715688	0.6958302	0.5925585	0.7091779	0.5292422	0.4462556	0.1811033	0.5955438	0.6519945	0.3915021	0.2264248	0.4884697	0.3307432	0.2706951	0.2081947	0.0418337	0.2027934	0.0322467	0.2644357	0.6560838	0.3448854	0.4122129	0.2847732	0.3244770	0.4347744	0.4468512	0.0453264	0.1515175	0.0334947	0.0264012	0.1103872	0.3457422	0.5740469	0.0363286	0.0657012	0.1628705	0.0158335	0.3601299	0.1122355	0.6912007	0.2094057	0.5486920	0.2380299	0.1812022	0.0538804	0.0456007	0.5843547	0.5814759	0.3895944	0.6003521	0.3956833	0.5073080	0.5987358	0.2595362	0.6597430	0.6087116	0.6558068
0.1505166	0.2378134	0.4540271	0.1481786	0.6182875	0.0403336	0.5567183	0.4412537	0.0049427	0.3824382	0.0221837	0.2756644	0.0929635	0.0374481	0.0068164	0.1242669	0.2720093	0.5418069	0.0677968	0.0127777	0.0399583	0.2167237	0.1431565	0.1070603	0.1431858	0.6084729	0.4875563	0.3842787	0.1583267	0.5155252	0.2014557	0.0164874	0.1493788	0.0655160	0.6030367	0.7066427	0.5652437	0.0789697	0.0480270	0.5112185	0.0319379	0.6704354	0.4954642	0.4233502	0.6009558	0.6038606	0.4320882	0.6222946	0.4068898	0.1384057	0.5897134	0.7563011	0.5020643	0.1984206	0.5969884	0.3814687	0.2939026	0.2137865	0.1074804	0.2142573	0.0262073	0.3677226	0.5604219	0.4728496	0.4234890	0.2463193	0.2953981	0.4049264	0.4761932	0.0118800	0.2106950	0.0202840	0.0312373	0.0909608	0.4137885	0.6174729	0.0139296	0.0835285	0.1546611	0.0516326	0.3334790	0.1104368	0.6184243	0.1231175	0.5714602	0.1954853	0.1346379	0.0647293	0.0527037	0.5534135	0.6784175	0.4076941	0.6569055	0.4543764	0.6756137	0.5515415	0.2757964	0.6176926	0.7117653	0.6482657
0.1269431	0.0344101	0.5344716	0.2998615	0.3120867	0.0772567	0.6538667	0.2453688	0.0024079	0.2990390	0.1977496	0.5207414	0.0782309	0.0636183	0.2156540	0.3298905	0.4817399	0.6179004	0.0881173	0.0542109	0.0416800	0.1927217	0.0915952	0.1772961	0.1536933	0.7464756	0.3714476	0.2885177	0.2246928	0.4562003	0.1689330	0.0153617	0.2249093	0.1160424	0.6417269	0.6953286	0.6249003	0.0598237	0.1037262	0.6793583	0.0339479	0.5506578	0.6093330	0.4980914	0.6554197	0.6761317	0.5671546	0.5868465	0.4242066	0.1650730	0.7144316	0.5971322	0.3685081	0.2180860	0.4828786	0.3520959	0.2500377	0.2565044	0.0806456	0.2892577	0.0161770	0.2846791	0.6436050	0.4109950	0.4156662	0.3944261	0.5021419	0.4115459	0.4315137	0.0137343	0.1969605	0.0356214	0.0624080	0.0774538	0.3467328	0.7180147	0.0134718	0.1221337	0.1557313	0.0512363	0.3751102	0.1304530	0.6984693	0.1779255	0.4855650	0.2417454	0.1115874	0.1033399	0.0748021	0.6213643	0.5716728	0.4779077	0.7018084	0.4319530	0.4273850	0.5461120	0.2617362	0.5747436	0.4882176	0.7008671
0.1418968	0.2332577	0.5249577	0.3406608	0.6822946	0.0199606	0.6369241	0.4666880	0.0252614	0.3417410	0.0187915	0.2890781	0.0115490	0.0183833	0.0144138	0.0924468	0.3212889	0.5681988	0.0367917	0.0045833	0.0508919	0.1895520	0.2345349	0.1497147	0.0816183	0.7211526	0.4140365	0.3845316	0.1930986	0.4481670	0.1761991	0.0049498	0.2911091	0.0994078	0.6079079	0.7165345	0.6368549	0.0754924	0.0363442	0.5894686	0.0581393	0.8070887	0.7601233	0.4468414	0.6422147	0.6597028	0.6568460	0.6147828	0.3678005	0.1175364	0.5705535	0.6346878	0.4506149	0.1860140	0.4846448	0.3768426	0.2648370	0.2758866	0.0570102	0.3158728	0.0112910	0.3411952	0.5473248	0.4482316	0.4809121	0.3511302	0.3418957	0.5228501	0.5495903	0.0064523	0.2055606	0.0296954	0.0868313	0.0404647	0.4975504	0.5844638	0.0258339	0.0733401	0.1682661	0.0126961	0.4276171	0.0651318	0.6273030	0.1609876	0.5313060	0.1971247	0.0955915	0.0537560	0.0367915	0.5818048	0.6825756	0.4343056	0.5686565	0.3622312	0.4969041	0.5730123	0.3147711	0.6353444	0.6220238	0.6148445
0.1191023	0.2037885	0.4994111	0.3397093	0.5638011	0.0365474	0.2649379	0.4882529	0.0237600	0.4817002	0.0099445	0.4440162	0.0312696	0.0160251	0.0168647	0.0986511	0.3172948	0.4881156	0.0607244	0.0055184	0.0441344	0.1417114	0.1463250	0.1523881	0.1470223	0.6087485	0.4150910	0.3917059	0.1949141	0.5664117	0.2377469	0.0215518	0.1442431	0.1175565	0.6355383	0.5820860	0.5868118	0.0973769	0.0250418	0.6237079	0.0747348	0.6476679	0.6959370	0.5386268	0.6153766	0.6026304	0.7380517	0.5573664	0.4165997	0.1397191	0.5929704	0.6581841	0.4313849	0.2840068	0.5067861	0.2659877	0.2994727	0.2853954	0.0820367	0.1826103	0.0344197	0.2758715	0.6143579	0.3977849	0.4629507	0.3484625	0.3686929	0.3150342	0.4521289	0.0071987	0.1509890	0.0474672	0.0377750	0.0786933	0.4323527	0.5630061	0.0203627	0.0982540	0.1687584	0.0464399	0.3801906	0.1345245	0.5328866	0.1839676	0.7553425	0.1410493	0.2069258	0.0655765	0.0317230	0.6083165	0.6018518	0.4227194	0.7369820	0.4926567	0.4565278	0.7191207	0.2809550	0.5828959	0.6545911	0.7200019
0.1223427	0.2937906	0.5955869	0.3495384	0.6223315	0.0536486	0.6226407	0.1918673	0.0272407	0.3956131	0.0101170	0.3527628	0.0428055	0.0439726	0.0034996	0.0680069	0.3175251	0.4672261	0.0566548	0.0003289	0.0465603	0.1129037	0.2006086	0.1769254	0.1516005	0.5989740	0.4768931	0.3119157	0.1873946	0.4148660	0.2221007	0.0088418	0.2473584	0.0573094	0.7432004	0.5236159	0.5956973	0.1461794	0.0664174	0.7207115	0.0647298	0.5815912	0.7243249	0.5045346	0.5872128	0.6284053	0.6001325	0.5154403	0.3856204	0.1688675	0.7652920	0.6423460	0.3218243	0.2118631	0.4146838	0.2460593	0.2357421	0.2263069	0.0722197	0.2081205	0.0152536	0.2712188	0.6805806	0.4956651	0.3853666	0.3138875	0.2741411	0.4549597	0.4965611	0.0157625	0.2073077	0.0155466	0.0504670	0.0943890	0.3603516	0.6792178	0.0244167	0.1889479	0.1885305	0.0232284	0.3616140	0.0826724	0.7028779	0.1937332	0.5018899	0.2164388	0.1617764	0.1002531	0.0729966	0.6262719	0.5822346	0.4321988	0.5671445	0.4194506	0.5075892	0.5847128	0.2533312	0.6812610	0.6624499	0.5815218
0.1034398	0.2109742	0.5484874	0.3538520	0.5359340	0.0595811	0.5272229	0.3706020	0.0099929	0.3986298	0.0145878	0.2953837	0.0312575	0.0348596	0.0132987	0.1126517	0.2895120	0.5058733	0.0649072	0.0047094	0.0506447	0.1426925	0.1108583	0.1522842	0.1170404	0.4601824	0.5169304	0.3756853	0.1703613	0.5228979	0.1839033	0.0311812	0.1728327	0.0806567	0.5689101	0.6090435	0.6525529	0.1658883	0.0571686	0.6395621	0.0438501	0.5749738	0.6389755	0.5061018	0.6258949	0.5409237	0.5263706	0.5905360	0.3957877	0.2058061	0.6917797	0.6198673	0.3990676	0.2167658	0.5627989	0.2822281	0.2619028	0.1933025	0.0971813	0.1942033	0.0119175	0.2917753	0.7207450	0.4974937	0.3749439	0.3125368	0.3747636	0.4260965	0.4600438	0.0165119	0.1658800	0.0213407	0.0310671	0.0416020	0.4119635	0.5635520	0.0395964	0.0804586	0.2033031	0.0289667	0.3877826	0.0852013	0.4517581	0.1405233	0.6108239	0.1776480	0.1324940	0.0729879	0.0151263	0.7027507	0.5641600	0.4187507	0.5827208	0.4781899	0.4121990	0.5797602	0.2680899	0.5648977	0.5227062	0.5739609
0.1284557	0.2209000	0.5139678	0.3749885	0.6599669	0.0328207	0.6478278	0.3712631	0.0147860	0.2360967	0.0210298	0.3532269	0.0270281	0.0088580	0.0057411	0.0799599	0.2867242	0.6105783	0.0533443	0.0007432	0.0442090	0.1510181	0.1078101	0.0972112	0.0850341	0.5794423	0.5430085	0.3787408	0.1373984	0.4433268	0.1057116	0.0122767	0.2001624	0.0960187	0.6249016	0.8718157	0.7350856	0.1180946	0.1074716	0.7391952	0.0399415	0.6358764	0.5050898	0.2877222	0.6129711	0.7460605	0.5492099	0.6003097	0.3557941	0.1959106	0.5723057	0.6176675	0.4275633	0.2060333	0.6428518	0.2177198	0.2350324	0.2552002	0.0903516	0.1817659	0.0155332	0.2017009	0.5930830	0.4198330	0.3612014	0.3740877	0.3816215	0.4179781	0.5015670	0.0095977	0.1413929	0.0175165	0.0500059	0.0876714	0.3445258	0.5844595	0.0290085	0.0999894	0.2201047	0.0351817	0.3780959	0.1056586	0.5308992	0.1487810	0.5721258	0.1663160	0.1708211	0.0560958	0.0856000	0.5959020	0.6783418	0.5459708	0.6633873	0.3843254	0.4238048	0.6947113	0.2464476	0.5188923	0.5673280	0.5757754
0.1382395	0.2533815	0.5375948	0.3075437	0.7278706	0.0423995	0.6242768	0.4305669	0.0061636	0.5414102	0.0148693	0.3570075	0.0400549	0.0387275	0.0040296	0.0913326	0.4044743	0.4455246	0.0839651	0.0050233	0.0222995	0.2098880	0.1561831	0.0911765	0.1118594	0.5847749	0.4211573	0.3212760	0.1955890	0.4288365	0.2310248	0.0198319	0.2054061	0.2022876	0.6631703	0.6486302	0.6445174	0.0793351	0.0678214	0.5147088	0.0204241	0.6220911	0.6887012	0.4695279	0.7125025	0.6885614	0.5550690	0.5108728	0.4175320	0.1113661	0.5702520	0.5868336	0.4291114	0.3042898	0.4582800	0.2212746	0.2196105	0.3192015	0.1095859	0.1679613	0.0189275	0.2972877	0.6166539	0.3569449	0.5054858	0.3193067	0.4316278	0.3445197	0.5539608	0.0196104	0.1849119	0.0250768	0.0476828	0.0561872	0.4365552	0.6276422	0.0329345	0.1196507	0.1522299	0.0405238	0.4091195	0.0981260	0.5887237	0.1902176	0.6365939	0.2128620	0.1210318	0.0428609	0.0428359	0.6786731	0.7993532	0.4398488	0.7036029	0.3523896	0.3994498	0.6819630	0.2417312	0.7063939	0.4554216	0.5262170
