"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.1383375	0.3231948	0.4373493	0.3373187	0.5963505	0.0212140	0.5528821	0.3999488	0.0170413	0.5011459	0.0137883	0.3981774	0.0262016	0.0154869	0.0230614	0.0883898	0.3994351	0.5328199	0.0658257	0.0029015	0.0352975	0.1390286	0.1501741	0.1192022	0.1251119	0.6641072	0.4829419	0.3516748	0.2032754	0.4495800	0.2391038	0.0368236	0.2121259	0.0958904	0.7151493	0.7580248	0.5750316	0.0665081	0.0496379	0.6221510	0.0546865	0.5410901	0.6136015	0.5277282	0.7421527	0.5695790	0.5506385	0.5383393	0.3993010	0.1501731	0.6627660	0.5912543	0.4080600	0.1698885	0.4773266	0.3957716	0.2378547	0.2027651	0.1025800	0.2192061	0.0189348	0.2586026	0.5605428	0.4953087	0.3875223	0.3778024	0.3780471	0.4301020	0.4555750	0.0179536	0.2022526	0.0220095	0.0405616	0.0851810	0.4458544	0.6294985	0.0325302	0.1175523	0.1875555	0.0124568	0.4497608	0.0932836	0.7175847	0.1626455	0.5477545	0.2179909	0.1449044	0.0903078	0.0484291	0.6555037	0.5078241	0.4471004	0.6325358	0.4279385	0.5735347	0.5762064	0.2934234	0.7033051	0.4676451	0.6531591
50.0	0.1910005	0.2361052	0.5347089	0.2329815	0.5738857	0.0405688	0.6190332	0.4986717	0.0049476	0.3391588	0.0127380	0.2930814	0.0096015	0.0679659	0.0017607	0.1005958	0.3357545	0.4798176	0.0431118	0.0000757	0.0690184	0.1352623	0.1833163	0.1211223	0.1206828	0.6897214	0.5423905	0.1595495	0.1390293	0.5139309	0.2393915	0.0396414	0.1803013	0.0889998	0.5540584	0.6700928	0.5969662	0.1004236	0.0465068	0.5557060	0.1638095	0.6949136	0.5614052	0.4814737	0.6622992	0.3395143	0.4325829	0.5372356	0.4379305	0.2143433	0.5967540	0.5956476	0.4917258	0.1275033	0.5115377	0.2981278	0.3097961	0.2297785	0.1347309	0.2376606	0.0139456	0.3039330	0.6114512	0.3723920	0.3806678	0.3995813	0.3770421	0.3590928	0.5691217	0.0043139	0.2558740	0.0066750	0.0649375	0.0890342	0.4580029	0.5219980	0.0125691	0.0440711	0.1687925	0.0198961	0.3751802	0.1303897	0.6723945	0.2068318	0.5718827	0.1203400	0.1644585	0.0864489	0.1671336	0.5115022	0.5611101	0.4262402	0.6568518	0.4197818	0.5071701	0.6627129	0.2711980	0.6624027	0.6404612	0.5705576
100.0	0.1372108	0.2330293	0.4546563	0.1455053	0.5202237	0.0490014	0.5201895	0.4631870	0.0246260	0.3285152	0.0168039	0.4412577	0.0138230	0.1225073	0.0006781	0.0664534	0.3744554	0.4277751	0.0491592	0.0038755	0.0838455	0.2813309	0.2244089	0.1418965	0.1426716	0.5864973	0.5557108	0.1422689	0.1956194	0.3922653	0.1838667	0.0237938	0.1646000	0.1273941	0.5908344	0.6683713	0.6584802	0.0973709	0.0590923	0.7394884	0.2624024	0.6179988	0.5253960	0.5790448	0.6849444	0.1500143	0.5622497	0.5191892	0.2949797	0.2105602	0.6329657	0.5686028	0.4031156	0.1768994	0.4479084	0.5874510	0.4569476	0.2297574	0.1087351	0.1386420	0.0240759	0.2708523	0.6114712	0.3300518	0.3915160	0.4414273	0.3368310	0.4399101	0.4087845	0.0011485	0.1777955	0.0057882	0.0340186	0.0793634	0.3401852	0.3839509	0.0158158	0.1068378	0.1469779	0.0043703	0.4348368	0.1979448	0.7189701	0.2887167	0.5102034	0.1119881	0.0987076	0.0618719	0.2720645	0.6276855	0.6736001	0.3764736	0.6018088	0.4726347	0.5556603	0.6110718	0.3090301	0.6938239	0.5887065	0.6727285
150.0	0.1495123	0.2737171	0.4315719	0.1420040	0.5123863	0.0669189	0.6231667	0.4079601	0.0415540	0.1401010	0.0471890	0.3091035	0.0053279	0.0954001	0.0162999	0.0525873	0.3623824	0.3211230	0.0428235	0.0455798	0.0346507	0.3118854	0.1941973	0.1673451	0.1419780	0.6617084	0.4549718	0.1477339	0.2033265	0.4230038	0.2246685	0.0290880	0.1895192	0.0881176	0.5348946	0.6569731	0.4730039	0.1013318	0.0521063	0.6003884	0.2896858	0.6533603	0.4106351	0.5372900	0.6824699	0.1291150	0.4861766	0.3302307	0.1855903	0.2070780	0.4938980	0.3776019	0.2447935	0.1928822	0.5297125	0.7311991	0.6028055	0.4336695	0.0771978	0.1163974	0.0121383	0.3266343	0.5434196	0.3121476	0.3449100	0.3932455	0.4296140	0.4392837	0.4230656	0.0001576	0.1731645	0.0060279	0.0346688	0.0637052	0.4218422	0.3553356	0.0056485	0.1297883	0.2062681	0.0035787	0.4232434	0.1386274	0.6941826	0.2898320	0.5260720	0.0550004	0.1678182	0.0684329	0.3878032	0.4928349	0.6267881	0.4825264	0.5873034	0.3921225	0.5543390	0.6850567	0.2145248	0.6299162	0.5901799	0.5841596
200.0	0.2428733	0.2240884	0.4852536	0.1447818	0.5576882	0.0496108	0.6091269	0.4524329	0.0333783	0.0928953	0.0171772	0.3671215	0.0024531	0.0749353	0.0015689	0.0467914	0.4601633	0.1549100	0.0075921	0.0131457	0.0801476	0.3373584	0.1674468	0.2260006	0.1520268	0.6727509	0.5310686	0.1230269	0.2893362	0.3455956	0.2078670	0.0217840	0.2241770	0.0833931	0.6114762	0.5364806	0.3229898	0.0905171	0.0347248	0.6750563	0.4089400	0.6070895	0.3196380	0.4760035	0.5954096	0.0634402	0.3814131	0.3266319	0.0818788	0.1877274	0.3620198	0.3206165	0.1855425	0.2242385	0.4724553	0.6092105	0.6168930	0.4280561	0.1037922	0.0795864	0.0053822	0.4007057	0.6110987	0.2678761	0.3004937	0.4185536	0.3493111	0.4453990	0.3677511	0.0001709	0.1928092	0.0352609	0.0580952	0.1256623	0.4158904	0.3548844	0.0129324	0.1379863	0.1998445	0.0049364	0.5946011	0.1705016	0.6395154	0.2200602	0.4582467	0.0693173	0.0838284	0.0933480	0.4126459	0.5567779	0.6246076	0.3779301	0.6607353	0.4540350	0.5828096	0.5355693	0.3016254	0.5118597	0.6957661	0.6700543
250.0	0.3200750	0.2528632	0.4584185	0.1708058	0.6456112	0.0445232	0.6928870	0.4290192	0.0633357	0.1119373	0.0226556	0.3021786	0.0098293	0.1637080	0.0054559	0.0520907	0.3811526	0.1083148	0.0091745	0.0018907	0.0739406	0.4870411	0.2620564	0.2547181	0.1563587	0.7188438	0.4933464	0.1074826	0.3905213	0.5413690	0.1724666	0.0147650	0.2012256	0.0787551	0.6190321	0.5773360	0.1417626	0.0986668	0.0724240	0.6447305	0.2937605	0.6660981	0.4308174	0.4695028	0.5746334	0.0623053	0.3512078	0.2961596	0.1380920	0.2497754	0.2830135	0.2690695	0.1202840	0.2510133	0.4893701	0.6542240	0.6272169	0.3547458	0.0557433	0.0811634	0.0049053	0.3666896	0.7433293	0.2584935	0.3421571	0.4140474	0.3400136	0.5096626	0.3338241	0.0002993	0.3084126	0.0220891	0.1235208	0.1884329	0.4961815	0.2979441	0.0081228	0.1072811	0.1093488	0.0010601	0.3820967	0.1594917	0.6728780	0.2106651	0.4694440	0.0708790	0.1566404	0.0748046	0.4267350	0.6103838	0.5747028	0.5056769	0.7004201	0.4790228	0.6401606	0.6413996	0.2863161	0.5388909	0.6753945	0.6661900
300.0	0.3789528	0.2502880	0.7456276	0.2837487	0.5802487	0.0373460	0.7352882	0.5277011	0.0496622	0.1209683	0.0131815	0.2774382	0.0007749	0.0865861	0.0024325	0.0232845	0.3761859	0.0973686	0.0025874	0.0055792	0.1364504	0.4337122	0.1962965	0.2895118	0.1298293	0.6723677	0.3980992	0.0919879	0.4885616	0.3630760	0.1571972	0.0168557	0.1674635	0.1032130	0.7794103	0.6071741	0.0694703	0.0887746	0.0730804	0.5826766	0.4114456	0.6765779	0.4527330	0.4148314	0.6007871	0.0769459	0.1709832	0.1476933	0.0896445	0.2755441	0.3451643	0.1017014	0.1096185	0.2050798	0.4417784	0.6219939	0.5582669	0.3515398	0.0598191	0.0310908	0.0056694	0.4133108	0.5450799	0.2856451	0.2872158	0.4681234	0.2713942	0.6280558	0.1979776	0.0013949	0.3372635	0.0811256	0.1386388	0.3282396	0.4552038	0.2637297	0.0309942	0.0943706	0.1336611	0.0002542	0.5528256	0.1272793	0.5954226	0.2789522	0.5337062	0.0732321	0.1109265	0.0778996	0.5164642	0.6273096	0.5763761	0.4434542	0.6687039	0.4746018	0.5779162	0.6157468	0.2907805	0.5776491	0.6523206	0.7710107
350.0	0.4509563	0.3118866	0.7571969	0.2528442	0.6959425	0.0652893	0.7006760	0.5696658	0.0795155	0.1104168	0.0156000	0.3426858	0.0006531	0.1041843	0.0077455	0.0171313	0.3393163	0.0630500	0.0057707	0.0053190	0.0830420	0.4684847	0.3594308	0.3173633	0.1821754	0.6045422	0.4388855	0.1331057	0.5452899	0.5542039	0.1294377	0.0160789	0.2522505	0.1160363	0.5047946	0.6790330	0.0544704	0.1095294	0.0610835	0.6470962	0.4979002	0.7238484	0.3754487	0.3965686	0.6375017	0.0781447	0.1195756	0.1043341	0.1658344	0.2570807	0.3864794	0.1089356	0.1275550	0.2135776	0.4369084	0.5845277	0.5864089	0.4138269	0.0802872	0.0680062	0.0040447	0.5491956	0.5433100	0.3136677	0.4303734	0.4518366	0.2667004	0.4864728	0.1110404	0.0001268	0.6022352	0.1398313	0.4119689	0.4390358	0.5372105	0.2478907	0.0708116	0.1155891	0.1118498	0.0008807	0.4814385	0.1500785	0.6088178	0.4203955	0.5245142	0.1014125	0.1016715	0.0597565	0.5326070	0.7093486	0.7184892	0.4641543	0.5268544	0.4560993	0.5037963	0.5796578	0.2893718	0.5611083	0.5569381	0.5462543
400.0	0.3778653	0.2529235	0.6312965	0.2785597	0.5497036	0.0226907	0.7061408	0.5111327	0.0593556	0.0508171	0.0086057	0.3178784	0.0008215	0.0788253	0.0032613	0.0339317	0.3574108	0.0491682	0.0141545	0.0025004	0.1058354	0.4412761	0.4424784	0.3595506	0.3193920	0.7226327	0.6329631	0.1624778	0.6360114	0.5128722	0.1365497	0.0148673	0.2339745	0.1199736	0.6237740	0.8011300	0.0415482	0.0904256	0.0364658	0.6393279	0.3137217	0.5603990	0.4307474	0.3831350	0.6191814	0.1063133	0.1040254	0.0465653	0.1354464	0.2656722	0.2851718	0.1864416	0.1260246	0.1345968	0.3271380	0.6260137	0.5681656	0.4665180	0.0978847	0.0691388	0.0188301	0.4976528	0.5414180	0.2872238	0.3930068	0.4273830	0.3643996	0.4742264	0.1307613	0.0007288	0.5477190	0.1478335	0.4283358	0.4319320	0.5539584	0.2800843	0.0693150	0.1267333	0.1587409	0.0002226	0.5430237	0.1492215	0.6347367	0.3066525	0.4894632	0.1065014	0.1228103	0.0451406	0.5360365	0.7476648	0.6037740	0.4390908	0.5666100	0.3351998	0.6784582	0.6124076	0.2904720	0.6352369	0.5536256	0.6649524
