"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.5264962	0.5059692	0.8281605	0.9518272	1.0476058	0.0863330	1.0309549	0.8837383	0.0945404	0.9245474	0.0170552	0.5362391	0.0330489	0.0203936	0.0076324	0.0409068	0.5379764	0.0826117	0.0770748	0.0016501	0.0300388	0.7053276	0.9874532	1.0053669	0.5629853	1.0232722	0.6878783	0.4647342	0.9656078	0.7371273	0.4134003	0.0314541	0.3150933	0.1950991	1.0280380	0.9757142	0.0000000	0.1946955	0.0920606	0.9849449	0.0876013	1.0369062	1.0613775	0.8434185	0.9571603	0.0000000	0.0097514	0.0521785	0.1801672	0.3687115	1.0535817	0.1125903	0.0399264	0.5132303	0.2154341	0.9933098	1.0797777	0.7110485	0.0491358	0.1715721	0.0016810	0.9069980	1.0224278	0.8845911	0.8368219	0.4579888	0.3658679	0.4394184	0.1044043	0.9924578	1.0055415	1.0430247	0.9858916	1.0720080	0.9795036	0.0758929	0.7904847	0.1303798	0.2174261	0.0527122	0.7215981	0.1149480	1.0046629	0.2748057	0.9067187	0.2733714	0.2289174	0.0766794	0.9754290	0.9760162	0.9892388	0.6924634	0.9688026	0.5134726	0.7668435	1.0840872	0.4079840	1.0892541	0.9103164	1.0850095
0.1865081	0.0488830	0.1013554	0.7357762	0.0000000	0.9863856	0.0121165	0.2794891	0.0532765	0.4589156	0.9652398	0.9402405	0.9687608	0.9330308	0.9841859	0.0368677	0.5314418	0.7593419	0.4909371	0.4482861	0.0173339	0.0678869	0.2025000	0.2104548	0.5215681	1.0081608	0.7696416	0.5509752	0.2289135	0.6828372	0.2308036	0.0375552	0.2988329	0.1688246	0.9594611	1.0264019	1.0236407	0.9341379	0.7833311	0.9853931	0.0569500	1.0082233	1.0136524	0.7168662	0.8979784	0.9991820	0.9656850	0.9080992	0.6028645	0.2191617	1.0152725	1.0756923	0.6830097	0.3672458	0.8563620	0.5482577	0.3756341	0.0134539	0.1131507	0.3367393	0.0149316	0.4193470	1.0642672	0.7413325	0.8602626	0.4756439	0.5516284	0.6643086	0.7599742	0.0213604	0.3087094	0.0322296	0.0408854	0.0930344	0.5323626	1.0175161	0.0361549	0.1614183	0.2579383	0.0342230	0.6388805	0.1367653	1.0315704	0.9435296	0.0000000	0.1698467	1.0024915	0.5680785	0.0619405	0.9997904	0.9296307	0.6043708	0.9903846	0.7091705	0.7229351	1.0510490	0.4907039	0.9377975	0.8695880	1.0854460
0.5820596	0.2636481	0.3406870	0.9679248	0.0000000	0.9759939	0.0104236	0.6241447	0.0635485	1.0218127	0.3690102	1.0930393	0.9600293	0.8830235	0.8912227	0.0366903	0.5000306	0.7802155	0.4548884	0.4365551	0.0323002	0.0605121	1.0850437	0.9916552	0.5576818	0.9802315	0.6875017	0.4361950	0.9236714	0.6630076	0.4081728	0.0433119	0.3494330	0.1765700	1.0090340	0.9696041	0.0021077	0.2067490	0.1031873	1.0092679	0.0788697	1.0380025	1.0790118	0.9415083	0.9511249	0.0000000	0.0298697	0.0416641	0.1452995	0.4583080	0.9390354	0.1115106	0.0286002	0.5861889	0.2421487	1.1444317	1.0366370	0.7692933	0.0673304	0.1359651	0.0008337	0.8596903	1.0183865	0.9567751	0.7211637	0.5338261	0.4369940	0.9759995	0.1055993	0.9677384	0.9674221	1.0919807	1.0211054	0.9979659	0.9406764	0.0524120	0.7935510	0.1708377	0.2550746	0.0429228	0.7611166	0.1534692	0.9655479	0.2631968	0.9456586	0.3135381	0.2015948	0.1076434	1.0257745	0.9297117	0.9092644	0.7146972	1.0062689	0.7443892	0.8439054	0.9881696	0.4246415	1.0710640	0.8938228	0.9388795
0.5737516	0.5061503	0.8964059	0.9169994	1.0367070	0.0574171	1.0421859	0.8429597	0.8176408	0.9759856	0.4010823	0.9835666	0.9546797	0.0260420	0.0131908	0.0383955	0.0559089	0.0566282	0.1127933	0.0086298	0.0561608	0.6472336	1.0038614	0.9360991	1.0970245	1.0289001	0.7714494	0.4626566	0.9788291	0.7259383	0.3530400	0.0295799	0.3006190	0.1827844	0.9811356	0.9703066	0.0073186	1.0562427	0.7949509	0.9813024	0.0812656	1.0475038	0.9556498	0.9224710	0.9780214	0.0000000	0.0197570	0.0527965	0.1144787	0.4393327	0.9069072	0.0703067	0.0466737	0.5864184	0.2284785	1.0077388	1.0402272	0.3966961	0.0558279	0.1588026	0.0032104	0.9081620	0.9362112	0.9177408	0.7243696	0.5243626	0.4280904	0.9925050	0.1039208	1.0347435	1.0064973	1.0247817	1.0768085	1.0317635	0.8627665	0.0634171	0.7939667	0.1671647	0.2614210	0.0335256	0.7474636	0.1345347	1.0935155	0.9723588	0.0000000	0.1852303	1.0171838	0.5036994	0.9602891	1.0641741	1.0293804	0.7122456	1.0750796	0.7667930	0.8209075	1.0106517	0.4129493	0.9432374	0.8704917	1.0353612
0.5730011	0.4753397	0.8273469	0.8185282	0.9730641	0.0844762	0.9774985	0.9326891	0.0232578	0.6954448	0.0251053	0.5188090	0.0701799	0.0315698	0.0211996	0.1862293	0.5952624	0.7588336	0.2168648	0.4872097	0.0613905	0.2309281	0.9546149	1.0851917	0.5132741	1.0320213	0.7252191	0.4072143	0.8957503	0.7942458	0.3268703	0.0447293	0.3279563	0.1710635	1.0344520	1.0781362	0.0000000	0.1370749	0.0874892	1.0394557	0.0780517	1.0514544	1.1019728	0.7925441	1.0314774	0.9462823	0.6545830	0.4893855	0.7363771	0.2442794	0.9167673	0.9927469	0.7181097	0.4299847	0.8128817	0.6695675	0.3409816	0.4230190	0.7915299	0.9125468	0.9628572	0.9055489	0.0000000	0.8403295	0.8002793	0.5011448	0.4238567	0.4331889	0.0990865	0.9873807	0.9851213	1.0050869	0.9807520	0.9824280	0.6173540	0.0424847	0.7847477	1.0330178	0.9816152	1.0600983	0.5802236	0.2001847	0.9889626	0.2529824	0.8959213	0.2989592	0.2259937	0.0741940	0.9690048	0.9888022	1.0338292	0.6958208	1.0299050	0.6889428	0.7970962	0.9807568	0.4325261	1.0292269	0.8929660	0.9689331
0.5955558	0.4424593	0.8787212	0.9171956	0.9501027	0.0669831	1.0812203	0.9620093	0.1001831	1.0298202	0.0374359	0.5291948	0.0523577	0.0339864	0.0247598	0.0454955	0.5000587	0.0825389	0.2155025	0.4454198	0.0668452	0.6717692	0.9895109	1.0078845	0.5867555	1.1282440	0.7915019	0.4828149	1.0366525	0.8139663	0.4321572	0.0332174	0.2915073	0.1802062	1.0225214	1.0615355	0.0071713	0.1380487	0.0741728	1.0090338	0.0662388	1.0269180	1.0502508	0.9056903	0.9815301	0.0000000	0.0185906	0.0305726	0.1703237	0.3893590	0.9947476	0.1089581	0.0542368	0.5628037	0.2564527	0.9815478	1.0415334	0.6888040	0.5940427	0.4370753	0.5319159	0.8487284	0.0000000	0.9393408	0.6978828	0.5017419	0.4126790	1.0202690	0.1080851	1.0477486	1.0492083	1.0467929	1.0345294	0.9905053	0.6195198	0.0615525	0.8189614	0.9967113	1.0652470	1.0056695	0.7341060	0.0925925	1.0381938	0.2962983	0.8704821	0.2703006	0.2414974	0.1192823	1.0967423	0.9542235	0.9790461	0.6651631	1.0484491	0.6719670	0.8007841	1.0183700	0.4469699	0.9591851	0.8345136	1.0017070
0.2145946	0.3848447	0.7655859	0.5084623	0.9032322	0.0768193	0.9903007	0.6688602	0.0189451	0.6608928	0.0258713	0.5918907	0.0633724	0.0353675	0.0162581	0.1549721	0.5298484	0.8245465	0.0938437	0.0056322	0.0721647	0.2485569	0.2540625	0.1963021	0.2431484	1.0320829	0.7926882	1.0417894	0.3440732	0.7599017	0.2448730	0.0388473	0.3520047	0.1799775	1.0192698	0.9571174	0.9262345	0.1874755	0.0748864	1.0242663	0.0763419	1.0167783	1.0102959	0.7723133	0.9761682	0.9911718	0.8903784	0.8927578	0.6057639	0.2408848	0.9915262	1.0696797	0.6513268	0.4450985	0.8060196	0.5014736	0.4569294	0.3283510	0.0941341	0.3407795	0.0325561	0.4650302	0.9994967	0.0000000	0.8365867	0.4752033	0.5816495	0.7301372	0.6963718	0.0334984	0.2253338	0.0437355	0.0801229	0.1066575	0.5947323	0.9488172	0.0178002	0.1736669	0.2489569	0.0491331	0.5772926	0.2177265	1.0375051	0.3357078	0.8412338	0.3127650	0.2429226	0.1819833	0.0705196	0.9940899	1.0455196	0.8234868	0.0000000	0.1060706	0.0480263	0.8860528	0.4249058	1.0355138	0.7842073	0.9807578
0.6199024	0.5306002	0.9005127	0.7957340	0.9961461	0.0666613	1.0141382	0.9780651	0.0402845	0.8458636	0.0137417	0.5532681	0.0506850	0.0355163	0.0100599	0.1614221	0.5497060	0.7556267	0.1921589	0.4326882	0.0635353	0.2381399	1.0258346	0.9305274	0.5586219	1.0233545	0.7140378	0.5761017	0.9401147	0.7658420	0.0530569	0.0275893	0.2961923	0.1324350	0.9734338	1.0555961	0.0000000	0.2000879	0.1103336	1.0237244	0.0830933	0.9482761	1.0388239	0.0000000	1.0126342	1.0953209	0.6857034	0.4956792	0.7267647	0.0502396	0.9675542	0.9641804	0.7036347	0.3454468	0.8362840	0.4298825	0.3570579	0.4158084	0.8001326	0.8426788	0.8424438	0.5650859	0.0512356	0.4351083	0.6986643	0.5866462	0.4197194	0.4427793	0.0986272	0.9840643	1.0327252	1.0285832	1.0738092	1.0335877	0.5982145	0.0641852	0.8218819	0.9281998	0.9070023	0.9823728	0.6994784	0.1669069	1.0375876	0.2830226	0.8952642	0.3280491	0.2310778	0.1078155	1.0044921	1.0120573	1.0331298	0.7240270	0.9322924	0.5847061	0.6136374	0.9619576	0.4332915	0.9816829	0.8666142	1.0563725
0.0000000	0.0117351	0.0110287	0.1527939	0.0000000	0.9874741	0.0009989	0.2735474	0.0147193	0.4837096	0.3618331	0.9950405	0.9850281	0.8220661	0.9926846	0.5789036	0.9588062	1.0005372	0.4928114	0.4227158	0.0237124	0.0618822	0.1167682	0.2270621	0.2316875	0.9332390	0.8318041	0.5983821	0.2925769	0.8257137	0.2267043	0.0360357	0.2718108	0.1455433	1.0435422	1.0039638	1.0583967	0.1562077	0.0985450	1.0335078	0.0864131	1.0559918	1.0402481	0.6779469	1.0274552	1.0202219	0.9486123	0.9817858	0.5963867	0.2179140	0.9493755	0.9243684	0.5896199	0.3447502	0.7845324	0.5014636	0.5361416	0.3719644	0.1536214	0.3863872	0.0203494	0.3829063	0.9805391	0.6335728	0.8695378	0.4087402	0.6139009	0.6390025	0.7588677	0.0264265	0.2650500	0.0115128	0.0500997	0.0884972	0.5696278	1.0289390	0.0234854	0.1588325	0.2791088	0.0522488	0.5887398	0.1808964	0.9560715	0.2517959	0.9252188	0.3440575	0.1879081	0.1179180	0.0383584	1.0312410	1.0767216	0.6399250	1.0185047	0.7122202	0.6024622	0.9861840	0.4446942	1.0126027	0.9569687	1.0632919
0.1871937	0.3773053	0.8135138	0.5408490	0.9773002	0.0899064	1.0301825	0.6355092	0.0093657	0.7027656	0.0268536	0.5265273	0.0612342	0.0242864	0.0190741	0.1603429	0.6094073	0.7163319	0.0714487	0.0128317	0.0834602	0.3043274	0.2346333	0.2959065	0.1573842	1.0420429	0.6893932	0.5375264	0.3274701	0.8046236	0.3813792	0.0306945	0.2784976	0.1947488	0.9708572	0.9994872	0.9895277	0.1258600	0.0830182	0.9064040	0.0629147	1.0310281	1.0174891	0.8524768	1.0381335	0.9779375	0.9561532	0.9689393	0.6574677	0.2815763	0.9509646	0.9708170	0.6370324	0.1790804	0.7444447	0.4542472	0.4136549	0.4051687	0.1185250	0.3482352	0.0100138	0.4375577	0.9350997	0.7996696	0.8778985	0.4738092	0.5482278	0.6777856	0.7764493	0.0341013	0.2555098	0.0143148	0.0458747	0.0925943	0.6366514	1.0451881	0.0132635	0.1572895	0.2145976	0.0500280	0.3441670	0.0000000	0.9539510	0.3225936	0.8370789	0.3789449	0.1999498	0.0847541	0.0499415	0.9948971	1.0265097	0.7591177	0.9811918	0.6861931	0.7445368	0.9322921	0.4178138	1.0669172	0.0000000	0.9998301
