"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.1129647	0.3354573	0.7783073	0.5428198	1.0223288	0.0608369	1.0534205	0.6850658	0.0426146	0.6839506	0.0126357	0.5690018	0.0505431	0.0279703	0.0195964	0.1655712	0.6128483	0.8318806	0.0763938	0.0069324	0.0840185	0.2636930	0.2186333	0.1821889	0.2129998	1.0055969	0.7350986	0.5135765	0.2613931	0.7207976	0.4451957	0.0429273	0.3178579	0.1983170	0.9386997	1.0282983	1.0200705	0.1902656	0.0794635	0.9955507	0.0754570	1.0421822	0.9749814	0.7477142	0.9421323	0.9048226	0.9660405	0.8198755	0.7098353	0.2423208	1.0018187	0.9803674	0.6460506	0.4202524	0.6979489	0.6398014	0.3666405	0.4155690	0.1130451	0.3592117	0.0215706	0.4731966	0.9708596	0.7727121	0.7559273	0.6099154	0.4786934	0.6428113	0.7592803	0.0318569	0.2376731	0.0484857	0.0739253	0.1062352	0.5340716	1.0406171	0.0346170	0.1760729	0.2643139	0.0552915	0.5323817	0.1887745	1.0391656	0.2772986	0.8587851	0.2946923	0.2070777	0.1462921	0.0564333	1.0452644	0.9345047	0.6368791	1.0787218	0.6993779	0.6990971	1.0331195	0.4144745	0.9535592	0.8894799	1.0011483
0.2454564	0.1524060	0.7027995	0.5583562	1.0163558	0.0803550	1.0245224	0.6208430	0.0219023	0.7407213	0.0381821	0.4750001	0.0526052	0.0237548	0.0127584	0.2366672	0.5923001	0.7911159	0.0618487	0.0057022	0.0648253	0.2115116	0.1993731	0.2218323	0.1513568	1.0519794	0.7348398	0.4709128	0.3052841	0.7518770	0.3410699	0.0239432	0.3550536	0.1870640	0.9552066	1.0134907	0.9582741	0.1839000	0.0794892	1.0461627	0.0602444	0.9896324	0.9466975	0.8669159	1.0350126	0.9957205	0.9429514	0.9543888	0.6406883	0.2786418	0.9558857	1.0121182	0.7497483	0.3986186	0.7879715	0.7462093	0.3296723	0.3983254	0.1313763	0.4627926	0.0237431	0.4404048	0.9051575	0.6614365	0.7869348	0.5283116	0.5101762	0.6064800	0.7073791	0.0348381	0.2874326	0.0324430	0.0777816	0.1439204	0.6810647	1.0056369	0.0304190	0.1600608	0.2317710	0.0306222	0.5458255	0.2137525	0.9816371	0.2347549	0.9153595	0.2965058	0.2127158	0.1003577	0.0525280	0.9680689	0.9627465	0.6951379	0.9868296	0.6711883	0.8312607	0.9485542	0.3914659	0.9835942	0.8817301	0.9047630
0.2063193	0.3583358	0.3643192	0.4729422	1.0338290	0.0762471	1.0798828	0.6451926	0.0187785	0.6835953	0.0365995	0.6053258	0.0492123	0.0321946	0.0087978	0.1686967	0.5155266	0.7808646	0.0738273	0.0114460	0.0661701	0.2238616	0.2344420	0.1970838	0.2399250	1.0057929	0.7439720	0.5323148	0.2939289	0.6920269	0.3109543	0.0306916	0.2888468	0.1638957	0.9671787	1.0473112	0.9754232	0.1723046	0.0884930	1.1162885	0.0655243	0.9954631	1.0064232	0.8037221	0.9807193	1.0715947	0.8931041	0.8051203	0.6498082	0.2425444	1.0121449	0.9265719	0.6555302	0.3860298	0.7896936	0.5638897	0.4730195	0.3723967	0.1132611	0.3626143	0.0365653	0.4335991	0.9989701	0.7336264	0.8255382	0.5480632	0.5786270	0.6699873	0.7376755	0.0392511	0.3116718	0.0393027	0.0697652	0.0887616	0.6084122	0.9927643	0.0259317	0.1690667	0.2615574	0.0510795	0.5696346	0.1684761	1.0519210	0.2728400	0.8428205	0.2960690	0.1804956	0.1493212	0.0776385	1.0038579	1.0738951	0.6794503	0.9841452	0.6740675	0.7384450	1.0672058	0.4904862	0.9987584	0.9042611	1.0649377
0.1649843	0.3589139	0.7821166	0.2752375	1.0457689	0.0625458	0.9706912	0.5911122	0.0198637	0.6916665	0.0625205	0.6128577	0.0637699	0.0405027	0.0157435	0.1869069	0.4996151	0.8062002	0.0815590	0.0131364	0.0682609	0.2703003	0.2064767	0.2606311	0.2098383	1.0089916	0.8717619	0.6370328	0.3023889	0.8133779	0.2562273	0.0289786	0.2603139	0.1720133	0.9933187	1.1208909	1.0220450	0.1610057	0.1140105	0.9088721	0.0795128	1.0098554	0.8738263	0.7127030	1.0199687	0.9948617	0.9413161	0.9567309	0.6238110	0.2599343	0.9866806	1.0634483	0.6981802	0.3771403	0.8237894	0.6036327	0.4073337	0.3970181	0.1642931	0.3842328	0.0178128	0.4010651	0.9603485	0.7036204	0.8057105	0.4970613	0.4726284	0.6583454	0.7987586	0.0327059	0.2909180	0.0331927	0.0633237	0.0958076	0.5125237	0.9646529	0.0255278	0.1982256	0.2797036	0.0334797	0.6035039	0.2506854	0.9159665	0.2448588	0.8908185	0.3160880	0.2087749	0.1126200	0.0595620	1.0235977	1.0038456	0.6691696	0.9418046	0.7021161	0.7557284	0.9940599	0.4396990	1.1057727	0.9006526	0.9611016
0.2210266	0.0621153	0.8176122	0.4065345	0.4537164	0.2172926	0.9885336	0.4596581	0.0182102	0.5396693	0.2845186	0.7589526	0.0730091	0.1182006	0.2847529	0.4907109	0.9211366	0.9176277	0.1123177	0.0462903	0.0815680	0.2627684	0.2446477	0.2138883	0.2247333	0.9472564	0.6976221	0.5242593	0.2972858	0.7444671	0.3086323	0.0201278	0.3145537	0.1874570	1.0822639	1.0470535	0.9603145	0.1778564	0.0952246	0.9816567	0.0847689	0.9983238	0.9473682	0.6789186	0.9696105	0.9823675	0.8546858	0.8249546	0.6723064	0.2584681	0.9215531	0.9745523	0.7354950	0.4706925	0.7422928	0.5707085	0.4107268	0.3792579	0.1378750	0.4296117	0.0284960	0.4308475	1.0428697	0.6858350	0.7987871	0.5882643	0.5669359	0.6779203	0.7353373	0.0264920	0.2635464	0.0463037	0.0831937	0.0972222	0.5370330	1.0276036	0.0317970	0.1540044	0.2373911	0.0341990	0.5781317	0.1801918	1.0170322	0.2339219	0.8706576	0.3680872	0.1895140	0.1190615	0.0786530	0.9900856	1.0262497	0.7259597	0.9927474	0.6406439	0.7151953	0.9586329	0.3953880	1.0319155	0.8986674	0.9471931
0.1975554	0.4369376	0.7348961	0.5523595	1.0252101	0.0274778	1.0669423	0.6524150	0.0159321	0.6702575	0.0219852	0.5534343	0.0589118	0.0343907	0.0194916	0.1683472	0.5023674	0.8144699	0.1027375	0.0030989	0.0787184	0.2246031	0.2724933	0.2122070	0.1184957	1.0090590	0.6476895	0.5964340	0.2867857	0.7130474	0.2589253	0.0206271	0.3407908	0.1797454	1.0259746	1.0252614	0.9898675	0.1317879	0.0649124	0.9702110	0.0534117	1.0470688	0.9949853	0.7082393	1.0136652	0.9760499	0.9214743	0.9640170	0.6119878	0.2900270	0.9228411	0.9959951	0.6999369	0.3330904	0.7915644	0.4358866	0.4148103	0.4193520	0.1073172	0.3132125	0.0190618	0.4172831	0.9212840	0.7279382	0.7490208	0.5858273	0.5150282	0.6834484	0.7483691	0.0319564	0.2461598	0.0360635	0.0557700	0.0873055	0.6640792	0.9453282	0.0290007	0.1521667	0.2395284	0.0497093	0.5653503	0.1705797	1.1095561	0.3175849	0.7958587	0.2910293	0.2074807	0.1082028	0.0489564	1.0722104	1.0049367	0.6544996	0.9678402	0.6120555	0.7679952	1.0525228	0.4312631	1.0555507	0.8100865	0.9676844
0.2345108	0.3448561	0.7384964	0.5540801	1.0134278	0.0749724	0.5436960	0.6609906	0.0324477	0.7472949	0.0244634	0.4962835	0.0462273	0.0411442	0.0116792	0.1744602	0.5683211	0.8211753	0.0926450	0.0047669	0.0704562	0.2440252	0.2870980	0.1574355	0.1736627	1.0367316	0.7421275	0.5952130	0.2876243	0.7422101	0.3570756	0.0483627	0.3386524	0.1458595	1.1524712	1.0050585	0.9938872	0.1303913	0.0710771	0.9752223	0.1170346	1.0516370	1.1390834	0.8694978	0.9784826	0.9669767	0.9386121	0.8662898	0.6160815	0.3064699	0.8738118	1.0484978	0.6456462	0.4545984	0.7600000	0.4561131	0.5132433	0.4289498	0.1239238	0.3533746	0.0366869	0.5073703	0.9401812	0.7226994	0.7484162	0.5599720	0.5359930	0.6420937	0.7828439	0.0306114	0.2775217	0.0245922	0.0511908	0.1181139	0.6941849	0.9222557	0.0327658	0.1353629	0.2698888	0.0363541	0.6712593	0.1859965	1.0139229	0.2656669	0.9994230	0.2834925	0.2136453	0.0657125	0.0522640	0.9731475	0.9757135	0.6521061	0.9197705	0.5992363	0.6827869	1.0574119	0.3764620	0.9510569	0.8450994	0.9952431
0.2406314	0.3905591	0.8159213	0.5961261	1.0039060	0.0675910	1.0152652	0.3549363	0.0267569	0.7110778	0.0268148	0.6137276	0.0544967	0.0134075	0.0098914	0.1611968	0.5602972	0.8751589	0.1019508	0.0027217	0.0649847	0.2211508	0.2153491	0.3555822	0.2073746	0.9817628	0.7097495	0.5470427	0.3309752	0.7149414	0.3048683	0.0260025	0.3307387	0.1587877	0.9885859	1.0016023	0.9530191	0.1572280	0.0935136	1.0817280	0.0758937	0.9949576	1.0402900	0.7856275	1.0924095	1.0674382	0.9564979	0.8020868	0.7405239	0.2582898	0.9734892	0.9632136	0.6410986	0.3683759	0.7876355	0.5687741	0.4306057	0.4157100	0.1216018	0.3431617	0.0256797	0.4665991	1.0651712	0.7047496	0.8105031	0.5082511	0.4639669	0.6579429	0.7437319	0.0390316	0.2476595	0.0238842	0.0999179	0.1313406	0.5377719	0.9565744	0.0283877	0.1414058	0.2277661	0.0334114	0.5980958	0.1627221	1.0351575	0.3060722	0.8253866	0.3116984	0.2314590	0.1414150	0.0671794	1.0383947	1.0068100	0.6796422	1.0646537	0.6709381	0.7254684	1.0503527	0.3977990	0.9867209	0.8665781	0.9877700
0.2015027	0.3525862	0.8109908	0.4894561	0.9887109	0.0639346	1.0121073	0.6978778	0.0154590	0.7813661	0.0438196	0.5979715	0.0374655	0.0479862	0.0246498	0.1599233	0.6241939	0.7789569	0.0964824	0.0092387	0.0467208	0.2193208	0.1617704	0.2291550	0.2261627	1.0099188	0.7048278	0.4822799	0.2949821	0.7541849	0.3764726	0.0304850	0.3408919	0.1431519	0.9626026	0.9387383	0.9858426	0.1830388	0.0967506	1.0357120	0.0695239	0.9875274	1.0747803	0.7978607	1.0635364	1.0191562	0.9382015	0.9647239	0.6709805	0.2545599	0.9389003	1.0401952	0.6829577	0.3734627	0.7966086	0.5109194	0.3970959	0.3488608	0.1551075	0.3777034	0.0355367	0.4119301	1.0654104	0.7499521	0.6620340	0.5665853	0.5588290	0.6804346	0.7261986	0.0658940	0.3066857	0.0489774	0.0381231	0.0853408	0.6148078	0.9535985	0.0291804	0.1613546	0.2238478	0.0490945	0.5032956	0.2166186	1.0293315	0.2456293	0.8775651	0.2840858	0.2127265	0.1087513	0.0522889	1.1158934	1.0833775	0.7261277	1.0410636	0.6887592	0.6811295	0.9700383	0.4438155	1.0167441	0.8908859	1.0805578
0.2039365	0.3596570	0.7716208	0.5714134	1.0524538	0.0688422	1.0603751	0.6977118	0.0274162	0.3639363	0.0268626	0.5451479	0.0553271	0.0241264	0.0140084	0.1450132	0.5067282	0.8107316	0.0939835	0.0011797	0.0550980	0.2746711	0.1922226	0.1973888	0.2170542	0.9769205	0.6201219	0.6402773	0.2655393	0.7004233	0.1198464	0.0166212	0.2905216	0.2012693	1.0439964	1.1246962	0.9676917	0.1560680	0.0868428	1.0443267	0.0506186	1.0313899	0.9649380	0.5226224	0.9724996	1.0242295	0.9644592	0.9437814	0.6661908	0.2433645	1.0248912	0.9951524	0.6938475	0.3217270	0.7701584	0.3675307	0.3905244	0.3690030	0.1690479	0.3225182	0.0289523	0.3591073	1.0050363	0.5658845	0.7360347	0.5660068	0.5310658	0.6651256	0.7728642	0.0426291	0.2568777	0.0318324	0.0614910	0.1165047	0.5792963	1.0250175	0.0307735	0.1555360	0.3378135	0.0448924	0.6189663	0.1702127	1.0201441	0.2343032	0.9128824	0.2854704	0.2233055	0.1136578	0.0665403	1.0380943	0.9596780	0.7209555	1.0517935	0.6567086	0.6347502	1.0383807	0.3830389	1.0847102	0.8552151	1.0435905
